日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,170,76,132,167,71,71,1.65,61
2013-10-29,重度污染,229,95,179,226,81,86,2.10,64
2013-10-30,严重污染,310,111,262,302,45,64,1.68,22
2013-10-31,中度污染,189,101,143,211,24,50,1.26,34
2013-11-01,轻度污染,128,72,96,163,29,45,1.11,7
2013-11-02,良,56,17,30,64,22,37,0.95,4
2013-11-03,良,71,24,51,79,25,41,0.92,16
2013-11-04,良,79,38,57,82,33,45,1.00,34
2013-11-05,轻度污染,143,99,110,132,42,52,1.25,48
2013-11-06,重度污染,211,108,147,206,86,72,1.49,39
2013-11-07,中度污染,158,93,105,138,53,59,1.20,41
2013-11-08,轻度污染,133,76,100,135,54,47,1.39,69
2013-11-09,轻度污染,129,75,116,129,54,45,1.26,66
2013-11-10,中度污染,179,107,101,158,35,41,1.25,17
2013-11-11,良,64,63,14,30,16,31,0.91,12
2013-11-12,优,21,4,13,23,17,25,0.71,25
2013-11-13,优,38,21,45,69,29,31,0.64,12
2013-11-14,良,90,56,71,96,41,31,0.86,18
2013-11-15,良,96,49,83,116,65,44,1.66,11
2013-11-16,轻度污染,128,55,107,151,86,53,1.87,16
2013-11-17,中度污染,161,108,126,179,77,67,2.01,17
2013-11-18,轻度污染,144,107,91,155,64,62,1.08,26
2013-11-19,轻度污染,125,92,101,161,53,66,1.43,30
2013-11-20,轻度污染,123,61,92,134,55,55,1.02,40
2013-11-21,轻度污染,125,49,96,149,50,61,1.25,34
2013-11-22,中度污染,158,72,198,233,48,68,1.27,21
2013-11-23,严重污染,335,102,316,404,61,86,1.98,21
2013-11-24,重度污染,239,96,65,110,30,42,0.98,18
2013-11-25,良,54,8,39,66,45,48,1.00,23
2013-11-26,良,75,50,58,94,45,50,0.90,22
2013-11-27,良,91,65,71,101,59,55,0.75,13
2013-11-28,良,75,74,43,76,39,43,0.52,25
2013-11-29,良,64,41,55,77,48,50,0.99,26
2013-11-30,良,81,47,68,86,57,57,1.09,22
2013-12-01,轻度污染,129,82,119,139,67,70,1.47,26
2013-12-02,轻度污染,141,61,90,127,66,65,1.46,35
2013-12-03,轻度污染,124,39,115,151,85,74,1.41,29
2013-12-04,中度污染,187,67,140,190,78,76,1.41,31
2013-12-05,中度污染,170,61,148,186,74,79,1.39,24
2013-12-06,重度污染,233,94,198,257,101,78,1.66,20
2013-12-07,重度污染,244,83,200,257,69,80,2.32,27
2013-12-08,严重污染,258,71,176,225,60,65,1.71,35
2013-12-09,重度污染,216,72,108,178,45,47,0.83,37
2013-12-10,轻度污染,105,53,97,136,54,51,1.00,25
2013-12-11,轻度污染,139,86,110,151,54,61,1.01,18
2013-12-12,轻度污染,141,88,104,145,63,69,1.11,4
2013-12-13,轻度污染,146,73,114,153,55,59,1.16,18
2013-12-14,中度污染,183,89,178,217,68,86,1.38,6
2013-12-15,重度污染,248,96,191,222,32,68,1.23,8
2013-12-16,重度污染,210,96,131,166,21,37,0.89,22
2013-12-17,轻度污染,101,67,24,57,11,23,0.62,18
