日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,重度污染,230,91,180,235,136,107,2.78,53
2013-10-29,重度污染,220,93,180,224,81,84,2.75,33
2013-10-30,良,92,53,66,111,60,65,1.94,28
2013-10-31,中度污染,155,92,116,200,116,82,3.16,12
2013-11-01,重度污染,236,104,175,235,165,93,3.46,6
2013-11-02,严重污染,263,107,213,275,221,102,3.66,5
2013-11-03,中度污染,153,94,115,165,133,71,2.62,23
2013-11-04,轻度污染,130,93,97,158,200,78,3.11,18
2013-11-05,轻度污染,128,86,96,151,135,66,2.30,37
2013-11-06,轻度污染,150,79,112,162,99,70,1.80,49
2013-11-07,轻度污染,119,70,73,135,115,74,1.45,21
2013-11-08,轻度污染,114,67,78,130,82,59,1.93,27
2013-11-09,轻度污染,125,72,110,169,86,80,2.40,16
2013-11-10,良,95,70,35,65,75,53,1.22,24
2013-11-11,良,84,93,91,151,194,78,2.72,16
2013-11-12,轻度污染,150,109,108,195,193,72,2.54,17
2013-11-13,中度污染,188,100,156,261,231,91,2.95,15
2013-11-14,中度污染,188,97,128,194,175,85,1.73,15
2013-11-15,中度污染,161,87,119,231,189,83,1.90,18
2013-11-16,轻度污染,146,66,86,195,124,65,1.19,26
2013-11-17,良,82,41,44,73,107,54,1.06,14
2013-11-18,良,77,43,48,80,117,54,1.28,14
2013-11-19,轻度污染,106,69,96,155,231,74,2.40,13
2013-11-20,中度污染,166,90,147,259,256,98,3.15,9
2013-11-21,重度污染,241,104,271,383,333,129,4.16,6
2013-11-22,严重污染,391,112,353,494,388,152,5.30,18
2013-11-23,严重污染,289,93,148,205,179,89,2.42,20
2013-11-24,中度污染,173,77,104,124,87,72,2.07,14
2013-11-25,良,93,66,54,94,99,51,1.65,21
2013-11-26,良,91,70,90,146,209,75,2.23,11
2013-11-27,良,87,57,28,71,60,39,1.04,36
2013-11-28,良,71,66,54,108,131,58,1.55,18
2013-11-29,良,89,87,72,147,226,75,2.11,14
2013-11-30,轻度污染,119,94,109,167,236,88,2.14,9
2013-12-01,中度污染,152,91,96,152,201,73,2.43,17
2013-12-02,中度污染,182,80,169,243,244,97,2.93,14
2013-12-03,严重污染,284,95,284,397,427,127,4.78,7
2013-12-04,严重污染,302,93,196,307,360,110,3.47,12
2013-12-05,重度污染,219,75,153,215,196,91,2.49,10
2013-12-06,轻度污染,135,63,119,205,199,83,2.55,14
2013-12-07,重度污染,238,80,235,319,256,105,3.38,20
2013-12-08,严重污染,300,83,252,322,243,97,3.83,11
2013-12-09,重度污染,246,85,75,115,94,49,1.74,23
2013-12-10,轻度污染,105,52,102,180,208,64,2.52,15
2013-12-11,良,97,40,48,101,127,51,1.83,21
2013-12-12,良,94,38,70,136,141,61,1.72,20
2013-12-13,良,97,42,85,182,196,74,2.34,12
2013-12-14,中度污染,192,98,209,319,319,108,3.38,7
2013-12-15,严重污染,291,106,215,331,286,108,3.36,8
2013-12-16,严重污染,253,103,238,401,323,114,4.25,5
2013-12-17,严重污染,345,109,246,391,292,116,4.53,7
2013-12-18,轻度污染,149,89,61,86,98,51,1.60,24
2013-12-19,轻度污染,131,72,122,195,205,72,2.83,11
2013-12-20,中度污染,184,68,134,198,234,71,2.90,13
2013-12-21,中度污染,152,64,120,189,229,79,3.02,13
2013-12-22,重度污染,214,88,208,347,351,103,4.19,6
2013-12-23,严重污染,304,99,291,430,443,112,4.71,5
2013-12-24,严重污染,383,101,314,460,408,117,4.47,10
2013-12-25,严重污染,319,92,292,409,336,112,4.01,11
2013-12-26,严重污染,280,85,107,185,87,53,1.28,25
2013-12-27,良,85,36,73,118,152,62,1.84,18
2013-12-28,轻度污染,144,84,118,193,206,69,2.22,14
2013-12-29,轻度污染,128,80,88,168,178,72,1.80,17
2013-12-30,轻度污染,118,57,96,190,179,80,1.92,15
2013-12-31,轻度污染,141,126,101,250,204,77,2.09,15
2014-01-01,轻度污染,148,137,102,234,233,77,2.52,17
2014-01-02,中度污染,165,127,133,282,250,83,2.98,16
2014-01-03,重度污染,201,138,157,266,250,86,3.08,14
2014-01-04,轻度污染,114,77,82,157,123,59,1.83,16
2014-01-05,重度污染,229,156,182,271,200,90,3.00,6
2014-01-06,严重污染,308,183,258,357,170,103,3.58,11
2014-01-07,严重污染,335,185,281,399,227,118,4.40,7
2014-01-08,良,88,121,63,94,100,50,1.31,23
2014-01-09,轻度污染,135,165,102,173,148,62,1.97,15
2014-01-10,重度污染,247,177,197,293,182,78,2.94,11
2014-01-11,严重污染,261,166,211,311,187,81,2.93,13
2014-01-12,重度污染,202,177,162,229,152,69,2.13,19
2014-01-13,轻度污染,137,151,103,182,135,61,2.08,15
2014-01-14,重度污染,240,174,190,277,209,79,2.98,10
2014-01-15,严重污染,281,158,232,329,197,80,2.74,18
2014-01-16,重度污染,215,136,173,248,141,70,1.91,23
2014-01-17,严重污染,291,170,243,310,141,72,2.42,7
2014-01-18,重度污染,218,123,169,224,230,83,2.66,12
2014-01-19,重度污染,225,130,180,262,168,86,2.33,18
2014-01-20,中度污染,161,124,112,219,94,58,1.80,25
2014-01-21,良,65,31,44,78,136,59,1.58,19
2014-01-22,良,94,70,67,133,130,64,1.66,28
2014-01-24,重度污染,205,152,161,235,196,110,2.66,14
2014-01-25,轻度污染,111,81,77,113,83,47,1.31,29
2014-01-26,良,69,61,40,87,79,46,1.39,29
2014-01-27,良,100,105,62,133,85,52,1.47,32
2014-01-28,良,99,104,66,123,86,51,1.45,27
2014-01-29,轻度污染,118,118,83,124,76,44,1.55,44
2014-01-30,重度污染,244,151,195,252,114,64,2.53,29
2014-01-31,严重污染,306,160,253,314,122,59,2.70,28
2014-02-01,严重污染,340,183,289,407,259,58,4.33,3
2014-02-02,重度污染,233,139,183,262,131,55,3.78,14
2014-02-03,良,57,58,25,63,62,28,1.25,44
2014-02-04,良,63,115,42,66,99,41,1.71,31
2014-02-05,良,58,116,38,59,67,35,1.23,30
2014-02-06,良,80,137,59,69,80,37,1.39,33
2014-02-07,良,75,127,55,71,87,38,1.59,37
2014-02-08,轻度污染,101,154,76,96,122,47,2.04,27
2014-02-09,良,57,95,40,54,69,32,1.20,36
2014-02-10,良,63,122,44,66,94,43,1.48,29
2014-02-11,轻度污染,124,160,93,140,219,71,2.50,23
2014-02-12,重度污染,221,181,173,227,272,89,3.63,20
2014-02-13,轻度污染,139,146,104,135,128,61,1.84,33
2014-02-14,中度污染,153,139,116,159,172,69,2.22,33
2014-02-15,中度污染,183,137,139,179,125,59,1.97,46
2014-02-16,重度污染,222,169,173,226,171,76,2.40,34
2014-02-17,轻度污染,137,151,102,140,99,50,1.68,33
2014-02-18,良,74,111,52,82,113,60,1.42,28
2014-02-19,轻度污染,148,166,111,180,183,73,2.57,18
2014-02-20,重度污染,202,172,156,208,150,74,2.51,24
2014-02-21,中度污染,169,131,128,182,102,63,1.89,61
2014-02-22,中度污染,152,118,115,176,134,76,2.08,45
2014-02-23,中度污染,199,145,155,215,255,99,2.67,25
2014-02-24,重度污染,242,162,191,262,237,97,3.14,29
2014-02-25,重度污染,228,156,184,280,187,91,3.13,35
2014-02-26,轻度污染,120,104,90,154,142,70,2.04,38
2014-02-27,良,92,99,65,95,60,42,1.65,35
2014-02-28,良,65,97,39,80,105,52,1.58,30
2014-03-01,轻度污染,115,157,87,140,173,71,1.84,36
2014-03-02,中度污染,187,167,143,244,222,79,2.63,29
2014-03-03,轻度污染,148,158,109,182,113,55,1.70,48
2014-03-04,轻度污染,105,146,76,128,97,59,1.68,33
2014-03-05,中度污染,190,188,149,224,197,90,2.92,23
2014-03-06,中度污染,153,182,116,190,208,79,2.12,23
2014-03-07,中度污染,174,184,131,208,184,72,2.32,22
2014-03-08,中度污染,169,170,129,190,142,71,1.88,38
2014-03-09,严重污染,252,187,205,305,237,94,2.60,23
2014-03-10,中度污染,167,157,127,219,128,63,1.94,54
2014-03-11,轻度污染,130,132,98,179,90,52,1.59,75
2014-03-12,轻度污染,112,137,68,152,92,49,1.23,37
2014-03-13,轻度污染,107,169,75,161,227,69,2.17,21
2014-03-14,良,100,139,58,147,167,63,1.72,28
2014-03-15,轻度污染,113,134,63,176,115,56,1.30,51
2014-03-16,良,91,60,60,131,94,54,1.30,66
2014-03-17,中度污染,160,137,93,217,128,66,1.66,69
2014-03-18,重度污染,215,152,83,281,80,49,1.58,52
2014-03-19,良,87,72,64,103,107,58,1.40,45
2014-03-20,良,87,124,54,105,93,50,1.51,36
2014-03-21,良,92,151,63,130,146,59,1.66,41
2014-03-22,良,98,130,70,139,103,58,1.53,54
2014-03-23,中度污染,196,183,148,250,209,104,2.81,41
2014-03-25,重度污染,225,177,176,269,166,98,2.57,60
2014-03-26,严重污染,254,180,206,319,180,95,2.64,60
2014-03-27,轻度污染,107,80,77,137,83,61,1.51,82
2014-03-28,轻度污染,112,133,81,142,121,66,1.67,72
2014-03-29,中度污染,157,154,118,176,102,70,1.88,45
2014-03-30,轻度污染,138,163,104,190,211,93,2.28,46
2014-03-31,中度污染,175,185,132,248,171,103,2.40,46
2014-04-01,中度污染,156,187,117,206,146,92,2.28,62
2014-04-02,轻度污染,140,178,100,199,134,72,1.82,66
2014-04-03,轻度污染,103,158,57,136,71,47,1.21,50
2014-04-04,轻度污染,117,163,62,183,100,54,1.53,54
2014-04-05,良,76,76,37,101,75,44,1.22,48
2014-04-06,轻度污染,109,168,75,167,176,79,2.06,37
2014-04-07,良,99,134,68,137,116,70,1.72,51
2014-04-08,中度污染,199,184,152,263,234,107,2.77,50
2014-04-09,轻度污染,134,140,96,196,116,59,1.67,91
2014-04-10,轻度污染,147,165,112,200,125,68,1.63,55
2014-04-11,中度污染,185,188,141,242,163,98,2.27,34
2014-04-12,中度污染,193,186,148,226,203,102,2.42,14
2014-04-13,严重污染,261,188,210,307,264,112,2.94,49
2014-04-14,轻度污染,132,156,99,179,109,54,1.68,104
2014-04-15,中度污染,162,183,120,246,162,85,2.32,45
2014-04-16,轻度污染,148,187,110,226,153,89,2.22,49
2014-04-17,轻度污染,141,167,102,150,110,62,1.66,55
2014-04-18,中度污染,157,173,118,180,108,64,1.92,41
2014-04-19,良,85,163,53,118,103,67,1.58,49
2014-04-20,中度污染,176,183,130,242,256,103,2.89,33
2014-04-21,中度污染,174,180,133,225,158,92,2.61,54
2014-04-22,中度污染,159,181,121,205,143,76,2.34,53
2014-04-23,轻度污染,117,147,84,146,81,45,1.48,82
2014-04-24,良,85,98,56,115,59,50,1.47,88
2014-04-25,良,79,111,47,105,78,48,1.36,71
2014-04-26,良,63,96,43,71,35,50,1.45,52
2014-04-27,优,37,13,23,30,39,31,1.25,67
2014-04-28,良,71,100,45,84,73,43,1.59,71
2014-04-29,轻度污染,145,187,105,209,213,79,2.31,60
2014-04-30,中度污染,151,181,113,223,174,90,2.39,66
2014-05-01,轻度污染,112,118,75,167,112,55,1.59,101
2014-05-02,良,92,107,47,132,71,38,1.12,67
2014-05-03,轻度污染,104,154,51,157,108,48,1.38,73
2014-05-04,良,79,126,38,107,51,30,1.06,66
2014-05-05,良,91,170,52,131,110,51,1.68,55
2014-05-06,轻度污染,126,184,52,201,70,38,1.25,97
2014-05-07,轻度污染,126,179,64,199,75,41,1.47,112
2014-05-08,轻度污染,111,143,79,145,81,66,1.76,80
2014-05-09,良,99,139,64,141,78,61,1.59,85
2014-05-10,良,68,135,39,86,49,42,1.17,85
