日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,128,318,96,148,199,29,0.47,49
2015-01-02,良,71,189,51,77,119,15,0.44,81
2015-01-03,良,89,118,65,104,154,25,0.56,62
2015-01-04,良,77,50,56,75,74,21,0.48,70
2015-01-05,良,68,62,47,65,61,24,0.73,45
2015-01-06,优,39,33,21,39,37,38,0.67,57
2015-01-07,良,56,67,34,60,78,38,0.78,55
2015-01-08,良,67,97,44,81,112,35,1.23,26
2015-01-09,优,36,16,22,31,82,16,1.25,43
2015-01-10,优,39,16,25,37,77,14,1.24,46
2015-01-11,优,38,19,24,36,54,13,1.41,52
2015-01-12,优,39,34,23,39,84,15,1.65,57
2015-01-13,良,60,121,37,68,146,31,2.28,54
2015-01-14,良,61,111,38,70,125,29,1.63,55
2015-01-15,良,62,80,43,71,112,28,0.87,51
2015-01-16,良,88,151,65,102,99,25,0.97,44
2015-01-17,良,85,143,62,101,124,26,1.05,52
2015-01-18,优,37,12,22,33,63,17,1.26,41
2015-01-19,良,59,57,41,57,48,19,1.25,56
2015-01-20,良,53,27,35,56,70,23,1.48,41
2015-01-21,良,56,46,36,60,80,23,1.06,59
2015-01-22,良,63,47,42,72,74,27,0.94,68
2015-01-23,良,65,29,45,74,56,25,0.99,74
2015-01-24,良,60,29,39,61,50,23,1.02,77
2015-01-25,良,78,82,57,91,68,31,1.38,55
2015-01-26,良,68,51,41,82,63,27,1.12,57
2015-01-27,良,55,91,26,57,51,19,0.72,72
2015-01-28,良,52,162,29,53,51,22,1.02,63
2015-01-29,优,35,40,16,34,33,20,1.68,30
2015-01-30,优,32,18,17,30,23,22,0.92,28
2015-01-31,优,41,27,25,40,42,24,0.99,35
2015-02-01,优,37,13,22,36,43,23,1.15,23
2015-02-02,优,33,5,17,31,68,20,1.26,21
2015-02-03,优,29,6,13,25,69,14,1.22,43
2015-02-04,优,38,22,23,36,66,14,1.04,46
2015-02-05,优,50,48,26,43,121,13,1.00,54
2015-02-06,良,60,51,38,65,109,15,1.26,58
2015-02-07,优,45,28,22,45,48,10,1.29,65
2015-02-08,优,47,49,24,49,47,12,1.46,72
2015-02-09,良,57,77,28,63,50,16,1.23,92
2015-02-10,优,47,28,19,41,68,24,1.05,69
2015-02-11,良,54,35,25,52,68,17,1.18,85
2015-02-12,良,64,80,38,75,150,33,1.45,67
2015-02-13,良,56,35,32,60,55,19,0.84,73
2015-02-14,优,39,16,12,25,38,7,0.62,80
2015-02-15,优,47,25,17,31,50,9,0.78,93
2015-02-16,良,66,64,44,72,67,19,1.08,101
2015-02-17,良,56,59,32,55,83,20,1.07,73
2015-02-18,优,48,37,18,37,47,7,0.70,95
2015-02-19,优,48,19,19,38,41,5,0.89,93
2015-02-20,良,52,121,14,33,61,7,1.42,101
2015-02-21,优,48,99,25,44,68,8,1.68,77
2015-02-22,优,37,27,15,35,61,6,1.83,58
2015-02-23,优,36,37,14,30,59,7,1.93,68
2015-02-24,优,40,50,16,37,59,9,2.11,68
2015-02-25,优,38,47,17,34,55,9,1.59,59
2015-02-26,优,32,30,12,30,39,8,0.52,45
2015-02-27,优,41,100,16,36,40,8,0.68,76
2015-02-28,优,25,33,8,19,37,6,0.62,45
2015-03-01,优,31,36,10,25,42,9,0.74,60
2015-03-02,优,32,11,17,31,64,15,0.79,42
2015-03-03,优,35,17,11,21,35,8,0.84,75
2015-03-04,优,33,25,13,25,27,9,0.79,59
2015-03-05,优,29,28,13,26,22,6,0.67,55
2015-03-06,优,44,80,26,36,49,13,1.08,59
2015-03-07,优,45,60,26,42,67,19,1.40,38
