日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,69,131,49,64,37,17,0.86,33
2015-01-02,良,62,122,38,65,52,17,0.70,38
2015-01-03,良,84,101,56,89,57,20,0.88,30
2015-01-04,轻度污染,126,149,95,128,48,25,0.90,41
2015-01-05,良,88,97,58,98,26,15,0.61,50
2015-01-06,良,54,93,33,53,45,10,0.53,52
2015-01-07,良,78,179,56,81,46,19,0.68,42
2015-01-08,轻度污染,139,284,106,140,56,33,0.94,30
2015-01-09,良,82,109,58,88,41,24,0.64,36
2015-01-10,轻度污染,119,193,89,110,35,27,0.81,32
2015-01-11,良,86,131,61,68,48,22,0.61,41
2015-01-12,良,72,148,49,70,38,19,0.55,39
2015-01-13,轻度污染,119,251,89,121,67,27,0.80,28
2015-01-14,轻度污染,105,207,78,100,68,29,0.98,29
2015-01-15,轻度污染,138,251,104,127,50,31,0.87,27
2015-01-16,良,89,153,63,84,33,19,0.63,33
2015-01-17,良,60,55,40,60,23,11,0.36,45
2015-01-18,良,74,82,52,80,37,19,0.63,27
2015-01-19,良,73,92,48,80,53,20,0.60,35
2015-01-20,轻度污染,150,312,116,140,63,37,0.98,23
2015-01-21,轻度污染,129,235,97,117,41,29,0.85,18
2015-01-22,良,91,146,66,91,59,26,0.64,27
2015-01-23,中度污染,192,332,147,174,67,39,0.95,35
2015-01-24,良,99,122,70,101,44,28,0.62,33
2015-01-25,轻度污染,102,129,75,104,44,27,0.68,37
2015-01-26,良,78,82,43,92,47,18,0.49,34
2015-01-27,良,70,141,44,74,43,31,0.62,27
2015-01-28,良,69,246,44,73,52,31,0.66,26
2015-01-29,良,65,201,36,78,54,27,0.62,29
2015-01-30,良,68,172,39,79,49,28,0.56,32
2015-01-31,良,63,146,43,67,46,31,0.66,24
2015-02-01,良,65,125,43,66,39,32,0.72,26
2015-02-02,轻度污染,112,233,82,118,51,44,0.98,21
2015-02-03,轻度污染,146,259,110,149,57,44,1.03,24
2015-02-04,良,92,167,64,97,39,31,0.83,24
2015-02-05,良,62,110,34,69,39,17,0.48,30
2015-02-06,良,60,52,27,70,28,10,0.36,42
2015-02-07,良,77,108,37,95,25,4,0.26,45
2015-02-08,良,53,69,31,54,33,9,0.33,38
2015-02-09,优,47,25,29,45,30,12,0.46,33
2015-02-10,良,93,166,63,102,42,22,0.75,31
2015-02-11,良,77,96,47,86,33,12,0.51,30
2015-02-12,良,73,106,41,83,41,14,0.48,33
2015-02-13,良,67,70,43,79,47,21,0.72,30
2015-02-14,良,85,97,61,90,32,23,0.78,29
2015-02-15,轻度污染,129,249,100,131,37,29,1.16,53
2015-02-16,良,95,163,70,93,21,21,0.45,56
2015-02-17,良,75,130,51,76,22,11,0.31,65
2015-02-18,良,75,130,48,73,53,12,0.33,61
