日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,75,15,40,99,36,28,1.15,46
2013-10-29,良,76,37,49,101,63,51,1.65,33
2013-10-30,轻度污染,127,83,91,193,100,76,2.44,25
2013-10-31,中度污染,194,103,148,279,141,98,3.08,17
2013-11-01,中度污染,174,92,138,148,49,63,2.09,28
2013-11-02,轻度污染,145,78,109,159,86,63,2.97,24
2013-11-03,良,96,47,68,119,66,52,2.09,29
2013-11-04,轻度污染,115,73,84,152,80,57,2.27,26
2013-11-05,良,90,48,62,104,69,55,2.04,36
2013-11-06,良,76,22,35,86,54,37,1.66,43
2013-11-07,良,81,29,81,151,99,67,2.47,21
2013-11-08,中度污染,154,88,141,285,144,84,3.83,20
2013-11-09,轻度污染,126,73,35,96,28,22,1.18,45
2013-11-10,良,70,49,45,95,79,39,1.81,42
2013-11-11,轻度污染,105,108,92,170,150,63,2.95,22
2013-11-12,中度污染,153,110,132,221,118,73,3.13,21
2013-11-13,中度污染,172,97,102,227,101,58,2.57,28
2013-11-14,轻度污染,126,75,78,220,112,54,2.46,31
2013-11-15,重度污染,219,106,131,434,107,54,3.11,31
2013-11-16,重度污染,201,99,32,114,37,28,1.36,44
2013-11-17,良,72,25,49,96,50,41,1.76,34
2013-11-18,良,94,63,100,179,114,60,3.02,22
2013-11-19,中度污染,152,103,135,264,166,72,3.75,18
2013-11-20,中度污染,181,99,129,276,111,60,3.00,25
2013-11-21,中度污染,182,85,142,289,127,70,3.58,17
2013-11-22,重度污染,223,88,189,352,174,81,4.70,14
2013-11-23,重度污染,215,79,126,269,119,53,2.91,21
2013-11-24,重度污染,203,86,79,348,58,32,2.00,33
2013-11-25,轻度污染,121,98,53,107,63,41,2.38,28
2013-11-26,良,83,56,40,110,35,26,1.89,38
2013-11-27,良,76,42,22,90,30,19,1.32,44
2013-11-28,良,68,59,33,70,51,39,1.39,33
2013-11-29,良,94,92,100,170,145,69,2.68,18
2013-11-30,轻度污染,118,91,65,115,90,52,1.93,28
2013-12-01,良,100,53,90,158,123,69,2.57,17
2013-12-02,中度污染,181,79,154,278,192,76,3.82,20
2013-12-03,轻度污染,128,40,60,108,80,53,1.94,28
2013-12-04,轻度污染,138,48,120,223,129,67,3.13,18
2013-12-05,良,99,37,50,103,94,44,2.17,25
2013-12-06,轻度污染,144,69,151,234,163,74,3.91,17
2013-12-07,重度污染,222,72,175,279,183,79,3.73,16
2013-12-08,轻度污染,142,32,34,94,31,20,0.84,35
2013-12-09,良,76,14,63,113,106,50,2.20,22
2013-12-10,良,95,40,49,110,58,32,1.55,36
2013-12-11,良,77,25,63,123,143,55,2.55,23
2013-12-12,良,80,27,41,77,44,33,1.32,39
2013-12-13,良,74,27,78,138,153,63,2.85,21
2013-12-14,轻度污染,123,50,99,174,158,64,3.08,19
2013-12-15,轻度污染,128,61,109,187,138,65,2.92,19
2013-12-16,中度污染,184,90,118,194,124,55,2.92,25
2013-12-17,良,91,60,44,84,58,36,1.98,33
2013-12-18,良,99,74,121,214,188,65,3.80,19
2013-12-19,轻度污染,142,79,95,198,153,64,3.34,21
2013-12-20,轻度污染,129,57,106,212,168,65,4.00,20
2013-12-21,中度污染,197,87,156,303,189,77,4.71,15
2013-12-22,重度污染,209,87,167,305,189,78,5.20,15
2013-12-23,重度污染,232,85,194,372,213,86,6.21,14
2013-12-24,严重污染,257,78,204,383,175,84,5.61,13
2013-12-25,重度污染,206,59,85,207,59,37,2.73,33
2013-12-26,良,73,11,24,59,51,36,2.04,32
2013-12-27,良,85,38,79,165,104,49,3.08,22
2013-12-28,良,95,48,51,131,96,51,3.14,29
2013-12-29,轻度污染,116,67,88,217,123,70,4.48,19
2013-12-30,中度污染,163,105,81,339,102,60,3.71,25
2013-12-31,重度污染,215,184,70,345,85,54,3.43,27
2014-01-01,中度污染,178,168,110,279,143,73,4.80,19
2014-01-02,中度污染,158,121,103,252,156,64,4.34,19
2014-01-03,轻度污染,124,79,79,191,119,59,3.67,24
2014-01-04,轻度污染,149,123,106,232,127,67,4.35,18
2014-01-05,轻度污染,124,56,76,195,106,61,3.99,19
2014-01-06,中度污染,188,119,127,299,141,70,5.42,16
2014-01-07,良,86,48,36,120,52,30,2.86,37
2014-01-08,良,96,130,45,141,63,35,2.33,32
2014-01-09,良,99,137,57,147,102,59,3.04,20
2014-01-10,中度污染,164,144,116,254,171,76,4.01,17
2014-01-11,中度污染,161,134,103,249,134,59,3.41,23
2014-01-12,良,90,78,53,128,87,50,2.18,26
2014-01-13,轻度污染,112,117,71,171,114,62,3.96,18
2014-01-14,轻度污染,119,97,76,180,138,66,3.96,20
2014-01-15,中度污染,172,115,122,271,158,71,3.58,16
2014-01-16,轻度污染,119,61,75,185,98,53,2.23,25
2014-01-17,良,91,31,32,131,63,37,1.64,34
2014-01-18,轻度污染,143,76,79,226,141,64,3.27,17
2014-01-19,重度污染,236,136,57,375,83,37,2.03,34
2014-01-20,良,69,27,28,87,51,34,1.45,35
2014-01-21,良,91,108,60,127,108,61,2.73,21
2014-01-22,轻度污染,135,148,90,213,148,75,3.34,18
2014-01-24,轻度污染,126,95,52,201,61,37,1.75,36
2014-01-25,良,81,53,39,112,84,49,2.02,29
2014-01-26,轻度污染,119,131,76,186,119,71,3.14,19
2014-01-27,轻度污染,127,130,75,186,74,43,2.30,33
2014-01-28,良,87,92,43,123,89,53,2.00,26
2014-01-29,轻度污染,119,120,63,187,113,54,1.92,31
2014-01-30,良,92,47,56,123,88,47,1.68,34
2014-01-31,严重污染,413,183,439,723,351,118,6.20,20
2014-02-01,中度污染,179,133,136,262,147,72,3.18,28
2014-02-02,轻度污染,122,81,26,178,22,12,0.85,49
2014-02-03,良,58,63,13,66,47,18,1.01,46
2014-02-04,良,52,75,21,58,73,34,1.27,34
2014-02-05,良,88,161,62,120,105,56,2.50,24
2014-02-06,轻度污染,116,167,87,150,114,58,2.15,21
2014-02-07,良,82,140,60,101,54,31,1.27,28
2014-02-08,优,39,28,22,34,26,15,0.76,41
2014-02-09,良,59,98,39,68,94,43,1.63,29
2014-02-10,良,87,150,62,112,107,57,2.16,24
2014-02-11,轻度污染,142,173,108,178,140,70,2.83,22
2014-02-12,轻度污染,120,127,88,166,111,57,2.24,25
2014-02-13,轻度污染,118,125,88,172,98,60,1.88,26
2014-02-14,中度污染,189,154,144,255,129,75,2.95,23
2014-02-15,中度污染,174,127,126,247,104,58,2.83,26
2014-02-16,良,81,76,47,111,65,44,2.26,30
2014-02-17,良,80,103,50,109,73,45,1.86,29
2014-02-18,轻度污染,113,166,78,134,50,34,1.26,36
2014-02-19,良,61,52,30,74,68,48,1.57,29
2014-02-20,良,100,96,66,147,110,64,2.27,22
2014-02-21,轻度污染,136,93,99,208,113,80,2.32,39
2014-02-22,中度污染,192,158,146,274,112,83,3.21,26
2014-02-23,中度污染,181,134,137,240,95,68,2.22,32
2014-02-24,中度污染,152,108,116,200,79,58,1.76,29
2014-02-25,中度污染,176,126,133,231,83,63,1.95,27
2014-02-26,轻度污染,112,97,57,163,29,23,0.99,45
2014-02-27,良,56,37,21,63,43,31,1.20,38
2014-02-28,良,93,151,48,135,88,50,1.92,29
2014-03-01,良,82,124,35,114,85,39,1.49,43
2014-03-02,良,92,101,44,132,100,50,1.95,32
2014-03-03,良,98,110,43,146,63,44,1.41,31
2014-03-04,优,37,10,12,38,29,23,0.67,40
2014-03-05,良,65,68,29,81,69,32,1.12,34
