日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,108,36,69,115,18,17,1.06,150
2013-10-29,良,72,32,49,73,10,15,0.93,107
2013-10-30,良,81,43,52,82,15,16,0.97,108
2013-10-31,良,68,33,38,64,13,15,0.83,107
2013-11-01,良,65,29,35,64,10,16,0.72,96
2013-11-02,轻度污染,109,59,80,122,13,15,1.11,111
2013-11-03,良,76,29,49,76,15,13,1.12,111
2013-11-04,良,66,20,45,68,14,13,1.08,99
2013-11-05,良,78,35,57,81,12,15,1.06,75
2013-11-06,良,92,35,56,87,10,18,0.85,65
2013-11-07,良,75,21,49,91,13,18,0.37,72
2013-11-08,良,62,14,31,62,10,12,0.67,71
2013-11-09,良,58,14,42,71,11,18,0.82,63
2013-11-10,良,69,48,49,78,13,16,0.86,62
2013-11-11,优,45,13,3,26,4,3,0.58,39
2013-11-12,优,24,5,6,20,6,10,1.05,50
2013-11-13,优,31,11,24,40,9,13,1.00,57
2013-11-14,优,42,18,27,44,5,14,0.93,42
2013-11-15,优,48,11,37,60,12,17,0.88,61
2013-11-16,良,65,18,50,77,14,16,0.90,89
2013-11-17,良,75,30,62,94,19,19,0.92,81
2013-11-18,良,80,49,53,90,18,25,0.94,76
2013-11-19,良,86,44,74,116,21,22,0.97,80
2013-11-20,轻度污染,108,43,83,128,21,19,1.09,81
2013-11-21,轻度污染,102,36,69,97,12,15,1.01,82
2013-11-22,轻度污染,117,49,97,130,14,13,1.28,61
2013-11-23,轻度污染,108,38,51,69,20,7,0.89,78
2013-11-24,良,56,7,30,57,13,14,1.17,85
2013-11-25,严重污染,376,114,149,53,13,19,1.60,82
2013-11-26,严重污染,269,113,73,82,22,23,1.68,106
2013-11-27,良,67,28,29,69,13,12,1.46,83
2013-11-28,良,52,16,34,56,12,11,1.26,77
2013-11-29,良,55,21,37,60,18,20,1.35,89
2013-11-30,良,59,15,47,74,22,23,1.46,88
2013-12-01,良,75,30,57,80,22,20,1.51,102
2013-12-02,良,84,29,59,84,22,25,1.53,97
2013-12-03,良,84,14,63,90,15,34,1.38,89
2013-12-04,良,96,21,83,113,15,35,1.41,97
2013-12-05,轻度污染,122,48,100,133,19,29,1.51,99
2013-12-06,轻度污染,120,53,98,135,21,30,1.36,92
2013-12-07,轻度污染,144,43,112,154,20,33,1.40,81
2013-12-08,中度污染,156,36,109,145,19,29,1.50,85
2013-12-09,中度污染,164,47,130,176,21,28,1.71,115
2013-12-10,中度污染,193,108,159,218,27,29,2.02,101
2013-12-11,重度污染,205,111,142,199,29,31,2.06,76
2013-12-12,中度污染,168,112,109,134,15,27,1.75,48
2013-12-13,轻度污染,123,61,95,117,9,26,1.48,50
2013-12-14,良,86,28,26,50,7,22,1.54,49
2013-12-15,优,39,3,6,23,6,16,1.39,55
2013-12-16,优,35,19,7,29,5,14,1.13,70
2013-12-17,优,34,27,22,38,11,13,1.02,69
2013-12-18,优,49,34,41,62,14,15,0.93,66
2013-12-19,良,59,28,29,68,10,15,0.80,64
2013-12-20,良,57,18,47,67,12,17,0.83,73
2013-12-21,良,84,30,78,111,20,19,0.94,88
2013-12-22,轻度污染,139,65,125,166,25,23,1.61,97
2013-12-23,中度污染,162,61,117,155,22,25,1.57,98
2013-12-24,中度污染,155,46,115,161,26,25,1.26,103
2013-12-25,轻度污染,140,32,100,140,26,24,1.22,89
2013-12-26,轻度污染,131,39,104,143,28,23,1.30,105
2013-12-27,轻度污染,141,78,104,144,33,21,1.31,96
2013-12-28,轻度污染,127,75,81,127,24,22,1.17,86
2013-12-29,轻度污染,101,56,86,129,22,26,1.30,85
2013-12-30,轻度污染,126,70,93,137,22,27,1.36,83
2013-12-31,轻度污染,130,105,109,152,31,27,1.44,92
2014-01-01,中度污染,154,145,129,166,29,28,1.59,105
2014-01-02,轻度污染,144,96,96,131,17,20,1.24,124
2014-01-03,轻度污染,124,80,94,122,16,21,1.27,94
2014-01-04,中度污染,190,159,143,190,31,28,1.39,108
2014-01-05,中度污染,192,135,146,185,30,28,1.57,115
2014-01-06,轻度污染,117,51,88,130,14,16,1.32,117
2014-01-07,良,83,43,57,109,11,15,1.40,77
2014-01-08,良,74,93,48,89,13,19,1.52,44
2014-01-09,良,86,125,63,87,17,19,1.73,45
2014-01-10,良,91,64,66,92,16,20,1.51,71
2014-01-11,良,65,26,40,72,14,17,1.15,73
2014-01-12,良,90,77,54,107,16,22,2.00,45
2014-01-13,良,65,44,43,69,17,16,1.66,65
2014-01-14,良,69,40,49,69,18,18,1.67,85
2014-01-15,良,88,46,63,95,17,27,1.82,90
2014-01-16,轻度污染,107,45,80,115,16,35,1.95,100
2014-01-17,轻度污染,134,61,101,146,18,29,2.09,98
2014-01-18,轻度污染,127,69,96,130,20,20,2.05,104
2014-01-19,轻度污染,130,66,97,127,18,21,2.10,114
2014-01-20,轻度污染,136,102,103,144,18,19,1.86,122
2014-01-21,轻度污染,118,149,89,129,24,18,1.36,112
2014-01-22,轻度污染,115,129,87,117,19,22,1.49,113
2014-01-24,良,74,38,43,88,8,13,1.36,93
2014-01-25,良,78,47,51,87,9,16,1.35,70
2014-01-26,中度污染,155,154,116,152,11,24,1.76,68
2014-01-27,轻度污染,113,117,81,119,12,15,1.57,80
2014-01-28,良,65,52,38,77,9,10,1.27,88
2014-01-29,良,64,35,38,74,8,11,1.22,95
2014-01-30,良,93,48,66,91,9,14,1.42,79
2014-01-31,中度污染,161,57,112,157,13,12,1.21,61
2014-02-01,良,66,34,40,64,9,9,1.40,65
2014-02-02,良,58,21,24,61,7,10,1.55,51
2014-02-03,优,45,22,20,45,8,11,1.59,51
2014-02-04,良,60,104,30,62,7,11,1.64,54
2014-02-05,优,43,75,15,42,7,5,1.67,65
2014-02-06,优,47,94,14,48,7,6,1.68,53
2014-02-07,良,57,99,30,58,9,10,1.80,42
2014-02-08,良,54,60,29,52,7,13,2.05,28
2014-02-09,优,45,71,16,44,7,11,2.12,31
2014-02-10,良,58,107,37,58,10,9,2.10,52
2014-02-11,良,86,101,64,81,13,9,2.15,56
2014-02-12,良,77,63,56,74,5,6,1.82,45
2014-02-13,良,65,53,46,59,6,7,1.07,54
2014-02-14,良,95,66,70,85,10,7,0.76,72
2014-02-15,轻度污染,132,99,101,122,7,12,0.83,62
2014-02-16,良,72,64,43,72,6,17,0.97,29
2014-02-17,良,72,92,45,87,9,19,1.05,22
2014-02-18,良,52,57,18,55,8,14,0.98,30
2014-02-19,优,37,32,17,36,7,9,0.94,57
2014-02-20,优,44,19,24,43,7,5,0.76,68
2014-02-21,良,60,16,26,68,7,5,0.56,121
2014-02-22,良,80,30,52,87,7,6,0.65,86
2014-02-23,良,72,28,50,85,8,6,0.70,80
2014-02-24,良,58,20,24,64,9,3,0.62,95
2014-02-25,良,52,31,20,55,7,4,0.65,79
2014-02-26,良,67,42,44,74,10,7,0.77,67
2014-02-27,良,64,55,36,67,10,4,0.62,60
2014-02-28,良,52,56,20,52,10,2,0.52,69
2014-03-01,优,49,44,23,50,10,5,0.65,60
2014-03-02,良,73,67,49,86,11,7,1.35,32
2014-03-03,良,63,47,38,68,8,6,1.54,21
2014-03-04,良,56,39,26,61,10,6,1.46,21
2014-03-05,良,53,39,27,55,8,4,1.34,27
2014-03-06,良,57,71,28,62,10,4,1.11,51
2014-03-07,优,49,49,19,50,9,4,1.19,32
2014-03-08,优,48,33,16,49,10,5,1.09,37
2014-03-09,优,32,15,10,31,9,4,1.11,34
2014-03-10,优,26,2,7,26,8,4,1.10,29
2014-03-11,优,39,8,16,39,10,8,1.25,30
2014-03-12,良,52,21,20,53,11,7,0.99,73
2014-03-13,良,51,12,23,51,22,10,0.97,41
2014-03-14,良,75,49,54,75,11,8,0.88,62
2014-03-15,良,61,4,42,67,9,10,0.88,48
2014-03-16,优,46,1,24,48,9,14,1.02,27
2014-03-17,良,76,22,44,93,10,11,0.88,67
2014-03-18,良,70,31,44,82,11,9,0.74,63
2014-03-19,良,63,22,33,67,11,7,0.67,54
2014-03-20,良,57,32,34,59,11,9,0.77,48
2014-03-21,良,65,54,41,74,8,10,0.94,59
2014-03-22,良,56,13,35,56,7,11,1.05,44
2014-03-23,良,64,30,41,67,9,10,1.04,63
2014-03-25,良,58,16,26,64,8,11,0.93,83
2014-03-26,良,55,11,25,60,8,9,0.90,77
2014-03-27,良,56,19,30,61,9,10,0.97,64
2014-03-28,优,47,17,13,46,12,6,0.79,52
2014-03-29,良,52,27,23,54,14,9,0.77,51
2014-03-30,优,38,9,11,37,11,7,0.84,41
2014-03-31,良,53,31,14,54,14,9,1.02,51
2014-04-01,良,66,50,41,70,17,13,1.47,66
2014-04-02,良,67,60,37,81,14,11,1.61,49
2014-04-03,良,56,35,24,62,14,13,1.63,43
2014-04-04,良,69,47,45,71,12,14,1.93,94
2014-04-05,良,75,69,36,68,9,7,1.11,125
2014-04-06,良,60,37,13,53,9,6,1.08,110
2014-04-07,优,48,5,24,45,12,8,0.99,93
2014-04-08,良,56,16,24,61,11,6,0.75,92
2014-04-09,优,50,8,23,51,11,6,0.73,76
2014-04-10,优,43,5,15,40,12,5,0.85,74
2014-04-11,优,45,6,15,44,12,5,0.82,72
2014-04-12,良,51,29,17,51,13,5,0.82,57
2014-04-13,优,46,17,15,45,13,5,0.80,56
2014-04-14,良,55,19,22,59,13,8,0.91,60
2014-04-15,优,44,5,14,43,12,4,0.86,77
2014-04-16,良,51,20,14,51,13,4,0.97,92
2014-04-17,优,46,18,11,44,13,4,1.06,80
2014-04-18,优,41,9,12,39,13,5,1.27,69
2014-04-19,优,42,18,14,41,13,5,1.00,55
2014-04-20,优,45,21,14,44,16,6,0.89,55
2014-04-21,优,35,10,8,34,12,4,0.92,49
2014-04-22,优,35,8,11,34,12,7,1.16,38
2014-04-23,优,44,8,12,43,13,8,1.40,33
2014-04-24,优,37,6,9,36,12,4,1.07,40
2014-04-25,优,39,10,9,38,12,4,1.16,53
2014-04-26,优,36,12,7,31,11,4,1.33,57
2014-04-27,优,34,5,10,33,12,7,1.52,44
2014-04-28,优,47,8,18,48,8,6,1.47,64
2014-04-29,良,65,26,43,72,10,8,1.34,77
2014-04-30,良,67,30,46,69,8,9,1.25,65
2014-05-01,良,57,21,34,62,8,9,1.35,58
2014-05-02,良,59,31,31,63,10,9,1.36,65
2014-05-03,良,62,42,25,53,10,7,1.21,95
