日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,110,62,25,135,50,36,2.38,23
2014-01-01,良,75,12,34,69,82,40,2.60,19
2014-01-02,良,62,6,39,79,95,40,2.85,16
2014-01-03,良,62,16,40,65,49,37,2.66,19
2014-01-04,良,95,50,69,96,95,50,3.06,7
2014-01-05,良,88,20,64,91,102,61,2.79,7
2014-01-06,良,90,29,65,88,101,49,3.33,15
2014-01-07,良,93,68,67,93,68,46,3.04,16
2014-01-08,优,46,20,21,47,50,31,2.55,27
2014-01-09,良,96,133,68,99,97,42,2.97,13
2014-01-10,轻度污染,120,116,86,135,133,44,2.85,10
2014-01-11,轻度污染,138,120,101,149,148,49,3.20,11
2014-01-12,良,59,26,33,61,53,30,1.24,29
2014-01-13,轻度污染,119,129,89,128,112,48,2.39,7
2014-01-14,轻度污染,125,104,92,169,155,65,3.15,6
2014-01-15,轻度污染,145,98,107,180,163,67,3.75,8
2014-01-16,轻度污染,141,89,105,154,122,68,3.23,8
2014-01-17,中度污染,188,111,144,195,112,64,2.78,7
2014-01-18,轻度污染,133,70,99,145,106,52,2.60,15
2014-01-19,良,94,19,68,98,94,49,2.19,8
2014-01-20,轻度污染,129,92,97,119,90,54,2.15,15
2014-01-21,轻度污染,133,165,100,133,116,53,2.73,12
2014-01-22,轻度污染,113,122,84,124,134,60,3.30,11
2014-01-24,轻度污染,120,89,90,109,64,49,2.41,24
2014-01-25,轻度污染,110,78,68,101,44,35,2.22,26
2014-01-26,良,63,43,35,68,82,33,2.39,20
2014-01-27,良,59,40,31,63,69,21,2.10,26
2014-01-28,优,49,21,25,51,42,22,2.15,33
2014-01-29,良,53,23,30,55,50,21,2.27,34
2014-01-30,良,61,14,40,60,41,23,2.03,31
2014-01-31,中度污染,164,58,130,162,86,35,2.54,19
2014-02-01,良,92,67,67,90,78,43,2.74,19
2014-02-02,良,93,56,37,119,37,17,2.42,37
2014-02-03,优,43,18,16,42,28,14,1.87,44
2014-02-04,良,65,119,40,74,60,27,2.89,31
2014-02-05,良,75,141,49,91,95,42,3.18,17
2014-02-06,良,75,134,53,81,69,34,2.61,22
2014-02-07,良,87,144,64,96,71,35,2.55,28
2014-02-08,良,74,107,51,79,45,25,2.37,38
2014-02-09,良,61,105,39,59,30,21,2.27,50
2014-02-10,良,57,104,37,60,42,29,2.75,37
2014-02-11,轻度污染,107,134,78,125,134,57,3.55,22
2014-02-12,轻度污染,112,121,82,131,102,44,3.66,31
