日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,171,79,132,182,39,42,1.20,50
2013-10-29,良,71,29,51,75,28,38,0.79,22
2013-10-30,良,81,44,57,95,39,40,0.94,21
2013-10-31,轻度污染,147,88,114,182,49,64,1.33,27
2013-11-01,严重污染,269,109,215,350,46,88,2.20,27
2013-11-02,重度污染,236,102,188,256,68,67,2.03,34
2013-11-03,重度污染,226,112,176,233,53,55,2.17,24
2013-11-04,轻度污染,148,105,111,169,33,53,1.27,25
2013-11-05,良,83,42,58,106,52,43,1.01,35
2013-11-06,良,98,39,64,120,45,37,1.00,44
2013-11-07,良,70,10,36,67,23,29,0.19,37
2013-11-08,良,72,23,53,90,38,35,0.85,29
2013-11-09,良,70,24,45,96,35,26,0.71,35
2013-11-10,良,63,42,19,62,33,18,0.58,38
2013-11-11,良,56,36,26,58,44,26,0.69,34
2013-11-12,良,63,43,45,89,49,35,0.79,21
2013-11-13,良,72,52,42,86,38,34,0.74,27
2013-11-14,良,69,39,51,105,54,40,0.87,25
2013-11-15,良,82,33,67,131,56,52,1.00,20
2013-11-16,中度污染,155,73,147,206,47,58,1.52,9
2013-11-17,轻度污染,120,78,43,66,37,26,0.61,34
2013-11-18,轻度污染,107,88,18,209,33,22,0.55,33
2013-11-19,良,93,55,19,83,44,24,0.60,30
2013-11-20,优,49,10,27,38,52,29,0.70,27
2013-11-21,良,62,14,71,108,98,55,1.17,22
2013-11-22,轻度污染,109,43,78,108,104,62,1.17,23
2013-11-23,轻度污染,132,56,143,181,108,82,1.91,21
2013-11-24,重度污染,235,92,196,244,85,77,2.45,10
2013-11-25,中度污染,178,112,51,66,46,31,0.72,29
2013-11-26,良,53,9,34,55,70,35,0.72,28
2013-11-27,优,50,9,22,52,56,23,0.57,33
2013-11-28,良,58,36,29,70,84,31,0.66,27
2013-11-29,良,63,37,37,72,69,40,0.82,25
2013-11-30,良,60,16,45,80,67,48,0.84,32
2013-12-01,良,74,29,57,98,74,53,1.03,27
2013-12-02,良,93,34,91,133,111,71,1.86,21
2013-12-03,中度污染,178,63,165,229,125,90,2.51,13
2013-12-04,中度污染,165,59,77,106,91,58,1.17,27
2013-12-05,良,77,14,45,81,76,42,0.89,21
2013-12-06,良,89,27,89,135,77,58,1.38,20
2013-12-07,轻度污染,143,42,107,151,71,58,1.55,23
2013-12-08,轻度污染,121,22,81,109,79,51,1.25,13
2013-12-09,轻度污染,127,38,86,106,61,52,1.06,25
2013-12-10,轻度污染,139,77,105,131,105,57,1.17,20
2013-12-11,轻度污染,140,87,115,144,82,54,1.08,17
2013-12-12,轻度污染,120,63,69,107,83,41,0.94,29
2013-12-13,良,68,22,44,65,100,34,0.74,28
2013-12-14,良,66,12,50,73,99,39,0.77,23
2013-12-15,良,80,31,72,105,102,48,1.10,21
2013-12-16,轻度污染,125,71,140,163,115,68,1.95,20
2013-12-17,严重污染,252,102,222,295,105,73,2.29,17
2013-12-18,重度污染,205,98,122,159,104,59,1.24,21
2013-12-19,中度污染,193,95,193,232,115,69,1.70,18
2013-12-20,中度污染,194,74,106,129,120,57,1.20,18
2013-12-21,中度污染,160,71,155,196,137,66,1.60,23
2013-12-22,重度污染,215,90,138,194,110,69,1.75,25
2013-12-23,中度污染,183,66,172,214,147,78,1.89,22
