日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,121,313,90,108,26,39,0.97,69
2015-01-02,轻度污染,136,557,102,127,42,41,1.04,67
2015-01-03,轻度污染,127,207,95,118,40,37,1.01,62
2015-01-04,良,97,88,71,111,8,42,0.98,49
2015-01-05,轻度污染,127,168,95,124,12,48,1.14,15
2015-01-06,良,88,240,65,57,5,28,1.11,15
2015-01-07,良,53,59,37,44,5,16,1.21,37
2015-01-08,良,71,115,51,61,11,15,1.17,57
2015-01-09,良,74,89,54,67,7,20,0.94,41
2015-01-10,优,20,1,12,13,3,11,0.71,37
2015-01-11,优,21,1,13,11,3,13,0.74,34
2015-01-12,优,36,24,25,15,5,15,0.82,27
2015-01-13,良,57,109,40,51,9,20,0.74,34
2015-01-14,轻度污染,105,205,78,100,19,36,1.08,42
2015-01-15,轻度污染,103,185,77,97,17,33,1.17,41
2015-01-16,轻度污染,139,241,105,130,29,43,1.27,41
2015-01-17,中度污染,156,306,118,141,23,43,1.14,51
2015-01-18,中度污染,170,343,129,146,35,46,1.18,60
2015-01-19,中度污染,177,352,135,161,29,45,1.20,50
2015-01-20,重度污染,220,359,170,195,38,48,1.40,41
2015-01-21,重度污染,208,362,161,184,18,43,1.46,44
2015-01-22,中度污染,194,347,148,171,25,39,1.40,51
2015-01-23,中度污染,158,264,119,146,28,35,1.31,65
2015-01-24,良,87,88,62,87,6,28,0.95,75
2015-01-25,良,85,92,62,78,9,24,0.93,71
2015-01-26,轻度污染,126,182,94,95,13,31,1.07,40
2015-01-27,轻度污染,108,277,81,72,14,22,1.04,50
2015-01-28,良,73,266,51,58,5,23,0.97,50
2015-01-29,良,55,149,35,49,5,18,1.01,66
2015-01-30,优,42,54,28,40,2,18,1.40,19
2015-01-31,优,43,34,29,35,2,16,1.00,19
2015-02-01,优,48,51,34,34,3,15,1.05,23
2015-02-02,良,76,118,55,54,4,22,1.20,19
2015-02-03,轻度污染,131,242,98,41,4,33,1.42,13
2015-02-04,优,23,1,14,14,3,16,1.21,20
2015-02-05,良,76,163,55,50,7,19,1.18,41
2015-02-06,轻度污染,130,301,98,75,18,26,1.25,71
2015-02-07,中度污染,189,355,145,95,15,38,1.20,67
2015-02-08,中度污染,192,359,153,70,10,38,1.18,63
2015-02-09,中度污染,166,348,125,150,16,43,1.08,71
2015-02-10,中度污染,198,353,150,87,11,41,1.21,48
2015-02-11,轻度污染,129,245,97,58,7,26,1.21,61
2015-02-12,轻度污染,106,185,79,69,5,31,1.28,40
2015-02-13,中度污染,185,337,141,68,8,41,1.43,27
2015-02-14,中度污染,175,292,132,6,4,28,1.47,19
2015-02-15,良,72,90,52,37,4,22,1.05,52
2015-02-16,良,94,159,69,77,5,21,1.07,40
2015-02-17,良,91,181,67,70,4,18,1.07,48
2015-02-18,良,80,149,58,53,4,13,0.97,45
2015-02-19,良,91,143,58,80,15,10,0.87,44
2015-02-20,优,46,84,31,32,3,7,0.83,56
2015-02-21,良,51,118,35,38,3,9,0.78,53
2015-02-22,良,59,114,41,43,4,11,0.80,53
2015-02-23,良,56,112,40,40,4,10,0.77,60
2015-02-24,良,52,96,35,37,4,10,0.84,61
2015-02-25,良,58,156,37,44,4,12,1.02,73
2015-02-26,良,58,175,39,49,4,12,0.69,77
2015-02-27,良,58,218,38,42,4,11,0.69,74
2015-02-28,良,56,206,39,46,4,11,0.82,73
2015-03-01,优,37,57,24,32,4,11,1.31,47
2015-03-02,良,87,240,64,58,4,16,1.29,59
2015-03-03,良,76,186,53,30,6,19,1.41,47
2015-03-04,良,59,191,42,48,6,18,1.01,46
2015-03-05,良,51,133,37,34,2,21,1.11,19
2015-03-06,优,17,6,8,13,3,11,0.97,23
2015-03-07,优,33,22,22,17,3,13,0.96,21
2015-03-08,良,61,133,42,30,4,24,1.11,9
2015-03-09,优,24,2,15,17,2,18,1.04,15
2015-03-10,优,21,3,13,16,3,14,1.01,24
2015-03-11,优,16,2,7,9,3,11,1.10,29
2015-03-12,优,39,36,22,31,4,17,0.91,39
2015-03-13,优,37,21,25,21,4,17,1.02,19
2015-03-14,优,35,4,23,34,6,21,1.28,2
2015-03-15,良,52,42,32,53,6,14,1.08,30
2015-03-16,良,77,147,55,69,7,20,0.86,53
2015-03-17,良,84,222,61,72,6,15,0.77,86
2015-03-18,轻度污染,104,310,77,98,9,18,0.85,89
2015-03-19,轻度污染,116,304,87,102,12,22,0.89,76
2015-03-20,良,97,249,71,92,8,17,0.77,81
2015-03-21,良,88,220,64,81,7,18,0.91,48
2015-03-22,良,83,176,61,77,17,18,0.94,70
2015-03-23,良,88,287,63,80,12,26,0.78,44
2015-03-24,优,25,3,10,16,5,12,0.84,45
2015-03-25,优,41,31,25,21,3,11,0.89,50
2015-03-26,良,77,224,56,66,5,17,1.01,36
2015-03-27,良,79,199,57,63,8,20,1.00,34
2015-03-28,良,59,80,39,59,10,21,0.92,29
2015-03-29,良,54,50,35,58,11,17,0.78,33
2015-03-30,良,54,73,35,58,7,17,0.72,39
2015-03-31,良,55,99,37,54,10,16,0.75,56
2015-04-01,良,59,153,40,58,6,15,0.79,71
2015-04-02,良,80,296,54,73,8,15,1.15,105
2015-04-03,良,98,310,68,87,11,17,1.02,118
2015-04-04,良,93,283,60,89,8,14,0.94,118
2015-04-05,良,90,263,65,81,9,13,0.94,94
2015-04-06,良,64,223,46,55,7,10,0.76,67
2015-04-07,良,54,210,38,49,10,16,0.95,25
2015-04-08,优,35,38,19,26,5,10,1.01,60
2015-04-09,优,32,15,20,24,3,13,0.82,37
2015-04-10,优,29,27,16,9,4,15,0.70,36
2015-04-11,良,56,94,39,32,7,14,0.79,52
2015-04-12,良,70,184,44,71,9,24,0.73,62
