日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,55,66,38,38,16,20,0.60,53
2015-01-06,良,55,96,38,0,9,6,0.86,75
2015-01-07,优,46,37,32,15,13,12,0.92,66
2015-01-08,良,53,41,37,8,30,18,0.96,52
2015-01-09,优,44,27,29,6,19,20,0.74,34
2015-01-10,良,53,36,37,3,28,21,0.72,27
2015-01-11,良,54,56,37,10,20,20,0.80,36
2015-01-12,良,62,117,44,12,47,21,0.71,36
2015-01-13,优,46,67,30,8,21,14,0.43,53
2015-01-14,优,42,55,26,10,9,9,0.26,68
2015-01-15,优,39,15,24,17,10,11,0.33,68
2015-01-16,优,46,17,30,22,7,14,0.61,65
2015-01-17,良,59,51,41,22,8,18,0.72,58
2015-01-18,良,51,34,35,0,5,15,0.71,60
2015-01-19,优,45,31,31,4,7,14,0.71,48
2015-01-20,良,53,26,32,23,7,15,0.70,52
2015-01-21,良,52,39,36,14,9,14,0.70,56
2015-01-22,优,50,18,33,18,9,18,0.74,66
2015-01-23,良,51,16,33,21,10,20,0.55,75
2015-01-24,优,47,15,29,17,6,19,0.34,82
2015-01-25,良,58,27,41,17,7,25,0.38,72
2015-01-26,良,60,35,42,17,8,26,0.76,72
2015-01-27,良,52,78,34,18,7,20,0.77,81
2015-01-28,良,51,151,35,8,6,18,0.61,80
2015-01-29,良,67,206,48,6,8,21,0.46,80
2015-01-30,良,72,191,51,4,6,19,0.36,83
2015-01-31,良,61,134,43,4,5,20,0.45,77
2015-02-01,良,64,123,45,8,8,22,0.45,68
2015-02-02,良,63,69,44,10,8,25,0.49,62
2015-02-03,良,55,46,38,14,6,26,0.44,62
2015-02-04,良,60,95,42,22,5,22,0.45,69
2015-02-05,良,58,89,40,9,6,21,0.47,77
2015-02-06,良,51,27,34,13,6,21,0.45,76
2015-02-07,良,58,51,40,15,6,24,0.53,73
2015-02-08,良,65,124,44,21,5,19,0.55,84
2015-02-09,良,67,118,47,16,5,23,0.65,87
2015-02-10,良,56,44,38,20,4,18,0.59,93
2015-02-11,良,64,61,46,24,6,24,0.70,73
2015-02-12,良,66,92,46,14,6,22,0.70,80
2015-02-13,良,65,60,46,11,5,21,0.66,82
2015-02-14,优,43,25,26,14,3,15,0.63,81
2015-02-15,良,51,34,35,8,4,21,0.71,69
2015-02-16,良,55,34,38,12,4,19,0.72,79
2015-02-17,良,57,63,39,9,4,22,0.64,69
2015-02-18,良,61,79,42,14,5,17,0.39,81
2015-02-19,良,62,51,44,14,7,12,0.34,81
2015-02-20,良,52,122,34,12,2,11,0.34,83
2015-02-21,优,47,85,30,22,3,14,0.39,73
2015-02-22,良,52,86,35,14,4,16,0.44,75
2015-02-23,优,45,76,29,15,4,16,0.56,70
2015-02-24,优,50,84,34,15,3,14,0.56,78
2015-02-25,良,60,166,41,12,3,14,0.64,81
2015-02-26,良,74,226,51,25,3,15,0.40,88
2015-02-27,良,76,297,54,37,2,13,0.38,111
2015-02-28,良,80,300,58,21,4,15,0.41,113
2015-03-01,良,77,248,55,10,4,19,0.43,97
2015-03-02,良,64,125,44,14,3,15,0.34,101
2015-03-03,良,52,82,36,13,3,12,0.31,89
2015-03-04,良,52,134,35,18,4,12,0.36,90
2015-03-05,优,47,110,30,9,2,11,0.38,92
2015-03-06,优,48,91,32,14,5,19,0.44,76
2015-03-07,优,48,73,27,13,5,15,0.32,92
2015-03-08,良,51,93,33,15,5,19,0.37,89
2015-03-09,良,53,101,35,24,5,16,0.37,94
2015-03-10,良,73,236,51,10,7,20,0.49,105
2015-03-11,良,81,231,57,10,6,22,0.54,108
2015-03-12,良,62,116,35,35,4,21,0.90,105
2015-03-13,良,74,168,50,28,5,24,0.33,120
2015-03-14,良,91,181,67,21,9,29,0.42,119
2015-03-15,良,78,129,56,17,8,24,0.38,104
2015-03-16,良,87,175,62,37,5,24,0.31,91
2015-03-17,良,75,179,51,47,3,16,0.29,98
2015-03-18,良,83,252,61,22,5,18,0.38,103
2015-03-19,良,69,159,48,14,5,18,0.43,101
2015-03-20,良,72,164,51,18,6,26,0.61,101
2015-03-21,良,79,187,54,18,6,27,0.57,108
2015-03-22,良,94,218,69,44,6,22,0.72,131
2015-03-23,中度污染,161,357,121,17,8,37,1.17,125
2015-03-24,轻度污染,113,331,84,3,9,38,1.40,93
2015-03-25,良,81,250,59,4,4,33,1.44,70
2015-03-26,良,90,268,66,0,3,29,0.65,76
2015-03-27,良,79,198,57,10,5,30,0.20,79
2015-03-28,良,84,186,36,69,6,34,0.44,88
2015-03-29,良,63,87,37,12,4,25,0.24,95
2015-03-30,优,47,42,19,44,4,25,0.34,74
2015-03-31,优,46,56,27,39,4,21,0.62,84
2015-04-01,优,49,82,16,28,2,15,0.79,94
2015-04-02,优,41,61,15,30,2,19,0.53,78
2015-04-03,优,45,70,9,22,2,16,0.30,89
2015-04-04,优,44,50,20,38,2,19,0.66,84
2015-04-05,良,51,111,28,40,3,17,1.16,96
2015-04-06,良,52,160,28,22,2,17,1.16,101
2015-04-07,良,57,227,37,45,8,19,0.91,94
2015-04-08,良,54,154,33,48,4,19,0.45,88
2015-04-09,良,54,126,31,49,4,21,0.71,93
2015-04-10,良,55,106,25,49,4,18,0.98,105
2015-04-11,良,53,82,34,43,4,25,1.17,84
2015-04-12,良,51,61,35,15,11,29,0.43,60
2015-04-13,良,57,101,39,22,10,28,0.65,55
2015-04-14,良,79,202,58,5,5,22,0.79,71
2015-04-15,良,69,79,49,21,4,21,0.95,71
2015-04-16,良,66,52,47,27,4,23,1.14,71
2015-04-17,良,61,52,43,29,4,16,1.00,83
2015-04-18,良,52,55,35,18,4,15,0.35,82
2015-04-19,良,57,141,40,14,3,20,0.54,74
2015-04-20,良,60,171,42,9,3,19,0.46,66
2015-04-21,优,50,88,33,20,5,23,0.30,78
2015-04-22,优,43,25,29,10,5,25,0.46,65
2015-04-23,良,53,50,36,37,5,22,0.61,64
2015-04-24,良,60,87,42,48,4,22,0.66,71
2015-04-25,良,68,98,48,42,5,26,0.39,67
2015-04-26,良,67,78,47,0,4,22,0.52,64
2015-04-27,良,59,59,41,9,4,25,0.73,55
2015-04-28,良,62,105,43,0,4,23,0.86,52
2015-04-29,良,61,105,43,5,4,21,0.70,62
2015-04-30,良,66,96,44,23,5,18,0.39,92
2015-05-01,良,58,118,34,32,8,17,0.52,107
2015-05-02,良,59,175,37,16,8,20,0.34,92
2015-05-03,良,58,119,32,38,9,18,0.29,97
2015-05-04,良,62,154,38,45,8,19,0.29,104
2015-05-05,良,76,190,50,42,9,19,0.32,120
2015-05-06,良,72,153,42,23,8,19,0.29,121
2015-05-07,良,76,160,44,33,8,17,0.29,131
2015-05-08,良,81,279,55,27,13,23,0.29,104
2015-05-09,良,93,319,69,0,7,24,0.36,88
2015-05-10,良,88,293,64,14,7,19,0.34,107
2015-05-11,良,72,320,51,8,8,20,0.30,94
2015-05-12,良,88,336,65,5,8,16,0.14,100
2015-05-13,良,74,193,53,5,7,14,0.26,108
2015-05-14,良,76,209,55,13,7,18,0.45,101
2015-05-15,良,79,264,56,8,6,17,0.56,96
2015-05-16,良,83,262,61,0,7,20,0.29,88
2015-05-17,良,84,223,61,0,7,17,0.28,81
2015-05-18,良,78,213,57,2,8,27,0.29,62
2015-05-19,良,69,188,49,0,6,19,0.31,77
2015-05-20,良,74,230,53,2,6,19,0.48,82
2015-05-21,良,71,238,51,3,6,19,0.52,88
2015-05-22,良,70,191,50,2,5,17,0.25,88
2015-05-23,良,68,200,48,0,5,18,0.21,89
2015-05-24,良,80,217,57,7,6,18,0.21,112
2015-05-25,良,74,180,53,28,6,16,0.23,110
2015-05-26,良,76,188,54,36,6,17,0.25,105
2015-05-27,良,80,210,58,6,6,17,0.31,96
2015-05-28,良,92,269,66,20,6,25,0.27,82
2015-05-29,良,76,277,53,13,7,22,0.25,85
2015-05-30,良,84,308,61,3,7,21,0.23,99
2015-05-31,良,75,208,54,13,6,17,0.25,96
2015-06-01,良,79,212,57,18,6,18,0.25,95
2015-06-02,良,84,289,62,0,8,23,0.25,91
2015-06-03,良,86,329,63,10,7,20,0.26,96
2015-06-04,良,87,321,64,2,6,20,0.31,93
2015-06-05,良,78,271,50,25,7,22,0.38,93
2015-06-06,优,40,49,13,26,6,23,0.19,73
