日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,90,29,65,111,14,39,1.18,53
2013-10-29,优,40,5,25,38,10,21,0.78,63
2013-10-30,优,47,10,30,55,20,28,0.75,40
2013-10-31,良,76,45,52,99,35,46,1.34,23
2013-11-01,良,90,48,65,112,70,50,1.26,27
2013-11-02,轻度污染,121,67,91,145,32,43,1.58,25
2013-11-03,轻度污染,120,64,90,123,26,31,1.40,38
2013-11-04,良,79,39,58,89,40,38,1.05,38
2013-11-05,良,72,30,50,90,39,31,1.00,36
2013-11-06,良,75,20,86,146,50,29,0.80,72
2013-11-07,良,82,32,18,31,27,22,0.14,38
2013-11-08,优,48,5,31,60,34,29,0.76,31
2013-11-09,良,57,11,34,51,34,37,0.77,22
2013-11-10,优,38,4,17,34,25,20,0.49,41
2013-11-11,优,40,7,18,41,27,23,0.57,39
2013-11-12,优,50,29,33,61,59,33,0.74,27
2013-11-13,良,58,38,41,72,45,27,0.69,40
2013-11-14,良,56,30,35,55,21,27,0.83,34
2013-11-15,良,64,29,55,81,33,28,0.92,34
2013-11-16,良,77,25,53,79,32,32,0.99,41
2013-11-17,优,43,3,15,24,21,14,0.35,42
2013-11-18,优,27,3,15,31,19,14,0.37,38
2013-11-19,优,33,4,17,33,30,17,0.49,37
2013-11-20,优,46,8,31,42,43,30,0.84,25
2013-11-21,优,50,3,29,46,60,40,1.07,24
2013-11-22,良,66,13,56,100,71,51,1.68,16
2013-11-23,良,96,28,110,179,80,63,1.97,8
2013-11-24,中度污染,181,79,115,178,56,45,1.66,27
2013-11-25,良,65,29,15,24,26,20,0.58,39
2013-11-26,优,47,7,37,70,48,33,0.95,23
2013-11-27,优,47,7,15,44,27,17,0.43,42
2013-11-28,良,56,21,26,86,37,26,0.76,30
2013-11-29,良,78,69,49,112,56,39,1.32,17
2013-11-30,良,75,39,41,77,47,32,0.99,28
2013-12-01,良,52,4,41,46,61,39,1.09,30
2013-12-02,良,80,23,68,104,83,55,1.83,16
2013-12-03,轻度污染,119,35,121,194,91,63,2.36,10
2013-12-04,中度污染,165,58,124,197,58,45,1.87,6
2013-12-05,轻度污染,116,45,43,63,45,26,0.85,26
2013-12-06,良,64,8,72,122,95,43,1.27,22
2013-12-07,轻度污染,111,25,77,128,103,44,1.44,15
2013-12-08,良,90,9,60,102,98,38,1.09,13
2013-12-09,轻度污染,107,33,59,85,44,26,0.87,30
2013-12-10,良,55,6,27,39,37,18,0.55,40
2013-12-11,优,47,3,35,53,53,23,0.62,27
2013-12-12,良,64,15,43,89,105,28,0.79,20
2013-12-13,良,72,25,48,130,59,29,0.95,29
2013-12-14,良,100,34,80,150,109,37,1.61,15
2013-12-15,良,95,45,55,94,93,36,1.34,20
2013-12-16,良,68,31,58,94,91,36,1.37,21
2013-12-17,良,66,44,29,52,74,25,0.88,36
2013-12-18,良,98,73,105,147,99,56,1.51,18
2013-12-19,轻度污染,142,78,94,132,99,43,1.16,20
2013-12-20,良,90,36,47,77,33,19,0.69,45
2013-12-21,良,57,11,36,54,63,26,0.83,40
2013-12-22,良,56,5,49,77,77,33,1.00,39
2013-12-23,良,81,10,60,89,108,42,1.32,27
2013-12-24,良,69,7,48,71,87,32,0.79,44
2013-12-25,良,94,14,94,149,129,50,1.51,20
2013-12-26,轻度污染,117,30,58,98,49,28,0.88,33
2013-12-27,良,52,9,24,46,43,22,0.56,39
2013-12-28,良,69,20,69,111,118,44,1.30,22
2013-12-29,良,96,43,79,128,135,43,1.62,18
