日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,优,50,6,14,50,29,23,0.69,66
2013-10-29,优,50,11,15,57,40,40,0.76,40
2013-10-30,良,68,27,30,84,43,57,1.02,34
2013-10-31,轻度污染,112,69,69,148,47,56,1.27,54
2013-11-01,良,62,23,44,56,25,36,1.29,56
2013-11-02,良,55,15,32,53,16,25,0.83,58
2013-11-03,优,36,4,12,33,35,30,0.77,46
2013-11-04,良,59,14,31,68,54,45,1.00,34
2013-11-05,优,50,6,27,52,21,24,0.66,69
2013-11-06,优,50,1,12,44,9,19,0.55,67
2013-11-07,优,40,1,14,47,30,39,0.52,39
2013-11-08,良,56,11,30,74,45,47,1.25,47
2013-11-09,良,59,15,19,65,31,22,0.69,57
2013-11-10,优,48,13,12,31,28,23,0.65,51
2013-11-11,优,32,2,12,35,43,34,0.94,43
2013-11-12,优,49,28,26,57,61,44,1.45,33
2013-11-13,良,84,59,48,207,26,17,0.75,65
2013-11-14,轻度污染,122,73,33,153,14,15,0.47,75
2013-11-15,轻度污染,134,65,68,277,26,17,0.54,76
2013-11-16,轻度污染,131,58,19,81,8,12,0.45,63
2013-11-17,优,33,2,6,20,12,15,0.48,62
2013-11-18,优,30,4,13,38,17,29,0.68,51
2013-11-19,良,66,23,38,119,19,36,0.85,44
2013-11-20,良,94,36,50,144,54,41,0.88,39
2013-11-21,良,100,32,62,152,54,58,1.49,19
2013-11-22,良,100,30,63,142,54,58,1.16,25
2013-11-23,良,82,20,26,88,13,14,0.50,57
2013-11-24,轻度污染,111,44,39,186,8,9,0.46,61
2013-11-25,良,72,40,11,36,11,13,0.49,57
2013-11-26,优,45,5,13,49,15,15,0.54,56
2013-11-27,优,39,3,6,31,9,8,0.42,59
2013-11-28,优,32,3,6,17,14,14,0.47,61
2013-11-29,优,25,1,15,29,34,30,0.79,46
2013-11-30,优,33,1,13,28,24,24,0.59,54
2013-12-01,优,31,1,20,38,42,41,0.95,40
2013-12-02,良,51,2,27,54,38,40,0.94,39
2013-12-03,优,40,1,12,25,22,29,0.80,50
2013-12-04,优,40,1,33,57,43,47,1.02,29
2013-12-05,良,56,4,16,76,39,35,0.79,36
2013-12-06,良,57,6,24,54,43,44,1.05,36
2013-12-07,良,55,4,29,70,48,41,0.99,38
2013-12-08,良,63,1,16,59,18,14,0.54,48
