日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,153,65,116,209,51,84,1.45,75
2013-10-29,轻度污染,140,63,106,196,55,85,1.38,56
2013-10-30,轻度污染,126,82,94,176,49,81,1.23,70
2013-10-31,轻度污染,108,67,77,141,43,74,1.13,85
2013-11-01,轻度污染,110,65,79,156,42,63,1.11,67
2013-11-02,轻度污染,101,51,74,139,32,45,0.98,63
2013-11-03,良,86,43,64,95,22,30,1.00,70
2013-11-04,良,83,51,61,82,22,33,0.99,53
2013-11-05,良,98,55,73,81,17,41,1.19,31
2013-11-06,轻度污染,103,43,74,101,30,51,1.37,45
2013-11-07,轻度污染,108,65,90,119,37,61,0.90,63
2013-11-08,轻度污染,110,64,79,134,38,73,1.31,60
2013-11-09,轻度污染,109,61,81,157,43,85,1.50,49
2013-11-10,良,78,57,44,84,27,57,1.08,13
2013-11-11,良,62,58,40,67,24,39,0.94,36
2013-11-12,优,47,27,19,33,14,32,0.98,21
2013-11-13,优,28,7,20,30,18,34,1.19,9
2013-11-14,优,41,16,32,48,25,37,1.16,9
2013-11-15,良,52,17,37,60,30,40,1.07,33
2013-11-16,良,62,16,51,78,33,45,1.03,35
2013-11-17,良,73,27,52,100,39,57,0.98,37
2013-11-18,良,83,51,63,124,42,64,1.00,45
2013-11-19,良,91,53,77,148,48,77,0.98,28
2013-11-20,轻度污染,133,69,114,205,61,92,1.39,34
2013-11-21,轻度污染,134,60,102,187,60,100,1.39,36
2013-11-22,轻度污染,135,61,109,188,53,102,1.39,49
2013-11-23,轻度污染,132,55,88,146,49,88,1.13,52
2013-11-24,良,88,33,51,93,33,61,1.05,27
2013-11-25,良,62,22,30,71,29,44,0.89,45
2013-11-26,良,72,41,61,118,43,78,0.96,41
2013-11-27,轻度污染,108,82,74,128,41,72,1.16,20
2013-11-28,良,64,49,35,65,25,31,0.67,46
2013-11-29,良,63,38,36,72,34,47,0.63,41
2013-11-30,良,68,29,62,94,52,75,0.92,28
2013-12-01,轻度污染,106,61,80,118,66,72,1.14,36
2013-12-02,良,91,33,76,115,54,87,1.14,41
2013-12-03,轻度污染,148,55,158,236,84,130,1.69,41
2013-12-04,中度污染,170,60,127,203,79,101,1.51,42
2013-12-05,轻度污染,120,47,94,141,63,102,1.20,31
2013-12-06,轻度污染,143,68,124,173,66,95,1.38,43
2013-12-07,轻度污染,148,47,135,188,69,101,1.49,42
2013-12-08,中度污染,200,53,159,222,80,96,1.58,39
2013-12-09,中度污染,190,57,163,222,79,81,1.55,60
2013-12-10,中度污染,197,112,153,205,60,66,1.65,65
2013-12-11,中度污染,195,109,131,173,59,64,1.56,40
2013-12-12,轻度污染,148,99,130,159,54,78,1.44,19
2013-12-13,中度污染,197,101,148,178,35,67,1.66,12
2013-12-14,轻度污染,149,72,87,97,16,50,1.42,14
2013-12-15,良,91,38,50,53,14,42,1.33,17
2013-12-16,优,41,23,16,21,12,37,1.29,25
2013-12-17,优,29,23,26,31,18,38,1.22,13
2013-12-18,优,42,27,24,33,18,24,0.86,32
2013-12-19,优,39,18,36,51,20,34,0.80,39
2013-12-20,良,68,28,58,77,30,52,0.98,35
2013-12-21,良,97,39,84,101,36,49,1.14,47
2013-12-22,轻度污染,116,38,86,106,42,52,1.21,50
2013-12-23,轻度污染,113,28,84,113,50,70,1.33,38
2013-12-24,轻度污染,111,28,82,110,47,69,1.25,36
2013-12-25,轻度污染,125,28,100,132,51,74,1.32,36
2013-12-26,轻度污染,133,41,94,134,49,65,1.28,56
2013-12-27,轻度污染,143,80,129,166,56,50,1.42,69
2013-12-28,中度污染,177,107,120,169,50,63,1.41,51
2013-12-29,轻度污染,114,64,63,106,43,66,1.19,44
2013-12-30,轻度污染,113,49,110,180,71,90,1.72,34
2013-12-31,中度污染,158,152,135,215,77,99,1.77,36
2014-01-01,中度污染,161,154,125,191,70,104,1.83,39
2014-01-02,中度污染,155,112,132,212,58,126,2.11,36
2014-01-03,中度污染,187,125,143,239,68,117,1.91,52
2014-01-04,中度污染,167,142,126,183,58,81,1.62,66
2014-01-05,中度污染,156,102,118,181,64,103,1.73,53
2014-01-06,中度污染,174,103,133,208,53,107,1.68,54
2014-01-07,轻度污染,118,93,88,163,44,103,1.41,23
2014-01-08,轻度污染,121,151,88,149,40,73,2.06,16
2014-01-09,良,65,55,46,66,24,43,1.69,30
2014-01-10,良,93,68,69,105,33,65,1.51,27
2014-01-11,轻度污染,131,117,99,153,48,89,1.73,31
2014-01-12,轻度污染,102,94,75,122,33,60,1.67,25
2014-01-13,良,55,25,37,56,23,35,1.31,22
2014-01-14,良,59,25,41,61,23,39,1.12,41
2014-01-15,良,86,43,64,96,32,54,1.17,56
2014-01-16,轻度污染,126,74,95,153,41,86,1.65,40
2014-01-17,中度污染,155,83,117,186,47,91,1.88,35
2014-01-18,良,98,38,73,109,32,55,1.23,74
2014-01-19,轻度污染,139,75,106,148,38,77,1.51,68
2014-01-20,中度污染,164,127,124,180,46,88,1.68,61
2014-01-21,轻度污染,117,148,87,140,35,46,1.23,86
2014-01-22,良,69,18,48,84,23,47,1.01,62
2014-01-24,良,94,62,69,116,28,81,1.28,34
2014-01-25,良,95,65,69,116,26,79,1.34,28
2014-01-26,良,89,99,66,94,24,54,1.27,54
2014-01-27,良,94,98,70,106,22,36,1.13,77
2014-01-28,良,76,76,56,85,21,39,1.07,66
2014-01-29,良,90,77,67,103,21,46,1.22,74
2014-01-30,良,90,43,65,90,21,39,1.11,81
2014-01-31,轻度污染,137,40,99,124,25,29,1.07,82
2014-02-01,良,63,28,43,60,16,18,0.80,73
2014-02-02,良,55,17,38,53,14,23,0.89,64
2014-02-03,良,53,49,36,50,14,27,0.98,69
2014-02-04,良,55,86,37,52,12,22,0.99,67
2014-02-05,优,41,65,23,37,13,19,0.96,65
2014-02-06,优,31,40,19,29,14,23,0.95,45
2014-02-07,优,35,44,22,33,13,26,1.04,26
2014-02-08,优,25,5,17,23,9,23,1.30,6
2014-02-09,优,15,3,8,11,9,22,1.39,9
2014-02-10,优,41,42,28,34,15,17,1.30,39
2014-02-11,良,62,47,44,54,19,20,1.15,50
2014-02-12,良,63,27,45,58,16,28,1.05,34
2014-02-13,优,45,32,31,38,14,26,1.13,23
2014-02-14,良,66,30,47,54,14,23,0.97,43
2014-02-15,良,61,22,43,49,13,35,1.04,25
2014-02-16,良,78,72,57,70,23,54,1.60,5
2014-02-17,轻度污染,126,145,94,139,39,80,2.06,13
2014-02-18,良,52,58,36,59,19,37,1.55,7
2014-02-19,优,24,18,16,20,11,30,1.24,23
2014-02-20,优,40,14,27,37,16,36,1.04,32
2014-02-21,良,75,34,54,72,23,92,1.35,55
2014-02-22,良,79,28,57,73,20,79,1.46,12
2014-02-23,良,67,19,48,63,20,62,1.44,45
2014-02-24,良,59,22,41,58,25,72,1.31,39
2014-02-25,良,58,45,39,62,26,78,1.37,21
2014-02-26,良,74,57,53,75,30,71,1.60,29
2014-02-27,优,49,22,32,49,24,60,1.34,33
2014-02-28,优,42,17,27,40,18,61,0.98,23
2014-03-01,优,49,43,27,49,21,52,1.03,31
2014-03-02,优,38,14,22,38,21,44,1.53,8
2014-03-03,优,44,15,27,42,19,46,1.70,9
2014-03-04,良,57,45,39,56,20,54,1.65,6
2014-03-05,优,36,7,21,36,21,53,1.38,11
2014-03-06,良,67,105,48,67,22,73,1.49,10
2014-03-07,优,34,14,23,33,13,46,1.33,7
2014-03-08,优,35,10,24,35,15,44,1.32,5
2014-03-09,优,24,3,15,21,19,38,1.23,12
2014-03-10,优,43,15,29,37,18,48,1.28,9
2014-03-11,良,54,16,37,53,17,57,1.50,5
2014-03-12,轻度污染,136,162,102,149,29,105,2.79,5
2014-03-13,良,52,15,35,54,23,52,1.53,23
2014-03-14,良,61,12,42,61,16,47,1.13,49
2014-03-15,良,82,35,60,90,34,80,1.28,12
2014-03-16,轻度污染,114,108,86,124,38,83,1.49,8
2014-03-17,中度污染,156,133,118,171,60,101,1.89,22
2014-03-18,良,82,46,59,87,29,66,1.30,34
2014-03-19,良,68,31,49,73,23,62,1.12,35
2014-03-20,良,90,134,63,102,33,62,1.41,27
2014-03-21,良,56,24,37,57,16,33,0.79,52
2014-03-22,良,69,46,50,69,26,59,0.96,32
2014-03-23,良,84,66,61,98,38,74,1.20,71
2014-03-25,良,61,20,39,66,29,51,0.98,71
2014-03-26,良,70,24,49,77,32,53,1.06,68
2014-03-27,良,53,13,35,56,30,45,0.94,36
2014-03-28,优,45,15,29,43,22,38,0.89,20
2014-03-29,良,54,31,37,53,25,54,1.10,18
2014-03-30,优,44,12,29,41,19,63,1.33,13
2014-03-31,优,41,11,26,36,22,55,1.28,27
2014-04-01,良,54,24,37,51,22,56,1.43,15
2014-04-02,优,50,18,35,45,18,61,1.53,17
2014-04-03,优,44,18,31,40,16,60,1.44,29
2014-04-04,良,65,30,47,64,23,52,1.25,49
2014-04-05,良,71,57,49,66,26,55,1.05,69
2014-04-06,良,71,79,51,62,21,59,1.20,35
2014-04-07,良,70,52,50,63,24,62,1.33,28
2014-04-08,良,82,57,60,78,24,78,1.39,21
2014-04-09,良,95,77,70,102,28,83,1.63,64
2014-04-10,良,51,13,33,49,21,50,0.98,34
2014-04-11,良,55,17,36,54,22,49,0.98,38
2014-04-12,良,53,32,33,56,21,42,0.99,34
2014-04-13,良,63,59,43,70,36,35,1.14,45
2014-04-14,良,66,41,47,67,26,59,1.26,28
2014-04-15,优,49,9,30,51,19,41,0.95,59
2014-04-16,良,56,32,36,56,17,39,0.97,43
2014-04-17,良,55,37,34,58,23,43,0.99,42
2014-04-18,良,52,25,33,52,20,34,0.95,44
2014-04-19,优,49,47,31,49,19,36,0.93,35
2014-04-20,良,66,85,45,74,34,53,1.20,23
2014-04-21,优,50,31,30,51,24,38,1.08,30
2014-04-22,良,53,35,35,54,20,51,1.22,16
2014-04-23,良,51,18,34,49,18,53,1.41,14
2014-04-24,良,51,22,34,51,17,57,1.08,29
2014-04-25,良,54,37,34,53,19,53,1.09,23
2014-04-26,优,45,38,30,40,17,54,1.06,24
2014-04-27,良,55,56,36,53,26,50,1.37,32
2014-04-28,良,62,70,40,60,29,38,1.30,76
2014-04-29,良,80,73,58,83,26,54,1.25,62
2014-04-30,良,59,18,42,55,16,45,1.17,28
2014-05-01,优,50,15,35,47,19,48,1.22,20
2014-05-02,良,63,44,45,63,21,55,1.49,34
2014-05-03,良,82,106,43,68,24,54,1.31,65
2014-05-04,良,54,42,37,49,18,51,1.13,49
2014-05-05,优,29,5,16,25,13,35,1.10,49
2014-05-06,良,52,28,36,47,19,58,1.17,21
2014-05-07,良,55,33,39,48,16,78,1.39,14
2014-05-08,良,64,47,46,60,19,88,1.57,13
2014-05-09,优,39,15,25,33,18,68,1.16,14
2014-05-10,优,33,13,21,28,16,42,0.78,38
2014-05-11,优,40,31,23,38,19,49,0.94,30
2014-05-12,良,75,97,55,78,29,74,1.45,33
2014-05-13,良,64,45,41,77,26,54,1.32,28
2014-05-14,优,37,18,17,36,18,27,0.73,31
2014-05-15,优,48,26,30,49,18,43,0.95,38
2014-05-16,良,53,26,35,55,20,50,1.14,27
2014-05-17,优,32,14,18,30,14,31,0.75,32
2014-05-18,优,45,19,28,45,20,52,1.05,22
2014-05-19,良,53,30,34,54,25,57,1.08,34
2014-05-20,良,52,33,35,55,25,60,1.05,27
2014-05-21,优,46,22,29,47,19,51,1.02,25
2014-05-22,优,33,12,17,32,13,38,0.69,29
2014-05-23,良,61,69,42,59,20,64,1.08,10
2014-05-24,优,45,38,25,44,13,39,0.79,20
2014-05-25,优,36,16,19,35,15,22,0.62,32
2014-05-26,优,42,16,25,42,22,28,0.64,45
2014-05-27,良,69,36,44,77,44,48,0.80,67
2014-05-28,良,51,23,31,52,28,39,0.78,43
2014-05-29,良,51,21,29,52,19,38,0.81,41
2014-05-30,优,43,16,21,41,18,31,0.73,40
2014-05-31,优,35,13,18,31,14,21,0.63,52
2014-06-01,优,32,13,17,30,15,17,0.65,48
2014-06-02,优,34,15,18,26,19,15,0.70,48
2014-06-03,优,41,20,24,42,19,40,0.80,43
2014-06-04,良,57,55,34,57,24,51,0.94,50
2014-06-05,优,32,9,15,30,14,25,0.66,36
2014-06-06,优,44,34,27,44,26,59,0.92,29
2014-06-07,良,62,84,42,67,35,68,1.15,37
2014-06-08,良,95,125,66,91,27,43,1.16,116
2014-06-09,良,79,124,40,55,24,38,1.03,99
2014-06-10,良,57,78,38,54,21,48,0.94,61
2014-06-11,良,59,59,41,54,18,59,1.12,34
2014-06-12,良,88,99,58,81,19,60,1.25,82
2014-06-13,轻度污染,126,145,81,119,29,66,1.29,112
2014-06-14,轻度污染,120,135,79,111,35,62,1.17,114
2014-06-15,轻度污染,128,140,94,126,40,51,1.25,124
2014-06-16,良,97,105,64,92,24,29,1.02,102
2014-06-17,优,38,20,18,35,14,28,0.71,45
2014-06-18,优,49,41,27,48,19,38,0.83,34
2014-06-19,优,42,34,23,42,16,32,0.75,39
2014-06-20,优,36,31,20,35,10,25,0.68,43
2014-06-21,优,37,26,20,33,5,28,0.71,35
2014-06-22,优,37,26,22,35,12,34,0.81,30
2014-06-23,优,33,19,17,30,11,31,0.75,28
2014-06-24,优,33,20,18,32,7,28,0.73,27
2014-06-25,优,35,18,19,33,8,25,0.72,22
2014-06-26,优,40,32,20,37,6,18,0.63,44
2014-06-27,优,43,35,20,37,8,20,0.63,62
2014-06-28,良,53,51,21,39,10,19,0.64,72
2014-06-29,优,48,41,19,35,12,24,0.71,63
2014-06-30,优,27,11,13,24,12,21,0.68,27
2014-07-01,优,27,12,14,25,8,20,0.64,27
2014-07-02,优,41,30,19,40,20,29,0.78,35
2014-07-03,优,41,27,24,39,25,23,0.69,45
2014-07-04,优,42,21,21,40,17,20,0.58,56
2014-07-05,优,43,33,23,40,15,21,0.59,60
2014-07-06,优,46,39,27,46,20,21,0.71,59
2014-07-07,良,96,153,70,104,32,57,1.14,96
2014-07-08,轻度污染,112,153,77,112,31,54,1.12,65
2014-07-09,良,89,153,47,72,30,41,0.97,93
2014-07-10,优,50,45,28,45,13,25,0.75,66
2014-07-11,优,35,21,20,33,12,26,0.80,30
2014-07-12,优,35,23,20,34,11,31,0.87,25
2014-07-13,优,36,26,20,32,15,23,0.87,35
2014-07-14,优,29,16,13,24,16,16,0.74,37
2014-07-15,优,34,29,13,27,12,18,0.65,51
2014-07-16,优,37,41,16,30,17,21,0.72,54
2014-07-17,优,48,47,22,42,17,33,0.80,52
2014-07-18,优,25,11,13,23,10,21,0.68,24
2014-07-19,优,24,5,11,23,9,18,0.67,29
2014-07-20,优,36,28,17,33,16,26,0.82,39
2014-07-21,优,49,57,29,50,31,35,1.05,38
2014-07-22,良,83,147,49,80,35,41,1.10,77
2014-07-23,良,74,151,44,67,24,27,0.91,89
2014-07-24,良,67,120,37,58,20,22,0.90,88
2014-07-25,良,59,91,26,40,16,23,0.80,91
2014-07-26,优,34,16,18,29,14,29,0.80,39
2014-07-27,优,30,13,16,27,19,26,0.84,36
2014-07-28,良,53,39,22,37,25,27,0.96,73
2014-07-29,良,81,89,32,52,27,30,0.88,99
2014-07-30,良,82,147,36,54,21,24,0.86,112
2014-07-31,良,76,130,35,54,23,24,0.89,86
2014-08-01,良,71,135,37,58,23,24,0.89,85
2014-08-02,良,79,146,36,58,30,29,0.87,97
2014-08-03,良,81,134,42,63,27,31,1.04,90
2014-08-04,良,57,52,29,48,29,23,0.94,80
2014-08-05,优,49,65,25,39,16,30,0.86,66
2014-08-06,优,38,33,22,36,17,33,0.85,35
2014-08-07,优,43,32,24,43,22,31,0.91,41
2014-08-09,优,32,15,15,25,15,15,0.69,51
2014-08-10,优,31,14,14,27,19,16,0.75,48
2014-08-11,优,34,15,16,29,26,18,0.83,44
2014-08-12,优,33,16,16,31,16,20,0.68,39
2014-08-13,优,32,21,18,31,13,32,0.80,17
2014-08-14,优,27,15,16,26,14,23,0.70,26
2014-08-15,优,38,18,19,31,21,21,0.70,46
2014-08-16,优,39,20,20,35,20,23,0.63,42
2014-08-17,优,41,36,20,38,23,21,0.65,50
2014-08-18,优,36,22,18,30,23,19,0.67,48
2014-08-19,优,31,21,16,28,16,21,0.61,30
2014-08-20,优,25,15,15,24,12,29,0.75,14
2014-08-21,优,41,21,22,36,16,29,0.85,37
2014-08-23,优,44,30,23,40,24,25,0.74,45
2014-08-24,优,37,25,17,28,18,19,0.64,58
2014-08-25,良,53,57,21,35,23,24,0.71,73
2014-08-26,良,56,55,23,38,19,28,0.64,73
2014-08-27,优,38,29,16,31,17,24,0.61,51
2014-08-28,优,25,11,14,23,13,16,0.56,25
2014-08-29,优,45,33,20,35,19,23,0.70,60
2014-08-30,良,78,145,33,51,27,32,0.84,89
2014-08-31,优,36,16,20,33,20,29,0.76,35
2014-09-01,优,46,54,25,45,34,33,0.97,35
2014-09-02,良,56,123,31,46,23,24,0.85,62
2014-09-03,优,41,60,20,35,22,19,0.67,58
2014-09-04,良,72,126,28,45,23,28,0.77,91
2014-09-05,良,58,43,39,58,23,47,0.96,64
2014-09-06,良,78,98,41,58,28,42,0.99,83
2014-09-07,良,63,67,35,52,24,33,0.92,71
2014-09-08,优,25,4,14,23,16,17,0.81,29
2014-09-09,优,28,4,15,24,12,17,0.74,43
2014-09-10,优,45,29,21,34,17,19,0.72,71
2014-09-11,优,44,36,22,35,23,28,0.72,62
2014-09-12,优,32,19,19,30,18,31,0.70,28
2014-09-13,优,34,27,20,33,20,34,0.76,21
2014-09-14,良,52,105,27,41,22,28,0.81,61
2014-09-15,良,51,106,34,46,24,28,0.91,55
2014-09-16,优,21,3,13,16,10,17,0.62,28
2014-09-17,优,28,17,15,25,11,21,0.71,25
2014-09-18,良,62,119,28,47,19,34,0.84,80
2014-09-19,良,63,92,40,66,31,39,0.95,66
2014-09-20,优,41,25,23,35,18,24,1.07,57
2014-09-21,优,48,44,29,47,40,34,0.99,65
2014-09-22,良,62,95,38,55,29,35,0.97,75
2014-09-23,良,65,120,37,53,21,29,0.81,86
2014-09-24,良,80,150,50,69,32,40,0.90,82
2014-09-25,良,91,136,55,79,34,43,0.94,104
2014-09-26,良,95,118,46,65,25,25,0.83,127
2014-09-27,优,47,30,24,36,24,19,0.63,65
2014-09-28,良,51,48,23,37,27,19,0.68,78
2014-09-29,优,48,50,26,43,27,24,0.63,71
2014-09-30,良,83,173,48,75,39,37,0.83,83
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-11-01,良,89,115,61,84,38,53,1.03,83
2014-11-02,良,55,72,35,54,23,34,1.21,46
2014-11-03,良,52,32,33,55,26,40,1.03,54
2014-11-04,良,87,99,64,102,48,83,1.24,29
2014-11-05,轻度污染,124,150,93,129,45,85,1.41,51
2014-11-06,良,72,63,51,65,20,53,1.35,15
2014-11-07,良,65,80,46,52,15,45,1.14,13
2014-11-08,优,26,7,15,23,11,39,1.07,16
2014-11-09,优,46,36,31,46,25,45,1.25,25
2014-11-10,优,48,32,30,46,20,46,1.29,12
2014-11-11,良,58,35,39,53,25,53,1.42,7
2014-11-12,优,36,23,22,35,18,38,1.22,13
2014-11-13,良,63,63,45,62,24,37,1.06,50
2014-11-14,良,78,72,56,78,26,50,1.06,51
2014-11-15,良,89,84,65,91,38,68,1.28,36
2014-11-16,良,97,89,72,98,39,58,1.39,53
2014-11-17,良,74,45,53,73,19,29,0.93,75
2014-11-18,良,78,41,56,75,20,35,0.83,75
2014-11-19,良,90,66,66,93,32,56,0.94,61
2014-11-20,轻度污染,117,98,88,123,46,89,1.25,51
2014-11-21,轻度污染,137,109,103,142,45,101,1.41,56
2014-11-22,中度污染,154,111,115,148,58,99,1.51,75
2014-11-23,良,77,66,50,69,32,58,1.00,62
2014-11-24,良,63,78,42,66,34,67,0.98,45
2014-11-25,良,63,69,43,64,36,54,0.99,35
2014-11-26,良,77,83,56,76,36,57,1.48,47
2014-11-27,良,64,73,41,57,25,58,0.94,61
2014-11-28,良,65,67,46,64,26,69,1.10,31
2014-11-29,良,55,35,37,56,33,58,1.00,21
2014-11-30,优,45,26,27,45,30,50,0.98,27
2014-12-01,优,28,6,15,27,17,28,1.32,29
2014-12-02,良,59,58,41,53,27,25,1.19,43
2014-12-03,良,77,111,56,74,25,56,1.41,8
2014-12-04,优,21,5,11,14,13,27,0.77,36
2014-12-05,优,39,20,21,39,26,42,0.68,40
2014-12-06,良,61,33,40,70,43,78,0.94,23
2014-12-07,良,54,18,37,45,25,49,0.87,20
2014-12-08,优,48,15,31,46,22,43,0.86,28
2014-12-09,良,69,55,49,78,39,69,1.06,39
2014-12-10,良,83,69,61,86,39,60,1.13,45
2014-12-11,良,63,56,45,61,25,34,0.99,33
2014-12-12,良,53,28,31,56,24,31,0.90,42
2014-12-13,良,65,30,40,79,37,49,0.80,43
2014-12-14,良,75,28,52,94,44,79,1.12,41
2014-12-15,轻度污染,112,87,84,144,56,105,1.64,21
2014-12-16,良,74,97,50,92,32,32,0.84,58
2014-12-17,良,63,52,36,72,29,34,0.66,54
2014-12-18,良,69,32,46,85,31,73,0.80,33
2014-12-19,轻度污染,103,116,76,108,44,86,1.16,8
2014-12-20,良,97,141,72,102,42,72,1.24,35
2014-12-21,良,88,118,64,97,41,61,1.16,48
2014-12-22,良,85,67,62,88,41,52,0.93,59
2014-12-23,轻度污染,112,90,84,118,51,97,1.25,11
2014-12-24,轻度污染,115,90,86,118,41,99,1.48,14
2014-12-25,中度污染,176,171,134,175,63,119,1.84,17
2014-12-26,轻度污染,120,120,90,108,27,58,1.18,29
2014-12-27,良,81,64,59,66,12,47,1.34,13
2014-12-28,良,56,24,39,48,19,33,1.36,31
2014-12-29,良,76,31,55,79,27,57,1.07,37
2014-12-30,轻度污染,120,109,90,139,50,100,1.54,26
2014-12-31,中度污染,177,521,133,198,76,112,2.09,11
2015-01-01,良,65,108,45,75,36,57,0.92,60
2015-01-02,良,76,224,55,92,36,75,1.08,46
