日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,110,283,82,118,20,27,1.26,59
2015-01-02,轻度污染,115,481,86,138,31,31,1.42,65
2015-01-03,轻度污染,144,248,109,163,32,45,1.89,59
2015-01-04,中度污染,182,235,137,184,31,44,1.94,38
2015-01-05,中度污染,156,220,117,168,19,44,1.87,15
2015-01-06,良,82,222,59,89,13,28,1.48,15
2015-01-07,良,94,257,69,76,13,17,1.63,29
2015-01-08,良,70,106,50,60,14,17,1.59,41
2015-01-09,良,100,172,74,93,18,21,1.54,42
2015-01-10,良,56,47,40,42,8,16,1.43,33
2015-01-11,优,22,2,15,17,6,17,0.97,27
2015-01-12,优,25,6,14,14,6,15,0.78,36
2015-01-13,优,50,79,33,41,8,13,1.02,44
2015-01-14,良,70,138,51,60,11,20,0.77,48
2015-01-15,轻度污染,101,182,75,103,17,25,0.86,47
2015-01-16,轻度污染,102,180,76,110,17,31,1.08,40
2015-01-17,轻度污染,124,242,93,125,18,25,0.99,50
2015-01-18,轻度污染,135,277,102,145,18,35,0.98,53
2015-01-19,轻度污染,132,295,100,121,15,23,0.83,67
2015-01-20,中度污染,183,342,138,200,24,51,1.53,48
2015-01-21,中度污染,155,303,117,163,16,60,1.22,57
2015-01-22,中度污染,154,305,116,181,25,84,1.40,43
2015-01-23,轻度污染,122,182,91,132,25,60,1.10,55
2015-01-24,良,74,58,50,90,22,49,0.82,47
2015-01-25,良,91,103,66,108,18,44,0.93,38
2015-01-26,轻度污染,103,143,77,124,19,43,1.09,31
2015-01-27,轻度污染,104,262,77,116,14,35,0.93,28
2015-01-28,轻度污染,103,337,75,108,18,30,0.99,30
2015-01-29,良,64,192,44,72,11,29,1.09,16
2015-01-30,优,30,13,18,28,5,18,0.83,13
2015-01-31,良,61,131,43,53,7,12,0.80,23
2015-02-01,良,54,80,38,44,7,15,0.92,15
2015-02-02,良,86,153,63,86,13,23,1.16,23
2015-02-03,轻度污染,107,189,79,96,9,21,1.26,12
2015-02-04,优,36,17,24,30,5,14,1.27,21
2015-02-05,轻度污染,131,307,98,110,14,17,1.24,51
2015-02-06,轻度污染,149,331,113,138,20,25,1.28,60
2015-02-07,中度污染,169,341,130,157,23,29,1.42,40
2015-02-08,轻度污染,150,341,113,147,17,27,1.16,65
