日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,131,49,99,134,23,50,1.05,59
2013-10-29,良,71,30,52,57,7,40,0.96,65
2013-10-30,优,38,3,25,32,8,29,0.85,44
2013-10-31,优,43,4,29,41,11,28,1.19,20
2013-11-01,优,50,9,34,48,13,26,1.51,26
2013-11-02,优,47,8,32,41,12,23,1.16,37
2013-11-03,优,46,9,31,45,10,18,0.82,53
2013-11-04,良,61,16,43,61,20,27,0.78,63
2013-11-05,良,98,56,72,94,24,32,0.90,47
2013-11-06,轻度污染,103,42,73,104,40,40,1.10,38
2013-11-07,良,91,44,55,77,20,32,0.37,39
2013-11-08,良,51,6,24,43,9,19,0.58,49
2013-11-09,优,45,3,30,50,10,22,0.55,52
2013-11-10,良,60,33,56,85,20,32,0.79,37
2013-11-11,良,59,52,19,27,6,20,1.06,39
2013-11-12,优,20,1,17,26,13,18,0.85,38
2013-11-13,优,34,17,29,41,12,22,0.78,36
2013-11-14,良,52,27,39,54,23,25,0.82,32
2013-11-15,良,56,21,42,64,34,34,0.88,45
2013-11-16,良,70,21,62,93,42,33,0.86,43
2013-11-17,轻度污染,102,61,79,115,52,50,1.15,23
2013-11-18,良,95,67,61,74,27,39,0.88,30
2013-11-19,良,78,32,53,72,26,37,0.78,31
2013-11-20,良,66,18,44,57,18,34,0.68,41
2013-11-21,良,62,13,43,57,19,31,0.72,34
2013-11-22,良,55,9,33,45,18,32,0.72,35
2013-11-23,良,51,3,34,56,20,32,0.69,40
2013-11-24,良,55,6,29,78,26,29,0.68,49
2013-11-25,良,81,53,49,123,39,48,0.88,33
2013-11-26,良,74,48,41,88,37,31,0.74,45
2013-11-27,良,59,16,31,46,19,24,0.67,39
2013-11-28,良,57,26,46,72,46,29,0.72,38
2013-11-29,良,73,56,53,85,55,45,0.84,27
2013-11-30,良,83,49,89,139,76,50,1.06,15
2013-12-01,轻度污染,136,84,98,144,88,50,1.17,26
2013-12-02,轻度污染,142,62,107,161,59,51,1.42,35
2013-12-03,轻度污染,141,51,127,177,67,52,1.28,26
2013-12-04,中度污染,164,57,106,140,71,49,1.07,45
2013-12-05,轻度污染,123,49,87,120,50,47,0.97,43
2013-12-06,轻度污染,143,67,122,160,73,54,1.25,35
2013-12-07,轻度污染,150,48,100,133,73,54,1.06,43
2013-12-08,轻度污染,124,24,80,96,29,31,0.79,50
2013-12-09,良,99,27,57,75,45,36,1.00,38
2013-12-10,良,81,22,59,70,43,37,1.22,16
2013-12-11,良,77,24,57,71,42,32,0.81,23
2013-12-12,良,93,35,80,103,60,37,0.92,23
2013-12-13,轻度污染,101,46,70,91,64,35,0.86,34
2013-12-14,良,95,32,73,92,42,33,0.90,34
2013-12-15,良,72,26,29,22,21,28,0.89,24
2013-12-16,优,36,21,29,32,29,25,0.82,28
2013-12-17,优,50,35,37,45,32,23,0.69,45
2013-12-18,良,66,52,52,71,37,32,0.87,40
2013-12-19,良,92,47,85,105,49,42,0.89,48
2013-12-20,轻度污染,108,48,77,95,39,30,0.78,58
2013-12-21,轻度污染,112,46,94,111,42,31,0.94,63
2013-12-22,轻度污染,140,66,125,148,85,40,1.10,49
2013-12-23,中度污染,193,71,149,172,87,40,1.30,53
2013-12-24,中度污染,170,50,112,130,69,36,1.05,60
2013-12-25,中度污染,152,40,124,146,80,46,1.13,53
2013-12-26,中度污染,169,50,123,138,67,42,1.13,37
2013-12-27,轻度污染,147,84,104,115,52,36,0.96,55
2013-12-28,轻度污染,132,80,94,117,66,41,0.97,62
2013-12-29,轻度污染,125,78,101,124,88,46,1.07,51
2013-12-30,轻度污染,133,77,95,136,113,52,1.02,45
2013-12-31,轻度污染,120,79,84,116,98,61,1.30,44
2014-01-01,轻度污染,128,99,105,145,85,70,1.52,40
2014-01-02,轻度污染,143,94,107,138,78,58,1.36,52
2014-01-03,轻度污染,110,62,82,107,66,35,1.08,66
