日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,61,8,40,61,14,36,0.62,88
2013-10-29,良,72,31,50,81,25,49,0.76,73
2013-10-30,良,61,20,42,57,8,31,0.70,63
2013-10-31,良,62,19,42,61,10,27,0.77,79
2013-11-01,良,59,17,39,57,11,29,0.72,73
2013-11-02,良,100,49,75,113,20,63,1.11,35
2013-11-03,轻度污染,127,66,96,136,39,60,1.49,17
2013-11-04,良,97,64,69,111,37,50,1.23,49
2013-11-05,良,68,24,47,77,26,52,0.93,60
2013-11-06,轻度污染,109,49,101,147,62,76,1.24,65
2013-11-07,中度污染,193,108,162,223,74,93,0.99,82
2013-11-08,中度污染,180,102,97,139,25,43,0.96,118
2013-11-09,轻度污染,102,52,116,148,21,55,1.14,80
2013-11-10,中度污染,152,94,67,108,23,46,1.10,34
2013-11-11,良,75,85,54,71,34,38,0.82,54
2013-11-12,良,99,90,49,70,29,55,0.82,23
2013-11-13,良,62,41,35,55,15,46,0.70,35
2013-11-14,良,66,36,74,99,32,66,1.11,7
2013-11-15,轻度污染,130,63,104,180,55,75,1.53,26
2013-11-16,轻度污染,147,67,105,222,67,83,1.54,41
2013-11-17,轻度污染,130,88,63,176,62,54,0.95,33
2013-11-18,良,97,69,79,121,74,68,1.30,23
2013-11-19,轻度污染,131,97,139,192,83,87,1.68,28
2013-11-20,中度污染,193,105,166,238,67,108,1.79,28
2013-11-21,重度污染,218,101,168,238,33,92,1.71,41
2013-11-22,重度污染,208,82,140,202,33,81,1.48,44
2013-11-23,轻度污染,142,60,98,147,19,52,1.12,65
2013-11-24,轻度污染,120,52,61,82,15,41,1.22,38
2013-11-25,良,85,60,47,178,31,47,1.07,29
2013-11-26,轻度污染,142,103,89,238,56,81,1.45,15
2013-11-27,轻度污染,132,103,79,168,52,69,1.37,19
2013-11-28,良,76,78,37,71,48,48,1.10,28
2013-11-29,良,69,52,63,101,52,63,1.15,21
2013-11-30,轻度污染,112,85,95,142,63,93,1.19,16
2013-12-01,轻度污染,141,86,148,206,108,106,1.64,16
2013-12-02,重度污染,239,99,190,273,110,119,1.82,24
2013-12-03,重度污染,202,72,152,214,59,94,1.32,43
2013-12-04,严重污染,264,82,291,387,85,144,2.48,14
2013-12-05,严重污染,370,106,363,483,51,139,2.83,15
2013-12-06,严重污染,414,113,361,475,83,113,2.63,17
2013-12-07,严重污染,376,104,254,329,56,88,2.09,33
2013-12-08,重度污染,228,63,142,197,20,67,1.53,38
2013-12-09,严重污染,259,90,201,270,58,85,2.14,13
2013-12-10,中度污染,154,86,71,118,77,73,1.33,22
2013-12-11,轻度污染,115,66,104,153,75,83,1.43,20
2013-12-12,轻度污染,148,97,129,194,63,93,1.68,20
2013-12-13,重度污染,223,107,175,250,75,103,1.99,25
2013-12-14,轻度污染,132,58,64,99,27,64,1.14,28
2013-12-15,轻度污染,110,53,97,137,28,67,1.29,42
2013-12-16,良,99,50,36,44,13,38,1.01,41
2013-12-17,优,35,28,24,28,9,33,0.87,39
2013-12-18,良,51,35,58,83,43,51,1.33,38
2013-12-19,轻度污染,110,60,98,123,79,60,1.52,36
2013-12-20,中度污染,189,72,186,240,101,89,2.26,20
2013-12-21,中度污染,184,82,93,126,100,81,1.70,23
2013-12-22,轻度污染,127,52,99,125,84,77,1.74,19
2013-12-23,轻度污染,134,41,101,130,76,81,1.79,19
2013-12-24,中度污染,154,44,148,187,91,90,2.28,23
2013-12-25,重度污染,230,69,192,249,90,102,2.75,16
2013-12-26,严重污染,264,79,242,321,122,109,2.99,9
2013-12-27,中度污染,176,102,40,78,59,53,1.48,30
2013-12-28,良,80,25,71,104,59,74,1.85,24
2013-12-29,轻度污染,126,79,114,160,89,86,2.31,15
2013-12-30,中度污染,160,101,123,174,84,106,2.45,19
2013-12-31,轻度污染,144,131,104,155,76,116,2.38,22
2014-01-01,轻度污染,143,128,115,169,67,113,2.33,32
2014-01-02,轻度污染,150,106,119,167,45,100,2.29,43
2014-01-03,重度污染,210,146,164,232,97,139,2.53,19
2014-01-04,中度污染,195,163,149,239,91,93,2.17,10
2014-01-05,中度污染,172,119,133,192,57,84,1.86,19
2014-01-06,良,61,13,40,63,22,52,1.24,37
2014-01-07,良,82,37,58,72,26,68,1.47,24
2014-01-08,良,71,83,51,56,30,55,1.60,33
2014-01-09,良,60,33,40,65,26,37,1.33,49
2014-01-10,良,76,35,55,84,27,41,1.46,53
2014-01-11,良,75,40,55,65,13,52,1.53,33
2014-01-12,轻度污染,120,110,89,105,46,72,2.07,19
2014-01-13,轻度污染,119,130,90,121,41,48,1.84,36
2014-01-14,良,58,24,39,62,32,54,1.45,29
2014-01-15,良,70,23,50,68,29,54,1.56,41
2014-01-16,轻度污染,101,39,75,94,28,59,1.57,43
2014-01-17,中度污染,165,90,125,168,63,91,1.75,21
2014-01-18,重度污染,247,146,197,242,77,77,2.03,37
2014-01-19,严重污染,251,141,201,258,44,76,2.36,43
2014-01-20,重度污染,201,162,153,256,63,81,2.18,33
2014-01-21,良,85,86,49,120,49,62,1.54,29
2014-01-22,良,85,47,62,90,34,62,1.66,38
2014-01-24,良,67,29,46,65,17,52,1.27,54
2014-01-25,中度污染,171,131,136,176,32,62,1.34,48
2014-01-26,良,77,78,50,77,12,26,0.78,73
2014-01-27,优,43,11,22,42,12,36,0.73,54
2014-01-28,良,88,93,63,86,23,51,1.25,37
2014-01-29,良,97,86,72,93,10,39,0.99,50
2014-01-30,中度污染,177,101,136,171,17,48,1.62,44
2014-01-31,中度污染,165,59,125,167,12,30,1.33,83
2014-02-01,良,89,65,66,77,13,33,1.05,89
2014-02-02,严重污染,253,158,203,260,11,48,2.54,16
2014-02-03,良,80,103,52,83,3,19,1.30,63
2014-02-04,优,42,35,19,39,6,13,0.80,80
2014-02-05,优,35,40,19,30,4,19,0.88,65
2014-02-06,优,26,22,17,19,2,27,0.97,40
2014-02-07,优,31,25,17,15,4,27,1.07,53
2014-02-08,良,75,108,55,61,21,27,1.32,59
2014-02-09,良,77,136,57,56,19,29,1.04,60
2014-02-10,优,50,80,34,46,21,24,0.81,61
2014-02-11,良,62,49,44,54,34,31,0.96,59
2014-02-12,良,63,29,45,46,24,45,0.91,41
2014-02-13,优,45,31,30,38,16,27,0.59,70
2014-02-14,良,82,47,60,85,46,45,1.05,67
2014-02-15,良,76,43,54,62,28,40,0.73,73
2014-02-16,优,40,11,27,29,10,41,0.64,50
2014-02-17,优,43,25,30,32,18,46,1.00,18
2014-02-18,优,44,43,28,28,21,47,0.85,45
2014-02-19,良,87,96,64,74,40,45,1.19,46
2014-02-20,轻度污染,112,105,84,95,47,51,1.22,50
2014-02-21,轻度污染,140,100,106,137,45,49,1.23,121
2014-02-22,轻度污染,111,68,83,97,26,44,1.08,86
2014-02-23,良,91,50,67,85,20,41,1.00,95
