日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,72,155,47,88,125,33,2.66,14
2015-01-02,轻度污染,103,419,77,130,170,43,3.28,9
2015-01-03,轻度污染,146,252,110,174,188,51,4.47,10
2015-01-04,轻度污染,143,180,108,192,183,57,2.65,9
2015-01-05,轻度污染,139,195,97,172,142,41,3.02,18
2015-01-06,良,66,156,35,79,102,32,2.10,17
2015-01-07,轻度污染,127,322,96,152,193,41,3.52,9
2015-01-08,轻度污染,113,231,83,142,189,38,3.13,15
2015-01-09,轻度污染,106,188,77,138,172,40,3.00,13
2015-01-10,轻度污染,110,179,81,140,192,41,3.19,12
2015-01-11,轻度污染,105,181,77,134,175,41,2.57,12
2015-01-12,轻度污染,115,251,86,147,161,41,2.70,15
2015-01-13,轻度污染,146,293,110,168,162,49,2.79,21
2015-01-14,中度污染,184,313,140,212,176,56,2.89,15
2015-01-15,重度污染,244,337,195,270,246,58,3.32,13
2015-01-16,轻度污染,108,189,74,123,138,32,1.34,30
2015-01-17,良,93,170,63,112,186,40,2.14,15
2015-01-18,良,87,128,40,119,92,20,1.17,39
2015-01-19,轻度污染,107,240,80,140,217,38,2.69,19
2015-01-20,轻度污染,114,251,81,142,179,41,2.35,21
2015-01-21,良,65,69,28,76,77,27,1.23,38
2015-01-22,良,95,158,69,110,162,43,2.09,15
2015-01-23,中度污染,166,282,125,188,237,60,3.18,12
2015-01-24,轻度污染,117,163,85,150,131,48,1.87,24
2015-01-25,重度污染,208,300,161,206,126,56,3.33,16
2015-01-26,重度污染,228,304,182,246,178,50,2.77,19
2015-01-27,良,90,224,66,107,95,35,1.52,21
2015-01-28,良,63,217,41,72,96,33,1.30,20
2015-01-29,轻度污染,123,330,89,123,145,34,2.22,26
2015-01-30,良,54,108,32,58,98,31,1.47,26
2015-01-31,良,64,152,43,72,137,36,1.62,17
2015-02-01,轻度污染,104,249,78,117,148,41,2.20,22
2015-02-02,中度污染,155,303,117,171,191,50,2.80,16
2015-02-03,中度污染,193,305,149,195,214,50,3.16,15
2015-02-04,良,66,110,43,71,101,28,1.25,37
2015-02-05,良,61,102,36,66,121,34,1.41,29
2015-02-06,轻度污染,101,222,75,113,192,42,2.30,14
2015-02-07,良,92,152,59,100,153,30,1.77,46
2015-02-08,良,59,92,30,58,115,28,1.38,48
2015-02-09,良,90,217,66,106,170,38,2.23,16
2015-02-10,轻度污染,103,197,74,123,165,36,2.25,29
2015-02-11,良,80,104,46,105,106,29,1.94,31
2015-02-12,良,77,119,40,102,112,26,1.37,23
2015-02-13,良,72,89,46,91,112,30,2.11,21
2015-02-14,良,81,93,56,103,144,36,2.57,26
2015-02-15,轻度污染,103,188,67,128,103,30,1.84,31
2015-02-16,良,73,90,26,94,67,17,1.17,42
2015-02-17,良,55,57,28,63,93,19,1.26,36
2015-02-18,良,74,125,45,96,75,16,1.18,55
2015-02-19,良,97,159,71,121,79,21,1.59,56
2015-02-20,轻度污染,122,326,91,126,85,29,2.29,16
2015-02-21,中度污染,158,336,108,182,105,23,2.08,29
2015-02-22,良,61,120,16,71,50,13,0.99,41
2015-02-23,良,91,239,62,117,128,25,1.78,19
2015-02-24,轻度污染,130,320,98,170,164,33,3.12,15
2015-02-25,良,81,240,35,104,67,14,0.76,38
2015-02-26,优,47,104,20,48,72,17,1.19,28
2015-02-27,良,67,267,38,82,74,18,1.29,29
2015-02-28,良,70,260,47,72,76,18,1.58,29
2015-03-01,良,68,211,39,84,84,21,1.99,25
2015-03-02,良,84,227,54,105,107,21,1.81,28
2015-03-03,良,60,117,11,72,37,8,0.68,48
2015-03-04,优,46,94,18,46,81,17,0.96,31
2015-03-05,良,88,296,60,101,89,22,1.34,27
2015-03-06,轻度污染,121,316,90,134,104,24,1.58,30
2015-03-07,轻度污染,117,310,87,138,124,30,1.95,28
2015-03-08,轻度污染,125,316,91,158,124,31,2.03,25
2015-03-09,良,84,248,52,85,53,12,0.78,43
2015-03-10,良,59,161,32,66,92,22,1.19,24
2015-03-11,良,65,154,37,80,101,24,1.68,18
2015-03-12,良,74,164,41,96,57,19,1.49,32
2015-03-13,良,59,105,29,69,62,22,1.43,20
2015-03-14,良,87,168,48,119,62,22,1.35,32
