日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,54,62,28,59,14,26,1.33,46
2015-01-02,优,36,14,13,30,9,11,1.07,69
2015-01-03,优,37,2,11,30,8,8,1.10,69
2015-01-04,优,40,5,11,36,7,7,1.18,73
2015-01-05,优,36,6,11,22,7,8,1.24,66
2015-01-06,优,37,23,11,26,7,10,1.34,69
2015-01-07,优,40,22,15,36,8,17,1.56,54
2015-01-08,优,40,13,19,41,8,18,1.53,45
2015-01-09,优,33,11,15,31,9,14,1.26,45
2015-01-10,优,27,5,12,21,8,9,1.37,53
2015-01-11,优,32,11,14,24,8,10,1.45,60
2015-01-12,优,30,12,14,24,7,12,1.31,54
2015-01-13,优,34,33,14,30,11,14,1.23,55
2015-01-14,优,35,26,13,32,7,12,1.04,63
2015-01-15,优,36,9,12,26,7,13,1.02,68
2015-01-16,优,36,6,14,29,10,15,0.99,65
2015-01-17,优,38,12,13,32,15,10,1.08,69
2015-01-18,优,32,8,14,26,13,8,1.00,58
2015-01-19,优,29,4,12,21,9,6,1.06,51
2015-01-20,优,31,3,14,22,6,6,0.59,59
2015-01-21,优,34,6,13,28,6,6,0.52,61
2015-01-22,优,37,5,13,32,6,5,0.46,70
2015-01-23,优,37,5,11,26,6,3,0.40,72
2015-01-24,优,45,14,13,32,5,2,0.39,85
2015-01-25,优,41,8,12,29,5,6,0.50,76
2015-01-26,优,38,6,13,34,6,7,0.58,67
2015-01-27,优,41,40,14,38,7,7,0.35,68
2015-01-28,优,46,128,13,43,6,4,0.36,74
2015-01-29,优,44,79,12,38,4,5,0.39,77
2015-01-30,优,44,65,10,36,4,6,0.42,79
2015-01-31,优,43,30,11,30,4,6,0.49,82
2015-02-01,优,38,16,9,30,4,8,0.58,69
2015-02-02,优,40,15,10,34,8,7,0.58,69
2015-02-03,优,36,12,10,31,4,7,0.51,67
2015-02-04,优,38,21,13,33,4,6,0.56,70
2015-02-05,优,48,40,13,44,4,5,0.64,75
2015-02-06,优,42,11,12,39,6,5,0.67,72
2015-02-07,优,38,11,15,33,6,5,0.71,69
2015-02-08,优,39,16,17,36,6,7,0.82,70
2015-02-09,优,42,13,15,35,5,6,0.86,77
2015-02-10,优,43,20,12,35,5,5,0.85,81
