日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,中度污染,194,348,148,201,16,43,1.17,12
2015-01-02,重度污染,203,643,154,209,21,48,1.31,10
2015-01-03,中度污染,169,295,127,176,15,38,1.32,17
2015-01-04,重度污染,238,310,187,257,26,64,1.40,11
2015-01-05,中度污染,168,239,127,167,16,40,1.36,13
2015-01-06,良,88,242,62,91,21,31,0.76,26
2015-01-07,良,86,218,63,94,22,34,0.59,14
2015-01-08,良,93,179,68,84,11,28,0.54,22
2015-01-09,轻度污染,104,186,77,105,16,27,0.68,21
2015-01-10,轻度污染,110,178,82,111,19,26,0.86,32
2015-01-11,轻度污染,105,182,78,99,16,25,0.67,34
2015-01-12,良,92,195,66,95,15,27,0.73,28
2015-01-13,中度污染,200,345,154,204,30,56,1.40,7
2015-01-14,重度污染,214,333,166,217,27,60,1.38,5
2015-01-15,严重污染,267,345,216,283,35,56,1.70,4
2015-01-16,中度污染,160,276,121,159,28,35,0.93,22
2015-01-17,中度污染,161,313,122,158,22,27,0.80,28
2015-01-18,轻度污染,148,316,111,144,19,31,0.70,21
2015-01-19,轻度污染,148,320,112,142,18,28,0.79,19
2015-01-20,中度污染,168,329,127,173,27,39,1.09,31
2015-01-21,中度污染,155,305,117,167,24,38,1.00,37
2015-01-22,重度污染,213,354,163,228,40,65,1.39,10
2015-01-23,严重污染,251,361,200,273,42,72,1.52,10
2015-01-24,重度污染,233,328,184,256,35,70,1.43,18
2015-01-25,中度污染,180,254,135,191,29,48,1.13,22
2015-01-26,中度污染,174,245,131,175,23,52,1.07,13
2015-01-27,中度污染,186,356,141,202,23,54,1.27,8
2015-01-28,良,69,249,41,90,6,21,0.85,17
2015-01-29,优,50,117,32,51,10,15,0.88,26
2015-01-30,良,74,200,53,79,16,16,1.05,20
2015-01-31,良,61,126,43,54,6,16,0.68,18
2015-02-01,优,47,47,33,37,6,12,0.72,20
2015-02-02,良,74,112,53,66,10,11,0.83,28
2015-02-03,轻度污染,110,196,82,102,10,24,1.01,21
2015-02-04,良,94,174,69,93,12,21,1.06,39
2015-02-05,良,97,229,72,100,13,27,0.74,39
2015-02-06,轻度污染,131,306,98,131,33,28,0.98,33
2015-02-07,轻度污染,121,250,91,112,14,31,0.90,28
2015-02-08,轻度污染,109,292,81,110,25,28,0.89,31
2015-02-09,中度污染,163,346,123,158,16,32,1.09,16
2015-02-10,中度污染,181,342,137,176,15,35,1.08,29
2015-02-11,轻度污染,150,279,113,151,15,27,1.11,42
2015-02-12,轻度污染,145,252,110,144,24,36,1.12,59
2015-02-13,轻度污染,149,277,112,138,13,28,0.94,57
2015-02-14,中度污染,175,291,135,170,19,34,1.20,52
2015-02-15,中度污染,186,309,143,200,13,36,1.32,28
2015-02-16,良,100,176,70,120,11,21,0.70,43
2015-02-17,轻度污染,104,214,78,119,10,15,0.72,54
2015-02-18,轻度污染,130,300,98,139,12,15,0.67,56
2015-02-19,重度污染,218,335,177,221,36,13,0.68,37
2015-02-20,良,79,250,57,74,9,11,0.72,27
2015-02-21,轻度污染,102,272,76,94,8,17,0.87,11
2015-02-22,良,57,108,39,55,6,6,0.38,48
2015-02-23,优,49,88,33,46,5,6,0.43,28
2015-02-24,良,55,109,37,50,6,7,0.59,24
2015-02-25,良,56,148,35,51,18,14,0.73,38
2015-02-26,良,55,162,35,57,14,18,0.48,40
2015-02-27,良,65,258,46,63,8,24,0.64,20
2015-02-28,优,36,103,23,36,12,16,0.59,37
2015-03-01,良,57,149,34,62,15,15,0.48,48
2015-03-02,良,65,134,44,75,14,20,0.62,47
2015-03-03,良,84,223,56,108,10,23,0.63,44
2015-03-04,良,76,285,47,94,4,30,0.54,24
2015-03-05,良,58,172,35,60,7,23,0.53,30
2015-03-06,良,79,213,55,100,9,23,0.55,34
2015-03-07,轻度污染,115,304,86,138,14,40,0.77,26
2015-03-08,轻度污染,103,283,76,110,15,33,0.74,49
2015-03-09,良,99,287,73,103,21,32,0.85,57
2015-03-10,轻度污染,120,329,90,122,28,42,0.85,37
2015-03-11,良,92,282,68,81,16,19,0.54,60
2015-03-12,良,99,245,73,100,18,24,0.69,82
2015-03-13,轻度污染,116,286,87,116,22,32,0.73,66
2015-03-14,轻度污染,140,294,106,134,30,32,0.86,71
2015-03-15,轻度污染,146,303,110,132,20,24,0.80,78
2015-03-16,轻度污染,128,279,96,121,11,31,0.82,59
2015-03-17,良,98,269,68,96,13,32,0.87,65
2015-03-18,良,74,220,52,81,10,30,0.81,67
2015-03-19,良,71,171,49,77,20,30,0.71,55
2015-03-20,良,59,116,38,61,9,28,0.65,58
2015-03-21,良,74,168,45,77,14,20,0.50,85
2015-03-22,良,66,103,40,77,12,24,0.52,88
2015-03-23,良,75,218,49,88,16,33,0.59,57
2015-03-24,良,54,116,31,51,17,18,0.42,75
2015-03-25,良,71,200,48,72,9,19,0.54,77
2015-03-26,轻度污染,114,316,83,122,18,35,0.64,74
2015-03-27,中度污染,157,349,119,178,22,53,0.97,33
2015-03-28,中度污染,167,345,126,167,16,45,0.96,31
2015-03-29,轻度污染,112,244,83,118,10,29,0.82,58
2015-03-30,良,93,234,65,94,13,31,0.85,81
2015-03-31,轻度污染,145,336,106,149,20,41,0.92,93
2015-04-01,轻度污染,124,335,92,139,20,44,0.91,79
2015-04-02,良,75,282,45,77,17,19,0.51,81
2015-04-03,良,73,228,44,80,21,25,0.50,82
2015-04-04,良,67,184,40,80,13,25,0.46,73
2015-04-05,优,44,74,24,44,11,12,0.39,63
2015-04-06,优,40,76,22,34,9,16,0.51,55
2015-04-07,优,42,93,27,38,10,15,0.47,79
2015-04-08,优,49,123,32,45,4,12,0.59,67
2015-04-09,良,60,162,38,60,9,25,0.67,49
2015-04-10,良,61,143,34,66,20,23,0.61,50
2015-04-11,良,67,148,39,75,11,23,0.60,62
2015-04-12,良,76,234,41,94,16,18,0.49,80
2015-04-13,良,77,276,39,97,16,29,0.52,80
2015-04-14,良,92,279,55,126,22,30,0.62,103
2015-04-15,轻度污染,101,248,66,115,21,20,0.66,108
2015-04-16,轻度污染,104,226,65,114,18,39,0.76,102
2015-04-17,轻度污染,149,345,98,165,17,41,0.84,110
2015-04-18,良,90,217,65,118,18,34,0.64,55
2015-04-19,良,58,148,29,67,20,32,0.45,42
2015-04-20,良,69,241,39,85,22,30,0.54,49
2015-04-21,良,71,217,48,87,10,40,0.52,31
2015-04-22,良,54,69,30,62,16,33,0.41,37
2015-04-23,良,59,81,36,66,22,20,0.47,50
2015-04-24,良,60,89,34,57,10,11,0.38,90
2015-04-25,良,77,160,53,76,12,14,0.52,110
2015-04-26,轻度污染,122,329,89,124,18,24,0.66,96
2015-04-27,轻度污染,129,342,96,138,30,30,0.77,102
2015-04-28,轻度污染,148,355,106,150,32,32,0.84,95
2015-04-29,轻度污染,114,314,80,120,20,39,0.75,92
2015-04-30,轻度污染,126,320,91,130,16,37,0.74,102
2015-05-01,良,60,132,37,58,7,13,0.32,87
2015-05-02,良,84,321,57,99,15,30,0.52,69
2015-05-03,轻度污染,122,338,91,128,13,35,0.77,46
2015-05-04,良,72,225,44,62,15,20,0.33,86
2015-05-05,良,87,258,64,81,6,9,0.50,97
2015-05-06,轻度污染,147,349,109,136,15,20,0.63,114
2015-05-07,轻度污染,145,348,107,127,12,11,0.76,134
2015-05-08,良,69,213,39,66,10,13,0.29,103
2015-05-09,良,98,327,61,100,22,36,0.56,91
2015-05-10,轻度污染,121,331,85,124,18,32,0.56,120
2015-05-11,良,98,357,46,141,11,11,0.17,94
2015-05-12,轻度污染,102,351,57,144,17,28,0.38,87
2015-05-13,轻度污染,115,348,79,152,27,27,0.55,121
2015-05-14,轻度污染,134,354,99,162,17,35,0.77,127
2015-05-15,轻度污染,115,345,85,124,13,22,0.54,106
2015-05-16,良,75,213,52,65,6,12,0.39,99
2015-05-17,良,88,243,65,76,6,17,0.37,78
2015-05-18,良,100,298,69,88,14,20,0.49,78
2015-05-19,良,91,252,60,105,13,24,0.63,97
2015-05-20,良,99,327,72,103,10,18,0.56,108
2015-05-21,良,62,175,43,62,4,20,0.49,51
2015-05-22,优,43,60,20,40,9,17,0.32,68
2015-05-23,良,75,221,39,77,19,19,0.39,80
2015-05-24,良,68,171,45,65,13,14,0.52,97
2015-05-25,良,79,196,56,75,4,21,0.46,74
2015-05-26,良,95,242,70,98,19,27,0.74,53
2015-05-27,轻度污染,104,258,74,114,15,25,0.65,66
2015-05-28,轻度污染,106,289,79,109,8,31,0.76,62
2015-05-29,优,42,35,20,34,9,15,0.38,76
2015-05-30,良,68,243,32,61,25,21,0.50,81
2015-05-31,良,82,247,52,86,12,28,0.59,90
2015-06-01,良,91,243,63,97,12,23,0.52,106
2015-06-02,轻度污染,104,321,76,121,22,38,0.72,40
