日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,132,109,115,197,26,51,1.03,38
2014-01-01,轻度污染,138,116,108,200,34,59,1.21,33
2014-01-02,中度污染,157,118,123,222,38,53,1.23,22
2014-01-03,中度污染,192,130,145,270,41,52,1.45,26
2014-01-04,中度污染,163,138,121,223,41,52,1.53,34
2014-01-05,中度污染,165,110,125,221,42,56,1.53,28
2014-01-06,轻度污染,148,80,113,188,28,45,1.32,24
2014-01-07,轻度污染,130,103,97,130,31,47,0.99,24
2014-01-08,轻度污染,119,149,89,123,43,51,0.89,25
2014-01-09,中度污染,194,183,148,181,67,58,1.18,20
2014-01-10,中度污染,167,147,126,156,37,36,1.03,22
2014-01-11,中度污染,154,132,117,149,37,39,1.19,29
2014-01-12,中度污染,165,153,125,176,42,47,1.39,36
2014-01-13,中度污染,192,177,145,204,54,51,1.45,39
2014-01-14,中度污染,188,147,142,191,49,47,1.34,40
2014-01-15,重度污染,216,131,166,240,45,47,1.62,27
2014-01-16,重度污染,209,134,159,215,50,45,1.38,22
2014-01-17,中度污染,200,127,152,199,50,47,1.43,31
2014-01-18,中度污染,185,101,141,175,35,41,1.33,31
2014-01-19,中度污染,189,113,143,195,36,47,1.44,26
2014-01-20,重度污染,217,173,168,250,40,53,1.61,27
2014-01-21,中度污染,189,189,144,215,36,52,1.32,32
2014-01-22,中度污染,176,177,133,218,34,57,1.39,38
2014-01-24,重度污染,207,154,157,247,39,70,1.64,34
2014-01-25,严重污染,285,186,235,337,45,66,1.86,30
2014-01-26,严重污染,296,185,245,339,49,60,2.07,24
2014-01-27,严重污染,262,173,211,296,36,47,1.75,24
2014-01-28,严重污染,301,176,251,321,29,38,1.86,19
2014-01-29,严重污染,263,174,213,276,25,31,1.54,27
2014-01-30,重度污染,230,136,179,236,23,30,1.32,36
2014-01-31,重度污染,219,100,169,235,27,31,1.30,30
2014-02-01,重度污染,223,155,172,250,29,38,1.55,23
2014-02-02,重度污染,231,137,180,251,35,34,1.62,25
2014-02-03,重度污染,210,181,159,220,36,49,1.78,24
2014-02-04,重度污染,204,186,160,225,40,38,1.64,26
2014-02-05,良,88,163,64,97,33,27,1.32,22
2014-02-06,优,47,93,28,46,33,25,0.92,30
2014-02-07,优,49,88,29,49,36,29,0.74,26
2014-02-08,良,63,79,43,64,37,34,0.87,35
2014-02-09,良,54,91,34,53,40,32,0.74,35
2014-02-10,轻度污染,113,176,85,111,50,36,1.10,36
2014-02-11,轻度污染,140,172,106,137,55,44,1.27,30
2014-02-12,轻度污染,131,136,99,129,48,43,1.15,29
2014-02-13,轻度污染,136,142,102,141,43,47,1.16,37
2014-02-14,轻度污染,147,134,112,164,44,50,1.20,42
2014-02-15,中度污染,175,129,132,189,43,46,1.27,46
2014-02-16,中度污染,190,156,144,210,61,50,1.47,35
2014-02-17,轻度污染,132,149,100,143,33,34,0.99,25
2014-02-18,良,87,134,64,92,38,40,1.02,34
