日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,106,275,79,94,11,15,0.69,41
2015-01-06,良,83,229,61,71,7,11,0.28,34
2015-01-07,优,48,45,29,47,5,10,0.29,49
2015-01-08,优,39,12,23,37,2,5,0.29,24
2015-01-09,优,42,21,7,22,8,16,2.58,61
2015-01-10,良,56,46,9,13,6,6,1.43,90
2015-01-11,优,33,12,13,21,3,4,0.76,31
2015-01-12,优,33,16,20,24,1,4,0.68,2
2015-01-13,良,74,156,28,39,2,7,0.65,66
2015-01-14,良,57,93,27,53,2,7,0.69,74
2015-01-15,优,41,20,23,38,2,10,0.87,40
2015-01-16,优,38,10,20,36,2,6,0.98,40
2015-01-17,良,52,36,29,48,3,9,1.33,40
2015-01-18,优,26,4,15,21,2,7,1.31,39
2015-01-19,优,34,9,19,29,2,8,1.44,39
2015-01-20,优,36,6,16,35,3,8,1.07,39
2015-01-21,优,40,16,16,41,3,6,0.89,40
2015-01-22,优,39,7,19,39,3,8,0.69,40
2015-01-23,良,67,32,42,30,2,10,0.42,50
2015-01-24,良,75,61,37,31,2,16,0.56,56
2015-01-25,良,56,25,18,49,1,10,1.43,53
2015-01-26,优,48,21,18,51,2,9,2.44,40
2015-01-27,良,52,82,26,50,2,10,2.40,41
2015-01-28,良,59,202,31,65,2,15,0.79,42
2015-01-29,良,67,204,36,62,2,13,0.48,83
2015-01-30,良,83,231,58,89,2,14,0.26,64
2015-01-31,良,52,83,32,50,2,8,0.37,58
2015-02-01,良,54,79,37,42,1,5,0.30,55
2015-02-02,良,60,58,41,28,2,6,0.73,63
2015-02-03,轻度污染,109,191,80,42,2,11,0.82,54
2015-02-04,轻度污染,108,195,80,60,2,9,1.03,50
2015-02-05,优,46,36,22,47,2,12,1.10,49
2015-02-06,优,47,20,21,48,3,12,1.00,54
2015-02-07,良,51,37,25,55,1,9,0.90,48
2015-02-08,良,51,58,24,53,2,13,0.86,52
2015-02-09,优,49,33,25,49,2,8,0.60,68
2015-02-10,良,54,40,26,54,5,9,0.13,60
2015-02-11,优,50,25,30,52,5,10,0.15,62
2015-02-12,良,55,54,33,57,5,11,0.37,59
2015-02-13,良,52,28,29,54,5,10,0.39,60
2015-02-14,优,38,12,20,32,4,7,0.47,62
2015-02-15,优,38,7,21,33,4,5,0.59,61
2015-02-16,优,42,10,26,37,4,9,0.69,59
2015-02-17,优,46,33,30,30,3,5,0.49,62
2015-02-18,优,50,42,30,47,4,5,0.22,62
2015-02-19,良,78,108,51,76,16,4,0.20,67
2015-02-20,优,40,36,16,19,1,2,0.19,77
2015-02-21,优,36,26,18,25,1,2,0.31,66
2015-02-22,优,39,39,19,32,1,3,0.38,65
2015-02-23,优,33,27,16,24,2,3,0.48,61
2015-02-24,优,34,26,16,27,4,3,0.70,61
2015-02-25,优,37,45,22,34,6,2,0.79,59
2015-02-26,良,55,158,36,60,6,6,1.01,53
2015-02-27,良,63,243,43,71,6,7,1.11,51
2015-02-28,优,44,155,24,43,3,2,1.08,69
2015-03-01,优,48,103,27,45,3,3,1.26,71
2015-03-02,良,54,83,26,56,5,4,0.84,65
2015-03-03,优,49,69,25,52,6,7,0.30,51
2015-03-04,优,41,54,18,39,5,2,0.49,66
