日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,55,63,32,61,99,28,0.92,95
2015-01-06,良,55,98,38,54,41,18,1.08,52
2015-01-07,良,51,52,34,52,26,17,1.08,50
2015-01-08,优,37,9,22,35,28,17,0.91,61
2015-01-09,优,29,6,15,25,18,13,0.72,47
2015-01-10,优,36,10,21,33,28,16,0.73,35
2015-01-11,优,29,7,16,26,19,19,0.62,43
2015-01-12,优,36,26,17,29,54,12,0.55,58
2015-01-13,优,48,76,26,44,29,23,0.68,53
2015-01-14,良,58,95,38,60,43,30,0.72,49
2015-01-15,良,63,82,44,70,74,46,1.06,23
2015-01-16,良,66,80,45,68,84,31,0.70,57
2015-01-17,良,55,40,37,56,43,22,0.72,72
2015-01-18,良,55,41,37,54,28,15,0.62,65
2015-01-19,良,54,46,36,55,39,19,0.68,41
2015-01-20,良,55,35,37,58,27,23,0.85,22
2015-01-21,优,49,34,29,49,44,30,0.90,39
2015-01-22,良,52,21,29,47,27,24,0.74,60
2015-01-23,良,63,27,38,56,16,12,0.73,117
2015-01-24,良,57,23,27,42,8,8,0.60,100
2015-01-25,良,61,32,28,61,17,27,0.78,14
2015-01-26,优,45,13,29,46,23,22,1.08,16
2015-01-27,优,30,7,18,29,19,16,0.98,12
2015-01-28,优,15,1,4,7,14,17,1.47,16
2015-01-29,优,12,1,4,8,9,14,0.82,17
2015-01-30,优,27,6,12,18,15,12,0.61,58
2015-01-31,优,29,6,11,17,23,12,0.76,55
2015-02-01,优,20,1,7,13,21,15,0.76,31
2015-02-02,优,18,2,10,17,22,21,0.97,12
2015-02-03,优,16,1,7,12,14,12,0.81,32
2015-02-04,优,29,5,17,27,19,14,0.77,56
2015-02-05,良,51,51,32,45,32,16,0.77,89
2015-02-06,良,59,44,35,52,51,15,0.72,82
2015-02-07,良,52,43,33,49,46,17,0.74,82
2015-02-08,良,53,66,24,38,25,13,0.56,98
2015-02-09,良,56,67,29,44,30,15,0.61,101
2015-02-10,良,71,88,51,72,31,21,0.94,65
2015-02-11,良,78,100,43,67,40,26,1.04,66
2015-02-12,良,56,55,29,13,21,34,1.24,66
2015-02-13,良,73,93,59,15,11,20,1.26,76
2015-02-14,优,41,19,4,10,1,12,1.31,80
2015-02-15,优,43,12,6,14,5,13,0.86,85
2015-02-16,良,58,42,40,59,23,19,1.17,58
2015-02-17,优,31,2,17,29,6,14,1.09,45
2015-02-18,优,37,5,13,23,5,13,0.98,75
2015-02-19,优,43,3,17,28,3,11,0.73,73
2015-02-20,优,42,55,7,15,2,12,0.66,84
2015-02-21,优,27,7,7,15,2,11,0.77,46
2015-02-22,优,22,2,6,12,5,11,0.85,43
2015-02-23,优,25,9,7,14,8,14,1.02,46
2015-02-24,优,22,2,6,13,12,19,1.18,30
2015-02-25,优,24,4,12,19,32,15,0.91,30
2015-02-26,优,26,15,5,8,5,12,0.72,50
2015-02-27,优,18,1,6,12,17,15,1.10,24
2015-02-28,优,21,11,2,5,31,12,0.90,41
2015-03-01,优,42,70,14,16,77,15,0.88,80
2015-03-02,优,29,4,10,14,44,18,1.04,44
2015-03-03,优,38,24,16,24,82,17,0.95,51
2015-03-04,优,37,34,13,23,57,17,0.83,63
2015-03-05,优,36,51,5,7,88,16,1.02,56
2015-03-06,优,38,55,6,11,96,15,1.08,57
2015-03-07,优,32,20,10,15,62,16,0.87,47
2015-03-08,优,35,16,12,18,84,20,1.00,54
2015-03-09,优,40,32,21,29,108,29,1.17,49
2015-03-10,优,44,50,21,30,77,18,1.02,81
2015-03-11,优,40,41,13,19,89,19,1.31,51
2015-03-12,优,42,49,13,22,32,19,0.95,90
2015-03-13,优,31,9,10,16,31,15,0.94,52
2015-03-14,优,27,1,12,20,59,22,1.13,31
2015-03-15,优,30,2,12,21,82,21,1.18,25
2015-03-16,优,30,2,14,20,59,18,1.04,52
2015-03-17,良,53,67,20,31,29,14,0.86,98
2015-03-18,良,53,113,28,41,58,17,0.88,84
2015-03-19,优,43,42,21,31,117,22,1.06,47
2015-03-20,优,32,10,8,13,84,17,0.99,50
2015-03-21,优,38,10,8,15,43,18,0.81,73
2015-03-22,优,38,5,21,31,87,39,0.91,32
2015-03-23,优,31,5,11,19,71,18,0.81,54
2015-03-24,优,44,43,19,29,106,21,0.91,71
2015-03-25,优,34,6,13,23,24,14,0.90,63
2015-03-26,优,29,2,6,9,54,8,0.78,47
2015-03-27,优,29,2,9,15,73,17,0.71,18
2015-03-28,优,27,2,11,19,70,25,0.84,7
2015-03-29,优,32,5,14,26,48,18,0.89,25
2015-03-30,优,38,16,11,28,35,13,0.66,52
2015-03-31,优,43,44,3,20,4,4,0.31,87
2015-04-01,良,56,127,6,33,2,4,0.34,107
2015-04-02,良,67,238,14,36,5,7,0.37,123
2015-04-03,良,77,247,14,36,7,8,0.36,133
2015-04-04,良,94,289,13,34,4,6,0.44,151
2015-04-05,良,63,160,18,44,21,9,0.65,99
2015-04-06,优,34,32,7,19,59,14,0.88,57
2015-04-07,优,34,38,3,12,55,10,0.94,70
2015-04-08,优,45,92,6,16,41,10,0.63,85
2015-04-09,优,42,49,12,26,99,14,0.50,56
