日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,76,170,55,78,27,23,0.54,54
2015-01-06,良,78,212,57,93,26,22,0.93,28
2015-01-07,良,64,116,42,71,21,17,0.84,38
2015-01-08,良,74,119,54,77,17,21,0.92,30
2015-01-09,优,31,8,20,8,9,19,1.12,24
2015-01-10,良,66,66,46,38,15,18,1.10,27
2015-01-11,良,54,58,37,33,26,19,1.08,28
2015-01-12,良,65,125,46,54,19,23,1.08,26
2015-01-13,优,48,74,32,48,18,21,1.08,35
2015-01-14,良,87,171,63,88,48,24,1.15,32
2015-01-15,良,52,42,35,45,11,12,0.98,55
2015-01-16,良,74,99,53,77,13,19,1.07,41
2015-01-17,良,82,128,60,75,12,16,1.23,41
2015-01-18,优,47,26,32,20,14,17,1.39,36
2015-01-19,优,38,13,24,31,14,15,1.52,29
2015-01-20,优,39,11,22,33,12,14,1.53,33
2015-01-21,良,77,108,53,89,17,25,1.66,23
2015-01-22,良,69,64,47,82,11,20,1.71,27
2015-01-23,良,91,89,65,63,8,19,1.49,27
2015-01-24,良,56,22,33,27,8,14,1.36,43
2015-01-25,良,81,86,51,96,16,29,1.81,33
2015-01-26,良,54,27,34,55,11,15,1.56,54
2015-01-27,优,41,41,24,39,11,8,1.53,64
2015-01-28,优,48,141,24,49,10,14,1.61,53
2015-01-29,良,56,153,25,61,10,21,1.92,37
2015-01-30,优,41,50,21,39,9,15,2.42,27
2015-01-31,优,22,1,5,4,6,8,2.15,26
2015-02-01,优,22,2,6,4,10,8,2.06,21
2015-02-02,优,36,8,13,30,18,16,2.03,17
2015-02-03,优,20,2,6,14,15,15,1.70,17
2015-02-04,优,30,8,10,28,20,24,1.90,14
2015-02-05,优,35,7,12,33,18,24,1.90,20
2015-02-06,良,53,30,28,56,19,14,1.89,31
2015-02-07,良,60,57,39,68,15,32,1.97,18
2015-02-08,良,53,67,32,57,23,25,2.02,22
2015-02-09,良,58,81,36,63,16,23,2.01,30
2015-02-10,优,35,8,18,34,14,25,2.08,28
2015-02-11,良,57,40,35,63,25,28,2.22,24
2015-02-12,良,99,177,63,138,16,31,2.43,16
2015-02-13,良,64,57,39,75,14,26,2.14,20
2015-02-14,优,31,5,15,28,11,14,1.96,29
2015-02-15,优,43,13,17,44,11,26,2.07,21
2015-02-16,良,56,35,25,63,15,31,2.11,20
