日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,112,65,84,159,36,43,1.76,68
2014-01-01,轻度污染,101,54,55,116,32,35,1.77,52
2014-01-02,良,68,10,24,73,22,24,1.15,72
2014-01-03,良,74,26,45,97,47,31,1.35,68
2014-01-04,良,91,47,64,127,54,30,1.36,78
2014-01-05,良,66,7,33,81,20,18,1.04,70
2014-01-06,优,50,6,12,50,17,12,0.87,76
2014-01-07,优,50,5,14,47,17,17,0.91,77
2014-01-08,轻度污染,107,138,69,161,58,29,1.65,51
2014-01-09,良,72,84,46,90,31,23,1.52,60
2014-01-10,良,71,29,37,64,20,15,1.20,68
2014-01-11,良,55,14,17,57,26,16,1.11,68
2014-01-12,良,52,18,29,57,39,20,1.75,24
2014-01-13,良,53,22,28,60,65,18,1.83,52
2014-01-14,良,76,49,42,102,36,23,1.95,58
2014-01-15,良,68,19,39,84,40,18,1.68,67
2014-01-16,良,64,12,31,77,35,17,1.45,64
2014-01-17,良,87,30,61,101,41,23,1.76,53
2014-01-18,轻度污染,122,66,87,149,57,25,2.08,76
2014-01-19,良,99,25,59,122,42,21,1.73,89
2014-01-20,良,63,19,37,73,46,16,1.57,83
2014-01-21,良,88,93,57,118,40,25,2.17,62
2014-01-22,良,78,36,56,93,50,26,1.74,82
2014-01-24,良,51,10,23,53,19,13,1.16,77
2014-01-25,轻度污染,128,96,93,139,45,22,1.66,100
2014-01-26,轻度污染,123,136,93,128,25,19,1.82,71
2014-01-27,良,62,47,37,58,15,8,1.23,75
2014-01-28,良,60,42,34,61,27,14,1.32,68
2014-01-29,良,83,69,59,99,42,15,1.47,67
2014-01-30,良,87,35,61,98,49,13,1.42,70
2014-01-31,良,74,5,45,82,30,11,0.96,70
2014-02-01,优,46,10,20,39,25,9,0.96,75
2014-02-02,良,57,19,28,50,38,12,1.42,81
2014-02-03,良,75,98,48,76,56,11,1.73,87
2014-02-04,良,58,99,31,54,12,4,1.33,86
2014-02-05,优,47,86,12,30,12,2,1.26,92
2014-02-06,优,48,96,12,43,12,4,1.32,85
2014-02-07,优,48,82,16,37,18,6,1.39,90
2014-02-08,优,50,54,16,44,10,3,1.41,91
2014-02-09,良,67,116,44,71,33,10,1.97,63
2014-02-10,优,48,66,30,48,21,9,2.01,37
2014-02-11,良,73,82,45,64,20,142,1.85,33
2014-02-12,轻度污染,105,114,63,99,26,217,0.68,19
2014-02-13,良,64,51,43,65,35,21,0.77,11
2014-02-14,良,81,46,59,83,29,24,0.93,20
2014-02-15,良,72,38,44,79,20,15,0.68,49
2014-02-16,良,56,36,28,63,11,12,0.67,62
2014-02-17,优,42,24,18,41,16,12,0.95,45
2014-02-18,良,58,73,36,57,10,28,1.51,27
2014-02-19,良,75,71,54,80,33,22,1.37,50
2014-02-20,良,73,57,52,83,38,28,1.38,36
2014-02-21,良,51,6,12,53,11,17,0.82,55
2014-02-22,良,94,50,67,108,45,24,1.37,37
2014-02-23,良,72,27,48,77,28,21,1.30,43
2014-02-24,优,48,9,20,48,15,14,0.82,56
2014-02-25,良,53,32,28,57,34,19,1.13,46
2014-02-26,良,66,41,37,76,48,24,1.20,48
2014-02-27,良,56,38,28,63,20,20,0.97,63
2014-02-28,良,55,65,20,61,24,16,0.85,58
2014-03-01,良,53,54,14,59,15,13,0.82,60
2014-03-02,良,52,35,18,56,26,20,0.91,49
2014-03-03,良,58,40,14,70,22,17,0.88,50
2014-03-04,良,56,40,22,63,42,28,1.03,52
2014-03-05,良,67,73,41,77,24,21,1.17,59
2014-03-06,良,60,88,35,66,25,18,1.00,70
2014-03-07,良,72,109,47,83,24,24,1.04,67
2014-03-08,良,69,86,35,87,31,24,1.17,58
2014-03-09,良,69,62,46,79,25,24,1.40,49
2014-03-10,良,81,65,52,101,32,26,1.65,55
2014-03-11,良,73,35,38,96,25,20,1.37,72
2014-03-12,良,71,72,51,76,24,19,1.36,76
2014-03-13,良,94,145,69,109,37,29,1.59,58
2014-03-14,良,72,32,50,73,27,32,1.64,20
2014-03-15,良,89,60,59,104,20,21,1.56,50
2014-03-16,良,89,53,64,107,45,28,1.67,57
2014-03-17,良,70,16,39,87,38,34,1.44,58
2014-03-18,良,69,29,41,86,24,22,1.35,80
2014-03-19,良,76,39,51,95,39,35,1.53,66
2014-03-20,良,96,156,67,116,43,34,1.77,44
2014-03-21,良,55,21,35,59,23,22,1.61,34
2014-03-22,良,63,23,44,66,19,19,1.72,47
2014-03-23,良,56,13,38,56,15,15,1.62,64
2014-03-25,优,50,8,25,51,21,24,1.34,72
2014-03-26,良,61,15,38,70,38,26,1.49,55
2014-03-27,良,55,17,28,59,25,22,1.28,66
2014-03-28,良,52,21,27,54,22,16,1.27,70
2014-03-29,良,81,90,58,88,41,29,1.61,56
2014-03-30,良,80,61,53,98,26,21,1.45,74
2014-03-31,良,73,60,48,89,34,22,1.56,67
2014-04-01,良,82,92,59,98,29,24,1.79,56
2014-04-02,良,69,64,38,80,20,23,1.67,58
2014-04-03,良,83,117,59,95,37,23,1.71,56
2014-04-04,良,63,24,45,62,18,22,1.64,54
2014-04-05,良,70,55,48,72,18,22,1.68,57
2014-04-06,优,42,5,25,42,24,19,1.58,60
2014-04-07,良,76,72,55,82,28,24,1.71,60
2014-04-08,良,73,41,53,77,24,22,1.61,64
2014-04-09,良,53,10,34,56,24,24,1.71,72
2014-04-10,良,61,31,34,68,28,20,1.45,74
2014-04-11,良,57,20,25,63,20,18,1.39,63
2014-04-12,良,58,43,30,66,32,24,1.43,54
2014-04-13,良,72,79,46,90,52,25,1.70,74
2014-04-14,轻度污染,114,139,58,122,53,14,1.16,162
2014-04-15,良,86,93,48,95,66,21,1.08,119
2014-04-16,良,71,85,39,79,21,19,1.53,101
2014-04-17,良,76,78,43,82,33,22,1.22,111
2014-04-18,良,72,84,43,87,32,22,1.25,94
2014-04-19,良,69,118,42,81,39,23,1.26,101
2014-04-20,良,91,141,56,93,23,16,1.22,119
2014-04-21,良,71,97,39,79,18,17,1.09,118
2014-04-22,良,93,132,68,108,35,27,1.80,71
2014-04-23,良,94,112,59,102,26,23,1.41,112
2014-04-24,良,98,135,61,108,24,23,1.30,140
2014-04-25,轻度污染,107,157,68,116,24,22,1.33,146
2014-04-26,轻度污染,118,175,87,114,39,28,1.50,101
2014-04-27,良,77,117,48,90,27,25,1.49,41
2014-04-28,良,60,53,40,66,17,26,1.82,40
2014-04-29,优,34,1,20,31,14,24,1.96,26
2014-04-30,良,61,20,41,63,40,26,2.28,53
2014-05-01,良,71,31,50,72,21,24,1.68,73
2014-05-02,良,59,30,40,57,23,22,1.39,72
2014-05-03,良,60,39,42,56,14,15,1.32,78
2014-05-04,优,37,8,17,31,15,17,1.19,62
2014-05-05,良,52,48,33,54,24,28,1.50,55
2014-05-06,良,67,63,47,66,16,26,1.60,59
2014-05-07,良,57,38,38,55,21,24,1.61,58
2014-05-08,良,63,44,37,55,16,18,1.29,74
2014-05-09,优,43,24,17,36,23,16,1.15,81
2014-05-10,优,47,47,21,42,22,16,1.19,86
2014-05-11,良,53,84,28,49,39,21,1.45,86
2014-05-12,良,53,43,30,49,21,17,1.37,73
2014-05-13,优,45,18,14,39,20,13,1.16,90
2014-05-14,良,54,45,17,42,22,15,1.19,107
2014-05-15,轻度污染,106,161,71,104,25,21,1.58,115
2014-05-16,良,72,54,33,64,23,17,1.32,109
2014-05-17,良,75,65,26,57,25,17,1.29,120
2014-05-18,良,79,100,28,60,36,21,1.48,117
