日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,169,74,126,159,68,54,1.67,60
2013-10-29,中度污染,181,84,137,174,68,65,1.77,52
2013-10-30,中度污染,168,100,126,164,64,55,1.49,61
2013-10-31,轻度污染,145,87,109,140,69,54,1.12,63
2013-11-01,轻度污染,146,82,110,122,39,37,1.09,66
2013-11-02,轻度污染,101,50,75,91,31,23,0.96,65
2013-11-03,良,72,25,52,67,33,22,1.04,48
2013-11-04,良,80,41,58,72,35,21,0.98,56
2013-11-05,轻度污染,108,71,81,98,34,24,1.07,72
2013-11-06,轻度污染,131,64,93,105,36,29,1.19,62
2013-11-07,轻度污染,131,75,109,138,45,37,0.89,65
2013-11-08,中度污染,152,87,117,150,56,51,1.51,58
2013-11-09,轻度污染,148,82,99,133,49,47,1.54,44
2013-11-10,轻度污染,111,76,65,80,34,32,1.12,21
2013-11-11,良,52,28,26,37,24,26,1.45,18
2013-11-12,优,29,10,9,14,18,26,1.23,16
2013-11-13,优,14,1,13,19,22,21,1.12,29
2013-11-14,优,28,4,23,33,29,24,1.11,23
2013-11-15,优,38,5,30,40,24,24,1.11,36
2013-11-16,良,59,11,50,68,32,26,1.11,55
2013-11-17,良,75,29,65,104,39,34,1.15,56
2013-11-18,良,94,64,78,124,47,49,1.20,47
2013-11-19,轻度污染,111,78,85,138,43,43,1.21,67
2013-11-20,轻度污染,117,52,102,154,60,59,1.49,37
2013-11-21,轻度污染,126,52,86,142,57,55,1.60,50
2013-11-22,轻度污染,103,32,78,132,72,56,1.53,54
2013-11-23,轻度污染,108,39,93,138,64,62,1.78,50
2013-11-24,轻度污染,133,58,73,83,44,40,1.76,45
2013-11-25,良,55,9,22,60,32,26,1.21,60
2013-11-26,良,65,27,52,105,54,45,1.42,40
2013-11-27,良,78,46,42,67,30,34,1.18,32
2013-11-28,良,51,15,30,61,37,24,0.99,49
2013-11-29,良,58,29,33,63,46,37,1.04,42
2013-11-30,良,60,17,52,87,56,54,1.30,30
2013-12-01,良,71,25,51,83,46,48,1.31,45
2013-12-02,良,68,13,59,98,51,57,1.37,38
2013-12-03,良,95,27,84,131,57,64,1.67,32
2013-12-04,轻度污染,112,35,85,129,54,59,1.68,42
2013-12-05,轻度污染,107,40,85,130,62,65,1.48,33
2013-12-06,轻度污染,121,55,106,145,64,67,1.63,43
