日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,161,69,124,166,84,57,1.97,59
2013-10-29,优,45,8,30,45,32,33,1.16,30
2013-10-30,良,99,60,70,124,77,57,1.75,16
2013-10-31,轻度污染,122,72,91,166,116,87,2.34,14
2013-11-01,中度污染,164,88,125,209,133,98,2.52,14
2013-11-02,重度污染,203,94,156,215,152,79,2.81,21
2013-11-03,中度污染,170,102,129,165,109,66,2.28,15
2013-11-04,良,90,58,62,115,135,62,1.55,10
2013-11-05,良,86,46,59,117,122,60,1.75,25
2013-11-06,轻度污染,127,60,105,139,93,55,1.54,45
2013-11-07,良,86,37,18,50,55,39,0.35,30
2013-11-08,良,63,16,35,77,96,48,1.19,26
2013-11-09,良,60,17,41,72,63,42,0.92,26
2013-11-10,良,59,31,27,69,63,38,0.91,31
2013-11-11,良,58,49,28,57,76,35,0.88,34
2013-11-12,良,67,54,58,101,125,53,1.40,20
2013-11-13,良,88,64,64,114,120,56,1.46,16
2013-11-14,良,72,42,54,88,100,54,1.29,26
2013-11-15,轻度污染,107,51,91,171,154,67,2.17,14
2013-11-16,轻度污染,116,46,86,151,102,55,1.66,15
2013-11-17,良,69,21,19,35,55,24,0.91,29
2013-11-18,优,39,11,16,50,48,25,0.92,29
2013-11-19,优,48,12,23,45,77,30,1.11,27
2013-11-20,良,70,22,68,105,171,54,1.49,11
2013-11-21,轻度污染,124,48,114,167,185,72,2.17,10
2013-11-22,轻度污染,150,69,108,182,202,77,2.77,13
2013-11-23,中度污染,182,70,218,271,196,94,3.04,7
2013-11-24,严重污染,315,105,225,287,194,78,3.09,6
2013-11-25,轻度污染,133,105,21,54,70,32,1.05,30
2013-11-26,良,66,29,40,82,88,40,1.50,20
2013-11-27,良,54,12,14,71,57,22,0.88,34
2013-11-28,良,69,62,34,95,86,38,1.04,21
2013-11-29,良,80,72,56,110,140,55,1.48,14
2013-11-30,良,72,38,59,88,107,55,1.18,20
2013-12-01,轻度污染,124,77,105,167,180,69,2.47,11
2013-12-02,轻度污染,124,51,103,161,206,78,2.61,11
2013-12-03,中度污染,157,57,124,168,142,76,1.97,11
2013-12-04,轻度污染,137,47,88,134,139,68,1.84,16
2013-12-05,良,76,12,51,77,88,43,1.04,21
2013-12-06,轻度污染,107,44,82,136,149,62,1.53,14
2013-12-07,轻度污染,138,39,107,161,247,65,1.71,13
2013-12-08,轻度污染,129,26,115,149,173,53,1.74,8
2013-12-09,中度污染,151,43,80,98,95,39,1.10,17
2013-12-10,轻度污染,130,72,119,163,153,62,1.53,9
2013-12-11,轻度污染,105,53,42,63,96,36,1.02,19
2013-12-12,良,68,20,43,94,105,34,1.07,21
2013-12-13,良,59,13,35,63,88,38,0.94,21
2013-12-14,良,67,14,44,86,121,42,1.10,19
2013-12-15,良,68,22,60,98,163,55,1.27,13
2013-12-16,轻度污染,139,79,121,176,289,67,1.79,9
2013-12-17,重度污染,216,93,213,259,213,76,1.97,16
2013-12-18,重度污染,249,107,166,211,171,66,1.54,15
2013-12-19,轻度污染,149,85,79,124,130,45,1.07,24
