日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,严重污染,462,113,308,577,100,109,3.55,28
2013-10-29,严重污染,300,106,230,385,66,81,2.33,28
2013-10-30,中度污染,191,106,144,281,54,70,1.69,25
2013-10-31,严重污染,270,114,204,387,59,85,2.31,8
2013-11-01,严重污染,288,110,226,359,63,76,1.84,5
2013-11-02,严重污染,263,106,213,348,64,69,2.14,14
2013-11-03,轻度污染,144,86,90,201,39,52,1.39,27
2013-11-04,轻度污染,134,97,76,216,83,69,1.19,15
2013-11-05,重度污染,214,113,138,348,113,89,1.81,16
2013-11-06,轻度污染,138,69,57,204,87,52,0.69,38
2013-11-07,轻度污染,115,69,51,196,77,60,0.39,20
2013-11-08,中度污染,160,93,149,349,85,94,1.68,11
2013-11-09,重度污染,249,113,169,335,70,87,2.11,6
2013-11-10,轻度污染,133,87,41,137,58,40,0.70,24
2013-11-11,轻度污染,120,111,68,193,64,53,1.14,22
2013-11-12,轻度污染,137,105,134,296,122,86,1.95,10
2013-11-13,严重污染,269,111,245,529,167,109,3.96,7
2013-11-14,严重污染,384,111,122,350,83,60,1.35,29
2013-11-15,中度污染,173,95,87,338,106,60,0.75,32
2013-11-16,中度污染,194,95,59,258,49,38,0.38,40
2013-11-17,轻度污染,107,65,48,135,80,47,0.65,25
2013-11-18,轻度污染,106,87,83,218,110,66,1.06,14
2013-11-19,轻度污染,139,101,95,198,81,57,1.27,17
2013-11-20,中度污染,167,91,169,358,137,96,2.40,9
2013-11-21,严重污染,308,113,234,459,206,115,2.91,9
2013-11-22,严重污染,392,113,293,555,284,127,4.79,13
2013-11-23,严重污染,498,114,378,670,237,147,6.23,11
2013-11-24,严重污染,420,111,196,398,125,73,2.25,13
2013-11-25,轻度污染,129,103,42,150,69,40,0.58,24
2013-11-26,轻度污染,115,89,100,249,120,60,1.52,17
2013-11-27,轻度污染,104,78,29,122,45,27,0.42,42
2013-11-28,良,91,103,40,131,83,49,0.80,28
2013-11-29,良,90,88,60,165,164,69,1.06,22
2013-11-30,轻度污染,127,98,88,214,163,72,1.45,21
2013-12-01,中度污染,166,99,166,338,203,100,3.09,12
2013-12-02,严重污染,273,106,264,491,262,127,4.47,11
2013-12-03,严重污染,361,109,194,360,209,103,2.74,13
2013-12-04,重度污染,215,74,196,388,201,114,2.91,14
2013-12-05,重度污染,221,76,123,256,111,85,1.95,14
2013-12-06,中度污染,169,74,202,390,181,111,4.28,14
2013-12-07,严重污染,397,109,343,566,142,124,4.74,12
2013-12-08,严重污染,461,112,269,503,88,127,3.98,7
2013-12-09,重度污染,240,84,31,108,100,44,0.62,27
2013-12-10,轻度污染,111,59,75,208,137,57,1.46,27
2013-12-11,轻度污染,104,51,33,136,89,51,0.88,31
2013-12-12,轻度污染,105,53,67,179,134,64,1.39,24
2013-12-13,严重污染,319,114,399,225,149,69,1.63,16
2013-12-14,严重污染,345,113,181,315,219,112,3.35,12
2013-12-15,严重污染,277,103,281,433,234,130,4.19,14
2013-12-16,严重污染,384,109,327,489,213,134,4.82,19
2013-12-17,严重污染,306,107,169,282,138,105,3.61,6
2013-12-18,中度污染,197,97,171,246,134,67,3.26,11
2013-12-19,严重污染,312,108,312,480,161,85,4.34,12
2013-12-20,严重污染,480,112,477,645,150,117,6.31,15
2013-12-21,严重污染,498,113,448,615,171,118,5.86,11
2013-12-22,严重污染,440,114,427,620,188,122,6.37,9
2013-12-23,严重污染,500,114,580,770,260,162,8.78,12
2013-12-24,严重污染,500,114,508,731,283,154,7.83,9
2013-12-25,严重污染,500,112,653,843,262,186,9.46,10
2013-12-26,严重污染,342,103,28,82,41,31,0.63,33
2013-12-27,良,65,23,47,95,140,53,1.29,16
2013-12-28,良,84,32,65,125,105,57,1.85,25
2013-12-29,良,89,36,42,128,104,54,0.81,32
2013-12-30,良,87,22,36,129,97,60,0.67,36
2013-12-31,良,96,36,32,139,64,53,0.55,46
2014-01-01,良,86,30,45,118,96,54,0.93,41
2014-01-02,中度污染,153,110,150,255,226,104,2.48,16
2014-01-03,轻度污染,144,94,105,209,178,74,1.58,28
2014-01-04,重度污染,241,179,180,335,175,88,3.11,16
2014-01-05,严重污染,290,183,224,373,150,85,3.25,19
2014-01-06,严重污染,390,189,325,475,150,86,4.30,14
2014-01-07,严重污染,404,189,346,504,180,85,4.25,11
2014-01-08,重度污染,215,185,171,270,108,57,2.68,20
2014-01-09,中度污染,162,172,116,240,126,63,2.18,16
2014-01-10,严重污染,261,182,204,372,265,96,3.01,7
2014-01-11,严重污染,463,190,368,591,301,130,5.53,8
2014-01-12,中度污染,185,166,143,258,129,71,1.89,29
2014-01-13,重度污染,248,185,188,346,198,87,5.05,15
2014-01-14,严重污染,347,189,260,461,257,111,5.35,9
2014-01-15,严重污染,453,190,403,638,273,135,5.34,8
2014-01-16,严重污染,500,190,519,701,209,142,5.31,10
2014-01-17,严重污染,500,190,484,724,150,128,5.22,9
2014-01-18,严重污染,459,189,424,594,175,120,5.29,13
2014-01-19,严重污染,489,190,329,654,136,103,3.70,20
2014-01-20,良,100,61,28,143,46,33,0.63,45
2014-01-21,轻度污染,138,172,97,208,127,65,1.94,18
2014-01-22,严重污染,276,190,204,394,272,112,3.82,13
2014-01-24,严重污染,411,190,299,515,236,153,4.68,11
2014-01-25,重度污染,208,161,161,291,141,85,3.04,28
2014-01-26,重度污染,243,176,189,329,155,76,2.82,14
2014-01-27,严重污染,404,189,299,507,176,94,4.33,20
2014-01-28,严重污染,316,181,238,412,148,75,3.63,25
2014-01-29,严重污染,377,190,270,485,180,88,4.04,25
2014-01-30,重度污染,221,125,173,323,113,54,2.56,34
2014-01-31,重度污染,236,113,188,319,110,35,1.50,22
2014-02-01,重度污染,220,153,170,294,97,37,1.69,20
2014-02-02,严重污染,269,168,191,391,75,35,2.20,19
2014-02-03,轻度污染,115,149,71,164,49,19,0.84,35
2014-02-04,轻度污染,116,169,82,172,71,25,1.04,27
2014-02-05,轻度污染,114,180,86,132,65,22,0.70,19
2014-02-06,轻度污染,136,180,103,153,87,23,0.74,27
2014-02-07,中度污染,153,177,116,166,62,23,1.00,28
2014-02-08,中度污染,155,175,118,170,60,20,0.89,40
2014-02-09,优,44,67,25,43,36,13,0.45,47
2014-02-10,良,63,119,37,75,46,27,0.96,30
2014-02-11,中度污染,182,182,143,229,156,65,2.26,18
2014-02-12,严重污染,380,190,299,482,231,97,3.55,13
2014-02-13,严重污染,372,189,305,476,257,100,3.22,24
2014-02-14,严重污染,424,189,339,541,231,108,3.09,18
2014-02-15,严重污染,491,189,457,690,171,113,3.61,14
2014-02-16,严重污染,481,189,506,741,176,155,4.32,8
2014-02-17,重度污染,223,183,178,291,109,79,1.80,30
2014-02-18,轻度污染,119,170,89,169,83,55,0.93,32
2014-02-19,重度污染,212,188,163,277,87,64,1.52,26
2014-02-20,严重污染,284,190,232,365,124,71,2.11,16
2014-02-21,严重污染,398,189,351,472,133,106,2.62,29
2014-02-22,严重污染,405,189,357,486,117,105,3.18,15
2014-02-23,严重污染,400,187,346,474,114,97,3.46,13
2014-02-24,严重污染,347,183,297,409,124,89,3.03,22
2014-02-25,严重污染,459,189,428,596,167,119,3.93,20
2014-02-26,严重污染,476,189,498,710,125,98,4.39,21
2014-02-27,中度污染,153,175,118,167,24,24,1.17,35
2014-02-28,轻度污染,110,171,82,136,64,42,0.91,23
2014-03-01,中度污染,151,177,114,202,89,50,1.15,33
2014-03-02,中度污染,181,164,138,257,104,63,1.51,21
2014-03-03,严重污染,351,190,291,440,79,81,2.54,12
2014-03-04,重度污染,235,187,191,303,57,59,2.18,27
2014-03-05,良,85,117,55,106,46,35,0.67,38
2014-03-06,轻度污染,103,153,70,143,57,43,0.93,38
2014-03-07,中度污染,154,181,115,215,117,67,1.43,19
2014-03-08,严重污染,265,188,213,344,166,103,1.92,25
2014-03-09,重度污染,246,186,198,303,100,76,1.76,36
2014-03-10,重度污染,241,188,191,293,132,84,1.81,27
