日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,82,201,38,111,54,21,0.38,73
2015-01-06,良,58,112,40,46,15,14,1.46,53
2015-01-07,良,59,82,42,56,18,21,1.71,51
2015-01-08,良,69,102,49,69,14,33,1.95,21
2015-01-09,良,51,36,31,51,7,27,1.97,24
2015-01-10,良,55,42,35,66,10,32,2.13,16
2015-01-11,良,80,114,57,102,11,34,1.91,16
2015-01-12,良,78,163,55,101,17,31,1.01,32
2015-01-13,良,86,177,59,114,8,24,1.38,58
2015-01-14,良,95,185,69,132,5,34,1.88,31
2015-01-15,良,87,140,60,118,6,30,1.96,34
2015-01-16,良,82,123,55,111,8,29,2.08,41
2015-01-17,良,86,148,60,119,6,28,2.35,42
2015-01-18,良,86,125,60,120,4,31,2.43,58
2015-01-19,良,98,202,70,142,5,47,2.74,15
2015-01-20,良,100,196,64,147,15,42,2.56,15
2015-01-21,良,92,149,58,131,23,35,2.67,20
2015-01-22,良,85,123,51,118,22,32,2.67,35
2015-01-23,良,96,97,65,137,34,45,3.01,32
2015-01-24,轻度污染,122,173,92,173,36,44,3.19,16
2015-01-25,良,98,121,53,143,13,23,3.21,31
2015-01-26,轻度污染,110,156,80,143,14,23,3.45,52
2015-01-27,良,68,138,43,77,16,19,3.12,47
2015-01-28,优,29,27,7,17,20,17,1.47,22
2015-01-29,优,46,83,12,47,18,9,0.39,36
2015-01-30,良,63,143,34,75,28,10,0.62,56
2015-01-31,良,62,141,33,71,31,10,0.66,55
2015-02-01,良,63,120,37,72,21,12,0.75,54
2015-02-02,良,59,54,33,66,16,13,0.90,39
2015-02-03,良,77,108,45,94,20,16,1.30,31
2015-02-04,良,96,177,70,122,28,24,1.08,29
2015-02-05,良,95,225,66,126,35,22,1.03,47
2015-02-06,良,80,117,52,103,32,25,0.82,47
2015-02-07,良,96,171,65,139,51,35,1.16,24
2015-02-08,良,86,233,57,116,42,23,0.90,55
2015-02-09,良,100,262,73,137,59,23,1.02,73
2015-02-10,轻度污染,124,251,93,163,47,32,1.22,22
2015-02-11,轻度污染,106,184,79,135,36,27,1.19,37
2015-02-12,良,89,148,60,126,32,27,1.11,41
2015-02-13,轻度污染,106,213,77,146,42,37,1.82,24
2015-02-14,轻度污染,122,201,92,158,31,29,1.66,9
2015-02-15,良,75,103,48,94,23,23,1.32,20
2015-02-16,良,67,69,40,80,17,14,0.86,31
2015-02-17,良,82,157,58,102,16,13,0.71,45
2015-02-18,良,95,214,70,125,22,8,0.68,51
2015-02-19,良,74,92,35,87,6,4,0.60,71
2015-02-20,优,42,52,14,42,2,4,0.83,50
2015-02-21,优,46,79,9,47,4,3,0.74,63
2015-02-22,良,55,96,18,62,5,5,0.59,63
2015-02-23,良,56,104,25,60,4,3,0.38,71
2015-02-24,良,64,140,30,75,5,6,1.03,53
2015-02-25,良,52,131,18,55,4,7,0.90,43
2015-02-26,良,57,171,24,65,6,7,0.54,38
2015-02-27,优,37,72,6,36,4,7,0.50,40
2015-02-28,优,42,148,9,41,2,3,0.51,58
