日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,83,25,61,96,31,48,0.70,48
2013-10-29,轻度污染,114,55,85,135,39,68,1.02,31
2013-10-30,良,91,52,67,100,21,34,0.82,45
2013-10-31,良,77,47,56,81,18,39,0.85,34
2013-11-01,良,63,27,44,71,23,37,0.83,40
2013-11-02,轻度污染,140,74,106,152,40,62,1.38,14
2013-11-03,中度污染,160,98,121,165,27,44,1.54,11
2013-11-04,轻度污染,135,100,101,150,36,42,1.44,32
2013-11-05,良,80,36,55,97,34,50,0.97,36
2013-11-06,轻度污染,145,75,132,191,45,63,1.78,37
2013-11-07,重度污染,219,112,166,237,57,70,1.80,46
2013-11-08,重度污染,212,107,132,195,35,60,1.26,57
2013-11-09,轻度污染,131,76,113,160,38,57,1.39,46
2013-11-10,轻度污染,145,90,65,93,27,31,1.12,28
2013-11-11,良,64,62,50,83,44,37,1.01,35
2013-11-12,良,70,58,53,88,44,43,1.04,25
2013-11-13,良,76,57,57,92,40,45,0.99,34
2013-11-14,良,93,57,98,133,39,58,1.26,12
2013-11-15,中度污染,178,98,146,240,57,59,2.13,20
2013-11-16,中度污染,172,86,113,246,47,56,1.42,33
2013-11-17,轻度污染,150,105,84,207,53,43,1.07,25
2013-11-18,轻度污染,117,97,90,155,64,52,1.53,17
2013-11-19,轻度污染,132,99,122,195,81,69,2.04,16
2013-11-20,中度污染,169,95,135,210,60,77,1.66,25
2013-11-21,重度污染,201,93,155,223,66,93,1.52,19
2013-11-22,中度污染,154,70,91,132,35,52,1.08,33
2013-11-23,轻度污染,114,46,101,151,37,63,1.04,34
2013-11-24,轻度污染,135,59,88,120,26,45,1.30,17
2013-11-25,轻度污染,109,89,69,234,39,42,1.38,17
2013-11-26,中度污染,169,109,89,270,42,56,1.50,17
2013-11-27,轻度污染,135,105,77,166,50,48,1.08,21
2013-11-28,良,81,90,50,104,56,41,1.00,19
2013-11-29,良,83,77,61,119,61,47,1.39,14
2013-11-30,良,91,62,75,118,41,57,1.32,17
2013-12-01,中度污染,155,92,192,275,85,80,2.52,14
2013-12-02,严重污染,258,104,177,235,65,82,2.18,17
2013-12-03,重度污染,230,80,204,285,74,112,2.08,15
2013-12-04,严重污染,292,92,290,382,63,96,3.16,21
2013-12-05,严重污染,340,101,272,333,52,91,2.60,25
2013-12-06,严重污染,364,111,373,471,62,85,3.19,11
2013-12-07,严重污染,380,105,263,347,45,81,2.74,18
2013-12-08,严重污染,281,75,218,266,42,69,1.67,34
2013-12-09,严重污染,339,110,225,306,50,64,2.25,21
2013-12-10,中度污染,162,96,99,154,70,60,1.69,19
2013-12-11,轻度污染,143,89,108,176,67,60,1.86,15
2013-12-12,轻度污染,131,78,124,193,66,74,1.73,19
2013-12-13,重度污染,225,109,172,224,64,69,2.09,19
2013-12-14,轻度污染,131,56,86,137,49,69,1.53,11
2013-12-15,轻度污染,148,69,121,169,45,50,1.10,33
2013-12-16,轻度污染,101,53,39,49,23,38,1.12,24
2013-12-17,良,58,39,44,48,21,37,1.13,22
2013-12-18,良,66,53,77,103,34,37,1.23,32
2013-12-19,轻度污染,127,69,116,160,62,53,1.53,25
2013-12-20,重度污染,225,91,202,262,102,80,2.32,13
2013-12-21,中度污染,180,80,86,118,64,59,1.47,23
2013-12-22,轻度污染,125,51,103,139,55,63,1.75,19
2013-12-23,中度污染,154,50,135,175,55,76,1.97,14
2013-12-24,重度污染,213,69,204,254,111,87,2.31,16
2013-12-25,严重污染,277,78,236,291,91,97,2.54,15
2013-12-26,严重污染,324,98,277,368,107,96,2.41,12
2013-12-27,中度污染,169,98,54,97,50,49,0.91,22
2013-12-28,轻度污染,107,63,94,148,70,72,1.67,17
2013-12-29,中度污染,157,99,135,195,91,81,1.78,15
2013-12-30,中度污染,152,96,101,150,58,72,1.14,26
2013-12-31,轻度污染,129,99,96,150,70,77,1.14,31
2014-01-01,轻度污染,136,109,120,174,62,85,1.39,31
2014-01-02,中度污染,172,139,147,212,64,126,1.65,21
2014-01-03,重度污染,246,165,197,274,88,131,2.07,17
2014-01-04,中度污染,184,155,142,215,52,64,1.50,16
2014-01-05,中度污染,156,101,121,177,57,85,1.30,16
2014-01-06,良,79,22,53,89,35,63,0.86,24
2014-01-07,良,83,41,61,84,29,67,1.03,17
2014-01-08,良,71,85,51,62,16,37,1.07,32
2014-01-09,良,76,103,54,84,39,50,1.24,22
2014-01-10,良,84,51,61,104,40,68,0.97,22
2014-01-11,良,94,64,70,93,29,58,0.84,23
2014-01-12,中度污染,172,158,132,158,43,59,1.31,27
2014-01-13,轻度污染,115,122,87,120,43,50,0.94,27
2014-01-14,良,74,47,53,78,39,63,0.79,22
2014-01-15,良,82,36,60,81,36,64,0.78,25
2014-01-16,轻度污染,115,53,87,118,34,75,0.96,27
2014-01-17,中度污染,194,119,149,194,52,92,1.68,22
2014-01-18,严重污染,275,159,225,280,54,66,1.77,27
2014-01-19,严重污染,269,155,219,280,42,74,1.84,36
2014-01-20,重度污染,239,182,182,306,61,74,1.96,27
2014-01-21,良,91,109,53,129,49,51,0.98,27
2014-01-22,良,86,54,63,93,32,61,0.89,25
2014-01-24,良,89,59,66,96,25,67,0.80,33
2014-01-25,中度污染,177,136,139,189,33,55,1.33,33
2014-01-26,良,75,73,47,82,25,30,0.79,44
2014-01-27,良,56,35,32,58,16,44,0.59,35
2014-01-28,轻度污染,105,108,78,116,33,49,1.11,37
2014-01-29,轻度污染,104,100,78,107,17,36,0.97,33
2014-01-30,中度污染,196,113,154,187,29,51,2.18,30
2014-01-31,重度污染,231,109,183,229,21,35,1.45,58
2014-02-01,轻度污染,127,101,96,116,23,33,1.21,62
2014-02-02,严重污染,276,172,226,342,14,50,2.73,17
2014-02-03,轻度污染,114,148,76,130,15,23,1.09,51
2014-02-04,优,48,56,22,48,19,16,0.66,60
2014-02-05,优,29,3,17,27,9,19,0.62,50
2014-02-06,优,23,8,11,13,8,19,0.71,47
2014-02-07,优,34,37,21,25,10,23,0.92,47
2014-02-08,良,83,123,61,75,22,21,1.10,50
2014-02-09,良,80,142,59,76,24,22,1.08,48
2014-02-10,良,53,88,36,50,17,17,0.87,48
2014-02-11,良,65,58,46,63,25,27,0.97,44
2014-02-12,良,70,47,50,67,38,40,1.05,38
2014-02-13,良,65,54,45,63,26,31,1.03,49
2014-02-14,良,98,78,73,101,35,41,1.20,46
2014-02-15,良,81,47,59,78,32,52,0.91,38
2014-02-16,良,56,35,39,48,17,58,0.82,27
2014-02-17,良,64,76,46,55,18,49,1.11,26
2014-02-18,良,52,60,37,41,17,41,1.04,38
2014-02-19,轻度污染,110,134,82,105,32,42,1.16,45
2014-02-20,轻度污染,142,130,107,139,60,48,1.76,39
2014-02-21,中度污染,169,133,128,168,49,66,1.06,76
2014-02-22,轻度污染,140,96,105,136,40,67,0.95,48
2014-02-23,轻度污染,124,96,94,125,37,52,0.92,61
2014-02-24,轻度污染,137,82,103,136,32,64,0.96,43
2014-02-25,良,53,33,38,43,13,54,0.86,44
2014-02-26,良,87,76,64,78,21,50,1.06,54
2014-02-27,中度污染,180,185,136,175,34,69,1.63,26
2014-02-28,轻度污染,106,166,79,96,24,44,1.19,40
2014-03-01,良,68,100,49,71,32,54,0.97,37
2014-03-02,轻度污染,112,134,84,132,51,54,1.22,49
2014-03-03,良,86,94,56,104,32,46,0.93,60
2014-03-04,良,64,60,45,63,23,65,0.90,28
2014-03-05,良,87,123,62,92,29,39,0.89,59
2014-03-06,良,55,64,34,59,23,37,0.65,56
2014-03-07,良,65,91,40,69,35,54,0.76,42
2014-03-08,良,83,109,61,90,24,54,0.76,47
2014-03-09,良,95,108,70,101,31,56,1.08,45
2014-03-10,中度污染,160,153,121,173,41,75,1.25,59
2014-03-11,中度污染,159,161,120,171,32,55,1.00,78
2014-03-12,良,86,103,63,80,22,48,1.00,38
2014-03-13,良,65,60,35,78,25,36,0.78,49
2014-03-14,良,89,101,66,119,41,56,1.08,45
2014-03-15,良,93,72,66,121,27,66,0.98,53
2014-03-16,轻度污染,118,118,88,147,34,69,1.05,63
2014-03-17,良,94,46,70,117,28,60,1.07,49
