日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,93,246,67,101,133,45,1.93,33
2015-01-02,轻度污染,145,581,108,155,173,53,2.67,32
2015-01-03,重度污染,223,344,174,249,253,70,3.75,25
2015-01-04,严重污染,328,351,278,403,373,97,4.83,24
2015-01-05,严重污染,251,323,205,310,197,54,3.83,37
2015-01-06,良,76,196,47,82,133,40,1.96,47
2015-01-07,中度污染,159,348,119,171,175,53,3.13,30
2015-01-08,中度污染,151,303,114,174,124,56,3.04,31
2015-01-09,良,86,118,60,98,51,44,2.34,42
2015-01-10,良,90,121,66,102,65,58,2.67,31
2015-01-11,轻度污染,144,258,108,161,85,67,3.52,31
2015-01-12,中度污染,154,315,117,177,89,64,3.64,27
2015-01-13,中度污染,189,340,144,229,105,71,4.43,26
2015-01-14,重度污染,223,341,173,259,102,69,4.72,28
2015-01-15,中度污染,195,302,148,250,90,68,4.58,25
2015-01-16,良,99,169,66,119,51,34,2.62,50
2015-01-17,轻度污染,105,199,75,135,112,52,2.84,33
2015-01-18,良,70,72,39,81,50,25,2.05,62
2015-01-19,轻度污染,109,248,79,133,119,47,3.11,38
2015-01-20,中度污染,174,333,129,224,147,49,3.61,33
2015-01-21,良,56,44,30,60,70,24,2.18,53
2015-01-22,轻度污染,125,245,93,151,135,48,3.40,31
2015-01-23,中度污染,199,340,153,262,187,61,4.77,27
2015-01-24,中度污染,155,230,113,195,93,52,4.19,27
2015-01-25,轻度污染,121,165,88,170,82,50,4.18,28
2015-01-26,良,86,99,49,117,58,30,2.97,41
2015-01-27,优,30,8,6,19,51,22,1.77,51
2015-01-28,优,45,117,19,46,67,37,2.34,33
2015-01-29,优,36,46,10,27,43,18,1.90,54
2015-01-30,优,32,17,8,22,41,22,1.85,52
2015-01-31,良,53,89,28,58,65,38,2.29,34
2015-02-01,良,79,184,56,98,87,49,2.77,29
2015-02-02,轻度污染,105,215,78,139,83,60,3.52,29
2015-02-03,良,90,150,65,117,58,38,3.03,45
2015-02-04,优,41,31,14,31,34,19,1.93,68
2015-02-05,优,40,17,13,27,40,27,2.09,63
2015-02-06,良,55,35,32,60,52,38,2.67,44
2015-02-07,优,46,30,17,38,35,22,2.15,64
2015-02-08,优,40,20,17,36,65,30,2.26,53
2015-02-09,良,69,134,45,83,84,45,2.84,39
2015-02-10,良,71,86,48,87,74,50,2.97,43
2015-02-11,良,58,42,31,65,55,34,2.54,58
2015-02-12,良,64,86,35,75,63,39,2.72,41
2015-02-13,良,68,79,41,83,69,43,2.95,40
2015-02-14,良,88,110,63,114,105,52,3.46,36
2015-02-15,轻度污染,105,194,76,133,96,41,3.55,43
2015-02-16,良,53,31,23,52,46,22,2.47,68
2015-02-17,良,57,66,34,59,63,24,2.76,64
2015-02-18,良,65,87,40,69,61,21,2.79,83
2015-02-19,轻度污染,147,258,107,204,75,40,3.63,51
2015-02-20,轻度污染,113,313,82,148,63,33,3.65,50
2015-02-21,良,98,265,58,132,57,24,3.11,62
2015-02-22,优,46,67,13,38,42,13,2.47,79
2015-02-23,良,58,120,35,62,61,25,2.94,59
2015-02-24,良,73,184,48,84,60,26,3.12,57
2015-02-25,优,44,87,14,33,44,16,2.56,68
2015-02-26,优,37,51,12,26,47,17,2.58,68
2015-02-27,优,49,165,25,51,44,18,2.74,64
2015-02-28,优,50,188,24,48,49,16,2.39,75
2015-03-01,优,42,74,17,35,45,24,2.45,68
2015-03-02,良,52,73,27,54,51,28,2.55,66
2015-03-03,优,47,66,8,27,34,8,2.11,91
2015-03-04,优,41,53,18,34,63,27,2.44,67
2015-03-05,良,64,202,41,70,91,35,2.75,60
2015-03-06,良,81,221,57,103,135,46,3.13,63
2015-03-07,良,89,240,62,114,116,59,3.48,67
2015-03-08,良,89,244,60,115,61,37,3.19,70
2015-03-09,优,46,69,8,24,41,13,2.37,89
2015-03-10,优,47,74,21,42,59,28,2.92,66
2015-03-11,良,56,110,31,55,67,33,3.05,60
2015-03-12,良,55,96,33,59,100,31,2.97,78
2015-03-13,优,49,72,25,46,70,29,2.87,69
2015-03-14,良,77,141,48,93,60,32,2.98,62
2015-03-15,良,81,143,49,106,75,35,3.01,60
2015-03-16,良,98,209,71,129,76,43,3.34,61
2015-03-17,良,77,195,49,96,56,22,3.08,94
2015-03-18,轻度污染,129,345,94,187,71,45,3.69,78
2015-03-19,轻度污染,132,327,91,186,69,40,3.36,59
2015-03-20,良,70,162,33,87,34,16,2.00,84
2015-03-21,良,79,183,43,104,40,22,2.10,83
2015-03-22,良,64,96,39,76,55,24,2.30,67
2015-03-23,良,78,235,46,103,51,28,2.49,63
2015-03-24,良,74,221,50,91,71,35,2.31,63
2015-03-25,轻度污染,119,343,88,160,67,41,2.17,74
2015-03-26,轻度污染,139,344,104,192,52,46,2.07,74
2015-03-27,良,97,264,71,126,77,48,1.80,74
2015-03-28,良,81,179,47,103,26,29,1.29,77
2015-03-29,良,78,147,51,104,52,41,1.50,73
