日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,67,126,42,83,19,23,0.89,46
2015-01-06,良,76,195,55,62,28,47,1.05,11
2015-01-07,良,62,97,43,54,23,25,0.98,41
2015-01-08,良,62,76,43,63,22,27,0.96,25
2015-01-09,优,41,19,24,40,14,14,0.74,24
2015-01-10,优,42,21,23,41,11,13,0.98,29
2015-01-11,优,47,38,30,45,11,12,0.90,43
2015-01-12,良,52,71,35,53,11,15,0.83,34
2015-01-13,良,70,147,50,74,13,20,1.03,29
2015-01-14,良,69,137,48,76,9,23,0.95,24
2015-01-15,良,83,132,60,99,12,30,1.15,28
2015-01-16,良,87,146,59,108,13,35,1.22,37
2015-01-17,良,84,136,61,92,12,31,1.12,15
2015-01-18,良,72,78,50,80,13,25,0.90,23
2015-01-19,良,60,58,40,61,14,22,0.92,17
2015-01-20,优,43,16,26,46,13,17,0.78,32
2015-01-21,良,59,54,30,66,12,19,0.80,33
2015-01-22,良,61,44,20,71,13,25,0.87,29
2015-01-23,良,61,24,35,69,13,25,0.85,33
2015-01-24,良,69,47,41,86,15,30,0.90,30
2015-01-25,良,69,55,40,87,16,30,0.99,42
2015-01-26,良,70,57,40,88,15,29,0.94,41
2015-01-27,良,75,154,45,97,14,29,1.11,43
2015-01-28,良,85,301,54,117,16,37,1.06,38
2015-01-29,良,85,263,53,114,14,36,1.08,52
2015-01-30,良,87,239,56,121,15,35,1.09,47
2015-01-31,良,87,247,63,116,15,30,1.01,57
2015-02-01,良,100,238,74,127,15,26,0.97,57
2015-02-02,轻度污染,103,208,76,116,14,26,1.02,44
2015-02-03,良,80,115,55,102,15,26,0.93,42
2015-02-04,良,80,142,53,100,16,28,0.94,45
2015-02-05,良,89,204,52,114,22,33,1.03,38
2015-02-06,良,82,124,58,104,15,27,0.79,47
2015-02-07,良,88,137,63,106,14,28,0.91,50
2015-02-08,良,83,223,59,105,14,28,0.80,56
