日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2017-10-01,良,60,245,40,59,11,18,0.89,47
2017-10-02,优,33,66,19,31,7,8,0.88,41
2017-10-03,优,28,50,16,25,9,7,0.79,36
2017-10-05,优,23,23,9,22,6,8,0.66,28
2017-10-06,优,34,70,20,33,8,13,0.82,25
2017-10-07,优,47,118,30,46,10,22,1.19,21
2017-10-08,良,52,156,35,53,13,26,1.19,34
2017-10-09,良,72,304,51,79,10,20,1.20,57
2017-10-10,良,93,350,67,99,7,21,1.21,21
2017-10-11,优,29,76,18,27,4,12,0.75,18
2017-10-12,优,19,11,9,18,4,10,0.71,30
2017-10-13,优,32,72,19,29,5,12,0.59,38
2017-10-14,优,41,140,27,38,7,10,0.54,39
2017-10-15,优,36,134,23,33,11,8,0.54,63
2017-10-16,优,30,80,14,24,9,8,0.60,57
2017-10-17,优,30,75,14,24,8,12,0.71,52
2017-10-18,优,32,71,19,29,5,10,0.72,47
2017-10-19,优,37,88,24,34,7,12,0.71,50
2017-10-20,良,53,147,36,52,11,19,0.86,58
2017-10-21,良,61,178,42,63,11,25,0.95,62
2017-10-22,良,79,242,57,80,11,29,0.99,64
2017-10-23,轻度污染,110,338,82,120,14,34,1.23,57
2017-10-24,轻度污染,106,333,79,116,11,29,1.20,65
2017-10-25,良,70,153,50,80,14,36,0.97,51
2017-10-26,良,83,203,60,94,9,34,1.04,56
2017-10-27,良,87,188,63,95,12,39,1.12,65
2017-10-28,良,93,229,67,97,14,33,1.13,79
2017-10-29,良,96,324,69,110,12,23,1.08,77
2017-10-30,良,60,145,34,67,13,23,0.76,51
2017-10-31,良,71,158,48,85,19,38,0.85,54
2017-11-01,良,87,191,63,102,18,47,0.96,69
2017-11-02,轻度污染,117,276,88,133,18,55,1.17,65
2017-11-03,轻度污染,128,304,96,140,17,38,1.25,80
2017-11-04,中度污染,159,352,120,169,9,21,1.38,91
2017-11-05,良,67,134,45,77,13,36,0.85,62
2017-11-06,轻度污染,101,244,75,110,13,43,1.02,63
2017-11-07,轻度污染,147,299,111,156,21,55,1.26,39
2017-11-08,中度污染,179,347,135,180,23,50,1.65,71
2017-11-09,中度污染,157,344,120,149,17,51,1.35,58
2017-11-10,轻度污染,130,349,97,140,15,37,1.16,44
2017-11-11,良,73,278,41,93,9,24,0.66,37
2017-11-12,良,63,183,44,68,5,21,0.72,15
2017-11-13,良,66,180,46,66,5,22,0.85,25
2017-11-14,良,72,238,51,73,9,24,0.90,25
2017-11-15,良,95,286,70,103,10,35,1.19,22
2017-11-16,轻度污染,126,322,95,130,10,37,1.34,10
2017-11-17,良,86,265,63,91,4,23,1.15,17
2017-11-18,良,71,316,46,78,6,22,0.84,34
2017-11-19,良,63,214,43,65,9,19,0.74,27
2017-11-20,良,64,216,45,63,10,19,0.68,44
2017-11-21,良,72,198,51,77,11,31,0.95,25
2017-11-22,良,88,284,65,97,13,32,1.02,19
2017-11-23,良,76,269,45,98,14,38,0.93,30
2017-11-24,良,77,254,49,101,23,44,1.08,23
2017-11-25,良,78,220,55,98,16,42,0.84,31
2017-11-26,良,78,215,56,86,19,42,0.97,33
2017-11-27,良,73,174,52,87,16,45,0.93,37
2017-11-28,良,88,173,64,88,10,39,1.07,29
2017-11-29,轻度污染,132,343,99,134,12,26,1.16,43
2017-11-30,优,50,156,35,45,4,20,0.91,15
2017-12-01,良,64,190,45,61,5,20,0.98,16
2017-12-02,良,62,129,44,63,7,21,1.06,19
2017-12-03,良,66,149,47,67,9,25,1.17,25
2017-12-04,轻度污染,124,289,93,123,7,28,1.35,47
2017-12-05,轻度污染,148,334,112,143,12,31,1.40,62
2017-12-06,轻度污染,106,238,79,117,15,46,1.09,28
2017-12-07,轻度污染,127,268,95,129,14,44,1.31,26
2017-12-08,轻度污染,115,349,86,119,15,36,1.17,47
2017-12-09,良,94,257,70,98,15,38,0.98,48
2017-12-10,良,97,249,71,102,15,44,1.06,44
2017-12-11,良,77,176,52,94,14,37,0.86,48
2017-12-12,良,84,228,61,94,18,44,0.85,31
2017-12-13,良,100,272,74,94,7,34,0.88,16
2017-12-14,良,72,195,52,57,5,20,0.83,20
2017-12-15,良,76,218,55,60,5,21,1.06,15
2017-12-16,轻度污染,117,325,88,95,10,23,1.08,46
2017-12-17,良,90,310,66,84,15,31,0.92,44
2017-12-18,良,81,252,59,87,16,39,0.98,36
2017-12-19,良,90,281,66,98,15,39,1.02,36
2017-12-20,良,94,273,70,99,17,42,0.89,36
2017-12-21,良,86,190,63,90,17,52,0.83,33
2017-12-22,良,83,105,60,93,19,51,0.91,35
2017-12-23,轻度污染,146,250,110,147,21,57,1.17,20
2017-12-24,中度污染,154,308,114,148,18,44,1.11,39
2017-12-25,良,97,250,72,106,19,52,1.02,33
2017-12-26,良,100,187,74,108,17,49,1.05,32
2017-12-27,轻度污染,136,263,103,141,22,55,1.23,13
2017-12-28,轻度污染,102,155,76,96,13,35,1.01,28
2017-12-29,良,100,149,74,87,7,24,1.09,47
2017-12-30,轻度污染,135,225,100,147,10,31,1.15,44
2017-12-31,轻度污染,122,209,91,144,13,39,1.37,44
2018-01-01,轻度污染,114,197,85,130,12,45,1.12,47
2018-01-02,良,98,206,73,101,10,43,1.24,30
2018-01-03,轻度污染,108,315,77,100,6,36,1.66,12
2018-01-04,优,42,151,26,42,6,14,0.87,28
2018-01-05,良,96,282,71,81,7,14,1.04,34
2018-01-06,良,76,195,55,74,5,19,1.13,24
2018-01-07,轻度污染,124,301,92,101,7,14,1.29,63
2018-01-08,轻度污染,113,306,83,100,9,18,1.16,56
2018-01-09,良,73,282,52,78,12,27,0.93,40
2018-01-10,良,72,281,49,81,13,29,0.84,40
2018-01-11,良,75,260,53,93,12,35,0.75,42
2018-01-12,良,67,169,45,78,11,36,0.72,49
2018-01-13,良,89,169,65,100,13,51,0.94,24
2018-01-14,轻度污染,110,222,82,121,13,44,1.07,34
2018-01-15,轻度污染,119,213,89,141,17,55,1.38,14
2018-01-16,轻度污染,137,255,103,117,6,39,1.36,20
2018-01-17,轻度污染,116,203,87,103,6,22,1.15,59
2018-01-18,轻度污染,146,253,111,135,5,26,1.22,34
2018-01-19,中度污染,199,280,152,176,5,26,1.72,34
2018-01-20,中度污染,193,279,146,173,6,30,1.97,23
2018-01-21,轻度污染,135,245,101,125,6,28,1.51,50
2018-01-22,良,61,120,43,55,6,20,1.31,47
2018-01-23,轻度污染,127,314,95,121,5,28,1.40,22
2018-01-24,良,71,238,51,64,5,24,1.10,11
2018-01-25,优,47,157,32,40,5,14,0.83,47
2018-01-26,良,79,289,58,70,6,12,0.92,52
2018-01-27,良,90,278,67,66,5,9,0.97,71
2018-01-28,良,89,275,65,68,6,8,0.84,72
2018-01-29,轻度污染,119,286,90,98,7,17,1.10,80
2018-01-30,轻度污染,127,286,96,112,10,33,1.21,69
2018-01-31,良,98,243,71,98,9,25,1.00,86
2018-02-01,良,88,201,65,99,10,37,0.92,56
2018-02-02,良,90,253,62,105,9,25,0.73,63
2018-02-03,良,69,244,37,87,6,21,0.61,56
2018-02-04,良,61,125,37,70,7,28,0.68,47
2018-02-05,良,70,194,48,82,7,37,0.77,45
2018-02-06,良,76,201,53,93,8,43,0.68,48
2018-02-07,良,91,216,66,103,14,41,0.81,57
2018-02-08,轻度污染,111,277,83,116,16,41,0.90,66
2018-02-09,轻度污染,129,230,97,135,11,53,1.19,48
2018-02-10,中度污染,156,328,118,160,8,38,1.25,60
2018-02-11,中度污染,168,361,126,186,6,37,1.30,63
2018-02-12,轻度污染,135,355,101,192,7,39,1.21,69
2018-02-13,轻度污染,116,329,86,146,7,25,1.01,96
2018-02-14,轻度污染,117,310,88,137,9,32,1.22,69
2018-02-15,中度污染,152,350,115,171,5,24,1.27,36
2018-02-16,中度污染,157,247,118,154,6,16,1.03,58
2018-02-17,轻度污染,125,276,94,115,4,15,1.16,49
2018-02-18,轻度污染,108,290,80,97,4,12,1.10,55
2018-02-19,良,98,308,73,85,4,11,0.95,54
2018-02-20,优,37,29,25,32,3,9,0.79,38
2018-02-21,良,71,262,50,65,4,9,1.03,45
2018-02-22,轻度污染,112,307,84,101,5,13,1.23,59
2018-02-23,良,65,207,43,59,5,13,0.91,63
2018-02-24,良,60,183,41,62,5,23,0.84,38
2018-02-25,轻度污染,105,321,75,147,5,22,0.98,55
2018-02-26,良,89,244,64,100,5,29,0.93,53
2018-02-27,良,63,156,44,67,5,33,0.78,26
2018-02-28,优,40,41,25,40,5,25,0.78,52
2018-03-01,良,59,146,39,58,5,29,0.84,40
2018-03-02,良,77,239,56,72,4,17,0.96,43
2018-03-03,良,61,123,42,65,6,26,1.16,33
2018-03-04,良,65,220,46,66,8,23,1.13,35
2018-03-05,优,48,183,32,46,5,16,0.72,48
2018-03-06,优,43,98,28,38,6,16,0.62,56
2018-03-07,优,44,134,31,34,5,15,0.73,51
2018-03-08,良,53,176,37,50,8,22,0.93,51
2018-03-09,良,70,183,48,72,8,31,0.92,55
2018-03-10,良,67,119,40,76,8,30,0.71,71
2018-03-11,良,60,62,37,68,10,35,0.66,60
2018-03-12,良,68,120,46,70,10,35,0.81,74
2018-03-13,良,84,210,61,90,12,30,0.84,85
2018-03-14,良,60,109,42,57,8,16,0.68,89
2018-03-15,良,52,97,34,47,8,15,0.71,85
2018-03-16,良,68,249,44,83,5,19,0.78,46
2018-03-17,良,52,115,35,52,6,22,0.88,30
2018-03-18,优,32,25,21,28,5,14,0.86,39
2018-03-19,良,70,227,50,55,4,14,1.07,59
2018-03-20,良,61,214,43,53,6,19,1.06,68
2018-03-21,良,68,253,49,70,9,30,1.04,49
2018-03-22,良,80,199,54,87,12,33,0.95,61
2018-03-23,轻度污染,101,255,53,151,11,42,0.88,64
2018-03-24,良,96,253,61,140,10,45,0.82,32
2018-03-25,良,66,106,45,77,9,29,0.75,51
2018-03-26,良,61,72,40,65,6,24,0.79,64
2018-03-27,良,72,146,46,76,9,30,0.97,86
2018-03-28,良,72,132,44,79,9,27,0.87,99
2018-03-29,良,69,157,49,78,10,36,0.98,42
2018-03-30,良,89,251,63,105,9,34,1.10,49
2018-03-31,轻度污染,114,291,86,143,9,35,1.24,89
2018-04-01,轻度污染,130,308,98,150,10,37,1.40,81
2018-04-02,轻度污染,105,262,77,118,11,29,1.26,79
2018-04-03,良,80,193,57,96,10,25,1.02,78
2018-04-04,轻度污染,109,316,54,160,7,23,0.81,50
2018-04-05,优,41,28,25,48,6,12,0.71,39
2018-04-05,优,41,28,25,48,6,12,0.71,39
2018-04-06,良,74,173,31,100,7,11,0.63,72
2018-04-07,良,88,291,28,125,7,16,0.56,85
2018-04-08,良,80,211,34,108,11,20,0.64,95
2018-04-09,良,76,145,35,85,13,17,0.60,116
2018-04-10,良,83,167,45,91,12,17,0.72,136
2018-04-11,良,65,129,44,75,9,18,0.83,87
2018-04-12,良,55,81,37,54,6,16,0.81,59
2018-04-13,优,37,33,23,31,4,11,0.74,48
2018-04-14,优,43,84,23,39,5,11,0.69,71
2018-04-15,中度污染,177,345,53,240,6,20,0.84,63
2018-04-16,重度污染,204,359,65,336,9,26,0.88,64
2018-04-17,轻度污染,132,334,54,213,9,20,0.81,90
2018-04-18,良,92,192,40,121,7,17,0.69,119
2018-04-19,良,78,131,35,87,9,19,0.60,114
2018-04-20,良,72,169,40,77,7,13,0.64,116
2018-04-21,优,49,51,27,41,6,8,0.64,90
2018-04-22,优,43,76,26,39,6,10,0.61,78
2018-04-23,优,40,64,25,37,4,13,0.85,54
2018-04-24,良,66,263,47,63,5,15,0.81,75
2018-04-25,良,69,185,49,70,6,19,0.93,90
2018-04-26,良,75,189,54,75,6,19,0.98,81
2018-04-27,良,77,197,53,73,7,27,1.02,81
2018-04-28,良,80,177,54,85,8,32,1.11,76
2018-04-29,良,64,98,46,66,10,24,1.09,61
2018-04-30,优,50,73,34,50,9,20,1.01,57
2018-05-01,良,54,123,17,27,7,13,0.74,94
2018-05-02,良,68,235,46,75,5,17,0.89,96
2018-05-03,良,76,296,40,77,8,21,0.86,114
2018-05-04,良,56,88,32,57,8,25,0.62,75
2018-05-05,优,44,56,25,40,7,11,0.68,70
2018-05-06,优,37,43,17,30,5,11,0.67,72
2018-05-07,良,53,153,25,35,6,19,0.73,96
2018-05-08,良,59,147,32,46,6,26,0.70,83
2018-05-09,良,74,215,37,60,14,24,0.82,120
2018-05-10,良,75,227,49,80,11,27,0.90,105
2018-05-11,良,55,111,38,54,8,23,0.96,62
2018-05-12,良,64,179,45,58,6,16,1.00,85
2018-05-13,良,57,98,34,46,16,19,0.85,79
2018-05-14,良,58,118,30,46,18,15,0.85,99
2018-05-15,良,51,85,19,40,10,10,0.56,97
2018-05-16,良,51,114,21,41,12,13,0.57,95
2018-05-17,良,54,130,23,44,12,16,0.57,99
2018-05-18,良,55,112,27,46,7,24,0.64,96
2018-05-19,良,53,133,27,46,7,21,0.66,92
2018-05-20,优,44,97,15,29,6,15,0.64,83
2018-05-21,优,37,50,19,36,6,15,0.75,37
2018-05-22,优,39,51,16,37,5,12,0.63,56
2018-05-23,轻度污染,106,330,50,161,8,20,0.62,79
2018-05-24,良,67,146,35,69,11,19,0.85,91
2018-05-25,良,62,158,31,54,10,14,0.67,103
2018-05-26,优,39,52,18,29,9,14,0.92,75
2018-05-27,轻度污染,127,345,62,194,10,17,0.59,89
2018-05-28,良,87,213,42,123,13,27,0.69,82
2018-05-29,良,96,277,50,135,16,27,0.75,109
2018-05-30,良,70,197,34,87,10,23,0.91,86
2018-05-31,良,59,150,15,26,7,12,0.69,108
2018-06-01,良,58,126,31,53,8,18,0.85,108
2018-06-02,良,68,161,27,47,9,21,0.78,113
2018-06-03,良,74,194,32,57,9,27,0.82,99
2018-06-04,良,70,200,44,74,9,30,0.86,90
2018-06-05,良,53,118,28,46,10,16,0.76,88
2018-06-06,优,48,77,17,35,8,20,0.69,78
2018-06-07,良,71,194,29,60,9,23,0.75,94
2018-06-08,优,41,88,20,35,9,15,0.68,69
2018-06-09,良,58,226,28,56,8,13,0.73,101
2018-06-10,良,71,288,30,50,12,20,0.72,115
2018-06-11,良,71,216,32,59,8,30,0.69,104
2018-06-12,良,70,199,31,60,10,21,0.76,105
2018-06-13,良,53,140,22,41,9,15,0.73,95
2018-06-14,良,59,176,32,56,11,19,0.85,97
2018-06-15,良,85,263,38,71,15,30,0.85,116
2018-06-16,良,100,323,36,69,15,28,0.80,147
2018-06-17,良,96,325,41,74,12,24,0.82,141
2018-06-18,良,81,291,42,66,12,16,0.81,128
2018-06-19,良,54,200,30,49,10,14,0.84,91
2018-06-20,优,44,136,17,28,8,12,0.79,84
2018-06-21,优,48,163,26,42,9,17,0.79,79
2018-06-22,优,50,173,33,45,7,21,0.85,60
2018-06-23,优,44,130,28,42,8,20,0.86,68
2018-06-24,优,45,142,20,38,8,18,0.68,61
2018-06-25,优,46,159,15,29,9,13,0.51,84
2018-06-26,优,36,115,11,25,11,13,0.45,68
2018-06-27,优,37,103,12,29,11,13,0.43,69
2018-06-28,优,39,122,12,31,12,12,0.46,76
2018-06-29,优,41,94,19,35,13,16,0.59,66
2018-06-30,优,38,87,19,35,13,21,0.70,45
2018-07-01,优,26,17,11,19,10,13,0.76,53
2018-07-02,优,39,111,22,35,10,15,0.92,68
2018-07-03,优,45,175,25,39,10,15,0.94,69
2018-07-04,优,50,185,24,40,10,12,0.83,84
2018-07-05,优,34,70,17,30,13,12,0.85,54
2018-07-06,优,42,176,20,32,12,7,0.88,77
2018-07-07,优,22,5,9,17,12,7,0.72,38
2018-07-08,优,26,34,15,24,7,10,0.91,35
2018-07-09,优,30,91,13,22,6,8,0.88,59
2018-07-10,良,54,277,26,46,9,17,0.88,70
2018-07-11,良,61,280,29,50,12,16,0.86,89
2018-07-12,优,31,67,16,24,9,12,0.69,56
2018-07-13,优,37,116,14,22,10,9,0.74,76
2018-07-14,优,38,124,16,29,11,12,0.66,60
2018-07-15,优,37,107,14,30,9,17,0.62,53
2018-07-16,优,49,208,21,39,9,23,0.68,73
2018-07-17,优,50,208,25,44,12,26,0.66,66
2018-07-18,良,52,211,22,44,13,16,0.63,76
2018-07-19,良,52,211,22,42,12,14,0.60,85
2018-07-20,良,57,224,27,47,12,14,0.63,94
2018-07-21,良,66,241,32,58,14,17,0.69,93
2018-07-22,良,72,310,35,66,12,19,0.80,105
2018-07-23,良,57,227,31,56,13,17,0.84,73
2018-07-24,优,46,158,21,33,9,10,0.78,74
2018-07-25,优,46,152,15,28,8,9,0.66,82
2018-07-26,良,54,199,18,32,9,11,0.67,99
2018-07-27,良,53,231,21,36,9,13,0.71,95
2018-07-28,良,51,187,24,46,11,13,0.77,72
2018-07-29,良,55,176,21,41,10,13,0.78,82
2018-07-30,良,54,189,19,34,9,9,0.72,94
2018-07-31,优,49,158,19,36,9,11,0.72,84
2018-08-01,良,54,216,23,45,13,16,0.75,69
2018-08-02,良,53,208,23,37,9,12,0.76,90
2018-08-03,良,57,251,29,49,10,15,0.89,78
2018-08-04,优,44,144,19,31,8,10,0.83,81
2018-08-05,优,50,163,23,36,7,10,0.88,85
2018-08-06,优,47,144,20,33,5,5,0.87,91
2018-08-07,优,47,158,19,31,6,10,0.90,89
2018-08-08,良,51,175,26,43,6,13,0.87,76
2018-08-09,良,59,199,29,50,8,18,0.98,79
2018-08-10,良,68,232,29,49,10,14,1.00,107
2018-08-11,良,87,298,42,65,9,15,1.02,126
2018-08-12,良,91,341,50,76,9,15,1.10,127
