日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,126,316,95,150,49,32,0.75,64
2015-01-02,轻度污染,126,523,94,147,45,26,0.80,56
2015-01-03,中度污染,158,277,117,188,113,41,1.54,56
2015-01-04,良,80,58,39,98,49,20,0.51,76
2015-01-05,良,58,40,36,64,26,17,0.62,62
2015-01-06,良,63,141,40,66,28,13,0.45,79
2015-01-07,良,67,129,46,74,40,21,0.53,60
2015-01-08,优,50,35,32,46,32,20,0.62,49
2015-01-09,良,56,42,39,53,81,19,0.79,55
2015-01-10,良,70,71,49,76,72,21,0.81,55
2015-01-11,良,53,55,31,55,41,12,0.53,63
2015-01-12,良,58,102,37,61,81,15,0.87,70
2015-01-13,轻度污染,107,224,73,117,89,27,1.23,53
2015-01-14,良,73,147,45,88,52,20,0.93,40
2015-01-15,良,91,154,67,99,52,21,1.25,49
2015-01-16,良,64,72,43,64,33,18,1.14,56
2015-01-17,良,79,117,56,83,42,18,1.09,58
2015-01-18,良,51,35,34,44,30,17,1.16,72
2015-01-19,优,47,33,28,44,51,8,1.12,71
2015-01-20,良,86,129,61,92,66,23,1.49,48
2015-01-21,良,62,61,39,66,50,13,1.18,67
2015-01-22,良,86,128,58,99,107,21,1.63,60
2015-01-23,轻度污染,101,115,66,134,79,30,1.44,56
2015-01-24,轻度污染,106,139,78,121,55,25,1.38,58
2015-01-25,良,88,97,65,89,34,13,1.06,87
2015-01-26,轻度污染,113,159,85,120,36,14,0.94,76
2015-01-27,良,80,173,56,82,34,16,1.00,72
2015-01-28,良,60,207,35,64,27,16,0.93,63
2015-01-29,优,45,81,23,44,20,12,1.19,38
2015-01-30,优,35,31,18,34,15,12,1.17,39
2015-01-31,良,73,201,42,92,46,21,1.43,44
2015-02-01,良,63,121,39,71,36,14,1.15,69
2015-02-02,良,83,142,50,100,79,19,1.32,64
2015-02-03,良,63,69,36,73,37,15,1.14,45
2015-02-04,优,47,47,30,47,24,9,1.11,63
2015-02-05,良,68,134,47,71,29,7,0.94,83
2015-02-06,良,73,86,51,78,37,13,1.13,63
2015-02-07,良,51,39,33,37,27,6,1.13,66
