日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,优,41,3,20,36,3,20,0.38,70
2013-10-29,优,41,6,19,35,3,21,0.45,67
2013-10-30,优,40,6,16,32,2,14,0.42,81
2013-10-31,良,62,20,28,48,2,8,0.51,107
2013-11-01,良,54,11,21,42,2,10,0.51,100
2013-11-02,优,44,4,20,33,2,14,0.52,81
2013-11-03,优,48,10,28,49,1,21,0.59,74
2013-11-04,良,51,10,32,53,2,15,0.64,78
2013-11-05,优,48,4,24,50,2,24,0.56,41
2013-11-06,良,62,7,58,95,4,44,0.92,40
2013-11-07,轻度污染,113,68,98,133,11,41,0.74,78
2013-11-08,轻度污染,111,65,52,64,4,21,0.76,83
2013-11-09,优,49,5,24,34,2,20,0.62,48
2013-11-10,优,37,3,21,34,1,13,0.62,47
2013-11-11,优,46,16,23,47,4,14,0.56,57
2013-11-12,优,40,20,15,28,7,19,0.51,43
2013-11-13,优,29,9,7,23,2,14,0.43,56
2013-11-14,优,37,13,28,59,6,33,0.71,33
2013-11-15,良,95,45,100,133,33,43,1.31,65
2013-11-16,轻度污染,132,59,95,174,26,49,1.15,59
2013-11-17,轻度污染,112,69,57,154,27,30,0.80,62
2013-11-18,良,70,29,35,75,27,27,0.71,61
2013-11-19,良,68,25,51,92,30,46,0.95,40
2013-11-20,良,76,26,53,92,20,48,1.04,54
2013-11-21,良,67,19,41,69,9,36,0.84,79
2013-11-22,良,63,12,44,71,8,38,0.80,87
2013-11-23,良,67,15,44,78,6,23,0.77,94
2013-11-24,良,61,11,30,50,7,28,0.94,69
2013-11-25,良,65,27,43,160,24,19,0.76,59
2013-11-26,轻度污染,125,95,60,217,20,42,0.97,36
2013-11-27,轻度污染,112,88,61,155,20,42,0.95,43
2013-11-28,良,73,72,27,66,20,25,0.77,55
2013-11-29,良,59,33,29,65,22,28,0.79,50
2013-11-30,良,60,18,46,72,13,41,0.92,43
2013-12-01,良,86,38,107,162,43,61,1.32,41
2013-12-02,中度污染,180,78,160,219,33,64,1.63,49
2013-12-03,轻度污染,134,46,78,117,19,38,1.24,106
2013-12-04,良,99,26,107,141,11,63,1.34,71
2013-12-05,轻度污染,119,46,78,107,10,49,1.27,63
2013-12-06,中度污染,154,71,281,279,30,68,2.21,59
2013-12-07,严重污染,358,101,125,284,18,66,2.43,48
2013-12-08,轻度污染,138,29,65,90,8,31,1.18,46
2013-12-09,轻度污染,110,35,120,157,29,45,1.74,51
2013-12-10,轻度污染,102,49,42,68,22,35,1.12,46
2013-12-11,良,72,18,64,112,33,46,1.08,45
2013-12-12,良,74,23,40,78,23,40,0.92,50
2013-12-13,良,82,30,66,113,31,47,1.00,58
2013-12-14,良,72,17,22,53,8,25,0.67,64
2013-12-15,良,61,17,50,85,16,21,0.68,97
2013-12-16,良,60,30,17,30,4,12,0.60,76
2013-12-17,优,33,25,3,11,1,14,0.59,64
2013-12-18,优,40,24,17,35,4,7,0.62,81
2013-12-19,良,69,32,61,85,19,31,0.98,50
2013-12-20,轻度污染,109,50,138,184,56,56,1.57,43
2013-12-21,轻度污染,105,44,37,56,18,28,0.93,54
2013-12-22,优,44,3,27,43,7,23,0.76,57
2013-12-23,优,46,1,26,45,6,20,0.74,63
2013-12-24,良,64,5,68,92,23,22,1.15,77
2013-12-25,良,90,12,50,77,12,24,1.04,64
2013-12-26,轻度污染,109,24,159,213,59,69,1.82,33
2013-12-27,轻度污染,116,59,27,51,15,26,0.95,43
2013-12-28,良,60,10,47,82,31,43,1.04,36
2013-12-29,良,84,30,81,131,41,56,1.31,26
2013-12-30,轻度污染,109,40,73,115,30,61,1.31,30
2013-12-31,良,85,22,58,97,30,67,1.11,33
2014-01-01,良,76,14,59,99,23,66,0.90,34
2014-01-02,良,76,21,47,77,15,52,0.76,70
2014-01-03,轻度污染,138,91,102,166,41,82,1.27,43
2014-01-04,中度污染,161,136,120,183,44,66,1.43,33
2014-01-05,优,50,2,26,54,10,27,0.73,39
2014-01-06,优,39,1,18,42,5,30,0.75,42
2014-01-07,良,58,13,35,68,7,49,0.92,37
2014-01-08,良,52,36,27,43,23,30,0.70,52
2014-01-09,优,44,5,18,42,7,10,0.34,68
2014-01-10,良,55,10,29,60,10,20,0.50,52
2014-01-11,优,40,3,22,39,4,15,0.41,67
2014-01-12,良,61,34,40,54,7,9,0.52,81
2014-01-13,良,80,65,51,77,12,10,0.61,77
2014-01-14,优,37,4,8,21,3,6,0.33,74
2014-01-15,优,42,2,15,31,5,7,0.39,78
2014-01-16,良,63,11,44,69,7,27,0.72,53
2014-01-17,良,85,29,61,84,12,40,0.85,44
2014-01-18,中度污染,186,103,143,184,26,31,1.19,76
2014-01-19,良,85,11,62,86,12,21,0.94,70
2014-01-20,中度污染,177,138,136,195,42,43,1.37,57
2014-01-21,良,70,42,33,85,17,19,0.76,60
2014-01-22,良,53,1,25,56,12,20,0.72,56
2014-01-24,优,38,2,11,21,5,11,0.55,75
2014-01-25,良,98,69,70,104,13,22,0.89,73
2014-01-26,优,50,14,20,43,3,7,0.69,80
2014-01-27,优,32,1,8,26,4,17,0.64,50
2014-01-28,优,36,2,18,37,8,26,0.75,49
2014-01-29,优,37,3,18,32,6,18,0.71,60
2014-01-30,良,78,27,56,73,9,27,1.06,53
2014-01-31,轻度污染,128,38,96,116,8,17,1.26,97
2014-02-01,优,35,2,17,25,3,18,0.89,52
2014-02-02,良,90,55,67,79,5,24,1.37,38
2014-02-03,良,52,46,30,48,2,7,1.13,75
2014-02-04,优,37,12,12,29,3,3,0.79,74
2014-02-05,优,35,39,10,25,1,5,0.75,70
2014-02-06,优,32,43,6,16,1,5,0.84,65
2014-02-07,优,29,20,3,6,1,7,0.87,56
2014-02-08,优,44,42,24,33,4,7,0.95,69
2014-02-09,优,43,66,28,40,4,4,0.99,75
2014-02-10,优,36,22,17,26,2,3,0.85,70
2014-02-11,优,40,4,25,36,5,12,1.00,59
2014-02-12,优,33,3,15,24,2,8,0.93,69
2014-02-13,优,44,29,15,26,1,4,0.92,89
2014-02-14,优,44,6,21,36,2,6,1.00,89
2014-02-15,优,43,2,15,25,2,8,0.95,86
2014-02-16,优,37,4,10,19,1,12,0.96,71
2014-02-17,优,39,14,25,30,9,31,1.30,25
2014-02-18,优,35,24,11,15,1,8,1.18,76
2014-02-19,良,61,51,39,48,8,21,1.35,51
2014-02-20,轻度污染,118,115,88,113,33,28,1.57,63
2014-02-21,轻度污染,108,59,80,104,22,24,1.46,119
2014-02-22,良,59,13,36,52,4,21,1.42,74
2014-02-23,良,71,26,51,72,7,19,1.34,93
2014-02-24,良,65,31,44,63,7,28,1.30,66
2014-02-25,优,43,17,13,21,1,22,0.97,70
2014-02-26,优,35,2,22,26,6,28,1.15,51
2014-02-27,良,53,28,37,50,2,20,1.09,79
2014-02-28,良,92,149,68,84,8,22,1.25,90
2014-03-01,优,42,24,11,16,1,9,1.18,79
2014-03-02,良,53,36,26,48,6,9,1.34,93
2014-03-03,良,53,28,15,38,3,6,1.04,99
2014-03-04,优,40,15,10,28,2,11,0.88,77
2014-03-05,良,51,29,21,43,3,7,0.93,94
2014-03-06,优,43,14,13,31,2,6,0.87,82
2014-03-07,优,43,32,8,24,2,4,0.99,89
2014-03-08,优,48,32,11,15,1,7,1.24,88
2014-03-09,良,53,40,25,40,5,19,1.11,84
2014-03-10,轻度污染,116,120,87,120,16,38,1.40,76
2014-03-11,优,49,15,21,36,9,21,0.98,82
2014-03-12,优,37,5,16,29,7,29,0.64,50
2014-03-13,优,44,9,20,39,6,16,0.43,73
2014-03-14,良,65,17,42,76,15,38,0.55,59
2014-03-15,良,71,16,40,66,13,26,0.50,110
2014-03-16,良,59,7,31,55,8,22,0.48,98
2014-03-17,良,62,7,42,63,8,31,0.57,77
2014-03-18,轻度污染,103,72,77,106,24,57,0.95,84
2014-03-19,良,60,14,41,62,4,30,0.68,58
2014-03-20,良,64,53,36,72,6,17,0.57,89
2014-03-21,优,47,6,11,43,3,14,0.37,81
2014-03-22,优,46,4,17,44,6,25,0.41,68
2014-03-23,优,44,2,18,37,4,18,0.43,86
2014-03-25,优,32,1,17,31,6,35,0.51,37
2014-03-26,良,66,20,45,65,9,27,0.86,70
2014-03-27,良,55,18,33,43,3,17,0.72,83
2014-03-28,优,35,7,17,24,4,28,0.65,61
2014-03-29,优,38,9,25,33,4,26,0.85,48
2014-03-30,良,92,91,67,90,11,23,1.04,92
2014-03-31,良,73,62,52,68,7,24,0.87,92
2014-04-01,优,46,11,31,41,5,30,0.77,71
2014-04-02,良,52,25,35,50,6,32,0.74,58
2014-04-03,优,40,12,18,28,3,17,0.62,85
2014-04-04,良,55,12,21,55,7,25,0.63,84
2014-04-05,良,69,54,31,70,8,24,0.69,105
2014-04-06,优,44,7,12,36,2,10,0.52,87
2014-04-07,优,42,2,12,27,3,16,0.54,82
2014-04-08,优,46,4,27,46,7,26,0.67,68
2014-04-09,优,45,5,24,34,2,17,0.71,85
2014-04-10,良,51,12,31,43,5,19,0.68,104
2014-04-11,良,60,27,28,40,2,11,0.65,108
2014-04-12,良,56,38,35,49,5,31,0.84,51
2014-04-13,良,58,44,34,45,5,16,0.86,78
2014-04-14,良,65,36,28,42,3,17,0.70,114
2014-04-15,良,57,25,26,41,4,17,0.74,91
2014-04-16,优,46,12,20,36,5,24,0.71,77
2014-04-17,良,70,68,49,72,8,33,0.89,64
2014-04-18,良,79,101,53,81,7,31,1.14,57
2014-04-19,优,42,20,17,26,1,14,0.78,83
2014-04-20,优,45,17,18,27,1,10,0.74,90
2014-04-21,优,47,26,28,43,2,15,0.78,87
2014-04-22,良,57,47,26,38,2,14,0.81,104
2014-04-23,良,55,26,36,56,5,27,0.89,75
2014-04-24,优,49,17,31,47,2,24,0.92,71
2014-04-25,优,45,20,16,30,2,10,0.79,92
2014-04-26,优,41,23,8,22,2,7,0.77,80
2014-04-27,优,46,31,24,29,5,17,1.16,45
2014-04-28,良,60,56,42,51,7,13,0.98,74
2014-04-29,良,71,42,44,66,12,25,1.03,83
2014-04-30,良,55,11,32,50,8,32,0.90,70
2014-05-01,良,61,24,41,60,6,31,0.94,69
2014-05-02,良,61,34,40,65,8,30,1.00,81
2014-05-03,良,68,63,41,80,5,16,0.95,98
2014-05-04,良,57,49,31,63,4,21,0.94,85
2014-05-05,良,52,51,23,51,2,11,0.79,88
2014-05-06,良,56,34,21,52,4,17,0.78,87
2014-05-07,良,53,27,20,43,3,15,0.85,94
2014-05-08,良,92,97,45,86,13,25,1.09,122
2014-05-09,良,66,68,38,72,2,14,0.95,102
2014-05-10,优,48,55,23,40,2,11,0.91,83
2014-05-11,优,31,8,13,20,2,11,0.97,54
2014-05-12,良,72,89,48,63,10,28,1.45,99
2014-05-13,良,71,58,44,57,10,29,1.27,100
2014-05-14,良,71,78,45,57,8,27,1.35,92
2014-05-15,良,96,140,57,79,8,19,1.28,106
2014-05-16,良,67,50,36,78,8,29,1.04,97
2014-05-17,良,62,33,27,49,3,16,1.02,110
2014-05-18,良,54,42,17,27,7,9,0.91,102
2014-05-19,优,46,23,26,40,10,20,0.85,75
2014-05-20,良,78,70,48,62,12,22,1.05,97
2014-05-21,良,69,52,41,61,10,26,0.89,91
2014-05-22,良,52,34,28,38,6,19,0.78,91
2014-05-23,优,44,29,13,25,3,10,0.69,87
2014-05-24,优,43,30,12,27,3,8,0.68,85
2014-05-25,优,33,12,17,28,4,30,0.80,35
2014-05-26,轻度污染,118,121,88,115,10,23,1.44,102
2014-05-27,轻度污染,121,117,90,114,11,23,1.43,122
2014-05-28,轻度污染,111,122,66,104,15,37,1.24,108
2014-05-29,轻度污染,108,89,80,147,18,38,1.12,129
2014-05-30,良,88,74,59,93,8,25,1.00,98
2014-05-31,良,64,53,31,57,5,14,0.79,114
2014-06-01,优,47,46,18,33,3,12,0.79,89
2014-06-02,良,63,104,34,49,5,10,1.06,105
2014-06-03,良,63,92,33,43,7,11,0.94,113
2014-06-04,良,73,97,48,68,9,21,1.07,113
2014-06-05,优,47,31,20,36,3,13,0.85,79
2014-06-06,优,48,41,19,31,5,14,0.66,88
2014-06-07,优,41,31,16,21,7,11,0.49,78
2014-06-08,优,38,14,18,26,4,9,0.50,75
2014-06-09,优,35,7,17,24,3,7,0.64,66
2014-06-10,良,52,61,35,44,9,6,0.57,58
2014-06-11,优,42,15,21,37,3,7,0.36,71
2014-06-12,良,61,37,40,55,5,16,0.46,72
2014-06-13,良,89,91,50,60,13,31,0.62,101
2014-06-14,良,78,65,52,56,9,23,0.51,102
2014-06-15,良,52,21,21,40,5,11,0.43,78
2014-06-16,优,41,14,19,24,3,8,0.43,71
2014-06-17,优,49,35,33,33,4,19,0.75,69
2014-06-18,良,56,60,15,19,3,6,0.46,107
2014-06-19,良,64,94,15,20,4,8,0.54,101
2014-06-20,优,42,47,20,17,3,19,0.57,50
2014-06-21,良,55,85,35,25,21,15,0.54,40
2014-06-22,优,41,39,11,14,2,6,0.51,81
2014-06-23,优,38,29,23,22,2,13,0.59,61
2014-06-24,优,42,40,9,17,19,21,0.54,80
2014-06-25,良,51,67,6,12,2,13,0.52,92
