日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,77,18,56,90,11,40,0.91,88
2013-10-29,良,65,25,44,74,12,40,0.76,82
2013-10-30,良,56,15,32,63,11,32,0.69,79
2013-10-31,良,68,34,39,78,11,39,0.76,83
2013-11-01,良,75,42,51,94,16,48,0.89,83
2013-11-02,良,86,32,63,103,20,53,0.95,60
2013-11-03,良,76,28,54,83,11,25,0.92,63
2013-11-04,良,82,45,59,82,10,35,1.03,51
2013-11-05,良,83,44,60,77,12,48,1.23,43
2013-11-06,良,87,32,68,103,19,63,1.36,54
2013-11-07,良,98,50,63,91,10,53,0.66,52
2013-11-08,良,71,21,49,85,11,50,0.76,69
2013-11-09,良,73,28,46,81,8,44,0.65,55
2013-11-10,优,50,14,14,37,5,32,0.44,27
2013-11-11,优,37,5,17,36,4,26,0.51,42
2013-11-12,优,35,16,16,32,4,26,0.57,40
2013-11-13,优,38,23,21,24,10,45,1.00,25
2013-11-14,优,47,23,36,52,16,52,0.94,29
2013-11-15,良,54,19,39,60,18,45,0.85,60
2013-11-16,良,68,19,58,83,21,58,0.89,58
2013-11-17,良,78,36,50,96,22,59,0.73,61
2013-11-18,良,78,44,53,114,19,58,0.64,71
2013-11-19,良,88,49,63,135,17,74,0.66,57
2013-11-20,良,90,34,60,120,16,65,0.70,62
2013-11-21,良,90,27,76,138,15,74,0.82,70
2013-11-22,良,92,28,51,80,9,53,0.65,58
2013-11-23,良,59,13,33,64,9,42,0.57,58
2013-11-24,良,61,12,36,60,10,45,0.68,47
2013-11-25,良,61,21,28,59,14,41,0.87,59
2013-11-26,良,74,44,42,100,17,67,0.85,53
2013-11-27,良,76,43,51,89,12,56,0.83,45
2013-11-28,良,64,48,32,43,11,33,0.72,55
2013-11-29,良,54,15,29,54,13,38,0.63,69
2013-11-30,良,60,19,44,71,19,64,0.74,63
2013-12-01,良,78,35,59,93,23,72,0.91,67
2013-12-02,良,82,27,64,111,22,79,0.90,68
2013-12-03,良,88,22,65,113,12,78,0.81,62
2013-12-04,良,99,27,80,147,34,76,1.02,58
2013-12-05,良,96,32,70,114,20,65,0.78,61
2013-12-06,轻度污染,114,47,89,142,32,86,0.96,56
2013-12-07,轻度污染,130,32,102,151,38,98,1.11,57
2013-12-08,中度污染,155,35,100,131,33,87,1.07,53
2013-12-09,轻度污染,142,41,101,140,35,74,1.13,64
2013-12-10,中度污染,159,90,139,190,35,47,1.30,74
2013-12-11,中度污染,186,108,132,167,33,63,1.35,51
2013-12-12,中度污染,151,102,111,147,30,75,1.29,40
2013-12-13,中度污染,167,88,126,134,30,97,1.57,24
