日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,146,133,108,139,46,26,0.90,22
2014-01-01,轻度污染,136,111,103,124,33,21,0.74,23
2014-01-02,中度污染,155,114,129,166,34,29,0.94,21
2014-01-03,中度污染,165,107,124,166,27,33,1.35,21
2014-01-04,中度污染,191,160,147,202,32,37,1.43,24
2014-01-05,中度污染,188,130,142,179,34,29,1.10,23
2014-01-06,重度污染,217,147,167,215,38,32,1.35,22
2014-01-07,中度污染,162,130,123,158,29,24,0.92,20
2014-01-08,轻度污染,116,146,87,111,26,26,0.76,19
2014-01-09,轻度污染,102,139,76,107,33,29,0.59,20
2014-01-10,轻度污染,118,113,89,107,30,23,0.66,18
2014-01-11,轻度污染,130,112,98,117,29,26,0.86,18
2014-01-12,轻度污染,122,114,92,114,25,29,1.05,18
2014-01-13,轻度污染,106,103,79,108,26,29,0.76,20
2014-01-14,轻度污染,136,115,103,136,63,36,0.95,22
2014-01-15,中度污染,191,120,144,194,45,36,1.34,19
2014-01-16,中度污染,186,125,141,177,29,32,1.04,21
2014-01-17,中度污染,152,77,114,175,26,45,1.65,37
2014-01-18,中度污染,187,104,143,190,35,39,1.38,42
2014-01-19,中度污染,167,92,127,157,22,33,1.05,24
2014-01-20,良,89,53,66,95,19,29,0.76,20
2014-01-21,中度污染,157,181,119,173,49,44,1.29,23
2014-01-22,中度污染,196,183,151,206,55,47,1.60,24
2014-01-24,重度污染,229,163,178,239,29,38,1.70,19
2014-01-25,严重污染,271,184,221,296,47,45,1.91,21
2014-01-26,严重污染,293,184,243,321,45,40,1.83,19
2014-01-27,严重污染,256,171,206,269,33,33,1.67,29
2014-01-28,严重污染,296,174,245,326,31,35,1.96,31
2014-01-29,严重污染,288,180,238,328,44,33,1.58,41
2014-01-30,重度污染,227,131,177,247,25,21,1.16,35
2014-01-31,严重污染,302,158,251,353,27,22,1.30,30
2014-02-01,中度污染,185,139,140,183,17,18,1.23,31
2014-02-02,中度污染,164,103,124,173,21,22,1.26,27
2014-02-03,中度污染,155,166,118,160,19,27,1.33,27
2014-02-04,中度污染,193,185,146,196,20,21,1.44,27
2014-02-05,良,81,156,60,80,14,14,0.92,26
2014-02-06,优,34,52,22,31,11,12,0.72,26
2014-02-07,优,37,49,25,34,23,14,0.43,27
2014-02-08,良,55,62,38,54,17,13,0.43,23
2014-02-09,优,39,51,26,36,21,16,0.44,28
2014-02-10,优,42,48,29,37,22,15,0.52,24
2014-02-11,良,67,67,48,62,31,19,0.74,26
2014-02-12,良,90,85,67,83,30,21,0.74,30
2014-02-13,轻度污染,108,114,80,100,40,27,0.74,30
2014-02-14,轻度污染,116,98,87,119,41,26,0.79,25
2014-02-15,轻度污染,142,112,108,142,43,29,0.93,27
2014-02-16,中度污染,161,146,122,158,40,26,0.91,30
2014-02-17,轻度污染,148,156,112,142,34,22,0.81,27
2014-02-18,良,87,132,64,78,33,23,0.63,23
2014-02-19,轻度污染,129,154,97,129,35,35,1.31,27
2014-02-20,轻度污染,124,119,94,125,46,36,0.90,19
2014-02-21,中度污染,179,147,136,191,52,43,1.23,21
2014-02-22,中度污染,179,143,135,187,49,34,1.16,26
2014-02-23,中度污染,184,135,139,193,54,36,1.27,22
2014-02-24,重度污染,206,146,156,208,51,28,1.09,27
2014-02-25,中度污染,174,124,132,164,51,22,0.88,28
2014-02-26,轻度污染,120,105,90,127,42,22,0.76,25
2014-02-27,良,64,56,46,62,32,19,0.65,35
2014-02-28,良,71,112,51,76,27,18,0.60,27
2014-03-01,良,51,50,35,50,25,21,0.69,25
2014-03-02,优,50,29,33,48,19,18,0.55,34
2014-03-03,良,66,56,47,70,21,17,0.68,26
2014-03-04,良,78,106,57,82,27,23,0.87,29
2014-03-05,轻度污染,108,159,80,122,39,25,1.02,21
2014-03-06,良,88,134,64,87,48,21,0.73,34
2014-03-07,良,62,85,42,61,74,21,0.79,42
2014-03-08,良,61,70,43,64,26,24,0.75,23
2014-03-09,良,92,102,68,101,31,26,0.91,25
2014-03-10,轻度污染,101,101,76,107,23,21,0.86,23
2014-03-11,轻度污染,103,91,77,114,15,17,0.83,17
2014-03-12,轻度污染,107,131,76,131,16,18,0.71,16
2014-03-13,良,96,151,61,142,21,22,0.53,19
2014-03-14,良,69,23,47,84,18,22,0.53,19
2014-03-15,良,88,55,65,103,21,23,0.68,19
2014-03-16,轻度污染,118,119,89,136,21,27,1.05,20
2014-03-17,轻度污染,127,105,96,147,21,22,1.18,17
2014-03-18,轻度污染,143,108,108,178,14,26,1.21,16
2014-03-19,中度污染,159,176,120,204,21,26,1.34,17
2014-03-20,良,63,52,32,75,14,18,0.30,20
2014-03-21,良,61,37,34,72,20,22,0.42,19
2014-03-22,良,82,90,58,109,21,26,0.53,19
2014-03-23,轻度污染,106,121,79,139,24,27,0.60,20
2014-03-25,轻度污染,111,106,83,138,15,32,1.15,24
2014-03-26,轻度污染,117,109,88,137,22,26,1.03,21
2014-03-27,轻度污染,112,94,84,136,23,21,0.89,21
2014-03-28,轻度污染,105,124,79,117,19,22,0.92,28
2014-03-29,轻度污染,104,122,78,125,21,20,1.05,20
2014-03-30,良,78,58,56,93,18,12,0.84,26
2014-03-31,良,52,29,32,55,14,15,0.51,18
2014-04-01,良,56,29,32,62,16,20,0.53,18
2014-04-02,良,68,63,47,78,21,18,0.77,24
2014-04-03,良,75,84,54,92,23,26,0.83,22
2014-04-04,良,67,42,47,76,19,23,0.64,20
2014-04-05,良,60,23,41,65,19,23,0.65,19
2014-04-06,良,58,34,38,64,14,18,0.62,23
2014-04-07,良,61,34,41,70,16,17,0.77,23
2014-04-08,良,93,80,69,115,17,21,1.07,24
2014-04-09,良,86,63,63,109,24,18,1.01,20
2014-04-10,良,71,48,51,84,19,15,0.78,19
2014-04-11,良,80,84,56,101,17,13,0.84,20
2014-04-12,优,50,23,26,54,16,18,0.77,21
2014-04-13,良,72,83,47,93,19,20,0.94,23
2014-04-14,良,63,35,39,75,17,12,0.78,21
2014-04-15,良,61,34,36,70,20,11,0.77,21
2014-04-16,良,66,67,42,79,20,14,0.83,22
2014-04-17,良,87,103,64,114,17,14,0.95,23
2014-04-18,良,65,65,43,74,15,11,0.71,21
2014-04-19,优,49,43,27,47,11,13,0.47,23
2014-04-20,良,66,82,43,78,14,12,0.66,20
2014-04-21,良,56,52,32,61,15,14,0.72,22
2014-04-22,良,71,83,48,86,22,18,0.71,22
2014-04-23,轻度污染,117,148,88,122,19,17,0.76,19
2014-04-24,轻度污染,113,163,85,141,14,15,0.78,19
2014-04-25,良,81,117,55,108,16,14,0.49,20
2014-04-26,良,98,161,66,140,20,19,0.37,20
2014-04-27,良,97,155,68,140,23,20,0.46,20
2014-04-28,良,87,147,60,121,22,23,0.51,21
2014-04-29,良,69,35,42,87,16,21,0.35,19
2014-04-30,良,93,87,65,129,17,21,0.66,18
2014-05-01,轻度污染,125,147,94,179,22,19,0.77,21
2014-05-02,良,88,97,56,118,15,19,0.38,20
2014-05-03,良,66,59,38,81,13,18,0.34,18
2014-05-04,良,72,102,44,93,16,23,0.39,19
2014-05-05,良,77,129,49,98,20,23,0.44,20
2014-05-06,轻度污染,112,170,83,147,23,26,0.71,20
2014-05-07,中度污染,185,189,144,231,20,24,1.22,20
2014-05-08,轻度污染,150,184,115,171,18,22,0.97,17
2014-05-09,良,97,135,72,111,14,14,0.65,18
2014-05-10,良,95,178,68,107,10,13,0.74,19
2014-05-11,轻度污染,126,188,94,133,12,17,1.08,19
2014-05-12,中度污染,166,189,128,185,20,19,1.61,19
2014-05-13,轻度污染,150,186,114,160,15,17,1.58,19
2014-05-14,轻度污染,114,161,85,122,17,16,1.34,19
2014-05-15,良,83,111,59,91,11,15,1.10,19
2014-05-16,良,80,68,58,98,12,15,1.07,21
2014-05-17,轻度污染,143,180,108,168,12,19,1.20,20
2014-05-18,中度污染,153,183,115,179,14,17,1.30,21
2014-05-19,良,95,115,69,105,9,14,1.06,21
2014-05-20,中度污染,157,173,119,184,15,17,1.45,20
2014-05-21,良,87,75,64,93,11,12,0.90,23
2014-05-22,轻度污染,117,122,87,132,14,15,1.05,21
2014-05-23,轻度污染,129,177,97,142,14,17,1.22,22
2014-05-24,良,65,111,44,75,14,16,1.22,23
2014-05-25,良,86,90,56,115,13,17,0.92,20
2014-05-26,良,92,91,51,133,15,17,0.84,18
2014-05-27,良,97,77,58,143,13,16,1.04,16
2014-05-28,轻度污染,102,111,68,152,15,18,1.08,19
2014-05-29,轻度污染,136,143,103,193,19,20,1.34,24
2014-05-30,轻度污染,134,122,100,176,20,17,1.34,21
2014-05-31,良,100,98,74,132,22,15,1.11,23
2014-06-01,良,83,127,61,104,14,16,1.11,21
2014-06-02,轻度污染,103,170,76,131,21,20,1.37,25
2014-06-03,优,49,37,26,52,11,14,0.92,19
2014-06-04,良,61,60,37,70,15,17,1.14,20
2014-06-05,良,62,60,34,73,18,16,1.10,19
2014-06-06,良,67,81,40,81,20,18,1.14,18
2014-06-07,良,78,112,54,101,14,17,1.34,21
2014-06-08,良,81,96,57,103,19,16,1.20,17
2014-06-09,优,50,41,28,52,10,14,0.78,18
2014-06-10,优,49,47,25,50,21,19,0.60,24
2014-06-11,良,63,72,39,74,14,21,0.68,30
2014-06-12,良,65,54,43,75,25,30,0.69,45
2014-06-13,良,62,47,42,64,12,31,0.71,66
2014-06-14,良,74,56,51,82,12,31,0.79,70
2014-06-15,良,91,83,67,102,13,35,1.01,75
2014-06-16,良,72,72,47,80,13,32,0.81,76
2014-06-17,良,76,109,53,93,21,31,0.92,68
2014-06-18,良,97,145,71,124,34,35,1.05,73
2014-06-19,良,96,145,70,111,22,41,0.89,91
2014-06-20,良,57,102,34,62,13,27,0.53,64
