日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,125,90,101,145,90,66,1.34,54
2014-01-01,轻度污染,141,122,127,195,115,71,1.78,26
2014-01-02,中度污染,173,140,114,160,88,46,1.55,30
2014-01-03,轻度污染,122,75,91,126,92,41,1.22,59
2014-01-04,中度污染,163,137,123,187,140,65,1.67,40
2014-01-05,中度污染,189,131,142,229,100,68,1.89,39
2014-01-06,轻度污染,134,65,101,137,32,42,1.32,49
2014-01-07,轻度污染,141,115,106,138,64,44,1.34,28
2014-01-08,轻度污染,121,152,91,124,48,37,1.15,21
2014-01-09,轻度污染,131,162,99,129,42,31,0.74,48
2014-01-10,良,96,79,71,93,33,33,0.79,42
2014-01-11,良,75,38,54,78,38,33,1.09,17
2014-01-12,良,88,74,65,87,58,42,1.30,6
2014-01-13,良,83,71,61,85,40,35,0.90,31
2014-01-14,轻度污染,131,111,98,137,78,52,1.07,27
2014-01-15,轻度污染,142,95,107,167,78,48,1.27,36
2014-01-16,中度污染,153,100,116,183,93,61,1.16,34
2014-01-17,中度污染,182,105,138,211,103,57,1.78,25
2014-01-18,轻度污染,148,78,113,182,69,49,1.66,40
2014-01-19,轻度污染,135,70,102,161,107,57,1.43,27
2014-01-20,良,100,62,75,105,54,40,0.97,52
2014-01-21,轻度污染,116,147,87,146,100,53,1.25,38
2014-01-22,轻度污染,126,137,95,158,104,56,1.14,52
2014-01-24,轻度污染,147,110,112,176,113,65,1.07,73
2014-01-25,重度污染,204,158,156,212,92,58,1.08,85
2014-01-26,中度污染,164,160,124,178,60,35,0.72,109
2014-01-27,中度污染,192,159,144,208,73,43,0.98,77
2014-01-28,重度污染,202,160,152,202,44,41,1.25,25
2014-01-29,中度污染,180,154,137,183,40,34,1.15,39
2014-01-30,中度污染,152,90,115,159,44,34,1.06,37
2014-01-31,重度污染,217,98,192,263,65,31,0.95,48
2014-02-01,轻度污染,122,94,92,119,44,29,0.91,45
2014-02-02,轻度污染,126,85,95,130,45,31,0.87,42
2014-02-03,中度污染,157,167,119,163,61,40,1.10,19
2014-02-04,中度污染,154,178,117,158,29,22,1.03,61
2014-02-05,良,79,149,56,83,17,21,1.11,33
2014-02-06,优,24,16,16,22,14,16,0.48,22
2014-02-07,优,30,22,20,28,14,15,0.56,27
2014-02-08,优,29,11,18,28,19,16,0.46,40
2014-02-09,优,32,36,22,28,20,14,0.55,48
2014-02-10,良,99,164,73,89,39,18,0.84,75
2014-02-11,良,87,104,64,81,28,17,0.51,69
2014-02-12,良,89,84,65,89,29,17,0.62,77
2014-02-13,良,84,77,62,83,39,24,0.57,71
2014-02-14,良,100,82,75,99,37,20,0.58,74
2014-02-15,轻度污染,109,64,82,115,44,24,0.50,73
2014-02-16,轻度污染,132,132,100,141,34,28,0.63,55
2014-02-17,良,72,94,52,69,21,28,0.79,30
2014-02-18,良,63,84,45,59,55,40,1.35,12
2014-02-19,良,72,68,52,71,42,36,0.81,36
2014-02-20,良,61,36,43,62,38,33,0.82,42
2014-02-21,良,80,37,57,94,39,27,0.50,82
2014-02-22,良,91,48,67,95,27,30,0.56,45
2014-02-23,良,68,22,49,66,24,30,0.55,39
2014-02-24,优,50,13,35,49,33,32,0.74,26
2014-02-25,良,79,75,56,84,41,32,0.95,32
2014-02-26,良,62,32,42,64,26,33,0.79,40
2014-02-27,优,39,7,25,37,28,36,0.81,22
2014-02-28,优,32,7,19,32,19,29,0.79,23
2014-03-01,优,47,34,29,48,24,27,0.96,26
2014-03-02,优,47,27,32,44,18,23,0.77,45
2014-03-03,良,60,43,40,65,24,25,0.71,48
2014-03-04,良,86,122,62,105,91,47,1.07,22
2014-03-05,良,87,124,65,100,27,32,0.63,53
2014-03-06,优,44,19,27,43,24,29,0.68,43
2014-03-07,优,34,15,20,31,15,24,0.55,56
2014-03-08,良,59,65,39,66,39,34,0.86,41
2014-03-09,良,69,64,48,81,30,32,0.96,50
2014-03-10,良,90,81,66,111,40,34,0.86,69
2014-03-11,轻度污染,105,94,78,122,22,31,0.91,44
2014-03-12,轻度污染,119,146,90,136,45,44,0.98,36
2014-03-13,轻度污染,126,181,95,143,28,32,0.82,62
2014-03-14,轻度污染,112,164,84,135,25,37,0.87,42
2014-03-15,轻度污染,110,126,81,149,57,45,0.93,30
2014-03-16,轻度污染,123,130,89,183,77,54,1.11,51
2014-03-17,轻度污染,129,106,95,193,56,43,1.26,62
2014-03-18,轻度污染,109,79,82,139,30,31,0.95,59
2014-03-19,轻度污染,115,129,86,149,26,32,0.91,59
2014-03-20,良,74,80,53,74,10,19,0.72,69
2014-03-21,良,65,58,41,77,17,24,0.43,65
2014-03-22,良,78,77,54,98,23,31,0.46,65
2014-03-23,轻度污染,102,111,76,117,19,40,0.61,35
2014-03-25,良,93,70,66,126,65,50,1.15,17
2014-03-26,良,92,61,68,109,45,43,1.01,32
2014-03-27,良,91,59,67,111,39,39,0.90,25
2014-03-28,良,70,65,50,79,29,34,0.75,58
2014-03-29,良,78,85,50,102,40,38,0.71,52
2014-03-30,良,61,33,40,70,19,28,0.69,57
2014-03-31,良,61,48,43,63,12,25,0.92,54
2014-04-01,良,56,30,38,58,23,29,0.65,53
2014-04-02,良,91,114,67,112,31,33,0.51,52
2014-04-03,轻度污染,114,166,85,153,52,48,0.99,34
2014-04-04,轻度污染,111,154,83,150,41,44,0.63,71
2014-04-05,轻度污染,124,163,94,142,32,49,0.61,46
2014-04-06,良,62,46,44,65,26,27,0.58,61
2014-04-07,良,65,42,46,72,23,26,0.66,61
2014-04-08,良,67,30,47,74,24,34,0.78,31
2014-04-09,良,63,25,43,71,20,34,0.56,23
2014-04-10,良,67,39,45,79,22,32,0.69,15
2014-04-11,良,89,112,64,117,29,33,0.82,40
2014-04-12,良,81,111,58,98,17,26,0.68,67
2014-04-13,良,57,38,37,60,8,16,0.65,51
2014-04-14,良,85,83,61,98,14,24,0.59,46
2014-04-15,轻度污染,105,130,78,121,21,26,0.73,66
2014-04-16,轻度污染,114,171,86,129,20,25,0.70,70
2014-04-17,良,91,111,66,111,18,28,0.66,68
2014-04-18,良,97,139,72,109,19,16,0.68,68
2014-04-19,良,70,127,48,77,13,17,0.67,59
2014-04-20,优,46,24,26,46,7,19,0.62,52
2014-04-21,良,54,44,32,62,10,27,0.60,21
2014-04-22,良,54,41,32,60,7,24,0.54,28
2014-04-23,良,59,34,37,64,6,21,0.48,41
2014-04-24,良,52,24,32,54,7,23,0.57,35
2014-04-25,良,60,60,34,70,13,31,0.81,23
2014-04-26,良,61,87,36,73,9,28,0.63,21
2014-04-27,良,61,73,33,70,15,25,0.56,38
2014-04-28,良,65,79,41,78,6,31,0.67,29
2014-04-29,良,71,43,45,91,10,43,0.62,34
2014-04-30,良,81,57,53,106,21,45,0.73,34
2014-05-01,良,100,81,59,144,16,42,0.78,47
2014-05-02,轻度污染,112,150,72,164,30,54,0.84,28
2014-05-03,轻度污染,105,157,68,148,13,34,0.57,38
2014-05-04,良,51,34,29,53,6,28,0.63,31
2014-05-05,良,65,89,32,80,14,37,0.65,40
2014-05-06,良,87,124,58,117,24,42,0.82,47
2014-05-07,轻度污染,127,180,95,166,43,44,0.87,55
2014-05-08,轻度污染,119,161,89,138,14,39,0.89,23
2014-05-09,优,43,25,27,44,6,26,0.64,23
2014-05-10,优,46,44,31,46,6,22,0.81,57
2014-05-11,良,60,113,39,62,15,24,0.67,60
2014-05-12,良,63,63,42,69,9,27,0.75,43
2014-05-13,良,63,42,43,73,16,33,0.60,34
2014-05-14,良,89,117,65,102,17,40,0.48,46
2014-05-15,良,85,119,62,102,13,40,0.58,52
2014-05-16,良,69,52,48,81,11,28,0.50,50
2014-05-17,良,75,66,53,85,13,28,0.49,62
2014-05-18,轻度污染,106,145,79,118,14,34,0.76,48
2014-05-19,良,77,89,56,78,11,31,0.63,50
2014-05-20,良,87,81,64,97,11,31,0.67,35
2014-05-21,良,60,36,42,63,10,28,0.59,33
2014-05-22,优,44,28,28,41,5,20,0.54,31
2014-05-23,优,38,22,22,37,7,26,0.60,27
2014-05-24,良,62,93,41,67,15,35,0.90,25
2014-05-25,良,87,94,64,80,12,27,0.88,34
2014-05-26,优,44,20,26,47,17,20,0.36,42
2014-05-27,良,87,60,54,123,14,28,0.40,49
2014-05-28,轻度污染,105,114,70,157,27,48,0.76,39
2014-05-29,轻度污染,119,114,88,158,19,57,0.73,21
2014-05-30,轻度污染,111,96,83,121,10,38,0.66,17
2014-05-31,良,98,97,73,109,8,33,0.71,26
2014-06-01,良,96,148,71,105,13,34,0.84,40
2014-06-02,良,73,136,53,82,10,29,0.59,29
2014-06-03,优,45,29,30,43,9,18,0.59,54
2014-06-04,良,56,48,39,52,10,33,0.72,40
2014-06-05,良,58,49,39,60,8,26,0.86,35
2014-06-06,良,88,110,65,87,10,33,0.87,31
2014-06-07,良,81,118,59,94,13,33,0.81,27
2014-06-08,良,86,108,63,95,9,38,0.97,16
2014-06-09,良,75,118,54,74,7,37,0.92,18
2014-06-10,优,44,31,28,43,6,37,0.76,30
2014-06-11,良,80,121,57,81,12,34,0.70,41
2014-06-12,良,95,117,71,101,13,36,0.66,39
2014-06-13,轻度污染,126,147,95,130,11,33,0.79,48
2014-06-14,轻度污染,116,126,86,131,11,27,0.77,45
2014-06-15,良,60,35,38,67,7,18,0.61,71
2014-06-16,优,50,29,32,51,11,24,0.70,63
2014-06-17,良,84,128,60,103,20,42,0.83,70
2014-06-18,良,96,144,71,123,12,44,0.85,43
2014-06-19,良,71,107,50,79,10,31,0.68,26
2014-06-20,优,37,37,21,35,12,19,0.53,38
2014-06-21,优,39,31,23,38,12,20,0.38,58
2014-06-22,优,47,50,30,46,8,30,0.50,42
2014-06-23,良,81,132,59,89,10,31,0.63,46
2014-06-24,良,69,89,49,71,12,21,0.61,48
2014-06-25,良,57,87,36,63,13,24,0.78,28
2014-06-26,良,54,76,34,57,12,26,0.53,45
2014-06-27,良,69,122,48,77,14,36,0.63,20
2014-06-28,良,58,64,39,61,12,27,0.54,22
2014-06-29,良,56,63,34,61,8,28,0.50,29
2014-06-30,优,50,41,29,52,8,23,0.44,46
2014-07-01,良,59,56,39,61,10,23,0.42,53
2014-07-02,良,78,135,56,95,14,36,0.62,25
2014-07-03,良,81,124,58,100,11,34,0.71,20
2014-07-04,优,41,19,22,41,12,22,0.68,43
2014-07-05,良,65,105,44,72,13,21,0.68,46
2014-07-06,优,47,41,24,48,8,16,0.46,47
2014-07-07,良,64,71,42,75,7,21,0.49,48
2014-07-08,良,73,101,48,93,9,28,0.59,42
2014-07-09,良,66,99,42,80,9,22,0.56,46
2014-07-10,良,62,77,37,72,10,16,0.52,60
2014-07-11,良,69,85,44,83,9,25,0.56,51
2014-07-12,优,43,40,22,42,9,19,0.49,54
2014-07-13,良,54,76,33,56,8,26,0.49,55
2014-07-14,优,40,39,21,39,5,32,0.51,29
2014-07-15,优,29,19,19,25,9,23,0.50,45
2014-07-16,优,32,27,19,29,7,22,0.34,42
2014-07-17,良,53,65,35,51,9,22,0.54,23
2014-07-18,优,42,47,26,41,7,13,0.40,27
2014-07-19,优,47,56,29,46,8,15,0.49,28
2014-07-20,优,38,32,23,38,7,13,0.34,30
2014-07-21,优,43,38,26,43,15,16,0.41,28
2014-07-22,良,58,81,30,65,22,22,0.48,35
2014-07-23,良,75,153,48,96,17,33,0.58,46
2014-07-24,良,64,115,42,75,13,28,0.45,46
2014-07-25,良,71,125,37,90,16,31,0.47,55
2014-07-26,良,67,56,43,82,7,19,0.35,49
2014-07-27,良,61,55,41,69,6,13,0.38,60
2014-07-28,良,64,62,44,72,11,17,0.40,45
2014-07-29,良,60,42,36,66,11,15,0.38,43
2014-07-30,良,64,92,37,75,11,17,0.51,39
2014-07-31,良,69,113,41,85,22,20,0.46,32
2014-08-01,良,67,128,40,82,16,22,0.41,36
2014-08-02,良,69,130,40,88,12,28,0.44,42
2014-08-03,良,76,120,52,98,11,25,0.46,46
2014-08-04,良,73,100,51,88,10,16,0.42,57
2014-08-05,良,73,126,50,88,13,18,0.42,54
2014-08-06,良,67,119,44,78,17,18,0.41,60
2014-08-07,良,70,143,45,87,19,22,0.48,62
2014-08-09,良,58,110,36,62,9,14,0.42,52
2014-08-10,良,71,121,50,81,11,17,0.44,56
2014-08-11,良,59,78,37,63,10,16,0.46,50
2014-08-12,优,37,25,18,35,8,18,0.39,69
2014-08-13,优,47,63,25,48,8,18,0.45,69
2014-08-14,良,63,129,39,72,12,27,0.59,61
2014-08-15,良,66,85,45,75,9,23,0.57,64
2014-08-16,良,79,117,56,96,16,21,0.55,60
2014-08-17,良,59,88,39,62,5,21,0.58,28
2014-08-18,优,30,8,18,28,5,24,0.59,29
2014-08-19,优,46,60,27,46,7,24,0.46,63
2014-08-20,良,69,97,47,78,9,29,0.61,54
2014-08-21,良,83,100,59,106,15,29,0.57,67
2014-08-23,优,47,32,26,46,10,21,0.43,66
2014-08-24,良,56,90,36,60,8,28,0.53,49
2014-08-25,良,63,97,40,74,9,25,0.57,41
2014-08-26,良,57,57,37,62,6,18,0.56,45
2014-08-27,优,50,52,28,54,7,21,0.51,39
2014-08-28,良,73,125,49,84,8,24,0.62,29
2014-08-29,良,56,80,30,63,14,20,0.38,25
2014-08-30,良,57,88,31,65,23,20,0.40,26
2014-08-31,良,70,144,43,88,23,22,0.52,45
2014-09-01,良,75,155,45,98,15,26,0.48,41
2014-09-02,优,45,61,26,48,14,17,0.47,40
2014-09-03,良,56,140,31,61,24,29,0.56,38
2014-09-04,良,65,95,34,78,12,35,0.56,22
2014-09-05,优,42,13,17,42,16,17,0.40,31
2014-09-06,优,49,26,28,50,12,19,0.51,33
2014-09-07,良,62,63,39,71,16,22,0.52,37
2014-09-08,良,62,79,38,74,12,21,0.48,42
2014-09-09,良,67,108,46,76,14,22,0.49,44
2014-09-10,良,61,76,37,69,15,16,0.48,46
2014-09-11,良,63,112,40,68,14,15,0.45,50
2014-09-12,良,60,128,39,66,17,16,0.48,57
2014-09-13,良,60,123,40,66,10,16,0.48,58
2014-09-14,良,59,129,37,63,7,15,0.54,60
2014-09-15,良,54,123,32,56,7,15,0.59,48
2014-09-16,优,46,76,25,48,8,14,0.57,52
2014-09-17,优,43,75,26,42,4,21,0.54,31
2014-09-18,优,31,19,16,30,10,19,0.79,32
2014-09-19,优,39,28,20,39,8,24,0.86,29
2014-09-20,优,39,20,20,39,7,19,0.47,40
2014-09-21,良,56,81,33,64,10,25,0.50,40
2014-09-22,良,65,108,37,76,17,30,0.57,60
2014-09-23,良,74,144,50,76,14,22,0.47,96
2014-09-24,良,99,169,74,94,14,27,0.65,72
2014-09-25,轻度污染,112,166,84,116,11,30,0.67,54
2014-09-26,良,91,108,67,95,9,21,0.59,65
2014-09-27,良,92,115,68,99,13,24,0.69,60
2014-09-28,良,87,141,62,94,12,26,0.67,44
2014-09-29,良,70,134,48,79,11,31,0.71,58
2014-09-30,良,63,137,42,66,9,19,0.67,55
2014-10-01,良,75,147,54,79,8,20,0.60,53
2014-10-02,良,68,86,47,70,10,22,0.60,51
2014-10-03,良,61,62,40,69,10,20,0.53,52
2014-10-04,良,52,41,34,53,6,19,0.54,51
2014-10-05,良,63,67,41,68,12,31,0.42,68
2014-10-06,良,76,104,50,96,14,36,0.58,54
2014-10-07,良,92,111,67,111,23,39,0.57,56
2014-10-08,良,99,110,73,106,22,42,0.60,60
2014-10-09,轻度污染,110,126,82,123,29,42,0.65,56
2014-10-10,轻度污染,112,132,83,122,23,36,0.58,87
2014-10-11,轻度污染,128,151,97,140,38,47,0.70,72
2014-10-12,轻度污染,127,176,95,135,16,39,0.57,69
2014-10-13,轻度污染,104,172,76,104,12,29,0.62,54
2014-10-14,轻度污染,146,178,110,154,24,38,0.77,58
2014-10-15,轻度污染,139,153,105,148,20,38,0.99,43
2014-10-16,轻度污染,117,133,86,117,18,36,0.84,24
2014-10-17,优,49,10,30,51,9,31,0.85,11
2014-10-18,轻度污染,126,127,94,131,9,36,0.92,19
2014-10-19,轻度污染,106,131,77,115,15,30,0.87,20
2014-10-20,良,58,36,38,64,12,34,0.89,14
2014-10-21,良,65,43,45,69,14,27,0.64,49
2014-10-22,良,74,61,51,88,10,35,0.60,46
2014-10-23,良,82,66,59,102,17,48,0.60,34
2014-10-24,良,97,91,71,111,18,40,0.79,33
2014-10-25,轻度污染,123,154,92,146,18,46,0.92,20
2014-10-26,轻度污染,119,144,89,160,18,45,0.89,32
2014-10-27,轻度污染,104,139,77,121,10,31,0.70,33
2014-10-28,良,86,126,62,97,11,32,0.83,29
2014-10-29,良,77,118,56,84,11,25,0.83,20
2014-10-30,优,41,22,25,40,7,12,0.68,17
2014-10-31,优,42,19,24,42,6,16,0.66,21
2014-11-01,优,39,16,23,37,6,16,0.57,27
2014-11-02,优,31,8,18,29,12,13,0.35,37
2014-11-03,优,50,26,30,54,15,22,0.53,28
2014-11-04,良,58,19,35,64,11,25,0.50,27
2014-11-05,优,43,7,28,42,12,23,0.56,27
2014-11-06,良,74,70,50,94,16,31,0.76,8
2014-11-07,优,45,26,26,45,8,26,0.47,44
2014-11-08,优,40,28,21,39,8,20,0.56,34
2014-11-09,优,29,7,15,28,11,20,0.73,35
2014-11-10,优,35,18,17,34,9,23,0.68,23
2014-11-11,良,53,29,32,54,23,30,0.91,10
2014-11-12,良,57,65,39,62,19,36,0.77,14
2014-11-13,良,86,146,63,102,20,37,0.73,34
2014-11-14,良,78,73,55,100,22,38,0.59,22
2014-11-15,良,73,47,52,79,16,36,0.71,29
2014-11-16,良,73,41,53,68,12,25,0.68,39
2014-11-17,良,70,37,50,72,15,31,0.57,40
2014-11-18,良,69,26,49,76,17,31,0.58,42
2014-11-19,良,87,62,62,118,47,47,0.91,25
2014-11-20,轻度污染,112,90,83,150,44,48,0.82,9
2014-11-21,轻度污染,104,74,77,123,13,33,0.70,8
2014-11-22,良,83,48,59,93,28,30,0.93,4
2014-11-23,优,46,10,26,49,18,25,0.79,8
2014-11-24,良,57,62,36,64,25,32,0.79,11
2014-11-25,优,45,25,22,48,16,24,1.01,27
2014-11-26,优,50,19,27,52,15,21,0.66,30
2014-11-27,良,53,32,30,57,22,29,0.83,19
2014-11-28,优,41,10,20,41,11,22,0.73,18
2014-11-29,优,43,12,22,43,10,22,0.94,15
2014-11-30,优,49,47,27,53,16,25,0.95,18
2014-12-01,良,60,52,34,70,17,22,0.55,46
2014-12-02,良,68,103,38,85,25,17,0.55,55
2014-12-03,良,70,93,48,78,16,37,0.68,15
2014-12-04,良,53,69,28,58,17,26,0.49,35
2014-12-05,良,70,89,41,87,33,32,0.46,43
2014-12-06,良,84,97,60,108,31,40,0.50,35
2014-12-07,良,83,75,59,99,36,38,0.59,23
2014-12-08,良,92,84,63,124,32,34,0.60,41
2014-12-09,良,89,91,64,107,26,30,0.51,60
2014-12-10,良,57,23,39,48,12,27,0.66,22
2014-12-11,良,55,34,35,60,19,24,0.53,31
2014-12-12,良,71,78,43,89,39,35,0.62,16
2014-12-13,良,82,88,57,107,49,38,0.74,26
2014-12-14,良,86,58,62,107,46,36,0.64,30
2014-12-15,良,76,31,54,93,33,32,0.60,27
2014-12-16,良,56,48,38,56,21,29,0.51,31
2014-12-17,良,70,82,41,88,32,37,0.48,30
2014-12-18,良,86,82,62,92,29,50,0.67,21
2014-12-19,良,72,40,51,72,30,33,0.60,24
2014-12-20,良,96,138,71,101,23,34,0.69,30
2014-12-21,良,87,114,64,84,29,37,0.71,35
2014-12-22,良,87,77,64,103,37,35,0.73,38
2014-12-23,轻度污染,117,104,86,139,61,46,0.85,40
2014-12-24,中度污染,170,144,128,196,56,56,1.11,12
2014-12-25,轻度污染,130,143,98,140,35,49,0.73,36
2014-12-26,中度污染,156,153,117,164,46,44,0.76,50
2014-12-27,中度污染,189,157,143,197,42,46,1.02,21
2014-12-28,轻度污染,131,107,98,147,51,47,0.92,35
