日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,117,305,88,141,21,35,2.27,30
2015-01-02,轻度污染,130,545,98,159,26,32,2.32,44
2015-01-03,中度污染,160,279,120,196,35,50,2.55,24
2015-01-04,良,98,89,73,114,20,34,2.29,27
2015-01-05,轻度污染,121,162,90,137,34,33,2.61,19
2015-01-06,良,77,202,55,78,16,23,2.61,14
2015-01-07,良,64,112,43,68,12,20,1.75,18
2015-01-08,良,81,142,58,88,20,27,1.23,14
2015-01-09,良,59,47,41,52,9,21,1.08,13
2015-01-10,优,30,7,21,20,7,8,1.03,7
2015-01-11,良,60,73,42,55,11,15,1.23,9
2015-01-12,良,68,138,46,70,23,18,1.25,13
2015-01-13,良,74,158,53,83,7,15,1.20,6
2015-01-14,良,96,188,71,93,8,14,1.34,9
2015-01-15,轻度污染,106,192,75,128,10,24,1.45,13
2015-01-16,中度污染,163,281,123,217,40,50,1.72,9
2015-01-17,轻度污染,142,283,106,182,18,34,1.33,16
2015-01-18,中度污染,154,332,116,176,39,41,1.54,15
2015-01-19,良,98,199,73,107,19,29,1.43,14
2015-01-20,轻度污染,129,287,97,152,41,41,1.78,49
2015-01-21,中度污染,177,344,134,207,34,47,2.05,53
2015-01-22,中度污染,174,334,128,209,44,54,2.45,36
2015-01-23,中度污染,162,272,120,177,23,36,1.94,61
2015-01-24,轻度污染,110,153,81,123,31,37,1.85,64
2015-01-25,良,78,83,56,94,30,27,1.78,70
2015-01-26,轻度污染,114,160,81,139,39,36,2.45,62
2015-01-27,良,77,162,54,91,22,23,2.08,70
2015-01-28,良,69,244,47,76,28,26,2.13,48
2015-01-29,良,71,221,39,87,18,18,1.98,46
2015-01-30,优,47,79,26,49,11,16,2.15,32
2015-01-31,优,43,31,24,43,9,15,1.98,21
2015-02-01,优,47,49,27,48,19,18,1.64,17
2015-02-02,良,65,77,45,70,30,26,2.23,9
2015-02-03,良,74,103,53,63,25,33,1.80,6
2015-02-04,良,56,80,35,64,32,28,0.88,15
2015-02-05,良,91,209,67,114,22,34,0.93,20
2015-02-06,轻度污染,127,290,95,152,43,41,0.94,46
2015-02-07,中度污染,164,335,124,188,50,51,1.14,56
2015-02-08,轻度污染,141,332,106,160,30,37,1.02,56
2015-02-09,轻度污染,123,310,92,145,32,44,0.95,72
2015-02-10,中度污染,157,319,119,161,30,45,1.22,41
2015-02-11,良,82,109,59,66,14,26,1.14,43
2015-02-12,轻度污染,105,183,78,114,17,31,1.24,37
2015-02-13,中度污染,174,311,133,173,36,45,1.50,28
2015-02-14,轻度污染,121,196,91,90,23,32,1.45,33
2015-02-15,良,82,130,59,82,28,27,1.27,38
2015-02-16,良,89,145,64,90,18,23,1.15,51
2015-02-17,良,60,73,43,45,12,15,0.94,62
2015-02-18,良,89,182,65,83,21,15,1.05,57
2015-02-19,良,95,156,70,73,31,13,0.83,54
2015-02-20,良,63,184,43,59,15,13,0.89,43
2015-02-21,良,57,155,39,53,18,11,0.84,52
2015-02-22,良,64,128,45,62,21,15,0.91,56
2015-02-23,良,67,144,48,64,21,17,0.95,55
2015-02-24,良,70,169,50,71,25,19,0.97,58
2015-02-25,良,71,210,49,83,23,21,0.69,56
2015-02-26,良,81,249,58,93,24,26,0.58,57
2015-02-27,良,88,323,64,94,22,22,0.69,78
2015-02-28,良,74,273,53,74,14,20,0.68,69
2015-03-01,优,35,49,18,29,12,12,0.71,64
2015-03-02,良,61,110,43,66,11,16,0.80,59
2015-03-03,良,70,154,47,74,18,24,0.91,51
2015-03-04,良,58,181,38,59,11,14,0.84,62
2015-03-05,良,75,252,54,67,20,21,1.02,29
2015-03-06,优,41,71,22,38,14,14,0.93,31
2015-03-07,优,50,80,32,50,9,16,0.99,28
2015-03-08,良,70,174,49,81,27,25,1.10,18
2015-03-09,良,67,178,46,72,27,24,1.11,29
2015-03-10,优,46,62,29,40,11,19,1.07,20
2015-03-11,优,40,44,23,38,13,20,1.13,25
2015-03-12,良,64,120,42,74,17,22,1.19,62
2015-03-13,良,56,92,36,53,10,21,1.25,29
2015-03-14,良,82,152,56,107,22,36,1.44,9
2015-03-15,轻度污染,107,214,78,122,17,29,1.44,43
2015-03-16,良,98,210,72,114,16,24,1.36,51
2015-03-17,轻度污染,106,281,77,127,17,29,1.26,68
2015-03-18,轻度污染,125,341,93,146,18,29,1.28,81
2015-03-19,轻度污染,118,310,89,137,15,21,1.24,100
2015-03-20,轻度污染,121,288,90,134,16,25,1.26,84
2015-03-21,良,59,81,40,57,12,14,1.21,64
2015-03-22,良,82,173,59,99,28,30,1.37,36
2015-03-23,轻度污染,127,344,95,137,33,37,1.54,20
2015-03-24,良,76,236,55,81,27,31,1.47,23
2015-03-25,良,63,158,43,64,21,26,1.45,34
2015-03-26,良,78,229,55,87,17,22,1.50,42
2015-03-27,良,84,217,61,85,18,25,1.55,42
2015-03-28,良,82,182,57,88,19,27,1.51,41
2015-03-29,良,68,109,47,76,19,22,1.36,51
2015-03-30,良,74,172,49,91,24,22,1.40,55
2015-03-31,良,69,164,45,85,17,18,1.53,66
2015-04-01,良,76,247,54,92,18,20,1.60,76
2015-04-02,良,91,317,66,111,19,28,1.72,78
2015-04-03,良,98,309,71,126,24,35,1.81,73
2015-04-04,良,93,284,64,119,30,27,2.04,87
2015-04-05,轻度污染,102,283,73,127,30,20,2.09,103
2015-04-06,良,92,295,67,101,22,19,2.14,73
2015-04-07,良,66,266,47,59,16,17,2.31,39
2015-04-08,优,49,121,29,51,17,17,2.30,64
2015-04-09,优,50,94,34,48,14,17,2.24,44
2015-04-10,良,55,105,38,53,17,20,2.25,38
2015-04-11,良,78,214,55,88,30,26,1.95,47
2015-04-12,良,72,203,47,78,16,22,1.40,67
2015-04-13,良,99,340,56,137,23,36,1.31,64
2015-04-14,轻度污染,111,331,73,154,42,39,1.33,81
2015-04-15,轻度污染,102,252,72,132,59,33,1.37,95
2015-04-16,轻度污染,113,264,79,143,42,30,1.38,94
2015-04-17,良,88,150,61,108,32,18,1.39,86
2015-04-18,轻度污染,111,295,82,132,36,24,1.45,76
2015-04-19,轻度污染,108,341,73,130,32,17,1.46,91
2015-04-20,良,64,206,36,74,13,9,1.37,82
2015-04-21,良,56,124,28,56,24,10,1.47,90
2015-04-22,良,68,176,46,76,24,14,1.58,60
2015-04-23,良,73,169,52,79,17,9,1.67,74
2015-04-24,良,80,197,58,87,20,12,1.85,45
2015-04-25,良,63,75,41,68,14,12,1.97,61
2015-04-26,良,87,202,61,117,45,19,2.09,66
2015-04-27,良,89,242,62,115,30,16,2.13,65
2015-04-28,良,65,127,44,71,18,11,2.07,57
2015-04-29,良,51,58,29,55,14,10,2.03,60
2015-04-30,良,71,126,43,90,25,13,2.06,40
2015-05-01,良,59,128,32,68,24,12,2.01,51
