日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,141,330,106,157,24,45,2.96,18
2015-01-02,良,96,372,70,115,26,26,3.00,28
2015-01-03,良,91,123,65,102,34,27,3.17,31
2015-01-04,轻度污染,104,107,77,99,40,22,1.99,72
2015-01-05,良,83,87,61,18,17,14,0.48,56
2015-01-06,良,69,168,47,62,27,19,0.69,68
2015-01-07,轻度污染,105,284,76,116,24,28,0.84,53
2015-01-08,轻度污染,108,222,80,120,29,32,0.92,47
2015-01-09,良,63,61,45,40,12,17,0.85,38
2015-01-10,良,55,43,38,28,13,11,1.03,44
2015-01-11,良,63,81,44,41,14,14,1.47,41
2015-01-12,良,82,175,59,77,13,20,1.89,31
2015-01-13,良,94,199,68,99,23,26,2.12,46
2015-01-14,良,85,167,59,91,19,26,2.30,45
2015-01-15,良,77,117,54,86,23,27,2.55,41
2015-01-16,良,88,148,63,97,28,29,2.06,40
2015-01-17,轻度污染,109,211,81,118,21,34,1.41,33
2015-01-18,良,56,45,40,14,15,19,1.43,55
2015-01-19,良,81,121,59,17,14,18,0.65,42
2015-01-20,良,70,79,49,61,18,19,0.24,37
2015-01-21,良,73,91,51,71,20,26,0.37,32
2015-01-22,良,92,150,68,77,22,28,0.41,34
2015-01-23,良,74,46,50,79,26,24,0.50,41
2015-01-24,良,65,39,41,70,19,22,0.56,42
2015-01-25,良,73,66,52,69,23,22,0.66,46
2015-01-26,良,71,60,50,75,29,25,0.70,41
2015-01-27,良,81,177,58,80,26,28,0.79,42
2015-01-28,良,67,232,46,72,25,26,0.90,51
2015-01-29,良,72,228,50,67,27,21,1.15,65
2015-01-30,良,76,211,53,76,23,28,1.77,53
2015-01-31,良,73,200,52,42,18,19,1.01,62
2015-02-01,良,86,203,63,66,25,22,1.30,46
2015-02-02,良,89,171,65,88,38,25,1.54,40
2015-02-03,良,73,97,51,76,19,25,1.73,41
2015-02-04,良,68,113,47,67,27,18,1.88,50
2015-02-05,良,66,122,45,72,26,21,2.14,49
2015-02-06,良,60,50,40,59,27,22,2.37,53
2015-02-07,良,66,78,44,65,23,19,2.51,56
2015-02-08,良,87,237,64,70,26,21,2.74,61
2015-02-09,良,86,199,61,77,28,21,2.16,72
2015-02-10,良,73,98,52,67,24,19,1.20,67
2015-02-11,良,84,118,61,67,17,20,0.31,56
2015-02-12,良,88,145,64,81,26,22,0.42,53
2015-02-13,良,92,177,67,83,28,22,0.47,50
2015-02-14,良,58,45,41,35,7,11,0.47,54
2015-02-15,良,77,111,55,50,12,16,0.58,52
2015-02-16,良,85,130,62,51,6,19,0.72,55
2015-02-17,良,81,150,59,49,6,15,0.86,49
2015-02-18,良,98,228,72,68,11,12,0.98,53
2015-02-19,中度污染,153,267,118,60,38,7,1.01,55
2015-02-20,良,77,241,55,35,8,6,1.11,58
2015-02-21,良,62,167,43,45,4,8,1.24,56
2015-02-22,良,72,153,51,56,4,8,1.41,54
2015-02-23,良,74,176,53,33,5,9,1.58,53
2015-02-24,良,83,222,60,29,7,10,1.79,62
2015-02-25,良,79,233,57,40,8,10,1.93,65
2015-02-26,轻度污染,107,308,80,47,14,12,2.11,72
2015-02-27,良,100,338,74,69,12,15,2.36,87
2015-02-28,轻度污染,102,341,76,62,9,14,2.45,103
2015-03-01,良,100,310,75,61,19,20,2.58,79
2015-03-02,良,85,232,62,65,13,21,2.84,71
2015-03-03,良,76,185,54,60,16,23,3.07,58
2015-03-04,良,59,188,41,34,6,5,2.04,90
2015-03-05,良,54,153,37,4,7,5,0.13,85
2015-03-06,良,63,149,44,45,12,13,0.20,76
2015-03-07,良,65,136,46,35,10,15,0.27,78
2015-03-08,良,68,160,46,47,11,21,0.52,70
2015-03-09,良,78,228,56,70,21,23,0.75,73
2015-03-10,良,93,289,69,81,30,27,0.84,81
2015-03-11,轻度污染,121,336,89,75,17,30,0.64,79
2015-03-12,良,72,153,44,78,14,16,0.36,104
2015-03-13,良,77,176,52,78,9,22,0.30,97
2015-03-14,轻度污染,104,215,75,103,14,33,0.19,79
2015-03-15,良,88,161,64,79,17,20,0.15,97
2015-03-16,良,86,171,58,77,8,22,0.16,79
2015-03-17,良,88,234,64,83,12,22,0.20,87
2015-03-18,良,87,269,63,66,7,14,0.29,92
2015-03-19,良,78,197,55,76,7,19,0.33,83
2015-03-20,良,90,228,65,69,7,22,0.44,93
2015-03-21,良,94,246,69,75,8,24,0.60,94
2015-03-22,轻度污染,127,307,95,122,19,38,0.81,99
2015-03-23,轻度污染,145,355,109,119,26,29,0.97,112
2015-03-24,轻度污染,137,353,103,145,11,40,1.02,68
2015-03-25,良,83,263,61,45,4,15,0.56,76
2015-03-26,良,67,177,44,39,5,15,0.13,62
2015-03-27,良,61,140,34,63,9,19,0.12,76
2015-03-28,良,64,99,40,68,13,23,0.12,64
2015-03-29,良,70,116,45,61,13,16,0.12,88
2015-03-30,良,53,71,27,51,14,16,0.14,75
2015-03-31,良,56,108,33,60,17,11,0.14,87
2015-04-01,良,53,112,24,40,19,5,0.18,96
2015-04-02,良,55,146,22,48,24,6,0.22,90
2015-04-03,优,45,73,14,29,23,6,0.26,86
2015-04-04,良,53,96,24,50,10,5,0.33,85
2015-04-05,良,56,139,26,57,8,7,0.42,79
2015-04-06,良,56,181,19,39,7,5,0.46,104
2015-04-07,良,58,228,34,64,12,8,0.60,71
2015-04-08,良,71,262,37,90,12,14,0.68,49
2015-04-09,良,67,203,35,82,19,9,0.78,74
2015-04-10,良,68,198,27,67,14,5,0.90,100
2015-04-11,良,67,152,30,65,18,10,1.02,93
2015-04-12,良,64,149,34,63,20,13,1.07,81
2015-04-13,良,60,124,27,44,14,8,1.17,98
2015-04-14,良,81,212,55,85,29,13,0.92,92
2015-04-15,良,71,90,41,66,13,7,0.18,96
2015-04-16,良,69,62,46,72,11,9,0.34,86
2015-04-17,良,84,128,59,76,15,11,0.33,83
2015-04-18,良,57,71,39,49,15,6,0.20,84
2015-04-19,良,53,117,31,38,16,6,0.15,91
2015-04-20,良,57,152,36,51,15,5,0.27,90
2015-04-21,良,55,118,36,58,15,9,0.34,64
2015-04-22,优,50,51,31,45,18,8,0.35,60
2015-04-23,良,58,77,34,61,19,7,0.33,76
2015-04-24,良,71,150,50,76,21,11,0.35,69
2015-04-25,良,65,87,46,60,22,7,0.31,72
2015-04-26,良,76,130,55,22,23,12,0.60,46
2015-04-27,良,56,51,39,44,11,6,0.95,57
2015-04-28,良,58,77,38,55,10,8,1.02,46
2015-04-29,良,60,99,39,58,8,7,1.04,60
2015-04-30,良,60,60,38,48,10,8,0.99,80
2015-05-01,良,56,103,32,54,10,5,0.99,88
2015-05-02,良,59,174,37,60,11,7,1.07,80
2015-05-03,良,66,175,45,71,11,6,1.22,85
2015-05-04,良,80,256,52,84,12,9,0.94,96
2015-05-05,良,84,239,51,75,10,10,0.49,113
2015-05-06,良,86,218,54,71,7,14,0.49,122
