日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,99,266,40,147,11,44,1.35,15
2015-01-06,良,99,266,45,146,37,35,2.70,6
2015-01-07,良,80,190,43,107,38,28,1.53,23
2015-01-08,良,77,131,39,102,19,27,0.92,22
2015-01-09,良,75,90,45,91,20,24,0.73,20
2015-01-10,优,45,29,17,51,13,21,0.40,31
2015-01-11,优,37,17,13,37,6,20,0.87,32
2015-01-12,良,61,111,32,74,10,23,1.23,29
2015-01-13,良,68,141,32,83,13,27,1.41,35
2015-01-14,良,77,153,39,102,28,37,1.27,27
2015-01-15,良,80,125,34,108,15,33,0.76,33
2015-01-16,良,78,115,37,105,22,36,0.76,27
2015-01-17,良,83,133,26,114,25,41,0.76,15
2015-01-18,优,43,21,19,44,15,32,0.68,21
2015-01-19,优,42,20,18,43,20,21,0.80,35
2015-01-20,良,54,32,21,59,35,28,0.88,28
2015-01-21,良,61,56,24,70,18,27,1.06,29
2015-01-22,良,67,55,24,83,12,31,1.15,33
2015-01-23,良,61,25,22,72,8,29,1.24,34
2015-01-24,良,61,30,21,72,14,32,1.29,32
2015-01-25,良,61,31,20,71,8,30,1.35,37
2015-01-26,良,65,45,26,78,9,31,1.47,36
2015-01-27,良,68,137,26,85,7,36,1.49,44
2015-01-28,良,75,271,33,98,15,41,0.99,34
2015-01-29,良,69,215,27,85,19,35,0.59,46
2015-01-30,良,71,183,27,91,16,40,0.58,37
2015-01-31,良,70,183,31,88,20,35,0.63,35
2015-02-01,良,66,127,29,81,15,28,0.66,36
2015-02-02,良,73,107,33,94,23,32,0.80,37
2015-02-03,良,62,65,32,66,36,34,0.81,45
2015-02-04,良,82,147,38,111,46,33,0.89,45
2015-02-05,良,88,201,41,124,17,36,0.90,41
2015-02-06,良,68,76,33,81,17,29,0.98,48
2015-02-07,轻度污染,107,220,77,132,9,27,1.33,47
2015-02-08,良,75,182,36,98,2,37,2.00,62
2015-02-09,良,84,186,41,116,23,40,1.63,58
2015-02-10,良,73,100,45,94,29,40,0.67,56
2015-02-11,良,75,87,49,97,29,32,0.67,59
2015-02-12,良,78,120,50,100,33,34,0.69,55
2015-02-13,良,72,90,44,89,30,32,0.68,58
2015-02-14,良,54,41,30,58,18,23,0.62,60
2015-02-15,良,54,42,32,55,18,22,0.69,57
2015-02-16,良,60,45,38,66,22,24,0.85,56
2015-02-17,良,72,121,49,87,24,23,0.86,57
2015-02-18,良,73,123,48,80,19,20,0.93,56
2015-02-19,轻度污染,123,220,93,136,37,16,1.06,60
2015-02-20,良,68,206,46,71,20,16,0.92,62
2015-02-21,良,57,154,34,61,23,15,0.87,58
2015-02-22,良,56,102,34,61,22,15,0.94,60
2015-02-23,优,50,90,29,48,22,17,0.99,53
2015-02-24,良,51,87,28,52,24,19,1.09,56
2015-02-25,良,63,179,40,67,26,22,1.17,55
2015-02-26,良,68,206,45,82,25,24,1.25,58
2015-02-27,良,80,305,56,101,30,28,1.39,66
2015-02-28,良,92,321,65,122,35,30,1.11,75
2015-03-01,良,90,279,62,115,16,29,0.74,73
2015-03-02,良,82,220,55,104,19,29,0.68,65
2015-03-03,良,72,168,42,89,22,28,0.61,57
2015-03-04,良,68,254,38,82,20,29,0.68,52
2015-03-05,良,62,198,35,67,16,27,0.71,59
2015-03-06,良,60,136,31,67,13,28,0.79,60
2015-03-07,良,66,145,34,77,13,30,0.84,62
2015-03-08,良,76,201,49,93,12,32,0.93,68
2015-03-09,良,85,250,57,103,17,35,1.10,81
2015-03-10,轻度污染,108,316,70,152,18,43,1.19,84
2015-03-11,轻度污染,120,334,87,157,20,45,1.10,81
2015-03-12,良,90,218,52,112,27,30,0.87,122
2015-03-13,良,89,213,54,120,25,44,1.03,80
2015-03-14,轻度污染,110,231,56,154,44,43,0.89,90
2015-03-15,良,92,167,45,123,36,41,0.85,79
2015-03-16,良,88,177,56,116,34,38,1.04,77
2015-03-17,良,88,233,53,118,13,38,1.05,74
2015-03-18,良,80,244,46,105,10,39,0.99,64
2015-03-19,良,79,206,46,101,15,38,1.02,76
2015-03-20,良,85,209,52,104,35,36,0.94,77
2015-03-21,良,79,188,48,95,25,38,0.83,80
2015-03-22,良,95,220,65,120,38,49,1.00,85
2015-03-23,轻度污染,116,331,85,152,38,49,1.26,91
2015-03-24,轻度污染,115,332,82,140,31,43,1.13,70
2015-03-25,良,82,259,55,86,13,26,0.75,70
2015-03-26,良,55,108,35,50,8,26,0.51,49
2015-03-27,良,55,108,29,57,19,28,0.73,52
2015-03-28,良,61,87,38,68,29,29,0.78,50
2015-03-29,良,56,59,32,59,34,24,0.77,57
2015-03-30,良,59,93,31,63,27,23,0.62,59
2015-03-31,良,71,173,46,89,16,37,0.59,35
2015-04-01,良,64,184,36,68,17,22,0.49,59
2015-04-02,良,61,186,27,64,21,23,0.38,63
2015-04-03,优,44,62,22,44,15,22,0.36,40
2015-04-04,良,58,127,29,64,12,23,0.44,47
2015-04-05,良,76,223,44,85,29,24,0.24,60
2015-04-06,优,50,142,24,50,32,14,0.50,67
2015-04-07,良,61,245,31,70,32,10,0.58,55
2015-04-08,良,77,282,36,102,14,11,0.55,48
2015-04-09,良,70,229,39,89,11,13,0.53,56
2015-04-10,良,76,226,40,92,11,14,0.51,66
2015-04-11,良,76,203,38,90,10,14,0.52,75
2015-04-12,良,74,217,37,77,12,16,0.57,83
2015-04-13,良,72,251,40,87,16,15,0.61,77
2015-04-14,良,84,237,57,103,22,10,0.50,81
2015-04-15,良,84,169,50,101,26,11,0.41,80
2015-04-16,良,75,92,41,84,14,13,0.54,75
2015-04-17,良,71,82,43,84,18,17,0.62,68
2015-04-18,良,60,82,33,64,8,13,0.54,75
2015-04-19,良,53,114,26,45,14,12,0.57,79
2015-04-20,良,60,172,26,56,16,9,0.44,65
2015-04-21,良,52,103,28,56,30,16,0.39,45
2015-04-22,优,50,53,28,52,20,25,0.53,40
2015-04-23,良,56,63,29,58,31,26,0.54,55
2015-04-24,良,59,84,31,63,22,28,0.56,55
