日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,133,53,98,126,30,64,1.28,103
2013-10-29,轻度污染,106,53,73,102,35,58,1.06,100
2013-10-30,轻度污染,112,70,68,97,30,61,0.88,102
2013-10-31,轻度污染,107,66,69,97,36,65,0.99,92
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-01,良,74,28,54,79,34,70,1.04,51
2013-12-02,良,78,22,63,90,35,82,1.24,58
2013-12-03,轻度污染,121,38,106,146,37,105,1.60,63
2013-12-04,轻度污染,132,43,93,134,43,87,1.46,56
2013-12-05,良,100,38,74,100,41,87,1.10,49
2013-12-06,轻度污染,108,45,88,113,43,85,1.32,58
2013-12-07,轻度污染,137,38,115,144,48,96,1.41,56
2013-12-08,中度污染,173,45,124,151,37,78,1.51,59
2013-12-09,中度污染,172,52,116,153,47,76,1.40,74
2013-12-10,中度污染,165,98,135,161,50,48,1.49,115
2013-12-11,中度污染,175,105,119,148,55,51,1.39,73
2013-12-12,轻度污染,144,91,121,143,57,61,1.45,50
2013-12-13,中度污染,190,100,138,163,47,75,1.69,20
2013-12-14,轻度污染,143,67,87,84,28,47,1.44,29
2013-12-15,良,89,37,38,21,10,38,1.18,22
2013-12-16,优,27,6,10,11,13,36,1.34,32
2013-12-17,优,19,5,13,18,19,38,1.27,15
2013-12-18,优,26,10,15,21,18,21,0.77,46
2013-12-19,优,31,5,29,37,16,31,0.69,51
2013-12-20,良,55,15,47,62,33,51,0.98,47
2013-12-21,良,78,22,72,82,31,42,1.05,67
2013-12-22,轻度污染,117,41,99,113,42,51,1.42,74
2013-12-23,轻度污染,132,40,92,113,45,72,1.35,50
2013-12-24,轻度污染,109,27,82,98,42,64,1.33,67
2013-12-25,轻度污染,115,24,90,107,41,65,1.26,69
2013-12-26,轻度污染,114,27,76,90,36,50,1.16,86
2013-12-27,轻度污染,122,65,121,140,56,45,1.29,98
2013-12-28,中度污染,158,96,84,105,35,54,1.07,69
2013-12-29,良,88,34,67,87,33,57,0.97,63
2013-12-30,轻度污染,110,42,86,114,51,87,1.24,40
2013-12-31,轻度污染,114,71,90,115,53,92,1.32,43
2014-01-01,轻度污染,131,104,102,122,41,86,1.62,58
2014-01-02,轻度污染,146,102,120,145,30,108,1.71,54
2014-01-03,中度污染,179,119,135,170,52,115,1.95,50
2014-01-04,中度污染,151,126,114,141,44,73,1.53,80
2014-01-05,中度污染,151,88,114,145,45,70,1.50,94
2014-01-06,中度污染,186,117,140,179,31,72,1.58,113
2014-01-07,良,100,78,74,102,23,63,1.28,64
2014-01-08,良,100,134,74,88,26,60,1.56,17
2014-01-09,良,63,46,45,51,23,37,1.57,58
2014-01-10,良,98,83,73,74,22,47,1.24,53
2014-01-11,轻度污染,122,104,92,114,35,78,1.41,66
2014-01-12,轻度污染,117,108,88,111,28,70,1.47,40
2014-01-13,优,50,17,36,41,20,34,1.03,46
2014-01-14,良,64,34,45,53,21,36,0.95,50
2014-01-15,良,84,40,61,76,26,53,0.99,66
2014-01-16,轻度污染,126,73,95,122,30,82,1.17,69
2014-01-17,轻度污染,130,57,98,130,37,92,1.42,50
2014-01-18,良,90,26,66,82,26,54,0.91,83
2014-01-19,轻度污染,142,80,108,128,38,61,1.23,96
2014-01-20,轻度污染,129,95,98,118,32,70,1.11,78
2014-01-21,良,87,88,64,92,30,38,0.88,97
2014-01-22,良,89,61,65,96,24,47,0.84,91
2014-01-24,良,85,54,60,78,17,65,0.90,69
2014-01-25,良,58,20,40,54,27,54,1.05,46
2014-01-26,良,79,86,57,63,16,50,1.01,71
2014-01-27,轻度污染,103,106,77,93,20,39,1.05,107
2014-01-28,良,93,98,69,84,18,53,1.02,85
2014-01-29,轻度污染,111,112,72,86,18,58,1.21,91
2014-01-30,轻度污染,109,61,78,94,27,64,1.18,81
2014-01-31,中度污染,194,78,151,168,31,40,1.25,89
2014-02-01,良,70,40,45,39,15,28,0.84,79
2014-02-02,良,70,34,47,49,17,32,0.99,85
2014-02-03,良,78,101,51,59,19,42,0.97,87
2014-02-04,良,69,129,46,39,12,26,1.01,89
2014-02-05,良,52,103,30,38,9,17,0.98,90
2014-02-06,优,41,71,20,20,12,29,0.93,60
2014-02-07,优,40,55,27,30,17,41,0.99,24
2014-02-08,优,36,23,25,22,13,26,1.29,18
2014-02-09,优,18,6,12,11,10,21,1.07,14
2014-02-10,优,39,32,25,28,15,20,1.08,51
2014-02-11,良,61,46,43,46,16,17,0.78,59
2014-02-12,良,68,40,49,32,13,26,0.80,45
2014-02-13,优,37,18,25,20,11,23,0.72,37
2014-02-14,良,63,26,45,39,14,18,0.76,66
2014-02-15,良,66,32,47,38,19,30,0.87,36
2014-02-16,轻度污染,101,108,75,84,33,63,1.30,21
2014-02-17,中度污染,191,175,147,187,63,139,2.34,16
2014-02-18,良,86,130,64,76,29,49,1.55,5
2014-02-19,优,20,8,12,11,12,26,1.06,33
2014-02-20,优,42,17,28,36,19,27,0.96,58
