日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,中度污染,177,166,157,259,53,103,2.51,53
2014-01-01,重度污染,209,181,163,239,78,77,2.22,76
2014-01-02,严重污染,251,188,215,305,57,109,1.81,24
2014-01-03,严重污染,309,188,254,332,91,82,0.99,89
2014-01-04,轻度污染,146,116,109,152,51,43,1.21,88
2014-01-05,中度污染,186,128,142,212,63,89,1.37,38
2014-01-06,严重污染,268,172,215,302,120,93,1.92,45
2014-01-07,严重污染,259,169,215,274,54,61,2.12,49
2014-01-08,良,88,123,65,61,30,23,1.35,49
2014-01-09,轻度污染,130,159,97,106,36,21,1.27,92
2014-01-10,中度污染,160,141,121,138,44,37,1.29,42
2014-01-11,良,52,10,37,45,19,29,1.43,22
2014-01-12,良,70,47,50,34,16,22,0.95,39
2014-01-13,轻度污染,112,118,83,88,48,29,1.19,90
2014-01-14,轻度污染,145,120,109,135,32,41,1.21,54
2014-01-15,轻度污染,138,94,103,138,55,35,1.36,104
2014-01-16,轻度污染,128,77,97,142,36,44,1.10,75
2014-01-17,中度污染,153,78,116,150,69,39,1.44,108
2014-01-18,中度污染,158,86,119,147,41,35,1.29,108
2014-01-19,中度污染,196,119,151,212,45,68,1.75,66
2014-01-20,中度污染,155,121,116,176,49,39,1.33,96
2014-01-21,轻度污染,114,143,84,134,48,34,1.25,95
2014-01-22,轻度污染,145,160,108,176,44,53,1.51,75
2014-01-24,轻度污染,132,102,100,151,36,52,1.46,70
2014-01-25,中度污染,179,140,136,190,38,66,1.94,44
2014-01-26,重度污染,234,173,184,202,60,46,1.74,88
2014-01-27,严重污染,299,180,249,257,82,61,2.51,90
2014-01-28,严重污染,299,175,249,264,29,75,2.35,27
2014-01-29,重度污染,248,170,200,192,45,51,2.50,67
2014-01-30,中度污染,195,111,152,178,30,30,1.61,43
2014-01-31,严重污染,257,130,321,322,103,16,1.18,90
2014-02-01,良,81,55,59,69,12,20,0.81,67
2014-02-02,良,75,38,55,61,12,20,0.83,45
2014-02-03,良,80,102,58,65,23,19,0.85,62
2014-02-04,中度污染,164,179,124,120,28,20,2.29,61
2014-02-05,良,85,159,63,73,22,25,1.91,24
2014-02-06,优,27,28,15,20,22,17,0.96,24
2014-02-07,优,31,27,17,21,20,14,0.76,28
2014-02-08,良,53,59,37,28,23,16,1.05,38
2014-02-09,优,28,23,18,13,10,11,0.99,37
2014-02-10,轻度污染,106,169,79,29,47,16,1.52,78
2014-02-11,轻度污染,103,128,77,52,24,14,1.28,66
2014-02-12,良,95,94,70,56,44,18,1.43,79
2014-02-13,良,93,97,69,50,21,14,1.02,72
2014-02-14,轻度污染,114,96,85,65,30,16,1.00,93
2014-02-15,轻度污染,109,63,82,76,20,23,1.00,68
2014-02-16,良,87,84,64,37,9,26,1.32,34
2014-02-17,优,24,1,14,17,14,19,1.38,32
2014-02-18,优,20,4,11,12,8,16,1.42,38
2014-02-19,良,52,43,34,26,18,15,0.94,68
2014-02-20,良,75,60,54,50,20,19,1.09,77
2014-02-21,轻度污染,135,92,102,144,33,65,1.47,34
2014-02-22,轻度污染,107,65,80,63,13,45,1.33,23
2014-02-23,优,50,5,35,33,9,32,1.12,23
2014-02-24,良,64,27,45,42,19,35,1.60,25
2014-02-25,优,36,7,25,30,10,26,1.52,19
2014-02-26,优,47,8,32,32,19,23,1.44,47
2014-02-27,良,92,100,68,68,16,32,1.44,32
2014-02-28,良,76,124,56,54,21,32,1.68,21
2014-03-01,优,19,3,12,17,10,21,1.37,17
2014-03-02,优,44,21,30,29,12,18,1.17,30
2014-03-03,优,42,11,25,27,16,21,1.24,36
2014-03-04,优,36,7,23,30,11,18,1.39,34
2014-03-05,良,76,98,55,61,21,20,1.18,58
2014-03-06,优,38,9,25,30,11,20,1.29,39
2014-03-07,优,38,21,25,19,17,17,1.02,53
2014-03-08,优,30,7,20,26,11,17,0.99,40
2014-03-09,良,60,49,43,40,15,16,0.91,56
2014-03-10,良,80,64,59,62,19,32,1.11,44
2014-03-11,良,68,28,49,37,17,37,1.34,18
2014-03-12,良,60,41,41,27,22,32,1.74,27
2014-03-13,轻度污染,108,170,81,75,17,16,0.92,85
2014-03-14,轻度污染,104,147,78,83,25,26,0.92,78
2014-03-15,轻度污染,127,153,96,110,22,37,1.15,28
2014-03-16,良,97,79,72,67,15,31,1.26,19
2014-03-17,轻度污染,113,88,85,64,29,36,1.90,20
2014-03-18,轻度污染,142,104,108,127,23,51,2.75,20
2014-03-19,良,94,93,70,98,21,29,2.03,25
2014-03-20,良,87,120,64,94,17,20,1.13,67
2014-03-21,良,63,40,45,56,17,17,0.64,70
2014-03-22,轻度污染,114,155,86,99,22,36,1.02,42
2014-03-23,轻度污染,143,159,108,113,22,30,1.15,22
2014-03-25,中度污染,162,145,122,148,34,38,1.83,23
2014-03-26,轻度污染,126,117,91,133,22,38,1.79,25
2014-03-27,轻度污染,122,112,90,157,18,41,1.43,23
2014-03-28,良,80,89,57,88,12,28,0.94,22
2014-03-29,良,71,66,51,70,17,19,0.71,43
2014-03-30,优,47,15,33,40,10,20,0.55,48
2014-03-31,优,49,24,34,40,18,12,0.65,59
2014-04-01,良,90,105,66,83,17,21,0.74,85
2014-04-02,良,95,119,70,89,23,27,0.82,58
2014-04-03,良,88,127,65,83,20,21,0.83,72
2014-04-04,轻度污染,117,162,86,116,21,30,0.87,95
2014-04-05,中度污染,152,178,115,143,38,33,1.14,60
2014-04-06,良,68,73,44,34,8,18,0.97,74
2014-04-07,良,54,18,37,40,20,24,1.16,55
2014-04-08,良,87,68,64,72,19,27,1.29,30
2014-04-09,良,59,17,41,58,18,27,1.34,23
2014-04-10,良,54,18,38,47,14,36,1.66,7
2014-04-11,良,52,13,36,49,13,30,1.33,17
2014-04-12,良,63,51,45,57,13,26,0.98,17
2014-04-13,优,49,26,34,47,15,21,1.09,39
2014-04-14,轻度污染,112,136,84,119,30,36,1.06,82
2014-04-15,轻度污染,127,154,96,126,23,48,1.27,25
2014-04-16,良,55,26,36,42,16,24,0.64,38
2014-04-17,良,61,48,42,67,13,27,0.79,35
2014-04-18,良,74,88,52,85,12,25,0.96,37
2014-04-19,良,59,84,41,64,11,22,1.15,35
2014-04-20,优,50,31,33,47,10,13,0.89,60
2014-04-21,良,59,60,42,52,13,27,1.04,30
2014-04-22,优,37,12,25,30,11,17,0.92,50
