日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,117,303,87,101,45,32,1.60,54
2015-01-02,轻度污染,112,469,84,113,30,40,1.19,50
2015-01-03,轻度污染,143,246,108,137,51,45,2.07,46
2015-01-04,中度污染,154,205,116,35,19,36,1.38,44
2015-01-05,轻度污染,108,144,81,90,10,29,1.35,22
2015-01-06,优,43,52,27,36,8,19,1.32,23
2015-01-07,良,61,95,43,55,8,18,1.33,39
2015-01-08,良,64,84,45,62,10,21,1.24,30
2015-01-09,良,59,45,38,58,10,18,0.96,36
2015-01-10,优,33,8,21,27,3,20,1.07,29
2015-01-11,优,36,16,24,32,4,25,1.57,20
2015-01-12,良,56,92,37,54,18,24,2.21,25
2015-01-13,良,89,181,64,94,17,20,1.13,34
2015-01-14,轻度污染,104,200,77,114,24,28,1.24,30
2015-01-15,轻度污染,117,214,88,130,28,28,1.31,27
2015-01-16,轻度污染,136,234,102,149,51,31,1.52,26
2015-01-17,轻度污染,143,285,109,157,36,31,1.39,28
2015-01-18,轻度污染,127,255,95,137,38,31,1.56,37
2015-01-19,轻度污染,110,250,82,109,55,29,1.63,37
2015-01-20,中度污染,153,315,115,173,47,35,1.69,32
2015-01-21,轻度污染,145,281,108,145,52,32,1.56,39
2015-01-22,轻度污染,126,249,95,41,34,25,1.50,41
2015-01-23,轻度污染,125,187,93,76,14,38,1.34,44
2015-01-24,良,76,64,54,85,10,22,1.13,48
2015-01-25,良,92,105,67,116,15,35,1.50,18
2015-01-26,良,86,95,61,108,8,29,1.51,22
2015-01-27,轻度污染,101,256,72,103,14,22,1.18,40
2015-01-28,轻度污染,106,338,79,104,9,19,1.59,25
2015-01-29,优,41,62,27,41,5,15,1.59,16
2015-01-30,优,24,2,13,23,3,11,1.42,19
2015-01-31,优,34,12,21,33,3,11,1.64,22
2015-02-01,优,28,5,18,26,3,10,1.71,19
2015-02-02,优,35,6,22,33,5,12,1.89,10
2015-02-03,优,25,4,16,23,4,13,1.93,10
2015-02-04,优,45,40,29,41,6,14,1.90,22
2015-02-05,良,86,199,63,80,8,18,1.70,39
2015-02-06,轻度污染,125,287,94,129,23,28,1.61,35
2015-02-07,中度污染,171,343,129,186,40,43,1.87,37
2015-02-08,中度污染,153,342,115,171,29,50,1.90,30
2015-02-09,轻度污染,115,300,86,136,25,50,1.28,34
2015-02-10,中度污染,152,314,115,152,21,33,1.48,37
2015-02-11,中度污染,166,295,125,130,20,34,1.90,26
2015-02-12,中度污染,162,293,123,181,14,41,2.14,23
2015-02-13,中度污染,182,330,140,157,15,49,1.83,14
2015-02-14,轻度污染,141,244,105,38,4,35,1.95,15
2015-02-15,良,96,166,71,91,19,27,1.97,22
2015-02-16,良,80,110,58,87,7,21,1.22,21
2015-02-17,优,40,14,26,38,7,18,1.05,27
2015-02-18,良,94,209,69,90,10,16,1.22,21
2015-02-19,轻度污染,119,210,88,95,17,12,0.97,31
2015-02-20,优,47,91,32,41,7,13,0.88,37
2015-02-21,优,49,100,32,48,8,14,0.89,31
2015-02-22,良,58,111,37,58,7,13,1.06,23
2015-02-23,优,36,36,24,32,4,12,1.26,15
2015-02-24,优,44,64,29,40,4,13,1.46,13
2015-02-25,良,85,245,59,95,10,17,1.50,17
2015-02-26,优,48,106,32,39,4,16,1.34,16
2015-02-27,良,70,278,49,71,9,16,1.52,35
2015-02-28,优,40,124,27,35,5,11,1.05,29
2015-03-01,优,33,43,18,29,3,12,1.21,45
2015-03-02,良,67,145,48,54,5,17,1.48,30
2015-03-03,优,50,74,32,47,34,16,1.63,28
2015-03-04,良,67,244,48,68,18,14,0.93,31
2015-03-05,优,35,45,22,29,6,11,0.99,24
2015-03-06,优,24,19,11,19,5,10,1.02,29
2015-03-07,优,45,56,31,35,7,13,1.07,18
2015-03-08,良,57,118,39,59,33,17,1.53,14
2015-03-09,良,68,187,48,68,21,16,1.35,11
2015-03-10,优,48,83,33,40,6,13,1.14,29
2015-03-11,优,31,22,18,27,8,12,1.25,24
2015-03-12,良,78,183,56,52,21,15,1.17,30
2015-03-13,优,45,57,31,34,6,14,1.13,18
2015-03-14,优,46,24,31,41,26,19,1.89,12
2015-03-15,轻度污染,133,282,101,161,73,24,3.10,11
2015-03-16,轻度污染,136,294,103,159,19,18,2.64,14
2015-03-17,轻度污染,102,276,76,109,11,17,1.19,56
2015-03-18,轻度污染,113,331,84,109,9,16,0.87,81
2015-03-19,轻度污染,135,331,102,119,10,17,1.03,79
2015-03-20,中度污染,161,324,124,124,10,18,1.28,35
2015-03-21,优,50,36,27,47,14,10,1.00,72
2015-03-22,良,77,145,56,78,19,18,1.15,67
2015-03-23,良,71,194,46,40,10,16,1.17,42
2015-03-24,优,47,56,29,40,7,16,1.07,34
2015-03-25,优,49,71,32,47,17,11,0.99,45
2015-03-26,良,82,239,60,81,18,13,0.90,35
2015-03-27,良,87,234,64,84,11,17,1.11,31
2015-03-28,轻度污染,110,266,82,102,9,18,1.08,30
2015-03-29,轻度污染,103,223,75,102,10,20,1.02,30
2015-03-30,良,68,140,48,70,11,17,0.78,37
2015-03-31,良,61,130,42,60,14,13,0.67,56
2015-04-01,良,59,156,40,62,8,10,0.68,74
2015-04-02,良,74,277,53,80,9,16,0.79,86
2015-04-03,良,99,314,73,109,13,23,1.02,93
2015-04-04,良,80,240,56,81,12,16,0.78,105
2015-04-05,良,83,242,60,82,9,12,0.77,98
2015-04-06,轻度污染,101,308,74,92,11,12,0.87,73
2015-04-07,优,28,12,6,17,4,6,1.07,58
2015-04-08,优,38,53,18,25,6,6,0.93,73
2015-04-09,优,35,24,21,29,6,9,0.90,42
2015-04-10,优,40,55,26,37,12,9,0.89,48
2015-04-11,良,64,132,42,68,29,15,0.92,50
2015-04-12,良,63,139,37,68,21,17,0.91,66
2015-04-13,良,86,315,55,103,35,28,1.21,66
2015-04-14,良,92,275,57,98,23,23,0.98,97
2015-04-15,良,87,181,50,81,13,13,0.80,134
2015-04-16,轻度污染,101,215,70,109,12,24,0.97,94
2015-04-17,良,82,119,59,88,9,19,0.94,89
2015-04-18,良,74,152,54,77,7,14,1.02,88
2015-04-19,轻度污染,122,351,77,112,9,16,1.27,164
2015-04-20,优,47,79,19,43,8,7,1.14,69
2015-04-21,优,45,62,21,41,8,14,1.07,64
2015-04-22,良,81,255,58,84,21,27,1.15,37
2015-04-23,良,51,43,33,50,13,10,0.87,62
2015-04-24,良,55,64,35,57,35,12,1.06,50
2015-04-25,良,54,41,26,56,30,16,1.09,57
2015-04-26,良,68,93,46,73,17,25,1.01,50
2015-04-27,良,89,240,65,100,15,26,1.18,57
2015-04-28,良,77,205,52,83,20,20,1.28,55
2015-04-29,良,66,132,37,73,62,14,1.84,64
2015-04-30,优,46,27,27,44,5,12,1.02,60
2015-05-01,优,41,36,23,38,6,8,0.95,71
2015-05-02,优,50,105,22,37,14,8,0.95,92
2015-05-03,良,74,226,53,66,7,11,1.05,60
2015-05-04,优,46,42,21,37,9,6,1.05,62
2015-05-05,优,38,28,19,30,9,11,1.01,68
2015-05-06,良,52,65,33,48,10,12,1.14,49
2015-05-07,良,64,107,44,66,11,17,1.24,33
2015-05-08,良,59,144,28,49,19,12,1.11,85
2015-05-09,优,47,84,28,45,16,13,1.02,62
2015-05-10,良,76,259,55,46,12,14,1.57,62
2015-05-11,良,51,149,26,42,12,15,1.00,67
2015-05-12,优,47,83,16,43,18,13,0.98,77
2015-05-13,良,55,75,35,55,14,10,1.08,86
2015-05-14,优,44,54,25,41,10,9,1.02,71
2015-05-15,优,49,105,30,44,13,12,1.20,67
2015-05-16,良,67,164,46,73,24,11,1.40,59
2015-05-17,良,60,119,42,56,15,11,1.22,56
2015-05-18,良,60,123,39,62,14,14,1.26,65
2015-05-19,良,55,133,36,49,14,14,1.17,49
2015-05-20,优,50,118,28,47,25,12,1.22,52
