日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,123,45,92,119,41,54,1.36,65
2013-10-29,良,90,42,66,109,31,47,1.41,68
2013-10-30,良,84,46,59,99,30,42,1.32,70
2013-10-31,良,81,51,54,99,35,48,1.45,48
2013-11-01,良,92,50,63,100,27,37,1.38,83
2013-11-02,良,79,28,58,78,21,24,1.21,88
2013-11-03,良,82,38,60,79,15,20,1.30,80
2013-11-04,良,74,29,54,74,15,22,1.36,67
2013-11-05,良,73,31,53,67,13,22,1.48,61
2013-11-06,良,67,12,46,66,17,25,1.47,66
2013-11-07,良,78,25,66,96,22,32,1.09,77
2013-11-08,良,88,36,55,91,21,35,1.41,62
2013-11-09,良,73,29,56,93,26,38,1.44,49
2013-11-10,良,80,59,55,88,30,34,1.47,17
2013-11-11,良,66,67,46,68,18,19,1.40,31
2013-11-12,良,64,47,34,46,12,16,1.54,22
2013-11-13,优,28,6,10,20,9,15,1.37,22
2013-11-14,优,26,2,18,29,12,14,1.39,27
2013-11-15,优,32,1,24,33,14,16,1.31,47
2013-11-16,优,47,3,35,55,26,27,1.08,62
2013-11-17,良,61,14,41,87,20,30,1.01,75
2013-11-18,良,74,34,50,107,27,36,0.95,75
2013-11-19,良,81,40,56,119,25,39,1.02,69
2013-11-20,良,89,33,61,124,42,46,1.09,49
2013-11-21,良,87,25,66,122,34,51,1.24,52
2013-11-22,良,85,22,61,113,47,52,1.30,62
2013-11-23,良,84,22,63,120,32,51,1.35,62
2013-11-24,良,86,31,56,94,33,38,1.42,45
2013-11-25,良,52,6,22,55,15,24,0.96,69
2013-11-26,良,63,21,46,91,26,35,0.86,55
2013-11-27,良,76,41,45,84,29,36,0.90,34
2013-11-28,良,56,22,27,60,20,21,0.65,62
2013-11-29,良,52,12,23,51,23,29,0.61,66
2013-11-30,良,57,12,38,75,33,44,0.78,40
2013-12-01,良,68,23,46,88,39,46,0.87,45
2013-12-02,良,70,16,51,100,43,53,0.97,51
2013-12-03,良,80,11,56,109,27,53,1.02,35
2013-12-04,良,77,7,47,101,38,47,0.89,53
2013-12-05,良,76,13,54,112,41,60,1.04,37
2013-12-06,良,87,26,69,124,39,55,1.08,61
2013-12-07,轻度污染,101,22,52,86,19,32,0.81,41
2013-12-08,轻度污染,115,18,63,143,39,47,1.17,43
2013-12-09,良,100,28,75,143,35,39,1.31,82
2013-12-10,轻度污染,111,57,82,147,52,38,1.51,98
2013-12-11,轻度污染,107,54,85,127,49,33,1.35,76
2013-12-12,轻度污染,125,68,114,151,46,51,1.50,52
2013-12-13,中度污染,152,75,97,117,26,31,1.52,63
2013-12-14,轻度污染,117,44,86,99,17,29,1.35,40
2013-12-15,良,85,36,37,46,7,28,1.39,27
2013-12-16,优,26,4,6,10,12,29,1.49,33
2013-12-17,优,13,1,7,11,6,22,1.29,22
2013-12-18,优,19,2,14,22,13,16,0.88,37
2013-12-19,优,29,1,25,38,14,18,0.83,57
2013-12-20,优,49,8,40,58,21,26,0.82,60
2013-12-21,良,80,24,77,91,29,22,1.05,90
2013-12-22,轻度污染,123,46,99,124,38,36,1.31,71
2013-12-23,轻度污染,114,29,76,104,34,36,1.18,67
