日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,116,302,87,151,18,30,3.56,65
2015-01-02,轻度污染,129,538,97,173,13,38,3.88,60
2015-01-03,轻度污染,132,218,99,164,10,44,3.78,57
2015-01-04,中度污染,191,250,149,232,39,56,2.58,68
2015-01-05,轻度污染,130,172,97,159,16,42,1.39,35
2015-01-06,轻度污染,128,314,96,125,17,27,1.10,26
2015-01-07,良,91,242,67,79,20,21,1.34,41
2015-01-08,良,83,147,59,80,15,17,1.22,84
2015-01-09,轻度污染,116,200,86,117,25,19,1.20,62
2015-01-10,良,91,127,67,80,10,18,1.02,49
2015-01-11,良,59,71,41,49,7,17,0.90,34
2015-01-12,优,43,45,30,35,7,15,0.94,34
2015-01-13,良,54,90,36,52,12,18,1.04,35
2015-01-14,良,71,140,51,74,9,17,0.99,42
2015-01-15,良,90,150,66,95,21,24,1.14,36
2015-01-16,良,83,126,61,95,41,27,1.10,42
2015-01-17,轻度污染,123,238,92,125,31,20,1.19,66
2015-01-18,轻度污染,150,320,113,158,21,20,1.51,61
2015-01-19,轻度污染,118,267,85,131,13,27,1.52,82
2015-01-20,轻度污染,136,297,102,163,18,43,1.43,70
2015-01-21,轻度污染,141,270,107,150,27,32,1.20,67
2015-01-22,轻度污染,110,207,82,122,15,36,1.10,65
2015-01-23,轻度污染,109,139,80,128,17,33,0.99,61
2015-01-24,轻度污染,102,131,73,135,23,29,0.85,69
2015-01-25,轻度污染,118,159,88,118,17,32,0.96,63
2015-01-26,中度污染,166,232,126,173,49,38,1.17,44
2015-01-27,中度污染,168,349,127,159,20,26,1.46,30
2015-01-28,良,67,231,47,64,19,21,1.68,8
2015-01-29,优,31,24,20,29,7,18,1.06,5
2015-01-30,优,35,29,17,33,4,9,1.26,7
2015-01-31,优,49,63,24,50,4,10,1.38,8
2015-02-01,优,50,60,28,50,7,14,1.25,8
2015-02-02,良,68,93,42,80,11,19,1.42,12
2015-02-03,良,60,62,38,64,16,21,1.40,9
2015-02-04,优,45,41,32,38,8,18,1.03,18
2015-02-05,轻度污染,145,326,109,133,17,20,1.22,43
2015-02-06,中度污染,157,340,119,158,13,21,1.33,45
2015-02-07,中度污染,161,331,122,180,9,32,1.52,17
2015-02-08,轻度污染,121,313,91,132,5,24,1.29,42
2015-02-09,轻度污染,125,311,94,134,15,28,1.06,48
2015-02-10,中度污染,163,329,123,173,16,31,1.43,33
2015-02-11,中度污染,179,318,135,185,13,31,1.36,24
2015-02-12,中度污染,185,319,140,207,8,35,1.85,22
2015-02-13,中度污染,161,292,123,187,7,46,2.98,16
2015-02-14,重度污染,244,352,182,261,19,38,2.81,12
2015-02-15,良,83,133,60,82,11,23,2.49,23
2015-02-16,良,86,133,61,98,5,23,2.41,19
2015-02-17,良,85,169,62,88,4,19,2.26,29
2015-02-18,轻度污染,111,260,83,101,5,17,2.29,21
2015-02-19,中度污染,176,296,141,173,9,10,2.18,31
2015-02-20,良,75,236,54,70,4,8,2.17,40
2015-02-21,优,40,47,27,38,3,6,1.03,29
2015-02-22,优,38,33,26,36,3,5,0.88,21
2015-02-23,良,56,108,39,52,3,6,0.96,17
2015-02-24,良,64,144,45,58,3,7,1.07,17
2015-02-25,良,74,220,53,77,5,16,1.19,20
2015-02-26,良,55,163,38,53,19,10,1.21,15
2015-02-27,良,64,253,45,70,5,14,1.13,17
2015-02-28,优,37,109,22,35,4,9,0.91,12
2015-03-01,优,37,56,24,33,3,6,0.85,29
2015-03-02,良,69,157,49,69,4,14,1.11,17
2015-03-03,良,57,101,41,55,4,12,1.05,15
2015-03-04,优,50,120,34,47,4,7,1.01,25
2015-03-05,优,33,38,21,25,3,7,1.10,17
2015-03-06,优,25,24,16,22,3,6,1.05,21
2015-03-07,优,34,26,23,28,4,11,1.26,14
2015-03-08,优,49,81,34,37,4,18,1.50,2
2015-03-09,优,39,24,27,30,4,8,1.28,16
2015-03-10,良,58,149,40,47,4,8,1.27,23
2015-03-11,优,33,26,23,28,5,10,1.39,15
2015-03-12,优,44,58,27,39,36,15,1.30,23
2015-03-13,优,47,65,32,43,12,17,0.79,10
2015-03-14,优,50,37,34,47,15,15,0.72,16
2015-03-15,良,60,58,41,62,15,17,0.80,13
2015-03-16,良,65,102,43,75,14,16,0.93,8
2015-03-17,良,62,120,43,66,10,11,0.69,22
2015-03-18,良,65,181,45,68,14,10,0.71,25
2015-03-19,良,81,212,58,95,14,16,0.81,21
2015-03-20,轻度污染,112,274,83,124,15,14,0.77,16
2015-03-21,优,48,31,31,47,8,8,0.62,31
2015-03-22,良,75,138,54,78,12,13,0.62,34
2015-03-23,良,64,138,46,65,11,15,0.65,20
2015-03-24,优,48,65,33,45,7,10,0.62,30
