日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,103,34,72,120,18,30,0.82,117
2013-10-29,良,78,38,49,102,14,30,0.76,99
2013-10-30,良,72,31,44,86,14,23,0.70,106
2013-10-31,良,77,48,47,99,16,30,0.87,83
2013-11-01,良,84,47,58,103,18,33,0.84,83
2013-11-02,良,73,24,50,85,27,18,0.90,93
2013-11-03,良,80,35,58,87,16,14,0.93,80
2013-11-04,良,83,48,61,85,18,19,1.01,64
2013-11-05,良,83,40,61,89,17,24,1.11,53
2013-11-06,良,84,27,60,101,32,32,1.25,68
2013-11-07,良,81,28,57,102,18,23,0.43,89
2013-11-08,良,77,28,55,105,16,30,0.82,99
2013-11-09,良,88,44,61,106,17,33,0.87,69
2013-11-10,良,62,39,31,56,16,23,0.69,42
2013-11-11,良,56,38,37,62,16,16,0.67,68
2013-11-12,良,51,31,24,48,14,18,0.68,67
2013-11-13,优,43,31,14,30,15,20,0.91,28
2013-11-14,优,37,12,20,39,19,20,0.96,41
2013-11-15,优,44,8,25,43,15,19,0.86,69
2013-11-16,良,55,7,39,58,15,24,0.87,74
2013-11-17,良,62,15,47,88,20,28,0.73,82
2013-11-18,良,74,33,48,98,20,27,0.64,106
2013-11-19,良,80,36,58,121,21,37,0.74,94
2013-11-20,良,97,39,80,149,22,51,0.93,85
2013-11-21,轻度污染,114,43,86,138,22,50,1.01,79
2013-11-22,轻度污染,105,36,70,106,17,50,0.88,78
2013-11-23,良,81,18,54,88,15,35,0.72,96
2013-11-24,良,68,18,45,78,13,32,0.91,76
2013-11-25,良,58,12,25,59,16,22,0.94,88
2013-11-26,良,64,25,36,84,20,26,0.86,96
2013-11-27,良,75,38,50,92,17,37,0.90,60
2013-11-28,良,58,34,31,56,16,16,0.61,81
2013-11-29,良,54,18,27,51,19,23,0.64,87
2013-11-30,良,57,10,39,69,23,41,0.97,66
2013-12-01,良,64,15,50,80,23,44,0.94,70
2013-12-02,良,67,12,51,77,25,42,1.06,83
2013-12-03,良,84,16,73,114,19,70,1.21,53
2013-12-04,良,98,23,71,119,24,62,1.12,66
2013-12-05,良,81,17,57,97,25,54,0.90,68
2013-12-06,良,93,33,76,119,24,65,1.16,78
2013-12-07,轻度污染,110,24,93,133,30,68,1.39,73
2013-12-08,轻度污染,140,30,97,133,31,58,1.30,62
2013-12-09,轻度污染,136,40,96,139,26,53,1.40,93
2013-12-10,轻度污染,145,80,117,158,40,36,1.66,114
2013-12-11,轻度污染,146,92,109,141,39,35,1.53,82
2013-12-12,轻度污染,135,82,111,142,28,45,1.49,54
2013-12-13,中度污染,162,82,122,154,23,52,1.44,51
2013-12-14,轻度污染,142,66,97,109,13,35,1.18,39
2013-12-15,良,94,43,39,30,10,26,1.07,28
2013-12-16,优,29,10,12,12,9,25,1.19,34
2013-12-17,优,15,2,10,13,9,24,1.02,26
2013-12-18,优,23,8,13,21,12,14,0.66,47
2013-12-19,优,30,3,24,37,13,19,0.63,60
2013-12-20,优,46,7,36,53,19,25,0.79,69
2013-12-21,良,70,18,67,88,25,26,0.98,86
2013-12-22,轻度污染,118,42,103,126,33,30,1.34,92
2013-12-23,轻度污染,127,36,84,107,30,35,1.14,85
2013-12-24,轻度污染,103,23,78,102,33,34,1.17,90
2013-12-25,轻度污染,110,19,88,113,37,38,1.19,91
2013-12-26,轻度污染,113,26,79,102,40,26,1.01,113
2013-12-27,轻度污染,123,68,117,152,57,30,1.35,108
2013-12-28,中度污染,162,98,100,123,33,34,1.13,77
2013-12-29,良,91,39,55,92,25,43,1.03,66
2013-12-30,良,97,29,81,135,30,74,1.36,45
2013-12-31,轻度污染,106,58,82,131,33,72,1.46,53
2014-01-01,轻度污染,112,70,82,130,28,69,1.46,61
2014-01-02,轻度污染,111,59,87,135,23,75,1.46,56
2014-01-03,轻度污染,132,86,100,155,26,84,1.57,57
2014-01-04,轻度污染,124,96,93,130,42,40,1.05,130
2014-01-05,轻度污染,130,66,98,140,37,42,1.10,122
2014-01-06,中度污染,152,82,115,163,27,55,1.17,114
2014-01-07,良,83,42,58,98,19,46,0.83,73
2014-01-08,良,74,92,52,86,20,51,1.12,35
2014-01-09,良,60,34,43,56,18,29,1.30,57
2014-01-10,良,80,46,59,84,18,35,1.09,55
2014-01-11,良,83,51,61,93,18,42,0.96,73
2014-01-12,良,76,57,55,82,18,40,0.93,52
2014-01-13,优,49,16,34,47,18,22,0.86,47
2014-01-14,良,58,23,41,54,17,23,0.91,50
2014-01-15,良,80,32,58,81,30,26,0.92,89
2014-01-16,良,84,27,60,98,19,43,0.83,76
2014-01-17,良,85,27,62,99,31,50,0.92,70
2014-01-18,良,91,27,67,88,26,28,0.81,120
2014-01-19,轻度污染,130,65,98,133,27,47,1.19,100
2014-01-20,轻度污染,120,77,91,126,26,45,1.02,99
2014-01-21,良,95,117,69,106,31,24,0.86,123
2014-01-22,良,94,74,69,113,26,37,0.88,103
2014-01-24,良,68,30,46,68,17,40,0.73,77
