日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,优,25,1,14,23,10,27,1.12,32
2013-10-29,优,28,2,14,26,12,29,1.47,38
2013-10-30,优,39,4,18,38,26,28,1.14,31
2013-10-31,良,58,15,26,71,27,33,1.18,28
2013-11-01,良,58,14,27,69,32,42,1.16,35
2013-11-02,良,68,19,31,89,28,41,1.11,38
2013-11-03,良,63,17,31,78,30,39,1.25,36
2013-11-04,良,68,22,39,88,24,40,1.20,32
2013-11-05,良,71,28,39,92,31,39,1.28,28
2013-11-06,良,92,34,49,115,29,43,1.23,33
2013-11-07,良,84,35,40,99,28,39,0.82,36
2013-11-08,良,59,13,26,60,37,40,1.17,41
2013-11-09,良,61,18,40,86,47,53,1.58,34
2013-11-10,良,86,65,63,135,35,54,1.45,33
2013-11-11,良,91,98,56,122,34,52,1.10,29
2013-11-12,良,80,69,48,98,23,41,1.30,30
2013-11-13,良,71,51,30,87,28,37,1.30,27
2013-11-14,良,75,45,35,102,26,40,1.09,23
2013-11-15,良,65,30,37,67,16,31,1.09,17
2013-11-16,良,54,6,32,60,24,31,1.15,18
2013-11-17,良,60,13,31,62,15,29,1.02,20
2013-11-18,优,49,14,29,50,20,29,1.16,21
2013-11-19,优,48,13,28,43,9,31,1.07,17
2013-11-20,优,43,5,20,45,23,32,1.07,29
2013-11-21,优,50,4,19,46,23,30,0.93,35
2013-11-22,良,53,5,22,62,26,37,1.08,37
2013-11-23,优,50,2,19,46,37,34,0.99,39
2013-11-24,良,53,5,33,75,26,44,1.09,36
2013-11-25,良,79,50,41,96,27,44,1.20,29
2013-11-26,良,64,26,28,79,28,36,1.23,23
2013-11-27,良,68,29,46,98,22,40,1.26,20
2013-11-28,良,65,52,47,70,19,40,1.29,11
2013-11-29,良,75,61,59,101,22,46,1.35,7
2013-11-30,良,83,51,52,92,15,39,1.22,10
2013-12-01,良,65,17,54,83,32,47,1.29,15
2013-12-02,良,87,31,61,101,49,49,1.74,21
2013-12-03,良,88,20,70,161,42,53,2.15,16
2013-12-04,轻度污染,111,34,69,132,25,45,1.48,30
2013-12-05,良,80,16,56,112,33,52,1.60,24
2013-12-06,良,78,21,52,86,21,38,1.10,37
2013-12-07,良,72,10,44,92,34,44,1.57,23
2013-12-08,良,65,2,28,60,44,36,1.34,27
2013-12-09,良,77,16,64,113,31,41,1.40,37
2013-12-10,良,72,15,34,66,36,37,1.30,29
2013-12-11,良,65,14,40,91,23,42,1.14,18
2013-12-12,良,62,13,24,60,32,35,1.04,29
2013-12-13,良,59,14,30,76,19,39,1.23,26
2013-12-14,良,73,18,43,87,13,39,1.21,17
2013-12-15,优,38,2,13,20,4,26,0.78,31
2013-12-16,优,31,12,24,46,25,26,0.73,48
2013-12-17,良,59,40,60,96,40,52,1.21,29
2013-12-18,轻度污染,111,77,85,138,38,60,1.78,36
2013-12-19,良,94,49,60,104,30,53,1.02,50
2013-12-20,轻度污染,104,45,74,135,31,59,1.65,31
2013-12-21,良,95,37,87,142,14,61,1.58,12
2013-12-22,良,99,19,47,84,15,47,1.25,34
2013-12-23,良,68,3,46,104,18,56,1.50,25
2013-12-24,良,80,10,70,113,15,49,1.38,20
2013-12-25,良,87,10,55,95,15,41,1.35,27
2013-12-26,良,70,7,49,78,11,43,1.66,12
2013-12-27,良,57,13,46,75,19,38,1.59,7
2013-12-28,良,82,27,58,99,16,40,1.23,24
2013-12-29,良,75,18,45,83,16,37,1.01,38
2013-12-30,良,62,4,39,76,26,39,1.27,37
2013-12-31,良,68,5,54,86,28,47,1.54,25
2014-01-01,良,71,10,41,83,36,45,1.34,30
2014-01-02,良,57,3,28,56,33,35,1.11,42
2014-01-03,良,81,32,55,98,27,50,1.27,36
2014-01-04,轻度污染,104,64,75,120,24,55,1.28,30
2014-01-05,良,62,4,33,73,27,44,1.35,29
2014-01-06,良,54,7,25,58,26,37,1.10,34
2014-01-07,良,54,9,27,58,27,41,0.97,37
2014-01-08,良,70,81,38,90,22,46,1.13,34
2014-01-09,良,63,47,37,75,20,42,1.06,40
2014-01-10,良,52,6,26,54,27,36,0.97,39
2014-01-11,良,53,11,26,57,28,37,0.99,41
2014-01-12,良,68,45,46,69,18,39,1.39,13
2014-01-13,良,57,30,40,57,21,39,1.42,18
2014-01-14,良,89,61,63,99,29,50,1.94,23
2014-01-15,优,50,8,30,50,14,33,0.96,32
2014-01-16,优,49,4,29,51,24,35,1.09,34
2014-01-17,轻度污染,103,40,75,110,18,50,1.28,17
2014-01-18,轻度污染,111,55,84,128,25,53,1.42,26
2014-01-19,轻度污染,104,29,76,132,32,52,1.88,29
2014-01-20,良,64,20,45,67,19,38,1.03,44
2014-01-21,良,68,35,48,74,26,45,1.14,34
2014-01-22,良,96,82,67,128,38,55,1.88,36
2014-01-24,优,46,5,21,46,26,34,0.84,43
2014-01-25,良,77,45,53,83,26,45,1.20,59
2014-01-26,良,71,64,50,76,21,39,1.76,35
2014-01-27,良,63,48,43,66,19,34,1.37,32
2014-01-28,优,43,8,24,41,24,28,1.22,39
2014-01-29,优,46,10,29,46,29,33,1.32,45
2014-01-30,良,53,8,34,53,36,28,1.25,46
