日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,129,319,97,133,23,42,0.89,71
2015-01-02,中度污染,159,605,123,194,42,55,1.30,52
2015-01-03,中度污染,196,323,152,191,86,60,1.35,46
2015-01-04,轻度污染,137,171,104,106,50,46,0.86,37
2015-01-05,轻度污染,115,156,86,79,28,37,0.80,23
2015-01-06,良,90,247,65,54,22,32,1.08,17
2015-01-07,良,90,239,66,29,12,28,1.06,31
2015-01-08,良,94,184,69,68,19,30,0.98,43
2015-01-09,良,94,145,69,83,14,24,0.85,40
2015-01-10,优,39,15,27,26,1,23,0.79,31
2015-01-11,优,37,18,26,19,1,22,0.69,24
2015-01-12,优,42,41,30,24,2,20,0.64,32
2015-01-13,良,91,185,67,70,9,30,1.06,35
2015-01-14,轻度污染,105,206,78,106,11,34,1.18,33
2015-01-15,轻度污染,123,225,92,132,11,37,0.95,32
2015-01-16,轻度污染,143,253,109,160,17,44,1.03,24
2015-01-17,轻度污染,147,293,113,142,22,47,1.05,55
2015-01-18,中度污染,164,341,112,143,169,48,1.24,53
2015-01-19,轻度污染,128,287,96,122,18,43,0.99,54
2015-01-20,严重污染,258,366,213,266,59,70,1.60,38
2015-01-21,中度污染,181,348,141,196,26,58,1.45,40
2015-01-22,中度污染,161,313,122,173,42,59,1.33,41
2015-01-23,中度污染,170,292,129,179,28,55,1.43,44
2015-01-24,良,75,62,50,85,25,38,1.04,65
2015-01-25,轻度污染,106,134,76,123,72,52,1.78,45
2015-01-26,轻度污染,146,208,110,155,72,54,1.66,22
2015-01-27,中度污染,163,347,126,154,32,45,1.53,28
2015-01-28,轻度污染,142,356,108,131,17,54,2.22,16
2015-01-29,优,42,66,29,12,10,37,1.31,5
2015-01-30,优,50,89,34,50,7,31,1.21,9
2015-01-31,良,77,214,55,57,9,32,1.04,17
2015-02-01,良,72,160,52,60,8,31,1.13,11
2015-02-02,轻度污染,108,224,81,100,12,35,1.28,10
2015-02-03,良,58,54,42,52,8,31,1.25,4
2015-02-04,良,55,77,39,40,7,32,0.99,17
2015-02-05,轻度污染,131,305,99,102,25,36,0.96,44
2015-02-06,中度污染,159,343,120,144,33,40,1.03,62
2015-02-07,中度污染,181,350,139,164,38,64,1.63,32
2015-02-08,轻度污染,109,291,81,109,25,54,1.09,46
2015-02-09,轻度污染,103,273,77,99,28,47,0.76,64
2015-02-10,中度污染,165,331,126,147,42,64,1.18,39
2015-02-11,中度污染,167,299,127,69,14,48,1.33,33
2015-02-12,中度污染,161,289,120,175,16,57,1.67,32
2015-02-13,重度污染,237,359,188,264,21,99,2.10,12
2015-02-14,轻度污染,144,250,109,149,11,72,2.20,22
2015-02-15,良,61,57,43,57,17,49,1.33,25
2015-02-16,良,58,41,41,43,6,39,1.22,25
2015-02-17,优,44,24,30,38,7,33,0.67,35
2015-02-18,良,56,64,39,43,14,27,0.62,38
2015-02-19,轻度污染,109,187,87,90,97,21,0.48,47
2015-02-20,优,36,15,18,21,79,16,0.49,54
2015-02-21,优,26,5,15,16,10,16,0.56,43
2015-02-22,优,34,19,23,23,9,32,1.17,26
2015-02-23,优,41,60,28,30,12,36,1.33,25
2015-02-24,良,53,98,38,42,14,42,1.41,26
2015-02-25,优,47,105,33,32,14,34,1.03,32
2015-02-26,良,56,167,39,53,14,40,1.35,18
2015-02-27,良,65,257,40,74,15,32,0.95,34
2015-02-28,优,50,184,26,54,8,20,0.67,32
2015-03-01,优,36,52,20,36,4,16,0.70,55
2015-03-02,良,87,242,63,89,5,30,0.95,43
2015-03-03,优,31,4,17,29,2,21,1.04,30
2015-03-04,良,63,219,39,69,5,25,0.85,44
2015-03-05,优,26,14,13,23,1,25,1.02,20
2015-03-06,优,29,33,15,28,1,20,0.88,22
2015-03-07,优,38,35,19,37,1,21,0.76,22
2015-03-08,优,24,3,13,23,1,28,0.96,7
2015-03-09,优,42,44,24,41,4,29,1.09,16
2015-03-10,良,62,175,38,41,3,23,0.85,36
2015-03-11,优,35,28,23,14,2,20,1.00,28
2015-03-12,良,79,187,58,40,9,27,1.17,28
2015-03-13,优,43,41,30,23,5,31,1.08,12
2015-03-14,良,58,71,41,32,15,38,1.60,3
2015-03-15,良,64,73,45,52,17,29,1.23,12
2015-03-16,良,100,218,74,98,10,30,1.02,13
2015-03-17,良,57,94,39,57,12,18,0.56,42
2015-03-18,轻度污染,107,318,80,121,23,33,0.75,78
2015-03-19,良,99,269,74,106,36,24,0.68,52
2015-03-20,轻度污染,101,256,74,96,22,24,0.84,43
2015-03-21,良,56,65,39,51,7,19,0.81,57
2015-03-22,良,98,231,73,98,27,30,1.02,45
2015-03-23,轻度污染,103,317,76,87,23,36,1.12,25
2015-03-24,良,59,145,41,21,5,21,0.82,52
2015-03-25,良,73,216,52,52,6,25,1.00,38
2015-03-26,轻度污染,120,330,90,112,18,35,1.23,22
2015-03-27,轻度污染,134,333,101,103,13,32,1.39,36
2015-03-28,良,91,204,67,84,20,30,1.31,32
2015-03-29,良,80,152,57,84,17,28,0.99,32
