日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,优,46,4,17,49,5,18,0.56,59
2013-10-29,良,60,21,30,47,6,17,0.62,86
2013-10-30,良,55,14,25,46,6,13,0.59,86
2013-10-31,优,50,11,17,49,6,13,0.52,72
2013-11-01,优,50,7,18,53,5,14,0.53,64
2013-11-02,优,48,10,17,48,6,12,0.58,68
2013-11-03,良,55,13,24,62,6,18,0.57,65
2013-11-04,良,58,13,23,68,7,20,0.64,55
2013-11-05,良,53,7,20,59,6,19,0.58,57
2013-11-06,良,67,14,42,86,9,29,0.78,46
2013-11-07,良,65,8,25,59,7,21,0.26,66
2013-11-08,良,52,8,15,44,5,10,0.56,82
2013-11-09,优,44,2,19,43,6,15,0.65,75
2013-11-10,优,43,8,18,46,6,16,0.66,72
2013-11-11,优,42,10,14,34,7,21,0.72,72
2013-11-12,优,46,23,24,52,7,24,0.79,63
2013-11-13,优,42,28,21,43,8,24,0.89,71
2013-11-14,优,45,22,26,48,7,27,0.89,63
2013-11-15,优,49,12,25,53,7,27,0.94,52
2013-11-16,优,50,4,27,53,7,27,0.91,50
2013-11-17,良,54,7,30,64,8,31,0.98,42
2013-11-18,良,55,20,27,57,9,28,0.99,42
2013-11-19,良,52,16,25,52,9,22,0.94,47
2013-11-20,优,48,9,25,50,9,21,0.94,55
2013-11-21,良,51,5,26,57,10,27,1.10,54
2013-11-22,良,55,10,30,57,11,31,1.21,54
2013-11-23,良,56,9,31,73,9,24,1.07,59
2013-11-24,良,59,9,22,67,9,16,0.96,69
2013-11-25,良,60,19,25,62,9,24,1.10,46
2013-11-26,良,54,10,31,65,13,30,1.26,42
2013-11-27,良,56,13,32,65,12,28,1.24,42
2013-11-28,良,57,29,30,62,12,26,1.27,40
2013-11-29,良,60,34,31,72,10,22,1.21,55
2013-11-30,良,51,4,16,41,9,12,1.01,67
2013-12-01,优,37,2,15,32,8,12,1.05,67
2013-12-02,优,45,1,28,55,10,22,1.22,50
2013-12-03,良,52,2,27,56,12,25,1.32,47
2013-12-04,良,54,2,32,63,12,30,1.51,52
2013-12-05,优,48,3,25,60,11,24,1.31,57
2013-12-06,良,53,3,24,61,10,21,1.32,56
2013-12-07,良,59,5,39,78,12,28,1.42,45
2013-12-08,良,65,3,33,58,9,17,1.20,44
2013-12-09,良,66,9,39,83,13,28,1.54,52
2013-12-10,良,70,14,38,87,12,27,1.41,56
2013-12-11,良,67,15,32,77,11,27,1.25,53
2013-12-12,良,61,12,24,61,9,17,1.16,60
2013-12-13,优,48,7,23,53,10,21,1.26,59
2013-12-14,良,55,5,12,55,4,6,1.05,86
2013-12-15,优,49,8,10,26,6,7,1.21,94
2013-12-16,优,35,20,22,45,12,21,1.49,61
2013-12-17,良,58,38,40,85,17,30,1.61,51
2013-12-18,良,71,58,40,83,13,30,1.59,58
2013-12-19,轻度污染,145,83,100,420,12,32,1.60,47
2013-12-20,严重污染,330,105,103,459,10,29,1.53,53
2013-12-21,中度污染,170,75,41,133,10,24,1.46,73
2013-12-22,轻度污染,108,30,44,168,10,27,1.57,61
2013-12-23,良,96,18,32,89,9,22,1.48,85
2013-12-24,良,63,4,23,58,10,25,1.47,82
2013-12-25,良,56,3,27,60,11,29,1.58,72
2013-12-26,良,55,2,31,58,12,32,1.65,59
2013-12-27,良,53,10,26,55,12,25,1.64,55
2013-12-28,良,65,15,39,83,14,34,1.83,56
2013-12-29,良,59,10,17,48,8,15,1.43,78
2013-12-30,优,39,1,23,47,12,24,1.66,53
2013-12-31,优,50,1,26,54,10,22,1.64,48
2014-01-01,良,57,3,34,69,9,27,1.68,50
2014-01-02,良,52,2,18,41,8,19,1.56,66
2014-01-03,优,50,3,24,53,13,24,1.72,56
2014-01-04,优,50,10,30,54,14,25,1.86,52
2014-01-05,良,77,10,50,96,18,36,2.30,50
2014-01-06,良,59,11,21,67,8,20,1.70,70
2014-01-07,良,54,10,25,60,11,21,1.79,66
2014-01-08,良,61,70,26,73,12,23,1.86,55
2014-01-09,优,44,8,20,45,11,24,1.89,58
2014-01-10,良,53,8,19,55,8,12,1.74,76
2014-01-11,良,51,9,21,55,7,15,1.67,63
2014-01-12,优,45,11,24,37,8,10,1.73,80
2014-01-13,优,43,11,22,36,9,15,1.83,71
2014-01-14,良,57,22,34,61,12,24,2.07,54
2014-01-15,良,62,13,37,72,11,22,2.07,47
2014-01-16,优,48,3,17,48,9,9,1.81,75
2014-01-17,优,40,1,21,36,11,16,1.91,56
2014-01-18,良,53,2,28,55,10,17,1.92,50
2014-01-19,优,40,1,12,28,7,10,1.83,75
2014-01-20,优,40,3,13,33,9,13,1.83,67
2014-01-21,优,37,4,16,36,10,18,1.14,54
2014-01-22,良,63,8,36,53,11,25,0.83,53
2014-01-24,良,62,22,28,68,11,22,0.94,64
2014-01-25,良,51,11,25,51,10,18,0.87,67
2014-01-26,优,45,7,17,45,10,18,0.84,64
2014-01-27,优,45,20,17,43,9,17,0.88,73
2014-01-28,优,50,23,12,43,6,6,0.65,86
2014-01-29,优,42,8,15,34,8,12,0.76,68
2014-01-30,优,49,5,23,54,8,16,0.86,58
2014-01-31,良,53,1,23,56,10,13,0.83,72
2014-02-01,优,40,7,17,35,9,14,0.85,69
2014-02-02,优,44,6,22,44,10,18,0.94,56
2014-02-03,优,42,15,21,42,12,19,1.09,61
2014-02-04,良,68,125,31,86,11,23,1.19,59
2014-02-05,良,61,118,24,74,9,17,0.96,61
2014-02-06,优,45,85,15,43,7,9,0.84,75
2014-02-07,优,41,57,19,37,8,15,0.93,60
2014-02-08,良,57,67,21,62,9,15,1.00,74
2014-02-09,良,69,119,26,88,9,15,1.00,77
2014-02-10,良,92,155,33,134,8,11,0.94,77
2014-02-11,轻度污染,139,171,41,187,6,5,0.87,87
2014-02-12,良,72,53,21,85,7,12,0.95,98
2014-02-13,优,48,38,19,49,9,17,1.04,70
2014-02-14,轻度污染,108,90,30,130,8,11,1.00,78
2014-02-15,重度污染,201,150,41,284,7,11,1.00,91
2014-02-16,良,90,90,24,129,7,6,0.94,97
2014-02-17,良,66,78,14,75,6,6,1.01,98
2014-02-18,优,43,40,11,25,8,9,1.05,80
2014-02-19,优,42,36,18,34,9,17,1.17,63
2014-02-20,优,46,24,22,47,9,24,1.29,52
2014-02-21,良,58,13,25,64,11,21,1.28,95
2014-02-22,良,57,9,21,66,9,17,1.21,77
2014-02-23,良,57,12,20,59,9,17,1.26,89
2014-02-24,优,50,10,16,41,7,12,1.13,90
2014-02-25,优,40,12,18,37,9,19,1.25,65
2014-02-26,优,49,11,18,50,9,16,1.28,79
2014-02-27,优,48,21,15,42,8,9,1.16,87
2014-02-28,优,49,44,19,41,10,13,1.25,81
2014-03-01,优,42,21,19,32,9,11,1.24,77
2014-03-02,良,82,84,54,50,9,14,1.28,76
2014-03-03,良,53,29,17,42,7,8,1.18,95
2014-03-04,优,50,27,21,47,6,10,1.12,79
2014-03-05,优,50,27,20,47,5,6,0.94,88
2014-03-06,优,47,37,19,40,6,8,0.88,85
2014-03-07,优,47,44,16,34,6,6,0.90,91
2014-03-08,优,47,28,18,39,6,11,0.95,88
2014-03-09,优,44,28,17,35,7,14,0.98,75
2014-03-10,优,39,9,17,33,8,14,0.89,68
2014-03-11,优,43,11,20,38,13,13,0.84,78
2014-03-12,良,52,19,20,58,8,14,0.82,78
2014-03-13,良,61,45,16,52,7,11,0.82,104
2014-03-14,良,63,15,12,35,7,13,0.80,110
2014-03-15,优,46,1,13,34,8,15,0.84,78
2014-03-16,良,52,4,22,55,9,20,0.92,68
2014-03-17,良,53,2,22,55,12,15,0.96,80
2014-03-18,良,59,14,23,69,9,17,0.93,69
2014-03-19,良,59,13,24,62,8,10,0.97,99
2014-03-20,良,61,45,26,71,10,11,0.97,92
2014-03-21,良,64,50,29,70,8,11,1.04,100
2014-03-22,良,64,27,23,72,9,12,1.06,99
2014-03-23,良,65,32,16,62,8,11,1.25,102
2014-03-25,良,55,12,23,60,9,17,1.07,82
2014-03-26,良,62,16,26,71,10,8,0.99,95
2014-03-27,良,54,16,20,57,10,14,0.99,80
2014-03-28,良,56,31,23,64,9,18,0.93,70
2014-03-29,良,61,42,23,70,11,18,0.96,69
2014-03-30,良,57,27,20,65,9,14,0.91,74
2014-03-31,良,55,33,18,61,9,12,0.91,77
2014-04-01,良,67,53,23,83,11,11,0.97,100
2014-04-02,良,63,45,24,75,11,11,0.98,107
2014-04-03,良,68,68,26,70,12,10,1.09,120
2014-04-04,良,75,66,32,50,10,14,1.21,119
2014-04-05,良,58,19,27,63,10,16,1.09,87
2014-04-06,良,57,31,21,65,10,15,1.05,84
2014-04-07,良,62,35,27,71,10,13,1.06,96
2014-04-08,良,75,43,30,98,10,10,1.06,96
2014-04-09,良,61,20,26,65,10,14,1.06,86
2014-04-10,良,66,35,21,76,9,9,1.04,109
2014-04-11,良,77,76,21,89,12,10,1.09,123
2014-04-12,良,70,72,25,78,10,12,1.09,112
2014-04-13,良,60,52,26,56,12,13,1.13,115
2014-04-14,良,76,61,38,96,10,14,1.18,128
2014-04-15,良,72,56,30,64,12,15,1.18,121
2014-04-16,良,84,125,36,106,11,17,1.19,94
2014-04-17,良,78,82,39,104,12,19,1.29,92
2014-04-18,良,72,83,34,82,14,22,1.34,104
2014-04-19,良,71,128,32,91,12,15,1.25,95
2014-04-20,良,82,128,30,110,11,9,1.19,109
2014-04-21,良,67,85,26,58,11,11,1.22,116
2014-04-22,良,70,79,27,65,11,15,1.28,120
2014-04-23,良,76,68,29,81,11,11,1.29,124
2014-04-24,良,86,103,38,105,13,14,1.34,137
2014-04-25,良,82,120,40,57,13,17,1.27,118
2014-04-26,良,61,88,29,73,13,18,1.29,95
2014-04-27,良,68,91,28,81,13,14,1.35,104
2014-04-28,良,60,55,16,42,13,15,1.30,108
2014-04-29,良,59,12,26,60,12,18,1.12,92
2014-04-30,良,67,28,33,72,13,22,1.16,86
2014-05-01,良,75,35,30,95,13,24,1.22,74
2014-05-02,良,64,46,21,72,12,13,1.12,97
2014-05-03,良,58,34,19,45,11,18,1.31,102
2014-05-04,良,53,41,23,48,12,17,1.19,97
2014-05-05,良,63,83,26,72,13,15,1.13,93
2014-05-06,良,61,48,22,63,13,12,1.02,103
2014-05-07,良,71,61,29,54,12,13,1.24,124
2014-05-08,良,75,65,25,53,12,14,1.27,127
2014-05-09,良,85,115,25,41,12,12,1.17,137
2014-05-10,良,72,147,26,57,12,10,1.11,122
2014-05-11,良,67,153,32,64,13,11,1.22,117
2014-05-12,良,77,105,27,67,12,20,1.25,124
2014-05-13,良,73,59,30,76,12,19,1.25,112
2014-05-14,良,80,98,28,69,13,12,1.21,134
