日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,中度污染,164,338,124,148,23,37,1.36,15
2015-01-02,中度污染,153,593,116,142,20,39,1.43,17
2015-01-03,中度污染,163,285,125,172,13,42,1.72,9
2015-01-04,严重污染,260,327,209,281,49,65,2.19,7
2015-01-05,中度污染,163,232,123,164,36,50,2.10,11
2015-01-06,良,71,176,50,71,21,35,0.90,28
2015-01-07,良,94,256,69,102,35,50,0.97,11
2015-01-08,良,86,156,62,85,24,39,0.99,15
2015-01-09,良,73,87,53,68,16,30,1.10,14
2015-01-10,轻度污染,106,163,78,96,17,36,1.03,17
2015-01-11,轻度污染,104,178,77,93,19,34,1.00,20
2015-01-12,良,94,200,68,94,10,35,1.18,13
2015-01-13,重度污染,215,353,166,218,49,56,1.88,4
2015-01-14,重度污染,207,331,157,207,57,57,1.59,11
2015-01-15,重度污染,248,340,197,249,36,54,1.81,5
2015-01-16,中度污染,178,299,135,165,35,49,1.50,14
2015-01-17,轻度污染,146,291,111,132,22,33,1.29,24
2015-01-18,轻度污染,124,242,93,118,28,40,1.16,19
2015-01-19,轻度污染,138,307,105,128,17,31,1.31,18
2015-01-20,轻度污染,144,306,109,140,31,41,1.59,21
2015-01-21,轻度污染,132,239,99,128,24,38,1.75,32
2015-01-22,中度污染,165,324,125,162,37,51,1.48,25
2015-01-23,重度污染,225,353,174,230,50,59,1.76,15
2015-01-24,重度污染,227,322,178,236,54,67,1.83,22
2015-01-25,中度污染,186,269,141,182,28,52,1.79,22
2015-01-26,中度污染,172,237,130,158,20,40,1.61,12
2015-01-27,中度污染,195,357,148,196,33,54,1.84,6
2015-01-28,优,47,134,34,41,6,27,1.21,15
2015-01-29,优,50,116,36,44,8,24,1.29,21
2015-01-30,良,79,221,57,78,16,27,1.30,13
2015-01-31,良,84,239,61,78,19,29,1.18,16
2015-02-01,优,47,46,33,40,8,22,1.21,13
2015-02-02,良,76,119,55,64,11,24,1.37,17
2015-02-03,良,82,129,60,72,11,27,1.39,30
2015-02-04,良,84,151,61,87,16,30,1.65,37
2015-02-05,轻度污染,115,272,86,115,25,46,1.50,24
2015-02-06,轻度污染,135,315,102,125,19,33,1.27,29
2015-02-07,良,95,165,70,86,19,39,1.34,20
2015-02-08,轻度污染,108,288,81,104,31,35,1.47,16
2015-02-09,轻度污染,143,335,108,130,15,27,1.40,22
2015-02-10,中度污染,154,315,117,138,14,39,1.46,23
2015-02-11,轻度污染,136,256,102,127,13,33,1.61,33
2015-02-12,轻度污染,125,226,94,128,16,46,1.58,36
2015-02-13,轻度污染,123,245,92,119,12,37,1.27,54
2015-02-14,轻度污染,130,218,98,134,13,39,1.45,49
2015-02-15,轻度污染,143,260,108,165,17,45,1.67,27
2015-02-16,良,79,107,54,96,17,29,1.00,49
2015-02-17,良,98,198,72,114,13,26,1.05,58
2015-02-18,轻度污染,118,279,88,127,12,23,1.05,68
2015-02-19,严重污染,257,352,217,273,44,26,1.21,43
2015-02-20,良,72,225,51,67,5,16,1.12,29
2015-02-21,良,75,207,54,69,9,19,1.30,23
2015-02-22,优,43,53,29,41,5,14,0.92,54
