日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,65,109,40,68,9,26,1.15,35
2015-01-02,良,64,138,41,63,9,24,1.21,49
2015-01-03,良,62,39,40,59,9,26,1.26,41
2015-01-04,良,71,42,49,49,11,31,0.94,57
2015-01-05,良,94,113,64,52,28,41,0.73,23
2015-01-06,良,60,125,41,43,13,25,1.46,48
2015-01-07,良,60,90,38,51,9,20,1.60,46
2015-01-08,良,69,101,49,54,15,24,1.73,33
2015-01-09,良,56,41,39,1,9,18,1.31,59
2015-01-10,优,49,32,34,17,7,16,1.96,58
2015-01-11,良,61,78,43,1,14,22,0.96,26
2015-01-12,良,57,99,40,8,12,25,0.00,40
2015-01-13,良,71,148,51,10,13,29,0.00,33
2015-01-14,良,74,150,53,10,15,29,0.09,35
2015-01-15,良,54,48,31,57,9,20,2.03,44
2015-01-16,良,61,62,37,68,12,22,2.06,39
2015-01-17,良,66,68,46,63,14,25,2.21,22
2015-01-18,优,38,14,25,21,9,15,1.74,39
2015-01-19,优,43,25,27,27,10,16,2.72,44
2015-01-20,良,54,33,33,41,8,18,4.86,43
2015-01-21,良,54,40,28,46,10,19,4.89,44
2015-01-22,优,50,17,27,42,10,19,3.73,45
2015-01-23,优,45,11,28,30,10,20,1.21,46
2015-01-24,良,53,20,30,50,10,21,1.17,46
2015-01-25,良,62,35,40,45,12,24,1.05,54
2015-01-26,良,70,55,45,27,13,25,0.98,52
2015-01-27,良,55,88,33,52,10,21,1.50,57
2015-01-28,良,57,192,35,50,12,22,1.55,51
2015-01-29,良,64,197,38,68,11,24,1.45,62
2015-01-30,良,92,254,37,132,10,22,1.53,57
2015-01-31,良,93,267,41,133,10,23,1.63,58
2015-02-01,良,94,223,51,106,15,26,1.50,54
2015-02-02,良,83,141,43,103,12,24,1.45,44
2015-02-03,良,66,78,45,62,21,28,0.81,43
2015-02-04,良,60,91,42,51,22,22,0.84,41
2015-02-05,良,63,115,42,57,21,22,0.87,40
2015-02-06,良,58,43,40,52,27,22,0.94,45
2015-02-07,良,72,93,51,21,22,28,0.99,38
2015-02-08,良,82,218,59,5,18,31,1.06,41
2015-02-09,良,81,170,57,37,15,26,1.46,52
2015-02-10,良,60,52,32,56,11,26,1.50,49
2015-02-11,良,65,63,42,64,12,25,1.59,49
2015-02-12,良,63,75,38,66,13,22,1.61,50
2015-02-13,良,59,43,36,62,11,21,1.63,54
2015-02-14,优,36,9,19,26,6,16,1.55,51
2015-02-15,优,47,22,25,42,7,18,1.65,42
2015-02-16,良,51,26,30,44,13,16,1.00,61
2015-02-17,良,56,60,34,55,14,14,0.54,68
2015-02-18,良,67,94,47,66,16,18,0.84,64
2015-02-19,轻度污染,113,196,83,117,35,17,0.84,60
2015-02-20,良,52,123,35,47,11,14,0.76,71
2015-02-21,良,51,121,28,47,10,14,0.80,64
2015-02-22,优,41,47,23,38,11,13,0.89,55
2015-02-23,优,48,85,30,21,7,0,0.58,5
2015-02-24,优,50,83,34,7,17,2,0.45,17
2015-02-25,良,60,163,41,55,34,16,0.82,58
2015-02-26,良,71,215,49,68,29,18,0.95,51
2015-02-27,良,69,273,48,67,30,19,1.02,54
2015-02-28,良,82,304,59,76,25,20,1.09,59
2015-03-01,良,75,242,53,72,21,19,0.78,58
2015-03-02,良,71,167,49,72,18,20,0.54,63
2015-03-03,良,58,106,39,54,15,18,0.51,56
2015-03-04,良,61,206,42,58,17,19,0.59,52
2015-03-05,优,46,107,25,41,14,15,0.49,59
2015-03-06,优,45,85,28,41,14,18,0.55,52
