日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,良,97,41,66,136,47,54,3.12,34
2014-01-01,轻度污染,103,57,82,161,82,53,4.02,18
2014-01-02,轻度污染,108,53,79,173,95,56,4.49,17
2014-01-03,良,93,49,57,135,43,43,3.16,26
2014-01-04,良,99,55,73,132,50,47,3.29,24
2014-01-05,轻度污染,121,51,85,162,74,56,3.87,13
2014-01-06,轻度污染,108,45,67,157,77,44,4.09,25
2014-01-07,良,82,38,52,110,39,39,3.06,24
2014-01-08,良,98,131,65,137,37,44,3.15,22
2014-01-09,轻度污染,118,152,83,174,54,50,3.66,22
2014-01-10,轻度污染,137,128,90,194,66,52,3.56,21
2014-01-11,轻度污染,113,90,77,156,35,43,2.81,25
2014-01-12,轻度污染,107,99,73,150,51,47,2.87,21
2014-01-13,良,88,75,58,110,42,40,2.76,23
2014-01-14,良,93,65,65,131,54,47,3.22,20
2014-01-15,轻度污染,117,70,82,166,65,51,3.69,18
2014-01-16,轻度污染,101,38,65,142,43,48,3.30,19
2014-01-17,良,98,38,65,141,49,42,3.02,23
2014-01-18,轻度污染,103,46,75,138,58,40,2.76,30
2014-01-19,良,92,17,66,117,68,38,2.71,24
2014-01-20,良,71,31,36,90,36,30,2.41,40
2014-01-21,良,85,82,59,110,57,37,2.86,24
2014-01-22,轻度污染,101,99,72,137,74,48,3.20,22
2014-01-24,轻度污染,130,100,94,175,85,55,3.65,22
2014-01-25,轻度污染,102,73,73,147,48,50,3.02,31
2014-01-26,轻度污染,110,122,79,150,58,46,3.34,27
2014-01-27,轻度污染,116,120,82,147,64,47,3.35,21
2014-01-28,良,85,88,53,116,45,35,3.10,27
2014-01-29,良,84,71,57,107,50,37,2.98,30
2014-01-30,轻度污染,112,64,83,133,90,41,3.41,29
2014-01-31,轻度污染,146,45,99,168,109,35,3.16,29
2014-02-01,良,76,51,48,97,87,37,3.32,32
2014-02-02,良,88,54,64,109,90,40,3.39,33
2014-02-03,轻度污染,105,137,77,131,101,45,3.62,36
2014-02-04,轻度污染,108,164,72,133,96,44,3.35,30
2014-02-05,良,71,137,38,89,59,31,2.97,31
2014-02-06,良,52,105,21,56,20,20,2.50,40
2014-02-07,良,59,104,29,69,29,26,2.62,35
2014-02-08,良,63,78,37,74,29,24,2.65,41
2014-02-09,良,66,113,41,81,24,28,2.78,35
2014-02-10,良,73,135,41,95,38,25,2.87,39
2014-02-11,良,66,65,35,80,28,23,2.69,47
2014-02-12,良,58,19,30,65,21,21,2.67,54
2014-02-13,良,67,57,41,83,37,32,2.85,48
2014-02-14,良,69,34,41,87,40,37,2.53,39
2014-02-15,良,65,31,34,80,23,28,2.38,48
2014-02-16,良,64,52,35,76,25,25,2.52,52
2014-02-17,良,68,84,44,67,59,42,3.04,31
2014-02-18,良,64,89,38,75,40,30,3.13,23
2014-02-19,良,58,47,34,66,60,33,2.78,30
2014-02-20,良,86,76,58,116,73,34,2.71,21
2014-02-21,优,50,5,19,59,35,33,2.02,48
2014-02-22,良,82,36,44,115,55,46,2.53,26
2014-02-23,良,84,41,43,117,53,41,2.53,37
2014-02-24,良,64,25,29,77,37,34,2.38,46
2014-02-25,良,59,47,28,69,50,36,2.26,45
2014-02-26,良,81,67,42,111,53,47,2.29,34
2014-02-27,良,68,60,35,87,44,35,1.76,46
2014-02-28,良,63,88,32,75,28,34,1.44,44
2014-03-01,良,58,76,26,71,38,28,1.32,59
2014-03-02,良,60,50,24,70,44,29,1.46,46
2014-03-03,良,70,64,32,89,64,32,1.87,36
2014-03-04,良,58,46,26,66,37,30,1.59,42
2014-03-05,良,70,81,35,89,44,33,1.43,48
2014-03-06,良,64,100,34,77,45,36,1.48,44
2014-03-07,良,67,99,38,83,42,36,1.55,43
2014-03-08,良,59,64,31,72,27,32,1.41,50
2014-03-09,良,78,86,42,106,64,43,1.85,39
2014-03-10,良,81,66,45,111,38,44,1.73,40
2014-03-11,良,81,47,51,107,65,36,1.74,47
2014-03-12,良,84,100,57,112,57,40,1.84,44
2014-03-13,良,94,148,61,133,35,47,1.75,40
2014-03-14,良,77,53,47,102,43,36,1.67,52
2014-03-15,轻度污染,106,115,70,158,47,52,2.21,38
2014-03-16,良,88,47,59,124,49,43,1.88,51
2014-03-17,轻度污染,102,63,64,154,48,51,1.88,43
2014-03-18,良,94,57,66,133,27,46,1.49,55
2014-03-19,良,100,108,73,141,32,43,1.66,47
2014-03-20,轻度污染,109,182,78,151,53,52,1.77,42
2014-03-21,良,69,77,38,87,48,25,1.46,60
2014-03-22,良,68,43,40,84,62,36,1.55,46
2014-03-23,良,64,29,39,76,45,36,1.55,42
2014-03-25,良,62,23,36,72,47,33,1.56,59
2014-03-26,良,65,19,40,78,36,33,1.37,55
2014-03-27,良,71,36,40,90,25,36,1.28,46
2014-03-28,良,66,55,39,81,43,28,1.38,58
2014-03-29,良,72,72,46,89,40,31,1.38,54
2014-03-30,良,87,78,57,119,44,40,1.59,46
2014-03-31,良,92,121,60,134,46,44,1.80,42
2014-04-01,良,64,44,32,79,41,26,1.36,58
2014-04-02,良,57,30,28,64,29,24,1.30,60
2014-04-03,良,67,60,43,80,33,35,1.30,55
