日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,97,258,70,128,38,36,0.84,73
2015-01-06,轻度污染,147,356,112,142,40,30,1.19,47
2015-01-07,良,79,186,58,76,25,25,1.04,43
2015-01-08,良,69,100,49,63,29,26,0.97,45
2015-01-09,良,52,38,36,45,19,27,0.84,33
2015-01-10,良,64,63,45,54,26,31,0.86,23
2015-01-11,良,53,53,37,46,17,31,0.78,32
2015-01-12,良,67,133,48,64,31,33,0.84,38
2015-01-13,轻度污染,105,220,77,109,27,48,1.09,27
2015-01-14,良,96,186,69,96,25,46,1.09,27
2015-01-15,轻度污染,117,212,87,121,40,57,1.26,12
2015-01-16,轻度污染,108,188,81,110,52,39,1.01,49
2015-01-17,轻度污染,125,246,94,128,31,41,0.83,51
2015-01-18,良,94,149,69,88,20,35,0.78,56
2015-01-19,良,97,195,71,95,33,49,0.94,22
2015-01-20,轻度污染,120,266,90,134,51,51,1.19,10
2015-01-21,良,88,140,63,95,23,39,1.03,25
2015-01-22,良,82,110,59,96,26,35,0.96,41
2015-01-23,良,82,69,60,79,44,38,0.95,62
2015-01-24,良,51,17,34,47,5,18,0.61,83
2015-01-25,良,69,51,49,66,23,38,0.91,17
2015-01-26,优,49,23,34,43,22,29,1.14,10
2015-01-27,优,39,33,26,35,16,25,1.25,10
2015-01-28,优,16,2,9,11,6,23,1.55,8
2015-01-29,优,14,2,9,12,6,17,0.81,12
2015-01-30,优,42,56,28,37,11,20,0.70,41
2015-01-31,优,25,3,16,21,18,22,0.90,34
2015-02-01,优,24,3,14,21,7,23,0.95,18
2015-02-02,优,18,1,12,16,6,22,1.01,9
2015-02-03,优,25,3,16,22,9,25,0.92,15
2015-02-04,良,54,71,37,47,15,24,0.81,45
2015-02-05,良,78,167,57,69,29,40,0.86,57
2015-02-06,良,78,110,56,77,31,53,0.91,30
2015-02-07,良,63,68,44,62,30,36,0.69,55
2015-02-08,良,57,88,39,55,27,35,0.66,63
2015-02-09,良,76,159,55,74,40,38,0.82,69
2015-02-10,轻度污染,121,243,91,118,51,51,1.10,39
2015-02-11,良,98,164,73,98,35,52,1.07,34
2015-02-12,良,65,90,43,64,25,39,0.92,44
2015-02-13,良,64,56,45,60,16,37,1.04,57
2015-02-14,优,39,13,8,13,7,12,1.00,77
2015-02-15,优,38,8,20,30,15,26,0.89,51
2015-02-16,良,65,62,47,65,18,30,1.05,28
2015-02-17,良,64,89,45,63,13,25,0.91,43
2015-02-18,良,51,48,34,48,21,18,0.83,46
2015-02-19,优,47,16,32,43,19,12,0.77,55
2015-02-20,优,30,3,16,25,9,7,0.65,58
2015-02-21,优,23,1,11,20,8,9,0.81,41
2015-02-22,优,32,12,19,30,8,10,0.72,47
2015-02-23,优,29,16,15,25,8,11,0.73,48
2015-02-24,优,37,37,20,35,15,18,0.78,33
2015-02-25,优,25,6,14,24,13,14,0.79,26
2015-02-26,优,24,6,12,20,11,16,0.72,39
2015-02-27,优,19,5,10,18,13,16,0.75,23
2015-02-28,优,17,5,5,11,6,14,0.70,35
2015-03-01,优,36,51,23,35,8,18,0.57,59
2015-03-02,优,48,54,31,47,14,29,0.71,33
2015-03-03,优,43,42,27,40,25,27,0.73,33
2015-03-04,良,55,160,28,60,16,26,0.65,49
2015-03-05,优,24,9,6,11,5,17,0.62,47
2015-03-06,优,29,34,15,22,8,18,0.53,52
2015-03-07,优,39,38,25,39,13,27,0.63,34
2015-03-08,优,28,6,18,28,15,27,0.74,37
2015-03-09,优,49,83,30,50,19,28,0.72,45
2015-03-10,良,56,136,37,59,12,23,0.68,68
2015-03-11,优,23,10,12,18,10,23,0.93,35
2015-03-12,优,39,37,24,37,15,30,0.81,59
2015-03-13,优,36,14,18,35,14,28,0.96,35
2015-03-14,优,43,19,23,42,13,30,0.96,15
2015-03-15,优,36,15,23,36,9,19,0.88,30
2015-03-16,优,47,39,28,50,15,31,0.97,38
2015-03-17,良,56,86,33,59,13,18,0.88,67
2015-03-18,良,59,143,40,67,12,18,0.93,52
2015-03-19,优,34,15,16,33,7,16,1.06,36
2015-03-20,优,25,2,6,14,8,16,0.76,49
2015-03-21,优,38,9,18,34,11,27,0.74,62
2015-03-22,优,49,27,32,49,13,27,0.80,48
2015-03-23,优,41,20,27,38,8,29,0.81,50
2015-03-24,良,57,137,39,57,9,28,0.80,67
2015-03-25,良,65,167,46,57,11,34,0.84,38
2015-03-26,优,44,49,29,45,16,27,0.91,24
2015-03-27,优,38,20,26,35,7,21,0.76,25
2015-03-28,良,55,66,38,48,12,24,0.84,16
2015-03-29,良,61,77,43,61,12,35,1.06,10
2015-03-30,优,49,51,33,50,13,17,0.80,41
2015-03-31,优,43,43,26,35,5,5,0.51,87
2015-04-01,良,54,118,34,48,5,5,0.62,103
2015-04-02,良,67,237,39,50,7,7,0.64,122
2015-04-03,良,70,211,39,54,9,14,0.64,120
2015-04-04,良,79,237,51,68,14,15,0.79,99
2015-04-05,优,45,79,31,41,8,11,0.89,46
2015-04-06,优,31,18,10,14,6,17,1.01,58
2015-04-07,优,32,25,11,13,6,17,0.98,66
2015-04-08,优,38,57,16,20,6,17,0.56,72
2015-04-09,优,28,7,15,19,7,19,0.52,51
2015-04-10,优,34,37,20,28,10,21,0.51,62
2015-04-11,优,45,52,30,41,9,27,0.51,60
2015-04-12,优,47,48,25,40,9,35,0.54,52
2015-04-13,良,57,94,33,61,12,48,0.60,45
2015-04-14,良,63,92,36,66,14,34,0.56,72
2015-04-15,良,90,197,44,72,26,33,0.56,129
2015-04-16,良,74,87,46,76,12,32,0.59,91
2015-04-17,良,66,68,39,57,6,11,0.56,107
2015-04-18,良,58,76,40,55,5,14,0.71,82
2015-04-19,良,54,125,30,42,10,23,0.68,72
2015-04-20,优,32,15,12,18,11,19,0.69,59
2015-04-21,优,41,36,26,36,10,25,0.57,64
2015-04-22,良,55,80,38,51,11,35,0.59,40
2015-04-23,优,36,11,25,31,6,33,0.52,48
2015-04-24,优,40,17,27,34,5,36,0.57,22
2015-04-25,优,45,16,26,39,5,35,0.57,34
2015-04-26,良,62,64,42,64,10,41,0.69,15
2015-04-27,良,51,34,36,48,9,34,0.76,25
2015-04-28,良,57,70,40,42,16,35,0.80,35
2015-04-29,良,58,85,37,57,9,30,0.75,36
2015-04-30,优,41,22,27,37,5,22,0.56,50
2015-05-01,优,44,44,25,38,6,20,0.57,67
2015-05-02,优,37,33,14,24,7,24,0.49,69
2015-05-03,优,48,54,32,47,8,24,0.57,45
2015-05-04,优,36,24,17,23,6,21,0.61,73
2015-05-05,良,52,65,35,49,6,22,0.58,59
2015-05-06,优,46,49,28,43,8,29,0.67,57
2015-05-07,良,51,56,33,50,8,30,0.77,31
2015-05-08,优,45,65,19,30,6,34,0.59,70
2015-05-09,优,48,90,31,43,6,30,0.58,38
2015-05-10,优,49,78,33,47,7,25,0.67,50
2015-05-11,优,38,35,16,23,7,22,0.57,63
2015-05-12,优,38,25,23,37,8,27,0.54,32
2015-05-13,优,46,40,27,43,5,7,0.57,86
2015-05-14,优,45,57,24,35,4,6,0.53,87
2015-05-15,优,41,61,23,37,7,26,0.57,67
2015-05-16,良,68,169,48,74,8,23,0.61,97
2015-05-17,良,77,201,56,75,8,29,0.71,50
2015-05-18,优,33,24,16,27,7,29,0.69,44
2015-05-19,优,41,64,21,39,9,27,0.70,36
2015-05-20,优,35,38,21,29,6,20,0.60,59
2015-05-21,良,79,285,58,79,7,20,0.76,81
2015-05-22,良,60,142,37,51,7,25,0.83,70
2015-05-23,优,46,81,27,31,8,23,0.81,78
2015-05-24,优,34,22,18,24,6,18,0.72,65
2015-05-25,优,41,30,27,40,7,18,0.77,45
2015-05-26,良,55,102,35,51,7,15,0.73,45
2015-05-27,优,44,48,28,40,6,20,0.71,33
2015-05-28,优,49,79,30,48,5,16,0.65,51
2015-05-29,良,55,153,32,53,6,13,0.65,83
2015-05-30,优,29,5,15,22,7,19,0.67,56
2015-05-31,优,39,34,26,35,7,23,0.80,51
2015-06-01,优,31,9,19,26,5,15,0.67,52
2015-06-02,优,40,60,20,32,4,8,0.52,79
2015-06-03,优,36,50,21,31,7,18,0.61,61
2015-06-04,优,25,8,12,21,7,19,0.78,41
2015-06-05,优,29,14,11,20,7,22,0.70,56
2015-06-06,优,43,71,23,42,9,29,0.65,27
2015-06-07,优,35,46,23,31,7,23,0.69,30
2015-06-08,优,25,11,13,17,10,19,0.61,45
2015-06-09,优,36,41,22,31,12,23,0.53,56
2015-06-10,优,41,58,25,38,15,36,0.78,19
2015-06-11,优,44,95,26,39,10,28,0.69,38
2015-06-12,优,46,81,23,44,9,23,0.62,39
2015-06-13,优,34,30,16,27,8,24,0.59,52
2015-06-14,优,43,98,24,39,9,28,0.63,38
2015-06-15,优,27,19,12,19,6,17,0.52,40
2015-06-16,优,34,43,13,20,5,5,0.42,69
2015-06-17,优,37,61,18,28,6,11,0.49,64
2015-06-18,优,29,23,10,12,7,17,0.66,64
2015-06-19,优,43,101,26,35,10,18,0.72,81
2015-06-20,优,38,46,25,30,9,22,0.91,21
2015-06-21,优,17,2,8,12,8,17,0.76,32
2015-06-22,优,27,27,15,23,8,15,0.78,45
2015-06-23,优,35,58,19,31,7,15,0.62,35
2015-06-24,优,26,19,12,21,7,19,0.55,24
2015-06-25,优,26,12,8,24,7,11,0.50,34
2015-06-26,优,21,5,7,12,5,6,0.47,43
2015-06-27,优,31,51,12,21,5,3,0.44,62
2015-06-28,优,35,66,12,20,6,3,0.45,69
2015-06-29,优,37,77,14,26,6,4,0.47,73
2015-06-30,优,39,90,18,32,6,6,0.49,76
2015-07-01,优,34,39,14,17,8,18,0.55,48
2015-07-02,优,31,26,19,28,23,19,0.87,27
2015-07-03,优,28,8,15,20,4,19,0.82,53
2015-07-04,优,42,87,15,24,6,15,0.55,84
2015-07-05,优,34,49,14,23,9,21,0.48,60
2015-07-06,优,36,44,19,27,8,18,0.51,73
2015-07-07,优,44,83,27,39,8,26,0.55,64
2015-07-08,良,55,131,35,52,9,26,0.60,79
2015-07-09,良,64,199,45,64,9,24,0.64,83
2015-07-10,良,76,273,55,72,8,24,0.72,71
2015-07-11,优,35,59,21,32,8,22,0.59,41
2015-07-12,优,49,106,27,48,6,27,0.65,36
2015-07-13,优,41,28,22,39,6,22,0.60,32
2015-07-14,良,53,80,31,56,5,23,0.66,40
2015-07-15,优,50,104,28,42,6,18,0.61,75
2015-07-16,优,44,69,22,38,8,33,0.61,48
2015-07-17,优,42,56,19,33,9,21,0.63,83
2015-07-18,良,53,146,32,56,8,26,0.63,67
2015-07-19,良,60,200,39,61,7,23,0.64,65
2015-07-20,良,58,158,38,60,8,32,0.67,54
2015-07-21,良,57,163,33,54,8,30,0.63,84
2015-07-22,优,44,111,28,44,6,17,0.63,59
2015-07-23,优,35,83,17,29,6,24,0.63,38
2015-07-24,优,31,45,14,24,7,21,0.54,55
2015-07-25,优,43,102,23,37,7,23,0.56,53
2015-07-26,优,47,110,29,46,7,32,0.60,51
2015-07-27,优,49,124,26,44,6,21,0.54,53
2015-07-28,优,18,6,6,11,4,16,0.39,21
2015-07-29,优,17,6,5,11,4,10,0.33,30
2015-07-30,优,18,3,7,13,5,11,0.35,29
2015-07-31,优,18,3,7,15,5,9,0.34,31
2015-08-01,优,20,11,7,13,4,7,0.32,38
2015-08-02,优,21,10,6,13,4,5,0.30,40
2015-08-03,优,21,11,7,11,4,4,0.30,42
2015-08-04,优,22,9,6,10,4,5,0.31,42
2015-08-05,优,20,4,6,14,4,10,0.36,32
2015-08-06,优,27,12,12,23,6,15,0.34,27
2015-08-07,优,34,38,19,30,17,22,0.38,34
2015-08-08,优,46,152,28,43,21,21,0.38,70
2015-08-09,优,48,191,30,45,25,26,0.44,55
2015-08-10,优,36,122,20,32,25,23,0.44,35
