日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,良,100,48,78,110,12,31,0.98,152
2014-01-01,轻度污染,109,64,80,109,8,28,0.91,128
2014-01-02,良,98,41,68,93,5,33,0.93,112
2014-01-03,良,72,23,52,82,3,26,0.82,78
2014-01-04,良,84,37,60,89,4,24,0.85,84
2014-01-05,轻度污染,124,55,94,123,9,17,0.94,152
2014-01-06,良,98,35,72,106,5,18,0.89,124
2014-01-07,良,70,27,47,82,3,16,0.76,80
2014-01-08,良,56,48,28,61,2,18,0.64,46
2014-01-09,良,62,39,43,55,2,11,0.85,77
2014-01-10,良,52,7,31,51,2,8,0.79,89
2014-01-11,优,45,5,19,41,2,7,0.59,81
2014-01-12,优,44,9,23,38,2,8,0.55,81
2014-01-13,良,81,67,59,74,5,15,0.87,111
2014-01-14,良,67,36,48,60,3,18,0.96,81
2014-01-15,良,63,15,41,56,4,16,0.86,98
2014-01-16,良,55,10,31,50,3,14,0.57,98
2014-01-17,良,54,3,32,56,3,18,0.58,82
2014-01-18,良,100,42,74,95,11,16,0.75,156
2014-01-19,良,88,16,56,82,7,12,0.64,123
2014-01-20,良,70,29,50,71,5,13,0.71,106
2014-01-21,轻度污染,114,144,86,111,13,17,0.93,157
2014-01-22,良,96,83,68,102,12,16,0.85,145
2014-01-24,优,44,4,18,40,2,10,0.66,82
2014-01-25,优,37,2,14,32,2,12,0.69,60
2014-01-26,优,37,2,16,34,2,12,0.71,61
2014-01-27,优,46,22,25,42,2,9,0.73,84
2014-01-28,优,47,16,25,47,2,7,0.74,82
2014-01-29,良,51,20,31,46,3,10,0.78,95
2014-01-30,良,56,9,36,53,6,9,0.80,78
2014-01-31,轻度污染,119,31,79,118,9,10,0.78,69
2014-02-01,优,40,6,23,33,3,9,0.75,64
2014-02-02,优,32,1,17,28,2,11,0.84,45
2014-02-03,优,31,3,17,28,2,13,0.91,38
2014-02-04,优,33,4,18,31,3,8,0.90,47
2014-02-05,优,35,35,19,27,2,6,0.93,57
2014-02-06,优,25,18,11,22,2,6,0.92,38
2014-02-07,优,21,8,10,19,2,8,0.84,27
2014-02-08,优,29,12,18,27,1,10,0.58,26
2014-02-09,优,28,25,17,27,1,13,0.53,24
2014-02-10,优,24,1,15,23,1,15,0.85,18
2014-02-11,优,19,1,10,16,1,11,0.89,41
2014-02-12,优,27,1,11,20,1,14,0.90,53
2014-02-13,优,27,4,13,24,1,15,0.92,43
2014-02-14,优,36,4,22,31,4,13,1.01,47
2014-02-15,优,49,5,30,33,1,12,0.97,73
2014-02-16,优,42,13,15,30,1,15,0.92,76
2014-02-17,优,40,18,21,38,1,18,0.88,56
2014-02-18,优,34,20,17,30,1,16,0.79,48
2014-02-19,优,22,12,12,20,1,15,1.09,25
2014-02-20,优,22,1,14,17,1,12,1.05,48
2014-02-21,良,52,7,17,54,1,13,0.77,83
2014-02-22,优,46,3,19,46,1,11,0.78,76
2014-02-23,优,41,1,16,38,1,10,0.74,73
2014-02-24,优,42,5,18,38,1,9,0.59,75
2014-02-25,优,36,6,14,34,1,13,0.48,52
2014-02-26,优,36,3,16,35,1,16,0.52,42
2014-02-27,优,34,2,15,33,1,11,0.50,46
2014-02-28,优,30,5,13,28,1,11,0.49,46
2014-03-01,优,26,4,11,25,1,14,0.50,38
2014-03-02,优,31,8,14,30,1,15,0.53,28
2014-03-03,优,28,3,12,27,1,12,0.52,32
2014-03-04,优,29,5,13,28,1,11,0.52,33
2014-03-05,优,35,4,19,34,1,13,0.59,42
2014-03-06,优,39,10,20,37,1,10,0.70,70
2014-03-07,优,41,28,21,39,2,9,0.71,74
2014-03-08,优,46,25,25,46,2,13,0.76,64
2014-03-09,优,43,27,24,43,1,9,0.74,60
2014-03-10,优,40,10,22,38,1,13,0.76,68
2014-03-11,优,44,13,16,36,1,11,0.71,82
2014-03-12,优,45,13,23,45,1,15,0.70,64
2014-03-13,优,43,7,21,44,1,20,0.68,32
2014-03-14,优,37,1,18,34,1,9,0.64,59
