日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,优,39,2,26,33,13,24,2.16,30
2013-10-29,优,26,1,9,16,13,16,1.90,43
2013-10-30,优,45,8,22,47,16,16,2.70,27
2013-10-31,优,47,9,24,50,22,22,2.79,25
2013-11-01,良,56,12,29,64,28,25,2.86,32
2013-11-02,良,55,13,28,61,31,29,3.05,32
2013-11-03,良,54,12,29,60,31,26,2.94,30
2013-11-04,良,63,19,38,75,35,29,2.89,28
2013-11-05,良,64,18,39,79,31,26,2.63,28
2013-11-06,良,70,16,43,77,29,22,2.83,36
2013-11-07,良,64,7,40,71,29,25,2.24,35
2013-11-08,良,58,12,31,62,30,25,2.31,37
2013-11-09,良,75,32,44,157,29,29,3.31,34
2013-11-10,良,91,66,51,95,33,26,3.04,43
2013-11-11,良,76,87,49,87,35,25,2.88,28
2013-11-12,良,68,56,41,79,32,23,2.61,24
2013-11-13,良,61,40,30,67,33,22,2.64,23
2013-11-14,良,61,34,31,79,34,22,2.86,23
2013-11-15,良,58,23,31,51,24,15,2.00,21
2013-11-16,优,44,1,19,36,23,14,1.97,24
2013-11-17,优,47,4,32,49,24,13,1.88,23
2013-11-18,优,37,9,16,30,22,15,2.05,17
2013-11-19,优,34,5,26,37,20,13,1.94,20
2013-11-20,优,36,2,18,34,21,16,2.09,27
2013-11-21,优,38,2,18,41,26,19,2.50,29
2013-11-22,良,55,8,28,64,34,25,2.68,32
2013-11-23,良,55,7,26,55,34,26,1.81,37
2013-11-24,良,51,4,27,60,33,25,2.41,50
2013-11-25,良,67,32,47,82,33,30,2.42,34
2013-11-26,良,62,19,31,64,33,27,2.25,23
2013-11-27,良,53,11,28,55,28,26,2.18,33
2013-11-28,优,50,12,36,48,30,23,1.41,24
2013-11-29,良,63,36,53,73,27,23,1.57,32
2013-11-30,良,78,44,56,90,24,26,1.76,22
2013-12-01,良,64,16,45,63,34,26,2.04,30
2013-12-02,良,73,20,52,77,27,26,2.09,44
2013-12-03,良,75,6,59,96,29,31,3.23,23
2013-12-04,良,82,11,56,93,30,29,2.59,30
2013-12-05,良,70,8,44,83,36,30,2.32,30
2013-12-06,良,66,11,47,75,30,28,1.81,51
2013-12-07,良,70,9,54,87,29,29,2.33,33
2013-12-08,良,72,4,37,68,24,22,2.01,31
2013-12-09,良,69,11,55,91,39,29,2.78,42
2013-12-10,良,74,17,42,69,27,28,1.90,38
2013-12-11,良,61,12,34,67,37,27,2.22,30
2013-12-12,良,54,9,24,51,23,23,2.07,41
2013-12-13,良,54,11,30,61,34,28,2.37,30
2013-12-14,良,57,6,33,52,24,24,1.99,24
2013-12-15,优,32,1,10,12,9,13,1.62,45
2013-12-16,优,37,22,20,27,19,17,1.85,74
2013-12-17,良,65,42,60,93,61,36,4.36,45
2013-12-18,良,79,63,62,97,40,31,3.56,57
2013-12-19,良,84,41,62,96,37,32,3.11,61
2013-12-20,轻度污染,103,43,85,123,31,38,3.29,38
2013-12-21,轻度污染,103,43,88,128,38,37,3.38,23
2013-12-22,轻度污染,110,32,62,81,25,27,2.25,40
2013-12-23,良,69,5,44,61,26,26,2.47,48
2013-12-24,良,67,6,54,79,33,28,2.30,37
2013-12-25,良,80,8,55,74,28,23,2.08,50
2013-12-26,良,79,14,73,96,30,24,2.71,41
