日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,191,85,144,216,57,59,1.44,123
2013-10-29,重度污染,210,90,162,248,65,53,1.41,116
2013-10-30,中度污染,184,103,139,229,60,47,1.36,136
2013-10-31,轻度污染,133,78,101,176,54,48,1.33,99
2013-11-01,轻度污染,122,71,91,137,25,41,1.35,88
2013-11-02,良,94,41,70,93,14,21,1.23,91
2013-11-03,良,75,26,54,73,9,12,1.16,86
2013-11-04,良,75,30,55,77,12,16,1.14,74
2013-11-05,良,94,51,70,95,18,27,1.16,50
2013-11-06,良,87,31,66,100,15,28,1.31,61
2013-11-07,良,100,54,87,123,32,34,0.90,67
2013-11-08,轻度污染,143,80,134,211,51,52,1.57,63
2013-11-09,中度污染,157,87,100,160,31,40,1.49,61
2013-11-10,轻度污染,103,74,65,103,36,38,1.26,16
2013-11-11,良,74,83,47,72,26,27,1.10,23
2013-11-12,优,46,24,17,22,10,19,1.05,26
2013-11-13,优,21,3,12,21,7,13,1.08,30
2013-11-14,优,31,7,20,26,7,16,1.10,26
2013-11-15,优,36,4,33,51,15,20,1.13,48
2013-11-16,良,62,15,48,70,21,24,1.15,49
2013-11-17,良,68,20,46,88,22,26,1.00,52
2013-11-18,良,77,42,55,120,25,28,0.95,71
2013-11-19,良,96,59,81,158,46,41,1.14,41
2013-11-20,轻度污染,120,58,104,184,48,47,1.01,44
2013-11-21,轻度污染,139,66,94,164,48,59,1.19,47
2013-11-22,轻度污染,130,57,105,180,55,69,1.27,44
2013-11-23,中度污染,158,67,146,222,66,86,1.40,42
2013-11-24,中度污染,163,72,72,106,32,47,1.06,27
2013-11-25,良,76,46,26,75,14,26,0.77,77
2013-11-26,良,74,47,60,123,51,51,1.01,43
2013-11-27,轻度污染,109,83,82,106,39,53,1.07,24
2013-11-28,良,72,67,35,56,16,24,0.80,54
2013-11-29,良,65,42,43,88,27,35,0.77,48
2013-11-30,良,69,31,47,92,37,47,0.89,46
2013-12-01,良,73,27,47,87,23,47,0.93,49
2013-12-02,良,68,14,49,88,32,53,1.06,46
2013-12-03,良,88,21,84,144,42,74,1.41,44
2013-12-04,轻度污染,124,41,92,137,28,67,1.42,47
