日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,87,222,64,107,103,27,3.18,47
2015-01-02,中度污染,155,597,117,186,102,33,3.87,37
2015-01-03,重度污染,201,331,154,243,145,41,4.73,41
2015-01-04,严重污染,284,340,233,343,146,52,5.57,42
2015-01-05,中度污染,193,280,148,238,84,33,4.44,46
2015-01-06,良,78,209,46,103,47,22,3.15,49
2015-01-07,良,79,184,54,97,48,22,3.24,54
2015-01-08,中度污染,170,323,127,202,73,32,4.50,45
2015-01-09,中度污染,195,310,148,248,103,37,4.53,44
2015-01-10,重度污染,222,332,172,268,121,41,5.06,46
2015-01-11,严重污染,264,367,214,320,114,38,5.78,50
2015-01-12,轻度污染,129,275,94,170,41,19,3.52,69
2015-01-13,轻度污染,107,227,80,125,34,21,3.19,60
2015-01-14,中度污染,190,320,146,222,65,28,4.09,42
2015-01-15,重度污染,235,325,185,279,78,33,4.92,46
2015-01-16,重度污染,203,321,161,251,68,28,4.38,49
2015-01-17,良,86,144,63,101,72,24,3.52,51
2015-01-18,良,70,73,43,77,46,16,3.22,58
2015-01-19,轻度污染,107,237,80,123,98,31,4.14,46
2015-01-20,轻度污染,113,250,84,128,71,27,3.26,52
2015-01-21,优,48,32,23,49,42,11,2.45,67
2015-01-22,良,62,46,41,67,60,23,2.69,56
2015-01-23,轻度污染,114,151,85,132,89,51,3.19,46
2015-01-24,良,90,100,65,101,28,24,2.10,56
2015-01-25,中度污染,168,240,126,174,53,41,2.53,23
2015-01-26,重度污染,236,311,185,267,72,57,2.88,16
2015-01-27,轻度污染,109,283,82,123,22,25,1.17,32
2015-01-28,优,46,130,31,43,20,15,0.87,39
2015-01-29,良,61,174,43,57,28,19,1.01,32
2015-01-30,良,67,164,48,71,59,27,1.44,28
2015-01-31,轻度污染,123,324,93,129,64,30,1.76,27
2015-02-01,良,93,222,68,88,36,20,1.23,40
2015-02-02,良,94,188,69,95,45,27,1.41,30
2015-02-03,中度污染,151,265,114,162,56,44,2.03,27
2015-02-04,良,54,73,33,54,31,19,1.06,43
2015-02-05,优,46,34,30,45,41,29,1.35,30
2015-02-06,良,85,149,62,94,49,48,1.69,30
2015-02-07,良,67,80,46,70,36,35,1.21,32
2015-02-08,良,62,111,38,68,35,22,1.19,36
2015-02-09,良,84,188,61,93,109,35,1.45,34
2015-02-10,轻度污染,133,277,100,155,75,50,1.95,30
2015-02-11,良,91,140,59,112,61,30,1.34,40
2015-02-12,良,94,161,68,129,148,45,1.86,31
2015-02-13,良,89,160,64,110,118,37,1.76,38
2015-02-14,良,96,129,70,110,74,35,1.69,49
2015-02-15,轻度污染,110,210,66,139,54,31,1.50,37
2015-02-16,良,72,87,41,90,60,24,1.40,39
2015-02-17,良,80,145,56,100,64,26,1.68,46
