date,OT,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01 00:00:00,83,204,41,114,83,58,1.15,25
2015-01-06 00:00:00,122,303,43,192,66,120,2.48,14
2015-01-07 00:00:00,93,252,46,134,50,68,1.23,21
2015-01-08 00:00:00,88,161,41,125,53,62,1.34,21
2015-01-09 00:00:00,93,144,51,133,35,65,2.04,25
2015-01-10 00:00:00,108,170,51,153,26,62,1.58,27
2015-01-11 00:00:00,80,117,39,99,23,53,1.09,29
2015-01-12 00:00:00,91,193,44,130,19,50,1.51,27
2015-01-13 00:00:00,97,206,40,140,33,45,1.02,26
2015-01-14 00:00:00,83,161,33,113,28,34,0.95,30
2015-01-15 00:00:00,95,159,46,138,16,47,2.1,18
2015-01-16 00:00:00,84,134,37,116,21,44,1.45,22
2015-01-17 00:00:00,72,88,30,94,45,46,1.0,29
2015-01-18 00:00:00,73,81,29,92,43,44,1.0,28
2015-01-19 00:00:00,80,116,38,101,41,44,1.16,26
2015-01-20 00:00:00,65,57,28,77,43,42,0.92,18
2015-01-21 00:00:00,78,111,40,103,37,53,1.53,23
2015-01-22 00:00:00,84,121,39,107,17,42,1.3,16
2015-01-23 00:00:00,80,56,44,104,17,36,1.2,20
2015-01-24 00:00:00,81,77,40,109,24,39,1.45,19
2015-01-25 00:00:00,93,112,55,126,31,37,1.83,24
2015-01-26 00:00:00,89,106,32,126,19,23,0.72,31
2015-01-27 00:00:00,85,198,35,107,14,23,0.82,25
2015-01-28 00:00:00,59,200,23,68,12,21,0.72,28
2015-01-29 00:00:00,60,170,19,69,10,19,0.54,40
2015-01-30 00:00:00,67,159,27,82,26,25,0.89,30
2015-01-31 00:00:00,57,114,26,53,14,17,0.54,39
2015-02-01 00:00:00,57,97,28,62,18,20,0.69,37
2015-02-02 00:00:00,63,70,29,74,26,30,0.93,25
2015-02-03 00:00:00,57,49,25,61,21,26,0.67,28
2015-02-04 00:00:00,48,52,15,51,24,19,0.52,40
2015-02-05 00:00:00,41,18,13,39,21,15,0.44,44
2015-02-06 00:00:00,42,9,11,46,13,14,0.41,46
2015-02-07 00:00:00,42,21,15,38,11,16,0.42,42
2015-02-08 00:00:00,42,29,13,43,14,17,0.43,40
2015-02-09 00:00:00,44,18,15,47,11,18,0.49,37
2015-02-10 00:00:00,46,27,17,46,15,21,0.47,39
